variant,tag,pass,warmup,query,elapsed_s,rows
base,firsttouch,1,True,1,0.0482,1
base,firsttouch,1,True,2,0.3111,1
base,firsttouch,1,True,3,0.5058,1
base,firsttouch,1,True,4,1.0382,1
base,firsttouch,1,True,5,0.2062,1
base,firsttouch,1,True,6,1.7767,1
base,firsttouch,1,True,7,0.0156,1
base,firsttouch,1,True,8,0.018,18
base,firsttouch,1,True,9,0.6734,10
base,firsttouch,1,True,10,0.3354,10
base,firsttouch,1,True,11,0.3916,10
base,firsttouch,1,True,12,0.2494,10
base,firsttouch,1,True,13,0.1807,10
base,firsttouch,1,True,14,0.3116,10
base,firsttouch,1,True,15,0.3867,10
base,firsttouch,1,True,16,0.2117,10
base,firsttouch,1,True,17,0.4391,10
base,firsttouch,1,True,18,0.3881,10
base,firsttouch,1,True,19,2.1569,10
base,firsttouch,1,True,20,0.0099,4
base,firsttouch,1,True,21,10.0439,1
base,firsttouch,1,True,22,0.3144,10
base,firsttouch,1,True,23,4.9743,10
base,firsttouch,1,True,24,0.3612,10
base,firsttouch,1,True,25,0.0165,10
base,firsttouch,1,True,26,0.0599,10
base,firsttouch,1,True,27,0.0165,10
base,firsttouch,1,True,28,0.2355,25
base,firsttouch,1,True,29,5.9667,25
base,firsttouch,1,True,30,0.0494,1
base,firsttouch,1,True,31,0.4649,10
base,firsttouch,1,True,32,1.8106,10
base,firsttouch,1,True,33,1.1235,10
base,firsttouch,1,True,34,0.8062,10
base,firsttouch,1,True,35,0.8899,10
base,firsttouch,1,True,36,0.1886,10
base,firsttouch,1,True,37,0.0338,10
base,firsttouch,1,True,38,0.029,10
base,firsttouch,1,True,39,0.0319,10
base,firsttouch,1,True,40,0.0697,10
base,firsttouch,1,True,41,0.0521,10
base,firsttouch,1,True,42,0.0145,10
base,firsttouch,1,True,43,0.0206,10
base,firsttouch,2,False,1,0.0013,1
base,firsttouch,2,False,2,0.0208,1
base,firsttouch,2,False,3,0.0147,1
base,firsttouch,2,False,4,0.0184,1
base,firsttouch,2,False,5,0.1761,1
base,firsttouch,2,False,6,0.1398,1
base,firsttouch,2,False,7,0.0269,1
base,firsttouch,2,False,8,0.0119,18
base,firsttouch,2,False,9,0.2298,10
base,firsttouch,2,False,10,0.3495,10
base,firsttouch,2,False,11,0.08,10
base,firsttouch,2,False,12,0.0787,10
base,firsttouch,2,False,13,0.1718,10
base,firsttouch,2,False,14,0.3246,10
base,firsttouch,2,False,15,0.1891,10
base,firsttouch,2,False,16,0.2101,10
base,firsttouch,2,False,17,0.4154,10
base,firsttouch,2,False,18,0.3978,10
base,firsttouch,2,False,19,0.7637,10
base,firsttouch,2,False,20,0.0063,4
base,firsttouch,2,False,21,0.3129,1
base,firsttouch,2,False,22,0.3038,10
base,firsttouch,2,False,23,0.3279,10
base,firsttouch,2,False,24,0.0532,10
base,firsttouch,2,False,25,0.0188,10
base,firsttouch,2,False,26,0.0609,10
base,firsttouch,2,False,27,0.0177,10
base,firsttouch,2,False,28,0.2386,25
base,firsttouch,2,False,29,3.7822,25
base,firsttouch,2,False,30,0.0489,1
base,firsttouch,2,False,31,0.1825,10
base,firsttouch,2,False,32,0.2434,10
base,firsttouch,2,False,33,1.1166,10
base,firsttouch,2,False,34,0.7577,10
base,firsttouch,2,False,35,0.889,10
base,firsttouch,2,False,36,0.1776,10
base,firsttouch,2,False,37,0.047,10
base,firsttouch,2,False,38,0.0141,10
base,firsttouch,2,False,39,0.0284,10
base,firsttouch,2,False,40,0.0657,10
base,firsttouch,2,False,41,0.0106,10
base,firsttouch,2,False,42,0.014,10
base,firsttouch,2,False,43,0.0157,10
base,firsttouch,3,False,1,0.0012,1
base,firsttouch,3,False,2,0.0194,1
base,firsttouch,3,False,3,0.015,1
base,firsttouch,3,False,4,0.0167,1
base,firsttouch,3,False,5,0.1818,1
base,firsttouch,3,False,6,0.1431,1
base,firsttouch,3,False,7,0.0267,1
base,firsttouch,3,False,8,0.0137,18
base,firsttouch,3,False,9,0.2256,10
base,firsttouch,3,False,10,0.3423,10
base,firsttouch,3,False,11,0.0833,10
base,firsttouch,3,False,12,0.0864,10
base,firsttouch,3,False,13,0.1679,10
base,firsttouch,3,False,14,0.3169,10
base,firsttouch,3,False,15,0.1778,10
base,firsttouch,3,False,16,0.1956,10
base,firsttouch,3,False,17,0.4109,10
base,firsttouch,3,False,18,0.3967,10
base,firsttouch,3,False,19,0.7713,10
base,firsttouch,3,False,20,0.0074,4
base,firsttouch,3,False,21,0.3078,1
base,firsttouch,3,False,22,0.2988,10
base,firsttouch,3,False,23,0.3211,10
base,firsttouch,3,False,24,0.0562,10
