bench,compression,tag,phase,query,mean_s,std_s,n
clickbench,uncompressed,firsttouch,cold,1,0.0769,0.0,1
clickbench,uncompressed,firsttouch,warm,1,0.0013,0.0,19
clickbench,uncompressed,firsttouch,cold,2,0.8898,0.0,1
clickbench,uncompressed,firsttouch,warm,2,0.0375,0.004,19
clickbench,uncompressed,firsttouch,cold,3,0.9788,0.0,1
clickbench,uncompressed,firsttouch,warm,3,0.0099,0.0012,19
clickbench,uncompressed,firsttouch,cold,4,3.5534,0.0,1
clickbench,uncompressed,firsttouch,warm,4,0.0161,0.0013,19
clickbench,uncompressed,firsttouch,cold,5,0.3413,0.0,1
clickbench,uncompressed,firsttouch,warm,5,0.1795,0.006,19
clickbench,uncompressed,firsttouch,cold,6,5.1242,0.0,1
clickbench,uncompressed,firsttouch,warm,6,0.2071,0.0077,19
clickbench,uncompressed,firsttouch,cold,7,0.0205,0.0,1
clickbench,uncompressed,firsttouch,warm,7,0.0466,0.0012,19
clickbench,uncompressed,firsttouch,cold,8,0.0183,0.0,1
clickbench,uncompressed,firsttouch,warm,8,0.0159,0.0038,19
clickbench,uncompressed,firsttouch,cold,9,1.8445,0.0,1
clickbench,uncompressed,firsttouch,warm,9,0.2238,0.0074,19
clickbench,uncompressed,firsttouch,cold,10,0.3245,0.0,1
clickbench,uncompressed,firsttouch,warm,10,0.3372,0.0074,19
clickbench,uncompressed,firsttouch,cold,11,1.984,0.0,1
clickbench,uncompressed,firsttouch,warm,11,0.0845,0.0083,19
clickbench,uncompressed,firsttouch,cold,12,0.915,0.0,1
clickbench,uncompressed,firsttouch,warm,12,0.0922,0.0086,19
clickbench,uncompressed,firsttouch,cold,13,0.1637,0.0,1
clickbench,uncompressed,firsttouch,warm,13,0.1617,0.0056,19
clickbench,uncompressed,firsttouch,cold,14,0.2864,0.0,1
clickbench,uncompressed,firsttouch,warm,14,0.2971,0.0115,19
clickbench,uncompressed,firsttouch,cold,15,0.9487,0.0,1
clickbench,uncompressed,firsttouch,warm,15,0.1677,0.0047,19
clickbench,uncompressed,firsttouch,cold,16,0.2114,0.0,1
clickbench,uncompressed,firsttouch,warm,16,0.1945,0.006,19
clickbench,uncompressed,firsttouch,cold,17,0.444,0.0,1
clickbench,uncompressed,firsttouch,warm,17,0.3942,0.0087,19
clickbench,uncompressed,firsttouch,cold,18,0.3777,0.0,1
clickbench,uncompressed,firsttouch,warm,18,0.3804,0.0101,19
clickbench,uncompressed,firsttouch,cold,19,3.5169,0.0,1
clickbench,uncompressed,firsttouch,warm,19,0.7457,0.0128,19
clickbench,uncompressed,firsttouch,cold,20,0.0086,0.0,1
clickbench,uncompressed,firsttouch,warm,20,0.0105,0.0023,19
clickbench,uncompressed,firsttouch,cold,21,33.2736,0.0,1
clickbench,uncompressed,firsttouch,warm,21,0.2075,0.0022,19
clickbench,uncompressed,firsttouch,cold,22,0.1214,0.0,1
clickbench,uncompressed,firsttouch,warm,22,0.1101,0.0028,19
clickbench,uncompressed,firsttouch,cold,23,28.1906,0.0,1
clickbench,uncompressed,firsttouch,warm,23,0.1607,0.0049,19
clickbench,uncompressed,firsttouch,cold,24,0.4421,0.0,1
clickbench,uncompressed,firsttouch,warm,24,0.0602,0.0055,19
clickbench,uncompressed,firsttouch,cold,25,0.0099,0.0,1
clickbench,uncompressed,firsttouch,warm,25,0.0102,0.0012,19
clickbench,uncompressed,firsttouch,cold,26,0.0509,0.0,1
clickbench,uncompressed,firsttouch,warm,26,0.0491,0.0011,19
clickbench,uncompressed,firsttouch,cold,27,0.0111,0.0,1
clickbench,uncompressed,firsttouch,warm,27,0.0113,0.0013,19
clickbench,uncompressed,firsttouch,cold,28,0.3765,0.0,1
clickbench,uncompressed,firsttouch,warm,28,0.0944,0.0024,19
clickbench,uncompressed,firsttouch,cold,29,17.6541,0.0,1
clickbench,uncompressed,firsttouch,warm,29,5.0328,0.0336,19
clickbench,uncompressed,firsttouch,cold,30,0.0426,0.0,1
clickbench,uncompressed,firsttouch,warm,30,0.0448,0.0037,19
clickbench,uncompressed,firsttouch,cold,31,1.3847,0.0,1
clickbench,uncompressed,firsttouch,warm,31,0.1638,0.0033,19
clickbench,uncompressed,firsttouch,cold,32,1.8153,0.0,1
clickbench,uncompressed,firsttouch,warm,32,0.2216,0.0034,19
clickbench,uncompressed,firsttouch,cold,33,1.0821,0.0,1
clickbench,uncompressed,firsttouch,warm,33,1.0768,0.018,19
clickbench,uncompressed,firsttouch,cold,34,0.7528,0.0,1
clickbench,uncompressed,firsttouch,warm,34,0.7358,0.0127,19
clickbench,uncompressed,firsttouch,cold,35,0.7999,0.0,1
clickbench,uncompressed,firsttouch,warm,35,0.7712,0.0149,19
clickbench,uncompressed,firsttouch,cold,36,0.1932,0.0,1
clickbench,uncompressed,firsttouch,warm,36,0.1863,0.01,19
clickbench,uncompressed,firsttouch,cold,37,0.0334,0.0,1
clickbench,uncompressed,firsttouch,warm,37,0.0389,0.0073,19
clickbench,uncompressed,firsttouch,cold,38,0.024,0.0,1
clickbench,uncompressed,firsttouch,warm,38,0.025,0.0041,19
clickbench,uncompressed,firsttouch,cold,39,0.0284,0.0,1
clickbench,uncompressed,firsttouch,warm,39,0.0136,0.0029,19
clickbench,uncompressed,firsttouch,cold,40,0.0775,0.0,1
clickbench,uncompressed,firsttouch,warm,40,0.0678,0.01,19
clickbench,uncompressed,firsttouch,cold,41,0.0444,0.0,1
clickbench,uncompressed,firsttouch,warm,41,0.0178,0.0058,19
clickbench,uncompressed,firsttouch,cold,42,0.0172,0.0,1
clickbench,uncompressed,firsttouch,warm,42,0.0158,0.0029,19
clickbench,uncompressed,firsttouch,cold,43,0.0186,0.0,1
clickbench,uncompressed,firsttouch,warm,43,0.0188,0.0044,19
clickbench,uncompressed,imbalanced,cold,1,0.0772,0.0,1
clickbench,uncompressed,imbalanced,warm,1,0.0013,0.0001,19
clickbench,uncompressed,imbalanced,cold,2,0.8123,0.0,1
clickbench,uncompressed,imbalanced,warm,2,0.0401,0.0062,19
clickbench,uncompressed,imbalanced,cold,3,0.9751,0.0,1
clickbench,uncompressed,imbalanced,warm,3,0.0101,0.0014,19
clickbench,uncompressed,imbalanced,cold,4,3.5572,0.0,1
clickbench,uncompressed,imbalanced,warm,4,0.0163,0.0017,19
clickbench,uncompressed,imbalanced,cold,5,0.2399,0.0,1
clickbench,uncompressed,imbalanced,warm,5,0.2132,0.0079,19
clickbench,uncompressed,imbalanced,cold,6,5.1536,0.0,1
clickbench,uncompressed,imbalanced,warm,6,0.2391,0.0092,19
clickbench,uncompressed,imbalanced,cold,7,0.0203,0.0,1
clickbench,uncompressed,imbalanced,warm,7,0.05,0.0075,19
clickbench,uncompressed,imbalanced,cold,8,0.019,0.0,1
clickbench,uncompressed,imbalanced,warm,8,0.0156,0.0036,19
clickbench,uncompressed,imbalanced,cold,9,1.8775,0.0,1
clickbench,uncompressed,imbalanced,warm,9,0.2583,0.0065,19
clickbench,uncompressed,imbalanced,cold,10,0.3672,0.0,1
clickbench,uncompressed,imbalanced,warm,10,0.3809,0.0123,19
clickbench,uncompressed,imbalanced,cold,11,1.9769,0.0,1
clickbench,uncompressed,imbalanced,warm,11,0.0868,0.009,19
clickbench,uncompressed,imbalanced,cold,12,0.9209,0.0,1
clickbench,uncompressed,imbalanced,warm,12,0.0967,0.0091,19
clickbench,uncompressed,imbalanced,cold,13,0.2004,0.0,1
clickbench,uncompressed,imbalanced,warm,13,0.2009,0.0048,19
clickbench,uncompressed,imbalanced,cold,14,0.39,0.0,1
clickbench,uncompressed,imbalanced,warm,14,0.4006,0.0063,19
clickbench,uncompressed,imbalanced,cold,15,1.0529,0.0,1
clickbench,uncompressed,imbalanced,warm,15,0.2157,0.0039,19
clickbench,uncompressed,imbalanced,cold,16,0.2304,0.0,1
clickbench,uncompressed,imbalanced,warm,16,0.2366,0.005,19
clickbench,uncompressed,imbalanced,cold,17,0.484,0.0,1
clickbench,uncompressed,imbalanced,warm,17,0.4861,0.018,19
clickbench,uncompressed,imbalanced,cold,18,0.4794,0.0,1
clickbench,uncompressed,imbalanced,warm,18,0.4671,0.0091,19
clickbench,uncompressed,imbalanced,cold,19,3.6247,0.0,1
clickbench,uncompressed,imbalanced,warm,19,1.0012,0.0069,19
clickbench,uncompressed,imbalanced,cold,20,0.0114,0.0,1
clickbench,uncompressed,imbalanced,warm,20,0.0102,0.0015,19
clickbench,uncompressed,imbalanced,cold,21,33.2222,0.0,1
clickbench,uncompressed,imbalanced,warm,21,0.2349,0.0027,19
clickbench,uncompressed,imbalanced,cold,22,0.1791,0.0,1
clickbench,uncompressed,imbalanced,warm,22,0.1595,0.0029,19
clickbench,uncompressed,imbalanced,cold,23,28.251,0.0,1
clickbench,uncompressed,imbalanced,warm,23,0.2393,0.0093,19
clickbench,uncompressed,imbalanced,cold,24,0.4288,0.0,1
clickbench,uncompressed,imbalanced,warm,24,0.09,0.0075,19
clickbench,uncompressed,imbalanced,cold,25,0.0105,0.0,1
clickbench,uncompressed,imbalanced,warm,25,0.0111,0.0017,19
clickbench,uncompressed,imbalanced,cold,26,0.051,0.0,1
clickbench,uncompressed,imbalanced,warm,26,0.0509,0.0017,19
clickbench,uncompressed,imbalanced,cold,27,0.0118,0.0,1
clickbench,uncompressed,imbalanced,warm,27,0.0119,0.0021,19
clickbench,uncompressed,imbalanced,cold,28,0.3835,0.0,1
clickbench,uncompressed,imbalanced,warm,28,0.1374,0.005,19
clickbench,uncompressed,imbalanced,cold,29,17.7383,0.0,1
clickbench,uncompressed,imbalanced,warm,29,5.112,0.0358,19
clickbench,uncompressed,imbalanced,cold,30,0.045,0.0,1
clickbench,uncompressed,imbalanced,warm,30,0.0447,0.0033,19
clickbench,uncompressed,imbalanced,cold,31,1.3867,0.0,1
clickbench,uncompressed,imbalanced,warm,31,0.1814,0.0053,19
clickbench,uncompressed,imbalanced,cold,32,1.8362,0.0,1
clickbench,uncompressed,imbalanced,warm,32,0.2706,0.0091,19
