sf,tag,pass,warmup,query,elapsed_s,rows
10-raw,firsttouch,1,True,1,9.4213,4
10-raw,firsttouch,1,True,2,0.999,100
10-raw,firsttouch,1,True,3,2.452,10
10-raw,firsttouch,1,True,4,1.8407,5
10-raw,firsttouch,1,True,5,1.4436,5
10-raw,firsttouch,1,True,6,0.0202,1
10-raw,firsttouch,1,True,7,0.0942,4
10-raw,firsttouch,1,True,8,0.8017,2
10-raw,firsttouch,1,True,9,0.4129,175
10-raw,firsttouch,1,True,10,0.6668,20
10-raw,firsttouch,1,True,11,0.0969,0
10-raw,firsttouch,1,True,12,1.0774,2
10-raw,firsttouch,1,True,13,1.8921,45
10-raw,firsttouch,1,True,14,0.0602,1
10-raw,firsttouch,1,True,15,0.042,1
10-raw,firsttouch,1,True,16,0.1481,27840
10-raw,firsttouch,1,True,17,0.1081,1
10-raw,firsttouch,1,True,18,0.3265,100
10-raw,firsttouch,1,True,19,1.446,1
10-raw,firsttouch,1,True,20,0.0814,1804
10-raw,firsttouch,1,True,21,0.2334,100
10-raw,firsttouch,1,True,22,0.0866,7
10-raw,firsttouch,2,False,1,0.0911,4
10-raw,firsttouch,2,False,2,0.0475,100
10-raw,firsttouch,2,False,3,0.0993,10
10-raw,firsttouch,2,False,4,0.1056,5
10-raw,firsttouch,2,False,5,0.1252,5
10-raw,firsttouch,2,False,6,0.0209,1
10-raw,firsttouch,2,False,7,0.0893,4
10-raw,firsttouch,2,False,8,0.1101,2
10-raw,firsttouch,2,False,9,0.3106,175
10-raw,firsttouch,2,False,10,0.223,20
10-raw,firsttouch,2,False,11,0.0277,0
10-raw,firsttouch,2,False,12,0.0767,2
10-raw,firsttouch,2,False,13,0.2056,45
10-raw,firsttouch,2,False,14,0.0625,1
10-raw,firsttouch,2,False,15,0.0416,1
10-raw,firsttouch,2,False,16,0.1361,27840
10-raw,firsttouch,2,False,17,0.0674,1
10-raw,firsttouch,2,False,18,0.2273,100
10-raw,firsttouch,2,False,19,0.0889,1
10-raw,firsttouch,2,False,20,0.0784,1804
