sf,tag,pass,warmup,query,elapsed_s,rows
10-raw,imbalanced,1,True,1,9.4421,4
10-raw,imbalanced,1,True,2,1.0034,100
10-raw,imbalanced,1,True,3,2.5331,10
10-raw,imbalanced,1,True,4,1.8543,5
10-raw,imbalanced,1,True,5,1.464,5
10-raw,imbalanced,1,True,6,0.0273,1
10-raw,imbalanced,1,True,7,0.101,4
10-raw,imbalanced,1,True,8,0.808,2
10-raw,imbalanced,1,True,9,0.4337,175
10-raw,imbalanced,1,True,10,0.7025,20
10-raw,imbalanced,1,True,11,0.0983,0
10-raw,imbalanced,1,True,12,1.0962,2
10-raw,imbalanced,1,True,13,1.9039,45
10-raw,imbalanced,1,True,14,0.0662,1
10-raw,imbalanced,1,True,15,0.0412,1
10-raw,imbalanced,1,True,16,0.1488,27840
10-raw,imbalanced,1,True,17,0.1092,1
10-raw,imbalanced,1,True,18,0.3676,100
10-raw,imbalanced,1,True,19,1.4451,1
10-raw,imbalanced,1,True,20,0.0848,1804
10-raw,imbalanced,1,True,21,0.2353,100
10-raw,imbalanced,1,True,22,0.0896,7
10-raw,imbalanced,2,False,1,0.0925,4
10-raw,imbalanced,2,False,2,0.0434,100
10-raw,imbalanced,2,False,3,0.1063,10
10-raw,imbalanced,2,False,4,0.1125,5
10-raw,imbalanced,2,False,5,0.1199,5
10-raw,imbalanced,2,False,6,0.0272,1
10-raw,imbalanced,2,False,7,0.0989,4
10-raw,imbalanced,2,False,8,0.1172,2
10-raw,imbalanced,2,False,9,0.3117,175
10-raw,imbalanced,2,False,10,0.237,20
10-raw,imbalanced,2,False,11,0.0287,0
10-raw,imbalanced,2,False,12,0.096,2
10-raw,imbalanced,2,False,13,0.2407,45
10-raw,imbalanced,2,False,14,0.0653,1
10-raw,imbalanced,2,False,15,0.0426,1
10-raw,imbalanced,2,False,16,0.1422,27840
10-raw,imbalanced,2,False,17,0.0683,1
10-raw,imbalanced,2,False,18,0.2709,100
10-raw,imbalanced,2,False,19,0.0877,1
10-raw,imbalanced,2,False,20,0.0822,1804
10-raw,imbalanced,2,False,21,0.1893,100
10-raw,imbalanced,2,False,22,0.0831,7
10-raw,imbalanced,3,False,1,0.0919,4
10-raw,imbalanced,3,False,2,0.0435,100
10-raw,imbalanced,3,False,3,0.1045,10
10-raw,imbalanced,3,False,4,0.1098,5
10-raw,imbalanced,3,False,5,0.1173,5
10-raw,imbalanced,3,False,6,0.0252,1
10-raw,imbalanced,3,False,7,0.0998,4
10-raw,imbalanced,3,False,8,0.1137,2
10-raw,imbalanced,3,False,9,0.3262,175
10-raw,imbalanced,3,False,10,0.2516,20
10-raw,imbalanced,3,False,11,0.0271,0
10-raw,imbalanced,3,False,12,0.0817,2
10-raw,imbalanced,3,False,13,0.2268,45
10-raw,imbalanced,3,False,14,0.07,1
10-raw,imbalanced,3,False,15,0.0437,1
10-raw,imbalanced,3,False,16,0.1403,27840
10-raw,imbalanced,3,False,17,0.069,1
10-raw,imbalanced,3,False,18,0.2528,100
10-raw,imbalanced,3,False,19,0.1122,1
10-raw,imbalanced,3,False,20,0.0838,1804
10-raw,imbalanced,3,False,21,0.1909,100
10-raw,imbalanced,3,False,22,0.0783,7
10-raw,imbalanced,4,False,1,0.0993,4
10-raw,imbalanced,4,False,2,0.0421,100
10-raw,imbalanced,4,False,3,0.1101,10
10-raw,imbalanced,4,False,4,0.1108,5
10-raw,imbalanced,4,False,5,0.124,5
10-raw,imbalanced,4,False,6,0.0253,1
10-raw,imbalanced,4,False,7,0.1023,4
10-raw,imbalanced,4,False,8,0.1101,2
10-raw,imbalanced,4,False,9,0.3284,175
10-raw,imbalanced,4,False,10,0.2472,20
10-raw,imbalanced,4,False,11,0.0264,0
10-raw,imbalanced,4,False,12,0.0788,2
10-raw,imbalanced,4,False,13,0.2253,45
10-raw,imbalanced,4,False,14,0.0678,1
10-raw,imbalanced,4,False,15,0.0449,1
10-raw,imbalanced,4,False,16,0.1382,27840
10-raw,imbalanced,4,False,17,0.07,1
10-raw,imbalanced,4,False,18,0.2773,100
10-raw,imbalanced,4,False,19,0.0901,1
10-raw,imbalanced,4,False,20,0.0793,1804
10-raw,imbalanced,4,False,21,0.1967,100
10-raw,imbalanced,4,False,22,0.0912,7
10-raw,imbalanced,5,False,1,0.0935,4
10-raw,imbalanced,5,False,2,0.0453,100
10-raw,imbalanced,5,False,3,0.0969,10
10-raw,imbalanced,5,False,4,0.1157,5
10-raw,imbalanced,5,False,5,0.1231,5
10-raw,imbalanced,5,False,6,0.026,1
10-raw,imbalanced,5,False,7,0.1064,4
10-raw,imbalanced,5,False,8,0.1153,2
10-raw,imbalanced,5,False,9,0.3355,175
10-raw,imbalanced,5,False,10,0.2514,20
10-raw,imbalanced,5,False,11,0.0309,0
10-raw,imbalanced,5,False,12,0.0866,2
10-raw,imbalanced,5,False,13,0.2346,45
10-raw,imbalanced,5,False,14,0.0671,1
10-raw,imbalanced,5,False,15,0.0433,1
10-raw,imbalanced,5,False,16,0.1401,27840
10-raw,imbalanced,5,False,17,0.0661,1
10-raw,imbalanced,5,False,18,0.2669,100
10-raw,imbalanced,5,False,19,0.0956,1
10-raw,imbalanced,5,False,20,0.0838,1804
10-raw,imbalanced,5,False,21,0.1833,100
10-raw,imbalanced,5,False,22,0.0885,7
10-raw,imbalanced,6,False,1,0.095,4
10-raw,imbalanced,6,False,2,0.0481,100
10-raw,imbalanced,6,False,3,0.1087,10
10-raw,imbalanced,6,False,4,0.1109,5
10-raw,imbalanced,6,False,5,0.1242,5
10-raw,imbalanced,6,False,6,0.0257,1
10-raw,imbalanced,6,False,7,0.1031,4
10-raw,imbalanced,6,False,8,0.1101,2
10-raw,imbalanced,6,False,9,0.3345,175
10-raw,imbalanced,6,False,10,0.2668,20
10-raw,imbalanced,6,False,11,0.0268,0
10-raw,imbalanced,6,False,12,0.0802,2
10-raw,imbalanced,6,False,13,0.2265,45
10-raw,imbalanced,6,False,14,0.0664,1
10-raw,imbalanced,6,False,15,0.0432,1
10-raw,imbalanced,6,False,16,0.1402,27840
10-raw,imbalanced,6,False,17,0.0661,1
10-raw,imbalanced,6,False,18,0.2694,100
10-raw,imbalanced,6,False,19,0.0953,1
10-raw,imbalanced,6,False,20,0.0799,1804
10-raw,imbalanced,6,False,21,0.2323,100
10-raw,imbalanced,6,False,22,0.094,7
10-raw,imbalanced,7,False,1,0.0938,4
10-raw,imbalanced,7,False,2,0.0443,100
