sf,tag,pass,warmup,query,elapsed_s,rows
10-raw,repl,1,True,1,9.4193,4
10-raw,repl,1,True,2,0.99,100
10-raw,repl,1,True,3,2.4444,10
10-raw,repl,1,True,4,1.8377,5
10-raw,repl,1,True,5,1.4593,5
10-raw,repl,1,True,6,0.0572,1
10-raw,repl,1,True,7,0.1527,4
10-raw,repl,1,True,8,0.8221,2
10-raw,repl,1,True,9,0.5195,175
10-raw,repl,1,True,10,0.7222,20
10-raw,repl,1,True,11,0.1013,0
10-raw,repl,1,True,12,1.0853,2
10-raw,repl,1,True,13,1.949,45
10-raw,repl,1,True,14,0.1028,1
10-raw,repl,1,True,15,0.0653,1
10-raw,repl,1,True,16,0.1476,27840
10-raw,repl,1,True,17,0.1467,1
10-raw,repl,1,True,18,0.3428,100
10-raw,repl,1,True,19,1.4452,1
10-raw,repl,1,True,20,0.1075,1804
10-raw,repl,1,True,21,0.2542,100
10-raw,repl,1,True,22,0.0794,7
10-raw,repl,2,False,1,0.1637,4
10-raw,repl,2,False,2,0.0403,100
10-raw,repl,2,False,3,0.099,10
10-raw,repl,2,False,4,0.1058,5
10-raw,repl,2,False,5,0.0936,5
10-raw,repl,2,False,6,0.0256,1
10-raw,repl,2,False,7,0.0914,4
10-raw,repl,2,False,8,0.1011,2
10-raw,repl,2,False,9,0.2803,175
10-raw,repl,2,False,10,0.2106,20
10-raw,repl,2,False,11,0.0244,0
10-raw,repl,2,False,12,0.0987,2
10-raw,repl,2,False,13,0.2416,45
10-raw,repl,2,False,14,0.0541,1
10-raw,repl,2,False,15,0.0358,1
10-raw,repl,2,False,16,0.1159,27840
10-raw,repl,2,False,17,0.0578,1
10-raw,repl,2,False,18,0.2053,100
10-raw,repl,2,False,19,0.131,1
10-raw,repl,2,False,20,0.069,1804
10-raw,repl,2,False,21,0.1599,100
10-raw,repl,2,False,22,0.0711,7
10-raw,repl,3,False,1,0.1346,4
10-raw,repl,3,False,2,0.0409,100
10-raw,repl,3,False,3,0.082,10
10-raw,repl,3,False,4,0.0955,5
10-raw,repl,3,False,5,0.085,5
10-raw,repl,3,False,6,0.0174,1
10-raw,repl,3,False,7,0.0736,4
10-raw,repl,3,False,8,0.0898,2
10-raw,repl,3,False,9,0.2691,175
10-raw,repl,3,False,10,0.2531,20
10-raw,repl,3,False,11,0.0215,0
10-raw,repl,3,False,12,0.0888,2
10-raw,repl,3,False,13,0.2188,45
10-raw,repl,3,False,14,0.0548,1
10-raw,repl,3,False,15,0.0348,1
10-raw,repl,3,False,16,0.1195,27840
10-raw,repl,3,False,17,0.0547,1
10-raw,repl,3,False,18,0.2079,100
10-raw,repl,3,False,19,0.1326,1
10-raw,repl,3,False,20,0.062,1804
10-raw,repl,3,False,21,0.1435,100
10-raw,repl,3,False,22,0.0713,7
10-raw,repl,4,False,1,0.1236,4
10-raw,repl,4,False,2,0.0326,100
10-raw,repl,4,False,3,0.0862,10
10-raw,repl,4,False,4,0.0972,5
10-raw,repl,4,False,5,0.0954,5
10-raw,repl,4,False,6,0.0157,1
10-raw,repl,4,False,7,0.0758,4
10-raw,repl,4,False,8,0.0892,2
10-raw,repl,4,False,9,0.2797,175
10-raw,repl,4,False,10,0.1953,20
10-raw,repl,4,False,11,0.0286,0
10-raw,repl,4,False,12,0.0836,2
10-raw,repl,4,False,13,0.2118,45
10-raw,repl,4,False,14,0.054,1
10-raw,repl,4,False,15,0.033,1
10-raw,repl,4,False,16,0.1186,27840
10-raw,repl,4,False,17,0.0549,1
10-raw,repl,4,False,18,0.1952,100
10-raw,repl,4,False,19,0.1021,1
10-raw,repl,4,False,20,0.0646,1804
10-raw,repl,4,False,21,0.1548,100
10-raw,repl,4,False,22,0.0721,7
10-raw,repl,5,False,1,0.1023,4
10-raw,repl,5,False,2,0.0451,100
10-raw,repl,5,False,3,0.0833,10
10-raw,repl,5,False,4,0.09,5
10-raw,repl,5,False,5,0.0887,5
10-raw,repl,5,False,6,0.0163,1
10-raw,repl,5,False,7,0.0772,4
10-raw,repl,5,False,8,0.0922,2
10-raw,repl,5,False,9,0.269,175
10-raw,repl,5,False,10,0.2,20
10-raw,repl,5,False,11,0.0224,0
10-raw,repl,5,False,12,0.0809,2
10-raw,repl,5,False,13,0.2107,45
10-raw,repl,5,False,14,0.0532,1
10-raw,repl,5,False,15,0.0317,1
10-raw,repl,5,False,16,0.1141,27840
10-raw,repl,5,False,17,0.0519,1
10-raw,repl,5,False,18,0.2034,100
10-raw,repl,5,False,19,0.0908,1
10-raw,repl,5,False,20,0.067,1804
10-raw,repl,5,False,21,0.1504,100
10-raw,repl,5,False,22,0.0687,7
10-raw,repl,6,False,1,0.097,4
10-raw,repl,6,False,2,0.0324,100
10-raw,repl,6,False,3,0.0799,10
10-raw,repl,6,False,4,0.0872,5
10-raw,repl,6,False,5,0.0919,5
10-raw,repl,6,False,6,0.0152,1
10-raw,repl,6,False,7,0.0802,4
10-raw,repl,6,False,8,0.0893,2
10-raw,repl,6,False,9,0.2662,175
10-raw,repl,6,False,10,0.1998,20
10-raw,repl,6,False,11,0.0267,0
10-raw,repl,6,False,12,0.0707,2
10-raw,repl,6,False,13,0.2005,45
10-raw,repl,6,False,14,0.0544,1
10-raw,repl,6,False,15,0.033,1
10-raw,repl,6,False,16,0.1104,27840
10-raw,repl,6,False,17,0.0551,1
10-raw,repl,6,False,18,0.2041,100
10-raw,repl,6,False,19,0.0881,1
10-raw,repl,6,False,20,0.0619,1804
10-raw,repl,6,False,21,0.1842,100
10-raw,repl,6,False,22,0.0616,7
