sf,tag,pass,warmup,query,elapsed_s,rows
10,firsttouch,1,True,1,1.5564,4
10,firsttouch,1,True,2,0.2676,100
10,firsttouch,1,True,3,0.8435,10
10,firsttouch,1,True,4,0.7559,5
10,firsttouch,1,True,5,0.2064,5
10,firsttouch,1,True,6,0.0233,1
10,firsttouch,1,True,7,0.0953,4
10,firsttouch,1,True,8,0.1516,2
10,firsttouch,1,True,9,0.3443,175
10,firsttouch,1,True,10,0.3857,20
10,firsttouch,1,True,11,0.0295,0
10,firsttouch,1,True,12,0.0883,2
10,firsttouch,1,True,13,0.6624,45
10,firsttouch,1,True,14,0.0675,1
10,firsttouch,1,True,15,0.0462,1
10,firsttouch,1,True,16,0.1377,27840
10,firsttouch,1,True,17,0.0754,1
10,firsttouch,1,True,18,0.2345,100
10,firsttouch,1,True,19,0.071,1
10,firsttouch,1,True,20,0.0933,1804
10,firsttouch,1,True,21,0.1868,100
10,firsttouch,1,True,22,0.0993,7
10,firsttouch,2,False,1,0.0743,4
10,firsttouch,2,False,2,0.0406,100
10,firsttouch,2,False,3,0.0994,10
10,firsttouch,2,False,4,0.1078,5
10,firsttouch,2,False,5,0.1164,5
10,firsttouch,2,False,6,0.0228,1
10,firsttouch,2,False,7,0.0991,4
10,firsttouch,2,False,8,0.123,2
10,firsttouch,2,False,9,0.331,175
10,firsttouch,2,False,10,0.2372,20
10,firsttouch,2,False,11,0.026,0
10,firsttouch,2,False,12,0.0802,2
10,firsttouch,2,False,13,0.224,45
10,firsttouch,2,False,14,0.0681,1
10,firsttouch,2,False,15,0.0455,1
10,firsttouch,2,False,16,0.1315,27840
10,firsttouch,2,False,17,0.073,1
10,firsttouch,2,False,18,0.2283,100
10,firsttouch,2,False,19,0.0785,1
10,firsttouch,2,False,20,0.0953,1804
10,firsttouch,2,False,21,0.1762,100
10,firsttouch,2,False,22,0.0854,7
10,firsttouch,3,False,1,0.0722,4
10,firsttouch,3,False,2,0.0473,100
10,firsttouch,3,False,3,0.1026,10
10,firsttouch,3,False,4,0.1193,5
10,firsttouch,3,False,5,0.1151,5
10,firsttouch,3,False,6,0.0224,1
10,firsttouch,3,False,7,0.1014,4
10,firsttouch,3,False,8,0.1174,2
10,firsttouch,3,False,9,0.3346,175
10,firsttouch,3,False,10,0.2432,20
10,firsttouch,3,False,11,0.0269,0
10,firsttouch,3,False,12,0.0843,2
10,firsttouch,3,False,13,0.2257,45
10,firsttouch,3,False,14,0.0682,1
10,firsttouch,3,False,15,0.0483,1
10,firsttouch,3,False,16,0.1334,27840
10,firsttouch,3,False,17,0.0752,1
10,firsttouch,3,False,18,0.2344,100
10,firsttouch,3,False,19,0.0764,1
10,firsttouch,3,False,20,0.0938,1804
10,firsttouch,3,False,21,0.1891,100
10,firsttouch,3,False,22,0.0836,7
10,firsttouch,4,False,1,0.0697,4
10,firsttouch,4,False,2,0.0497,100
10,firsttouch,4,False,3,0.1071,10
10,firsttouch,4,False,4,0.1067,5
10,firsttouch,4,False,5,0.1079,5
10,firsttouch,4,False,6,0.0225,1
10,firsttouch,4,False,7,0.0989,4
10,firsttouch,4,False,8,0.1175,2
10,firsttouch,4,False,9,0.3417,175
10,firsttouch,4,False,10,0.2459,20
10,firsttouch,4,False,11,0.0284,0
10,firsttouch,4,False,12,0.0812,2
10,firsttouch,4,False,13,0.2292,45
10,firsttouch,4,False,14,0.0691,1
10,firsttouch,4,False,15,0.0459,1
10,firsttouch,4,False,16,0.1359,27840
10,firsttouch,4,False,17,0.0744,1
10,firsttouch,4,False,18,0.2347,100
10,firsttouch,4,False,19,0.0761,1
10,firsttouch,4,False,20,0.0944,1804
10,firsttouch,4,False,21,0.1814,100
10,firsttouch,4,False,22,0.0929,7
10,firsttouch,5,False,1,0.0713,4
10,firsttouch,5,False,2,0.0446,100
10,firsttouch,5,False,3,0.1013,10
10,firsttouch,5,False,4,0.1094,5
10,firsttouch,5,False,5,0.119,5
10,firsttouch,5,False,6,0.0223,1
10,firsttouch,5,False,7,0.0988,4
10,firsttouch,5,False,8,0.1194,2
10,firsttouch,5,False,9,0.3248,175
10,firsttouch,5,False,10,0.2511,20
10,firsttouch,5,False,11,0.0267,0
10,firsttouch,5,False,12,0.0858,2
10,firsttouch,5,False,13,0.2244,45
10,firsttouch,5,False,14,0.0693,1
10,firsttouch,5,False,15,0.0464,1
10,firsttouch,5,False,16,0.1325,27840
10,firsttouch,5,False,17,0.0731,1
10,firsttouch,5,False,18,0.2307,100
10,firsttouch,5,False,19,0.0778,1
10,firsttouch,5,False,20,0.0928,1804
10,firsttouch,5,False,21,0.1883,100
10,firsttouch,5,False,22,0.0992,7
10,firsttouch,6,False,1,0.0725,4
10,firsttouch,6,False,2,0.0442,100
10,firsttouch,6,False,3,0.1071,10
10,firsttouch,6,False,4,0.1139,5
10,firsttouch,6,False,5,0.1115,5
10,firsttouch,6,False,6,0.0226,1
10,firsttouch,6,False,7,0.1031,4
10,firsttouch,6,False,8,0.115,2
10,firsttouch,6,False,9,0.3367,175
10,firsttouch,6,False,10,0.2492,20
10,firsttouch,6,False,11,0.0281,0
10,firsttouch,6,False,12,0.0879,2
10,firsttouch,6,False,13,0.2312,45
10,firsttouch,6,False,14,0.0684,1
10,firsttouch,6,False,15,0.0461,1
10,firsttouch,6,False,16,0.1347,27840
10,firsttouch,6,False,17,0.0743,1
10,firsttouch,6,False,18,0.2335,100
10,firsttouch,6,False,19,0.0777,1
10,firsttouch,6,False,20,0.0952,1804
10,firsttouch,6,False,21,0.1913,100
10,firsttouch,6,False,22,0.0943,7
10,firsttouch,7,False,1,0.0734,4
10,firsttouch,7,False,2,0.0432,100
10,firsttouch,7,False,3,0.107,10
10,firsttouch,7,False,4,0.1168,5
10,firsttouch,7,False,5,0.1077,5
10,firsttouch,7,False,6,0.0234,1
10,firsttouch,7,False,7,0.0986,4
10,firsttouch,7,False,8,0.1211,2
10,firsttouch,7,False,9,0.3268,175
10,firsttouch,7,False,10,0.2361,20
10,firsttouch,7,False,11,0.0296,0
10,firsttouch,7,False,12,0.078,2
10,firsttouch,7,False,13,0.2313,45
10,firsttouch,7,False,14,0.0689,1
10,firsttouch,7,False,15,0.046,1
10,firsttouch,7,False,16,0.124,27840
10,firsttouch,7,False,17,0.0727,1
10,firsttouch,7,False,18,0.2323,100
10,firsttouch,7,False,19,0.0814,1
10,firsttouch,7,False,20,0.0943,1804
10,firsttouch,7,False,21,0.1829,100
10,firsttouch,7,False,22,0.1007,7
10,firsttouch,8,False,1,0.0712,4
10,firsttouch,8,False,2,0.0444,100
10,firsttouch,8,False,3,0.1062,10
10,firsttouch,8,False,4,0.1129,5
10,firsttouch,8,False,5,0.1183,5
10,firsttouch,8,False,6,0.0227,1
10,firsttouch,8,False,7,0.1015,4
10,firsttouch,8,False,8,0.1219,2
10,firsttouch,8,False,9,0.3375,175
10,firsttouch,8,False,10,0.2496,20
10,firsttouch,8,False,11,0.0334,0
10,firsttouch,8,False,12,0.085,2
10,firsttouch,8,False,13,0.2326,45
10,firsttouch,8,False,14,0.0693,1
10,firsttouch,8,False,15,0.0462,1
10,firsttouch,8,False,16,0.1343,27840
10,firsttouch,8,False,17,0.0731,1
10,firsttouch,8,False,18,0.2273,100
10,firsttouch,8,False,19,0.0755,1
10,firsttouch,8,False,20,0.0938,1804
10,firsttouch,8,False,21,0.1853,100
10,firsttouch,8,False,22,0.0908,7
10,firsttouch,9,False,1,0.0721,4
10,firsttouch,9,False,2,0.0433,100
10,firsttouch,9,False,3,0.101,10
10,firsttouch,9,False,4,0.1063,5
10,firsttouch,9,False,5,0.1185,5
10,firsttouch,9,False,6,0.0227,1
10,firsttouch,9,False,7,0.1045,4
10,firsttouch,9,False,8,0.1264,2
10,firsttouch,9,False,9,0.3187,175
10,firsttouch,9,False,10,0.2384,20
10,firsttouch,9,False,11,0.0283,0
10,firsttouch,9,False,12,0.083,2
10,firsttouch,9,False,13,0.2245,45
10,firsttouch,9,False,14,0.0686,1
10,firsttouch,9,False,15,0.0464,1
10,firsttouch,9,False,16,0.1342,27840
10,firsttouch,9,False,17,0.0731,1
10,firsttouch,9,False,18,0.2321,100
10,firsttouch,9,False,19,0.0785,1
10,firsttouch,9,False,20,0.0953,1804
10,firsttouch,9,False,21,0.185,100
10,firsttouch,9,False,22,0.091,7
10,firsttouch,10,False,1,0.073,4
10,firsttouch,10,False,2,0.0456,100
10,firsttouch,10,False,3,0.1016,10
10,firsttouch,10,False,4,0.1163,5
10,firsttouch,10,False,5,0.1143,5
10,firsttouch,10,False,6,0.0229,1
10,firsttouch,10,False,7,0.1142,4
10,firsttouch,10,False,8,0.1263,2
10,firsttouch,10,False,9,0.3204,175
10,firsttouch,10,False,10,0.2324,20
10,firsttouch,10,False,11,0.032,0
10,firsttouch,10,False,12,0.0786,2
10,firsttouch,10,False,13,0.2214,45
10,firsttouch,10,False,14,0.0724,1
10,firsttouch,10,False,15,0.0463,1
10,firsttouch,10,False,16,0.1266,27840
10,firsttouch,10,False,17,0.0727,1
10,firsttouch,10,False,18,0.2274,100
10,firsttouch,10,False,19,0.0772,1
10,firsttouch,10,False,20,0.0949,1804
10,firsttouch,10,False,21,0.184,100
10,firsttouch,10,False,22,0.0855,7
10,firsttouch,11,False,1,0.0715,4
10,firsttouch,11,False,2,0.0442,100
10,firsttouch,11,False,3,0.1042,10
10,firsttouch,11,False,4,0.1084,5
10,firsttouch,11,False,5,0.1185,5
10,firsttouch,11,False,6,0.0257,1
10,firsttouch,11,False,7,0.1094,4
10,firsttouch,11,False,8,0.1168,2
10,firsttouch,11,False,9,0.3272,175
10,firsttouch,11,False,10,0.2321,20
10,firsttouch,11,False,11,0.033,0
10,firsttouch,11,False,12,0.0886,2
10,firsttouch,11,False,13,0.2347,45
10,firsttouch,11,False,14,0.0691,1
10,firsttouch,11,False,15,0.05,1
10,firsttouch,11,False,16,0.1345,27840
10,firsttouch,11,False,17,0.075,1
10,firsttouch,11,False,18,0.224,100
10,firsttouch,11,False,19,0.0773,1
10,firsttouch,11,False,20,0.0933,1804
10,firsttouch,11,False,21,0.1879,100
10,firsttouch,11,False,22,0.0915,7
10,firsttouch,12,False,1,0.0734,4
10,firsttouch,12,False,2,0.0439,100
10,firsttouch,12,False,3,0.1064,10
10,firsttouch,12,False,4,0.1064,5
10,firsttouch,12,False,5,0.1144,5
10,firsttouch,12,False,6,0.0246,1
10,firsttouch,12,False,7,0.1036,4
10,firsttouch,12,False,8,0.1223,2
10,firsttouch,12,False,9,0.3362,175
10,firsttouch,12,False,10,0.2447,20
10,firsttouch,12,False,11,0.0304,0
