sf,tag,pass,warmup,query,elapsed_s,rows
10,interleaved,1,True,1,2.0084,4
10,interleaved,1,True,2,0.546,100
10,interleaved,1,True,3,1.036,10
10,interleaved,1,True,4,0.874,5
10,interleaved,1,True,5,0.2708,5
10,interleaved,1,True,6,0.0229,1
10,interleaved,1,True,7,0.1246,4
10,interleaved,1,True,8,0.2099,2
10,interleaved,1,True,9,0.3885,175
10,interleaved,1,True,10,0.545,20
10,interleaved,1,True,11,0.0503,0
10,interleaved,1,True,12,0.0943,2
10,interleaved,1,True,13,0.6958,45
10,interleaved,1,True,14,0.0742,1
10,interleaved,1,True,15,0.0469,1
10,interleaved,1,True,16,0.1486,27840
10,interleaved,1,True,17,0.0786,1
10,interleaved,1,True,18,0.2677,100
10,interleaved,1,True,19,0.0784,1
10,interleaved,1,True,20,0.0979,1804
10,interleaved,1,True,21,0.1795,100
10,interleaved,1,True,22,0.0906,7
10,interleaved,2,False,1,0.0724,4
10,interleaved,2,False,2,0.051,100
10,interleaved,2,False,3,0.1058,10
10,interleaved,2,False,4,0.1283,5
10,interleaved,2,False,5,0.1211,5
10,interleaved,2,False,6,0.0227,1
10,interleaved,2,False,7,0.105,4
10,interleaved,2,False,8,0.1276,2
10,interleaved,2,False,9,0.343,175
10,interleaved,2,False,10,0.2564,20
10,interleaved,2,False,11,0.0281,0
10,interleaved,2,False,12,0.0793,2
10,interleaved,2,False,13,0.255,45
10,interleaved,2,False,14,0.072,1
10,interleaved,2,False,15,0.0491,1
10,interleaved,2,False,16,0.144,27840
10,interleaved,2,False,17,0.0763,1
10,interleaved,2,False,18,0.2949,100
10,interleaved,2,False,19,0.0785,1
10,interleaved,2,False,20,0.1005,1804
10,interleaved,2,False,21,0.1902,100
10,interleaved,2,False,22,0.1016,7
10,interleaved,3,False,1,0.0726,4
10,interleaved,3,False,2,0.0637,100
10,interleaved,3,False,3,0.1126,10
10,interleaved,3,False,4,0.1125,5
10,interleaved,3,False,5,0.1224,5
10,interleaved,3,False,6,0.0227,1
10,interleaved,3,False,7,0.1047,4
10,interleaved,3,False,8,0.1299,2
10,interleaved,3,False,9,0.345,175
10,interleaved,3,False,10,0.246,20
10,interleaved,3,False,11,0.0269,0
10,interleaved,3,False,12,0.0817,2
10,interleaved,3,False,13,0.2618,45
10,interleaved,3,False,14,0.0681,1
10,interleaved,3,False,15,0.0486,1
10,interleaved,3,False,16,0.1404,27840
10,interleaved,3,False,17,0.0779,1
10,interleaved,3,False,18,0.2741,100
10,interleaved,3,False,19,0.0806,1
10,interleaved,3,False,20,0.095,1804
10,interleaved,3,False,21,0.205,100
10,interleaved,3,False,22,0.0911,7
10,interleaved,4,False,1,0.0702,4
10,interleaved,4,False,2,0.0501,100
10,interleaved,4,False,3,0.1022,10
10,interleaved,4,False,4,0.1265,5
10,interleaved,4,False,5,0.1121,5
