sf,tag,pass,warmup,query,elapsed_s,rows
10,repl,1,True,1,1.6219,4
10,repl,1,True,2,0.2573,100
10,repl,1,True,3,0.8236,10
10,repl,1,True,4,0.7491,5
10,repl,1,True,5,0.2077,5
10,repl,1,True,6,0.0361,1
10,repl,1,True,7,0.1163,4
10,repl,1,True,8,0.1573,2
10,repl,1,True,9,0.3947,175
10,repl,1,True,10,0.3912,20
10,repl,1,True,11,0.0299,0
10,repl,1,True,12,0.1012,2
10,repl,1,True,13,0.5742,45
10,repl,1,True,14,0.0883,1
10,repl,1,True,15,0.0582,1
10,repl,1,True,16,0.1216,27840
10,repl,1,True,17,0.0954,1
10,repl,1,True,18,0.2114,100
10,repl,1,True,19,0.0777,1
10,repl,1,True,20,0.1025,1804
10,repl,1,True,21,0.1874,100
10,repl,1,True,22,0.0772,7
10,repl,2,False,1,0.0778,4
10,repl,2,False,2,0.0403,100
10,repl,2,False,3,0.0945,10
10,repl,2,False,4,0.1104,5
10,repl,2,False,5,0.1003,5
10,repl,2,False,6,0.0215,1
10,repl,2,False,7,0.0839,4
10,repl,2,False,8,0.103,2
10,repl,2,False,9,0.2921,175
10,repl,2,False,10,0.2064,20
10,repl,2,False,11,0.0289,0
10,repl,2,False,12,0.0826,2
10,repl,2,False,13,0.2296,45
10,repl,2,False,14,0.0595,1
10,repl,2,False,15,0.0407,1
10,repl,2,False,16,0.112,27840
10,repl,2,False,17,0.0602,1
10,repl,2,False,18,0.1969,100
10,repl,2,False,19,0.0672,1
10,repl,2,False,20,0.0785,1804
10,repl,2,False,21,0.1603,100
10,repl,2,False,22,0.0765,7
10,repl,3,False,1,0.0685,4
10,repl,3,False,2,0.0345,100
10,repl,3,False,3,0.0909,10
10,repl,3,False,4,0.0966,5
10,repl,3,False,5,0.0955,5
10,repl,3,False,6,0.0176,1
10,repl,3,False,7,0.0876,4
10,repl,3,False,8,0.0994,2
10,repl,3,False,9,0.2754,175
10,repl,3,False,10,0.2009,20
10,repl,3,False,11,0.0228,0
10,repl,3,False,12,0.0742,2
10,repl,3,False,13,0.207,45
10,repl,3,False,14,0.058,1
10,repl,3,False,15,0.0424,1
10,repl,3,False,16,0.1129,27840
10,repl,3,False,17,0.0598,1
10,repl,3,False,18,0.1897,100
10,repl,3,False,19,0.0617,1
10,repl,3,False,20,0.0791,1804
10,repl,3,False,21,0.1527,100
10,repl,3,False,22,0.0816,7
10,repl,4,False,1,0.0606,4
10,repl,4,False,2,0.0393,100
10,repl,4,False,3,0.0904,10
10,repl,4,False,4,0.0972,5
10,repl,4,False,5,0.088,5
10,repl,4,False,6,0.0176,1
10,repl,4,False,7,0.0844,4
10,repl,4,False,8,0.098,2
10,repl,4,False,9,0.2875,175
10,repl,4,False,10,0.2077,20
10,repl,4,False,11,0.0222,0
10,repl,4,False,12,0.0645,2
10,repl,4,False,13,0.1961,45
10,repl,4,False,14,0.0542,1
10,repl,4,False,15,0.0387,1
10,repl,4,False,16,0.11,27840
10,repl,4,False,17,0.0581,1
10,repl,4,False,18,0.1926,100
10,repl,4,False,19,0.0618,1
10,repl,4,False,20,0.0739,1804
10,repl,4,False,21,0.1556,100
10,repl,4,False,22,0.0805,7
10,repl,5,False,1,0.0619,4
10,repl,5,False,2,0.0352,100
10,repl,5,False,3,0.0814,10
10,repl,5,False,4,0.1013,5
10,repl,5,False,5,0.0953,5
10,repl,5,False,6,0.0178,1
10,repl,5,False,7,0.0799,4
10,repl,5,False,8,0.0972,2
10,repl,5,False,9,0.285,175
10,repl,5,False,10,0.229,20
10,repl,5,False,11,0.0215,0
10,repl,5,False,12,0.0702,2
10,repl,5,False,13,0.2071,45
10,repl,5,False,14,0.0574,1
10,repl,5,False,15,0.038,1
10,repl,5,False,16,0.102,27840
10,repl,5,False,17,0.0596,1
10,repl,5,False,18,0.1902,100
10,repl,5,False,19,0.0609,1
10,repl,5,False,20,0.0711,1804
10,repl,5,False,21,0.1529,100
10,repl,5,False,22,0.0775,7
10,repl,6,False,1,0.0599,4
10,repl,6,False,2,0.0351,100
10,repl,6,False,3,0.0884,10
10,repl,6,False,4,0.0921,5
10,repl,6,False,5,0.0979,5
10,repl,6,False,6,0.0195,1
10,repl,6,False,7,0.0872,4
10,repl,6,False,8,0.1011,2
10,repl,6,False,9,0.2704,175
10,repl,6,False,10,0.2152,20
10,repl,6,False,11,0.023,0
10,repl,6,False,12,0.0676,2
10,repl,6,False,13,0.2015,45
10,repl,6,False,14,0.0585,1
10,repl,6,False,15,0.0348,1
10,repl,6,False,16,0.1163,27840
10,repl,6,False,17,0.0592,1
10,repl,6,False,18,0.1963,100
10,repl,6,False,19,0.0608,1
10,repl,6,False,20,0.0756,1804
10,repl,6,False,21,0.1565,100
10,repl,6,False,22,0.0748,7
10,repl,7,False,1,0.0622,4
10,repl,7,False,2,0.0395,100
10,repl,7,False,3,0.0813,10
10,repl,7,False,4,0.0961,5
10,repl,7,False,5,0.1052,5
10,repl,7,False,6,0.0183,1
10,repl,7,False,7,0.0852,4
10,repl,7,False,8,0.0968,2
10,repl,7,False,9,0.2788,175
10,repl,7,False,10,0.2005,20
10,repl,7,False,11,0.0233,0
10,repl,7,False,12,0.0674,2
10,repl,7,False,13,0.2023,45
10,repl,7,False,14,0.0597,1
10,repl,7,False,15,0.0372,1
10,repl,7,False,16,0.1099,27840
10,repl,7,False,17,0.0587,1
10,repl,7,False,18,0.1941,100
10,repl,7,False,19,0.0609,1
10,repl,7,False,20,0.0756,1804
10,repl,7,False,21,0.1574,100
10,repl,7,False,22,0.0862,7
10,repl,8,False,1,0.0575,4
10,repl,8,False,2,0.0378,100
10,repl,8,False,3,0.0855,10
10,repl,8,False,4,0.0933,5
10,repl,8,False,5,0.0989,5
10,repl,8,False,6,0.0182,1
10,repl,8,False,7,0.0812,4
10,repl,8,False,8,0.1009,2
10,repl,8,False,9,0.2891,175
10,repl,8,False,10,0.1987,20
10,repl,8,False,11,0.0263,0
10,repl,8,False,12,0.0672,2
10,repl,8,False,13,0.196,45
10,repl,8,False,14,0.0594,1
10,repl,8,False,15,0.0369,1
10,repl,8,False,16,0.1172,27840
10,repl,8,False,17,0.0585,1
10,repl,8,False,18,0.1931,100
10,repl,8,False,19,0.0614,1
10,repl,8,False,20,0.0725,1804
10,repl,8,False,21,0.1566,100
10,repl,8,False,22,0.0676,7
10,repl,9,False,1,0.0575,4
10,repl,9,False,2,0.0423,100
10,repl,9,False,3,0.0912,10
10,repl,9,False,4,0.1014,5
10,repl,9,False,5,0.0991,5
