readratio,writeratio,run,benchmark,tag,ts_start,ts_end,read_bw_gb,write_bw_gb,read_bw_wall_gb,write_bw_wall_gb,wall_s,read_bw_std,write_bw_std,read_bw_std_pct,write_bw_std_pct
100,0,1,readwrite_random,default,1788209161.902189,1788209212.3978539,102.48342694,0.0,102.30612587230928,0.0,30.057,0.001635425387,0.0,0.0016315767548924895,0.0
100,0,2,readwrite_random,default,1788209212.9985998,1788209263.506867,97.016454988,0.0,96.82604313096704,0.0,30.061,0.014266857022,0.0,0.015048695044532118,0.0
100,0,3,readwrite_random,default,1788209264.0440116,1788209314.544577,84.10602481,0.0,83.95492106331305,0.0,30.057,0.002117498601,0.0,0.002575763223321023,0.0
100,0,4,readwrite_random,default,1788209315.0746908,1788209365.5770423,102.466121006,0.0,102.28202563321798,0.0,30.056,0.001503871419,0.0,0.0015019551307084086,0.0
100,0,5,readwrite_random,default,1788209366.1247737,1788209416.6170266,102.789696678,0.0,102.62892208539385,0.0,30.049,0.002050575463,0.0,0.002041153470212934,0.0
100,0,1,readwrite_random,interleaved,1788209417.1713574,1788209467.6805189,102.477069207,0.0,102.31679426681309,0.0,30.051,0.002205429101,0.0,0.0022020479090608383,0.0
100,0,2,readwrite_random,interleaved,1788209468.2142348,1788209518.736896,102.481796449,0.0,102.27045863562282,0.0,30.065,0.001791837988,0.0,0.0017883814564568223,0.0
100,0,3,readwrite_random,interleaved,1788209519.2868154,1788209569.8068378,102.538720651,0.0,102.3340729704953,0.0,30.063,0.002151353175,0.0,0.0021467917112690895,0.0
100,0,4,readwrite_random,interleaved,1788209570.369401,1788209620.8798501,102.336142646,0.0,102.1692828366831,0.0,30.052,0.001678728955,0.0,0.0016784945651825707,0.0
100,0,5,readwrite_random,interleaved,1788209621.407671,1788209671.9179037,102.642574313,0.0,102.47521486490083,0.0,30.052,0.0017726243159999998,0.0,0.0017672519282477734,0.0
100,0,1,readwrite_random,numabalancing,1788209672.4737105,1788209722.9789212,102.422849493,0.0,102.2320417894877,0.0,30.06,0.011674934708,0.0,0.011658419103002247,0.0
100,0,2,readwrite_random,numabalancing,1788209723.5377972,1788209774.0581508,100.476248154,0.0,100.26571821704859,0.0,30.067,0.002707893371,0.0,0.002756657872223108,0.0
100,0,3,readwrite_random,numabalancing,1788209774.6365867,1788209825.1520066,101.522962344,0.0,101.31023213037983,0.0,30.066,0.009885824042,0.0,0.009962435995439474,0.0
100,0,4,readwrite_random,numabalancing,1788209825.7377474,1788209876.2547593,100.445502466,0.0,100.23502995064192,0.0,30.066,0.004800671182,0.0,0.00489078633494345,0.0
100,0,5,readwrite_random,numabalancing,1788209876.8225973,1788209927.3349593,102.451533449,0.0,102.24365879723257,0.0,30.064,0.010236441699000001,0.0,0.010223796791028136,0.0
100,0,1,readwrite_random,repl,1788250402.1151211,1788250456.5868814,161.656057361,0.0,161.38172671480385,0.0,30.053,0.003103542609,0.0,0.0019632560882082537,0.0
100,0,2,readwrite_random,repl,1788250457.3407714,1788250508.0218792,162.545001333,0.0,162.33939199786957,0.0,30.041,0.002637047622,0.0,0.0016589576152642974,0.0
100,0,3,readwrite_random,repl,1788250508.6424682,1788250559.345487,161.61179088,0.0,161.39124490054587,0.0,30.044,0.002933211716,0.0,0.0018559222864401503,0.0
100,0,4,readwrite_random,repl,1788250559.9534447,1788250610.6647253,161.352099729,0.0,161.08901398216423,0.0,30.052,0.002950936429,0.0,0.0018700560206135032,0.0
100,0,5,readwrite_random,repl,1788250611.2709885,1788250661.980472,161.576835361,0.0,161.3026574011645,0.0,30.055,0.002820425577,0.0,0.0017851335110953641,0.0
100,0,1,readwrite_random,unrepl-bound,1788250662.580059,1788250713.2950106,161.495575771,0.0,161.23225608518567,0.0,30.052,0.0026710085089999996,0.0,0.0016912435286218206,0.0
100,0,2,readwrite_random,unrepl-bound,1788250713.8941922,1788250764.6068575,161.850221138,0.0,161.55944321895066,0.0,30.057,0.003172333588,0.0,0.002004246691137344,0.0
100,0,3,readwrite_random,unrepl-bound,1788250765.2087665,1788250815.926811,161.275826593,0.0,160.9700141477046,0.0,30.06,0.0023644279,0.0,0.0014989527257923195,0.0
100,0,4,readwrite_random,unrepl-bound,1788250816.5307999,1788250867.2415428,161.602139942,0.0,161.3386552706219,0.0,30.053,0.002307013187,0.0,0.0014596846430144233,0.0
100,0,5,readwrite_random,unrepl-bound,1788250867.8423734,1788250918.5335944,161.841490568,0.0,161.58836078322793,0.0,30.05,0.0028204824800000003,0.0,0.0017820377178236857,0.0
100,0,1,readwrite_random,unrepl-firsttouch,1788250919.1562576,1788250969.8083296,136.201945322,0.0,135.98439205031445,0.0,30.051,0.003133900126,0.0,0.002352964910148299,0.0
100,0,2,readwrite_random,unrepl-firsttouch,1788250970.4323468,1788251021.114318,147.103755331,0.0,146.8101643615075,0.0,30.063,0.003601462531,0.0,0.002504610268727671,0.0
100,0,3,readwrite_random,unrepl-firsttouch,1788251021.730107,1788251072.3263047,96.694942152,0.0,96.5244383788136,0.0,30.057,0.00219302877,0.0,0.0023191611123834356,0.0
100,0,4,readwrite_random,unrepl-firsttouch,1788251072.9442985,1788251123.5754223,114.439355804,0.0,114.23756972892409,0.0,30.058,0.002994576978,0.0,0.0026760498665968253,0.0
100,0,5,readwrite_random,unrepl-firsttouch,1788251124.1896005,1788251174.8424823,132.104140672,0.0,131.87998206228374,0.0,30.056,0.003157473471,0.0,0.0024450726830032707,0.0
100,0,1,readwrite_random,unrepl-interleaved,1788251175.4716337,1788251226.115498,115.495334801,0.0,115.25716048721104,0.0,30.065,0.002798056491,0.0,0.002478940069515935,0.0
100,0,2,readwrite_random,unrepl-interleaved,1788251226.7384267,1788251277.3876772,115.607572546,0.0,115.47671202530212,0.0,30.037,0.003021992031,0.0,0.002675565142615927,0.0
100,0,3,readwrite_random,unrepl-interleaved,1788251278.0087762,1788251328.6227508,115.620307207,0.0,115.4164388103001,0.0,30.058,0.002163653676,0.0,0.0019132805792244703,0.0
100,0,4,readwrite_random,unrepl-interleaved,1788251329.2632434,1788251379.9304664,115.616186255,0.0,115.26657925912141,0.0,30.094,0.003118882703,0.0,0.0027609115900083963,0.0
100,0,5,readwrite_random,unrepl-interleaved,1788251380.55794,1788251431.1947281,115.822146565,0.0,115.59869300176297,0.0,30.063,0.0020333689,0.0,0.0017956085706828972,0.0
95,5,1,readwrite_random,default,1788209927.9072578,1788209978.4831784,92.609772281,4.160499473,92.42494088281276,4.151919126634069,30.063,0.078791678252,0.111186088359,0.08703856033487914,2.7323256200649486
95,5,2,readwrite_random,default,1788209981.6414971,1788210032.1988747,82.536113106,3.922562483,82.30567258552152,3.9116107031842056,30.086,0.069260061287,0.06466369917,0.08585366147861358,1.6872708764189737
95,5,3,readwrite_random,default,1788210035.6708765,1788210086.24981,90.031711,4.164477376,89.84305944096322,4.1554741488724805,30.066,0.067921747156,0.119840673526,0.07716534773672187,2.9435321507191574
95,5,4,readwrite_random,default,1788210089.4770174,1788210140.0823495,76.98842146,3.465153062,76.75306891802626,3.4544449967104174,30.095,0.064104239612,0.104850459865,0.08520409065109405,3.093986672998757
95,5,5,readwrite_random,default,1788210143.1893375,1788210193.6918185,91.841447978,4.184323063,91.72222101431329,4.178612483323347,30.042,0.067019396845,0.100335337769,0.0746728425746561,2.4566567663831247
95,5,1,readwrite_random,interleaved,1788210197.068186,1788210247.5862486,92.923303791,4.152526083,92.79958338541425,4.146859087041907,30.043,0.067259929242,0.146917994075,0.07406721669116473,3.6223840565359073
95,5,2,readwrite_random,interleaved,1788210250.916725,1788210301.46969,92.700750498,4.329950075,92.49112491157592,4.320302686309069,30.071,0.067861433479,0.07076255597600001,0.07489293624991517,1.672761710620424
95,5,3,readwrite_random,interleaved,1788210304.8592494,1788210355.4299114,92.3279289,4.204300986,92.12527356466794,4.194932927865908,30.069,0.08455134387100001,0.128463004047,0.0936857226111109,3.124499187952189
95,5,4,readwrite_random,interleaved,1788210358.5158906,1788210409.051073,93.527884607,4.245951799,93.36295438309766,4.238464344967559,30.055,0.068164197885,0.10410959798599999,0.07458580005936653,2.510360604715647
95,5,5,readwrite_random,interleaved,1788210412.4125826,1788210462.9374576,92.629851441,4.255192925,92.49729849139739,4.249103760923824,30.049,0.066628063233,0.14702745416299998,0.07359243193893014,3.537326467312389
95,5,1,readwrite_random,numabalancing,1788210466.316052,1788210516.8898942,91.064877341,4.092865403,90.87103850999434,4.0840172893870355,30.067,0.066453345929,0.132372149141,0.07462791175396025,3.3053149556687456
95,5,2,readwrite_random,numabalancing,1788210520.0609365,1788210570.6064904,74.177166543,3.512995248,73.97990651889772,3.5035363313499324,30.083,0.049285958436,0.06396356310700001,0.06798062491956262,1.8643664730905376
95,5,3,readwrite_random,numabalancing,1788210573.902167,1788210624.495133,77.532797226,3.464182921,77.33174808510638,3.4552,30.08,0.057509352632,0.070185209406,0.07586221910511028,2.0710187829966453
95,5,4,readwrite_random,numabalancing,1788210627.6325085,1788210678.218044,79.953107271,3.759480329,79.74578205957448,3.749731676595745,30.08,0.060535048103,0.09216387726900001,0.07744731071344843,2.506373104009681
