kernel,run,benchmark,tag,pgt_tag,readratio,writeratio,ts_start,ts_end,read_bw_gb,write_bw_gb,read_bw_wall_gb,write_bw_wall_gb,wall_s,read_bw_std,write_bw_std,read_bw_std_pct,write_bw_std_pct
mitosis,1,pgtable_1G,mitosis-interleave,interleave,100,0,1787924376.4022696,1787924431.1928923,102.548353783,0.0,101.67401553892928,0.0,30.26,0.001656559015,0.0,0.001651753245371621,0
mitosis,2,pgtable_1G,mitosis-interleave,interleave,100,0,1787924431.3589585,1787924482.0818295,102.551229256,0.0,101.67686649570389,0.0,30.26,0.00145171785,0.0,0.0014470905554893139,0
mitosis,3,pgtable_1G,mitosis-interleave,interleave,100,0,1787924482.2209115,1787924532.9400926,102.489797584,0.0,101.6159585966953,0.0,30.26,0.003731832511,0.0,0.0037231109145678828,0
mitosis,4,pgtable_1G,mitosis-interleave,interleave,100,0,1787924533.0794706,1787924583.796702,102.274262274,0.0,101.39891004157165,0.0,30.261,0.002036561724,0.0,0.0020359383897093934,0
mitosis,5,pgtable_1G,mitosis-interleave,interleave,100,0,1787924583.9367228,1787924634.654646,102.04419599,0.0,101.18087221282924,0.0,30.259,0.003611623329,0.0,0.003618785028816969,0
mitosis,1,pgtable_1G,mitosis-repl,repl,100,0,1787924634.7931745,1787924685.5381293,103.768714401,0.0,102.88737134313757,0.0,30.259,0.001537919367,0.0,0.0015150671677419336,0
mitosis,2,pgtable_1G,mitosis-repl,repl,100,0,1787924685.6981292,1787924736.4296405,103.820465304,0.0,102.94211376925873,0.0,30.259,0.001506466511,0.0,0.001483283822647886,0
mitosis,3,pgtable_1G,mitosis-repl,repl,100,0,1787924736.5687916,1787924787.3077066,103.740275721,0.0,102.85577502286847,0.0,30.26,0.001537307278,0.0,0.001514913116704995,0
mitosis,4,pgtable_1G,mitosis-repl,repl,100,0,1787924787.44633,1787924838.191301,103.410192126,0.0,102.52853489203926,0.0,30.261,0.00348714538,0.0,0.0034478137697409998,0
mitosis,5,pgtable_1G,mitosis-repl,repl,100,0,1787924838.3296397,1787924889.074802,103.950045749,0.0,103.06716258223999,0.0,30.259,0.001508609398,0.0,0.0014836175980419439,0
hydra,1,pgtable_1G,hydra-interleave,interleave,100,0,1787925939.9702566,1787925994.624366,102.5336206,0.0,101.66954468131794,0.0,30.259,0.001816330298,0.0,0.001812040411184087,0
hydra,2,pgtable_1G,hydra-interleave,interleave,100,0,1787925994.7842183,1787926045.5168803,102.684943878,0.0,101.81619918701874,0.0,30.259,0.0016460575750000001,0.0,0.0016405448842801396,0
hydra,3,pgtable_1G,hydra-interleave,interleave,100,0,1787926045.6675656,1787926096.402642,102.440173016,0.0,101.57355643765904,0.0,30.261,0.0023052469070000002,0.0,0.002302955966043136,0
hydra,4,pgtable_1G,hydra-interleave,interleave,100,0,1787926096.5858,1787926147.3191795,102.251756801,0.0,101.37994737448776,0.0,30.26,0.0025033142520000003,0.0,0.0025045055816313084,0
