round,elapsed_ms,tag
0,0.007158,pgtable_sync_repl_1n
1,0.007660,pgtable_sync_repl_1n
2,0.007693,pgtable_sync_repl_1n
3,0.007762,pgtable_sync_repl_1n
4,0.007748,pgtable_sync_repl_1n
5,0.007765,pgtable_sync_repl_1n
6,0.007695,pgtable_sync_repl_1n
7,0.007788,pgtable_sync_repl_1n
8,0.007853,pgtable_sync_repl_1n
9,0.007683,pgtable_sync_repl_1n
10,0.007760,pgtable_sync_repl_1n
11,0.007733,pgtable_sync_repl_1n
12,0.007734,pgtable_sync_repl_1n
13,0.007788,pgtable_sync_repl_1n
14,0.007342,pgtable_sync_repl_1n
15,0.007665,pgtable_sync_repl_1n
16,0.007789,pgtable_sync_repl_1n
17,0.007742,pgtable_sync_repl_1n
18,0.007691,pgtable_sync_repl_1n
19,0.007728,pgtable_sync_repl_1n
0,0.004220,pgtable_sync_norepl_1n
1,0.004153,pgtable_sync_norepl_1n
2,0.004124,pgtable_sync_norepl_1n
3,0.004103,pgtable_sync_norepl_1n
4,0.004087,pgtable_sync_norepl_1n
5,0.004108,pgtable_sync_norepl_1n
6,0.004126,pgtable_sync_norepl_1n
7,0.004091,pgtable_sync_norepl_1n
8,0.004158,pgtable_sync_norepl_1n
9,0.004220,pgtable_sync_norepl_1n
10,0.004114,pgtable_sync_norepl_1n
11,0.004090,pgtable_sync_norepl_1n
12,0.004117,pgtable_sync_norepl_1n
13,0.004109,pgtable_sync_norepl_1n
14,0.004172,pgtable_sync_norepl_1n
15,0.004135,pgtable_sync_norepl_1n
16,0.004080,pgtable_sync_norepl_1n
17,0.004104,pgtable_sync_norepl_1n
18,0.004133,pgtable_sync_norepl_1n
19,0.004150,pgtable_sync_norepl_1n
