time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable
2026-08-18T17:44:02.514487,393132572,390624688,389973652,36,194504,160764,5204,34359738367,253812,16280,6880,9400,108,195749948,193881112,1868836,28,82408,82112,2612,197382624,196743576,639048,8,112096,78652,2592
2026-08-18T17:44:03.015066,393132572,391878192,390347908,68,207164,164308,5976,34359738367,253812,16348,6884,9464,108,195749948,195089888,660060,56,94412,83012,2968,197382624,196788304,594320,12,112752,81296,3008
2026-08-18T17:44:03.515799,393132572,391717988,390187744,72,213388,164364,9040,34359738367,263956,16348,6884,9464,108,195749948,194937208,812740,56,97592,83012,4640,197382624,196780780,601844,16,115796,81352,4400
2026-08-18T17:44:04.016511,393132572,391714160,390184656,72,213664,164364,9040,34359738367,263956,16348,6884,9464,108,195749948,194937208,812740,56,97620,83012,4640,197382624,196776952,605672,16,116044,81352,4400
2026-08-18T17:44:04.517208,393132572,391714128,390184796,72,214376,164364,9148,34359738367,263940,16348,6884,9464,108,195749948,194937208,812740,56,98096,83012,4720,197382624,196776920,605704,16,116280,81352,4428
2026-08-18T17:44:05.017922,393132572,391716812,390187480,72,214376,164364,9148,34359738367,263940,16348,6884,9464,108,195749948,194939892,810056,56,98096,83012,4720,197382624,196776920,605704,16,116280,81352,4428
2026-08-18T17:44:05.518425,393132572,391712932,390186128,76,214360,164364,9056,34359738367,263956,16348,6884,9464,108,195749948,194939892,810056,56,98096,83012,4720,197382624,196773040,609584,20,116264,81352,4336
2026-08-18T17:44:06.019073,393132572,391712932,390186132,76,214360,164364,9056,34359738367,263956,16348,6884,9464,108,195749948,194939892,810056,56,98096,83012,4720,197382624,196773040,609584,20,116264,81352,4336
2026-08-18T17:44:06.519573,393132572,391712936,390186204,76,214380,164368,9148,34359738367,263940,16352,6888,9464,108,195749948,194939892,810056,56,98100,83016,4720,197382624,196773044,609580,20,116280,81352,4428
2026-08-18T17:44:07.020104,393132572,391726596,390199864,76,214384,164368,9148,34359738367,263940,16352,6888,9464,108,195749948,194953100,796848,56,98104,83016,4720,197382624,196773496,609128,20,116280,81352,4428
2026-08-18T17:44:07.520777,393132572,391726596,390199864,76,214384,164368,9148,34359738367,263940,16352,6888,9464,108,195749948,194953100,796848,56,98104,83016,4720,197382624,196773496,609128,20,116280,81352,4428
2026-08-18T17:44:08.021294,393132572,391726852,390200120,224,214408,164368,9148,34359738367,263956,16352,6888,9464,108,195749948,194953100,796848,168,98128,83016,4720,197382624,196773752,608872,56,116280,81352,4428
2026-08-18T17:44:08.521998,393132572,391742616,390215884,232,214408,164368,9148,34359738367,263940,16352,6888,9464,108,195749948,194968864,781084,168,98128,83016,4720,197382624,196773752,608872,64,116280,81352,4428
2026-08-18T17:44:09.022684,393132572,391742652,390215920,232,214408,164380,9148,34359738367,263940,16352,6888,9464,108,195749948,194968868,781080,168,98128,83028,4720,197382624,196773784,608840,64,116280,81352,4428
2026-08-18T17:44:09.523332,393132572,391742752,390216020,232,214408,164380,9148,34359738367,263940,16352,6888,9464,108,195749948,194968868,781080,168,98128,83028,4720,197382624,196773884,608740,64,116280,81352,4428
2026-08-18T17:44:10.023828,393132572,391742752,390216020,232,214408,164380,9148,34359738367,263956,16352,6888,9464,108,195749948,194968868,781080,168,98128,83028,4720,197382624,196773884,608740,64,116280,81352,4428
2026-08-18T17:44:10.524316,393132572,391750084,390223352,232,214408,164380,9148,34359738367,263940,16352,6888,9464,108,195749948,194976200,773748,168,98128,83028,4720,197382624,196773884,608740,64,116280,81352,4428
2026-08-18T17:44:11.024933,393132572,391757308,390230576,232,214408,164380,9148,34359738367,263940,16352,6888,9464,108,195749948,194983188,766760,168,98128,83028,4720,197382624,196774120,608504,64,116280,81352,4428
2026-08-18T17:44:11.525436,393132572,391764028,390237296,236,214408,164380,9148,34359738367,263940,16352,6888,9464,108,195749948,194989908,760040,172,98128,83028,4720,197382624,196774120,608504,64,116280,81352,4428
2026-08-18T17:44:12.025934,393132572,391764028,390237296,236,214408,164380,9148,34359738367,263956,16352,6888,9464,108,195749948,194989908,760040,172,98128,83028,4720,197382624,196774120,608504,64,116280,81352,4428
2026-08-18T17:44:12.526427,393132572,391775536,390248804,236,214304,164380,9148,34359738367,263908,16352,6888,9464,108,195749948,195001416,748532,172,98128,83028,4720,197382624,196774120,608504,64,116176,81352,4428
2026-08-18T17:44:13.027114,393132572,391775536,390248804,236,214200,164380,9152,34359738367,263908,16352,6888,9464,108,195749948,195001416,748532,172,98024,83028,4724,197382624,196774120,608504,64,116176,81352,4428
2026-08-18T17:44:13.527598,393132572,391780448,390253716,236,214200,164380,9152,34359738367,263908,16352,6888,9464,108,195749948,195006328,743620,172,98024,83028,4724,197382624,196774120,608504,64,116176,81352,4428
2026-08-18T17:44:14.028343,393132572,391780704,390253972,248,214200,164380,9152,34359738367,263924,16352,6888,9464,108,195749948,195006328,743620,180,98024,83028,4724,197382624,196774376,608248,68,116176,81352,4428
2026-08-18T17:44:14.528833,393132572,391790160,390263428,260,214200,164380,9152,34359738367,263908,16352,6888,9464,108,195749948,195015784,734164,180,98024,83028,4724,197382624,196774376,608248,80,116176,81352,4428
2026-08-18T17:44:15.029380,393132572,391790160,390263428,260,214200,164380,9152,34359738367,263908,16356,6892,9464,108,195749948,195015784,734164,180,98024,83028,4724,197382624,196774376,608248,80,116176,81352,4428
2026-08-18T17:44:15.529881,393132572,391790196,390263464,260,214200,164380,9152,34359738367,263908,16356,6892,9464,108,195749948,195015816,734132,180,98024,83028,4724,197382624,196774380,608244,80,116176,81352,4428
2026-08-18T17:44:16.030388,393132572,391798236,390271504,260,214204,164380,9152,34359738367,263924,16356,6892,9464,108,195749948,195023856,726092,180,98028,83028,4724,197382624,196774380,608244,80,116176,81352,4428
2026-08-18T17:44:16.530893,393132572,391798468,390271736,260,214204,164380,9152,34359738367,263908,16356,6892,9464,108,195749948,195024088,725860,180,98028,83028,4724,197382624,196774380,608244,80,116176,81352,4428
2026-08-18T17:44:17.031569,393132572,391798468,390271736,260,214204,164380,9152,34359738367,263908,16356,6892,9464,108,195749948,195024088,725860,180,98028,83028,4724,197382624,196774380,608244,80,116176,81352,4428
2026-08-18T17:44:17.532254,393132572,391798720,390271988,260,214204,164380,9152,34359738367,263908,16356,6892,9464,108,195749948,195024340,725608,180,98028,83028,4724,197382624,196774380,608244,80,116176,81352,4428
2026-08-18T17:44:18.032916,393132572,391801744,390275012,260,214204,164380,9152,34359738367,263924,16356,6892,9464,108,195749948,195027364,722584,180,98028,83028,4724,197382624,196774380,608244,80,116176,81352,4428
2026-08-18T17:44:18.533409,393132572,391805960,390279228,260,214204,164380,9152,34359738367,263908,16356,6892,9464,108,195749948,195031580,718368,180,98028,83028,4724,197382624,196774380,608244,80,116176,81352,4428
2026-08-18T17:44:19.033901,393132572,391805976,390279272,260,214240,164380,9152,34359738367,263908,16356,6892,9464,108,195749948,195031580,718368,180,98064,83028,4724,197382624,196774396,608228,80,116176,81352,4428
2026-08-18T17:44:19.534389,393132572,391809512,390282808,260,214240,164380,9152,34359738367,263908,16356,6892,9464,108,195749948,195035116,714832,180,98064,83028,4724,197382624,196774396,608228,80,116176,81352,4428
2026-08-18T17:44:20.034983,393132572,391812584,390285876,268,214240,164380,9152,34359738367,263924,16356,6892,9464,108,195749948,195037996,711952,188,98064,83028,4724,197382624,196774588,608036,80,116176,81352,4428
2026-08-18T17:44:20.535478,393132572,391812584,390285876,276,214240,164380,9152,34359738367,263908,16356,6892,9464,108,195749948,195037996,711952,188,98064,83028,4724,197382624,196774588,608036,88,116176,81352,4428
2026-08-18T17:44:21.036251,393132572,391815608,390288900,280,214240,164380,9152,34359738367,263908,16356,6892,9464,108,195749948,195041020,708928,192,98064,83028,4724,197382624,196774588,608036,88,116176,81352,4428
2026-08-18T17:44:21.536744,393132572,391818128,390291420,280,214240,164380,9152,34359738367,263908,16356,6892,9464,108,195749948,195043540,706408,192,98064,83028,4724,197382624,196774588,608036,88,116176,81352,4428
2026-08-18T17:44:22.037302,393132572,391818128,390291424,280,214240,164380,9152,34359738367,263924,16356,6892,9464,108,195749948,195043540,706408,192,98064,83028,4724,197382624,196774588,608036,88,116176,81352,4428
2026-08-18T17:44:22.537797,393132572,391818128,390291424,280,214240,164380,9152,34359738367,263908,16356,6892,9464,108,195749948,195043540,706408,192,98064,83028,4724,197382624,196774588,608036,88,116176,81352,4428
2026-08-18T17:44:23.038321,393132572,391809436,390283748,76,229800,164468,9472,34359738367,263988,16356,6892,9464,108,195749948,195025800,724148,56,108952,83060,4916,197382624,196783636,598988,20,120848,81408,4556
2026-08-18T17:44:23.539150,393132572,391754228,390245476,80,249836,181756,9500,34359738367,264964,16360,6896,9464,108,195749948,194970844,779104,60,128864,100056,4944,197382624,196783384,599240,20,120972,81700,4556
2026-08-18T17:44:24.039734,393132572,391702232,390209452,80,269700,194052,9884,34359738367,265988,16360,6896,9464,108,195749948,194919320,830628,60,148596,112064,5328,197382624,196782912,599712,20,121104,81988,4556
2026-08-18T17:44:24.540286,393132572,391664580,390182396,84,288220,202360,10300,34359738367,265988,16360,6896,9464,108,195749948,194881668,868280,60,167116,120372,5744,197382624,196782912,599712,24,121104,81988,4556
2026-08-18T17:44:25.040784,393132572,391611820,390143724,84,314608,212660,10392,34359738367,265988,16360,6896,9464,108,195749948,194828908,921040,60,193504,130672,5836,197382624,196782912,599712,24,121104,81988,4556
2026-08-18T17:44:25.541569,393132572,391503808,390073664,76,348432,364064,10916,34359738367,265972,16360,6896,9464,108,195749948,194717180,1032768,56,227832,282012,6360,197382624,196786628,595996,20,121104,82052,4556
2026-08-18T17:44:26.042418,393132572,391281124,389950068,80,388452,465696,14136,34359738367,266980,16360,6896,9464,108,195749948,194590984,1158964,68,266844,326248,7916,197382624,196689888,692736,12,121608,139632,6224
2026-08-18T17:44:26.543226,393132572,391034944,389820400,92,388592,594732,15020,34359738367,266964,16360,6896,9464,108,195749948,194471560,1278388,68,266924,391828,8348,197382624,196563384,819240,24,121668,202968,6672
2026-08-18T17:44:27.043899,393132572,390737272,389681020,92,388704,735260,15096,34359738367,266964,16360,6896,9464,108,195749948,194329876,1420072,68,266976,460940,8388,197382624,196407396,975228,24,121728,274380,6708
2026-08-18T17:44:27.544582,393132572,390448732,389624100,92,388716,890732,15100,34359738367,266964,16360,6896,9464,108,195749948,194173132,1576816,68,266980,537460,8388,197382624,196275600,1107024,24,121736,353332,6712
