time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable
2026-03-16T15:53:11.146428,393132548,388609140,387589268,41040,64956,66920,3116,34359738367,250164,16508,6832,9676,100,195749944,193468244,2281700,17380,62400,59824,2936,197382604,195145432,2237172,23660,2556,7096,180
2026-03-16T15:53:12.147108,393132548,389618768,388073848,43032,104776,80392,6964,34359738367,261444,16512,6836,9676,100,195749944,193762580,1987364,19372,96932,72720,4568,197382604,195856188,1526416,23660,7844,7672,2396
2026-03-16T15:53:13.147866,393132548,389653756,388121248,35492,126824,89540,7008,34359738367,261444,16512,6836,9676,100,195749944,193781404,1968540,15516,118668,81860,4596,197382604,195872352,1510252,19976,8156,7680,2412
2026-03-16T15:53:14.148735,393132548,389842000,388324856,40000,143868,100436,7688,34359738367,262452,16516,6840,9676,100,195749944,193863700,1886244,16496,120460,83568,5272,197382604,195978300,1404304,23504,23408,16868,2416
2026-03-16T15:53:15.149849,393132548,389905320,388397724,43928,161296,106676,7328,34359738367,262356,16516,6840,9676,100,195749944,193899016,1850928,16496,117072,83760,4788,197382604,196006304,1376300,27432,44224,22916,2540
2026-03-16T15:53:16.151076,393132548,389987440,388491368,48244,174372,115332,7352,34359738367,262356,16516,6840,9676,100,195749944,193956912,1793032,16496,117072,84288,4788,197382604,196030528,1352076,31748,57300,31044,2564
2026-03-16T15:53:17.152241,393132548,389980064,388490908,53408,182252,117148,7392,34359738367,262356,16516,6840,9676,100,195749944,193960412,1789532,16496,117072,84288,4788,197382604,196019652,1362952,36912,65180,32860,2604
2026-03-16T15:53:18.153417,393132548,390017004,388535552,43680,200740,123872,7536,34359738367,262356,16516,6840,9676,100,195749944,193978516,1771428,11448,117072,84288,4788,197382604,196038488,1344116,32232,83668,39584,2748
2026-03-16T15:53:19.154580,393132548,390111424,388629972,43680,200740,123872,7536,34359738367,262356,16516,6840,9676,100,195749944,194037196,1712748,11448,117072,84288,4788,197382604,196074228,1308376,32232,83668,39584,2748
2026-03-16T15:53:20.155739,393132548,390229248,388747796,43680,200740,123872,7536,34359738367,262356,16516,6840,9676,100,195749944,194104120,1645824,11448,117072,84288,4788,197382604,196125128,1257476,32232,83668,39584,2748
2026-03-16T15:53:21.156920,393132548,390252960,388771544,43688,224732,123876,7584,34359738367,262324,16516,6840,9676,100,195749944,194124284,1625660,11456,116880,84288,4788,197382604,196128676,1253928,32232,107852,39588,2796
2026-03-16T15:53:22.158089,393132548,390309576,388828160,43696,324560,123876,7780,34359738367,262324,16520,6844,9676,100,195749944,194130292,1619652,11456,201544,84288,4956,197382604,196179284,1203320,32240,123016,39588,2824
