time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable
2026-01-30T18:01:46.217040,394701396,392816268,391566464,110908,65460,68076,3184,34359738367,251552,16300,6832,9468,112,196532348,195867928,664420,5720,40400,27320,2204,198169048,196948340,1220708,105188,25060,40756,980
2026-01-30T18:01:47.217495,394701396,393183004,391680944,110972,121964,93016,7368,34359738367,263648,16308,6840,9468,112,196532348,195763120,769228,5784,92664,51684,4216,198169048,197418876,750172,105188,29804,41332,3152
2026-01-30T18:01:48.222225,394701396,393095596,391622744,110972,167820,116512,7920,34359738367,263648,16308,6840,9468,112,196532348,195672912,859436,5784,137676,75176,4764,198169048,197422684,746364,105188,30144,41336,3156
2026-01-30T18:01:49.222727,394701396,392208624,390959312,110972,608288,124092,8868,34359738367,263648,16308,6840,9468,112,196532348,194776928,1755420,5784,578648,82756,5712,198169048,197431696,737352,105188,30144,41336,3156
2026-01-30T18:01:50.223262,394701396,391778128,390893204,110972,650568,548348,10452,34359738367,264928,16308,6840,9468,112,196532348,194478168,2054180,5784,618108,338504,6536,198169048,197299960,869088,105188,32460,209844,3916
2026-01-30T18:01:51.224177,394701396,391736108,390896276,110972,652296,595668,11076,34359738367,265232,16308,6840,9468,112,196532348,194455884,2076464,5784,619100,363424,6924,198169048,197280224,888824,105188,33196,232244,4152
2026-01-30T18:01:52.229659,394701396,391748848,390910404,111220,653100,596724,10592,34359738367,265232,16308,6840,9468,112,196532348,194468268,2064080,5984,619512,363880,6628,198169048,197280580,888468,105236,33588,232844,3964
2026-01-30T18:01:53.231217,394701396,391766360,390928024,111220,653720,596724,10592,34359738367,265232,16308,6840,9468,112,196532348,194481380,2050968,5984,619828,363880,6628,198169048,197284980,884068,105236,33892,232844,3964
2026-01-30T18:01:54.232911,394701396,391784356,390946092,111220,654308,596724,10592,34359738367,265232,16308,6840,9468,112,196532348,194493376,2038972,5984,620088,363880,6628,198169048,197290980,878068,105236,34220,232844,3964
2026-01-30T18:01:55.237672,394701396,391801844,390963652,95596,654896,596724,10592,34359738367,264816,16308,6840,9468,112,196532348,194504764,2027584,5480,620388,363880,6628,198169048,197297080,871968,90116,34508,232844,3964
2026-01-30T18:01:56.239307,394701396,391817880,390979776,95220,655548,596724,10592,34359738367,264784,16308,6840,9468,112,196532348,194512508,2019840,5216,620700,363880,6628,198169048,197305372,863676,90004,34848,232844,3964
2026-01-30T18:01:57.240838,394701396,391836236,390998132,95228,655908,596724,10592,34359738367,264784,16308,6840,9468,112,196532348,194519832,2012516,5216,620740,363880,6628,198169048,197316404,852644,90012,35168,232844,3964
2026-01-30T18:01:58.245668,394701396,391854712,391016620,95264,656520,596724,10592,34359738367,264784,16308,6840,9468,112,196532348,194527048,2005300,5236,621076,363880,6628,198169048,197327664,841384,90028,35444,232844,3964
2026-01-30T18:01:59.247348,394701396,391868824,391030732,95264,657192,596724,10592,34359738367,264784,16308,6840,9468,112,196532348,194532400,1999948,5236,621408,363880,6628,198169048,197336424,832624,90028,35784,232844,3964
