time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable
2026-08-23T23:16:14.338785,393132540,241064380,388754884,136,482416,322240,9260,34359738367,260656,16088,6872,9216,116,195781840,112602732,83179108,128,395840,224220,6116,197350700,128461648,68889052,8,86576,98020,3144
2026-08-23T23:16:15.339273,393132540,247744124,388591740,4,506752,325868,13496,34359738367,271412,16164,6884,9280,116,195781840,115868080,79913760,4,417532,226304,8960,197350700,131884108,65466592,0,89220,99564,4536
2026-08-23T23:16:16.340270,393132540,255119924,388615000,4,506760,325868,13496,34359738367,271412,16164,6884,9280,116,195781840,119515288,76266552,4,417540,226304,8960,197350700,135604636,61746064,0,89220,99564,4536
2026-08-23T23:16:17.341061,393132540,262736556,388653640,8,507008,325984,13368,34359738367,271396,16168,6888,9280,116,195781840,123314524,72467316,8,417540,226416,8960,197350700,139422032,57928668,0,89468,99568,4408
2026-08-23T23:16:18.341914,393132540,270286520,388690336,8,507012,325984,13368,34359738367,271396,16168,6888,9280,116,195781840,127148728,68633112,8,417544,226416,8960,197350700,143137792,54212908,0,89468,99568,4408
2026-08-23T23:16:19.342597,393132540,277880396,388725732,8,507012,325984,13368,34359738367,271380,16168,6888,9280,116,195781840,130947156,64834684,8,417544,226416,8960,197350700,146939288,50411412,0,89468,99568,4408
2026-08-23T23:16:20.343494,393132540,285492536,388764120,88,507012,325984,13368,34359738367,271396,16168,6888,9280,116,195781840,134760144,61021696,76,417544,226416,8960,197350700,150740456,46610244,12,89468,99568,4408
2026-08-23T23:16:21.344322,393132540,293033632,388799568,88,507012,325984,13368,34359738367,271380,16168,6888,9280,116,195781840,138481456,57300384,76,417544,226416,8960,197350700,154552176,42798524,12,89468,99568,4408
2026-08-23T23:16:22.344946,393132540,300666444,388837968,88,507012,325984,13368,34359738367,271396,16168,6888,9280,116,195781840,142304324,53477516,76,417544,226416,8960,197350700,158362120,38988580,12,89468,99568,4408
2026-08-23T23:16:23.345700,393132540,308361512,388864916,88,507012,325984,13368,34359738367,271380,16168,6888,9280,116,195781840,147902468,47879372,76,417544,226416,8960,197350700,160466100,36884600,12,89468,99568,4408
2026-08-23T23:16:24.346411,393132540,315598076,388896364,96,506908,325984,13368,34359738367,271364,16168,6888,9280,116,195781840,151693528,44088312,84,417440,226416,8960,197350700,163904548,33446152,12,89468,99568,4408
2026-08-23T23:16:25.347189,393132540,322302112,388924684,96,506800,325984,13368,34359738367,271348,16168,6888,9280,116,195781840,154954048,40827792,84,417332,226416,8960,197350700,167348064,30002636,12,89468,99568,4408
2026-08-23T23:16:26.347897,393132540,329046968,388950064,104,506800,325984,13368,34359738367,271364,16168,6888,9280,116,195781840,158225640,37556200,84,417332,226416,8960,197350700,170825864,26524836,20,89468,99568,4408
2026-08-23T23:16:27.348516,393132540,336502388,388980532,104,506800,325984,13368,34359738367,271348,16168,6888,9280,116,195781840,162301872,33479968,84,417332,226416,8960,197350700,174200516,23150184,20,89468,99568,4408
2026-08-23T23:16:28.349324,393132540,344142896,389011104,104,506828,325984,13368,34359738367,271364,16168,6888,9280,116,195781840,166131876,29649964,84,417360,226416,8960,197350700,178011020,19339680,20,89468,99568,4408
2026-08-23T23:16:29.349929,393132540,351803036,389041788,104,506828,325984,13368,34359738367,271348,16168,6888,9280,116,195781840,169974456,25807384,84,417360,226416,8960,197350700,181828580,15522120,20,89468,99568,4408
2026-08-23T23:16:30.350587,393132540,359663352,389085928,104,506828,325984,13368,34359738367,271364,16168,6888,9280,116,195781840,172318912,23462928,84,417360,226416,8960,197350700,187352000,9998700,20,89468,99568,4408
2026-08-23T23:16:31.351460,393132540,367272028,389222568,104,506800,325984,13368,34359738367,271348,16168,6888,9280,116,195781840,176318100,19463740,84,417332,226416,8960,197350700,190953928,6396772,20,89468,99568,4408
2026-08-23T23:16:32.352060,393132540,374771812,389347152,108,506800,325984,13368,34359738367,271348,16168,6888,9280,116,195781840,183818144,11963696,88,417332,226416,8960,197350700,190953668,6397032,20,89468,99568,4408
2026-08-23T23:16:33.352766,393132540,382276808,389460700,108,506804,325984,13368,34359738367,271332,16168,6888,9280,116,195781840,187634392,8147448,88,417336,226416,8960,197350700,194642416,2708284,20,89468,99568,4408
2026-08-23T23:16:34.353431,393132540,389810736,389591780,108,506804,325984,13368,34359738367,271348,16172,6892,9280,116,195781840,193138464,2643376,88,417336,226416,8960,197350700,196676808,673892,20,89468,99568,4408
2026-08-23T23:16:35.354111,393132540,391222272,389836500,180,555632,373032,16748,34359738367,281796,16172,6892,9280,116,195781840,194469224,1312616,152,466376,273460,12372,197350700,196753048,597652,28,89256,99572,4376
2026-08-23T23:16:36.354772,393132540,390776320,389606264,180,610308,720560,18800,34359738367,281796,16172,6892,9280,116,195781840,194023272,1758568,152,521052,620988,14424,197350700,196753048,597652,28,89256,99572,4376
2026-08-23T23:16:37.355377,393132540,390235904,389455012,180,714968,1032576,22720,34359738367,281780,16172,6892,9280,116,195781840,193482856,2298984,152,625712,933004,18344,197350700,196753048,597652,28,89256,99572,4376
2026-08-23T23:16:38.355965,393132540,389662916,389336668,196,844732,1326404,25368,34359738367,281780,16172,6892,9280,116,195781840,192910628,2871212,152,753476,1226832,20956,197350700,196751784,598916,44,91256,99572,4412
2026-08-23T23:16:39.356557,393132540,388656832,388733920,196,1483456,1731348,26116,34359738367,281780,16172,6892,9280,116,195781840,192107508,3674332,152,1211016,1631776,21108,197350700,196549324,801376,44,272440,99572,5008
2026-08-23T23:16:40.357219,393132540,388035576,388822476,196,1902552,1931848,29684,34359738367,281780,16172,6892,9280,116,195781840,191971768,3810072,152,1094584,1832276,21820,197350700,196062800,1287900,44,807968,99572,7864
2026-08-23T23:16:41.357918,393132540,386477244,388045528,196,3066152,2098496,30892,34359738367,281764,16172,6892,9280,116,195781840,191350120,4431720,152,1454200,1998924,22260,197350700,195127124,2223576,44,1614472,99572,8632
2026-08-23T23:16:42.358746,393132540,386273896,388103672,196,2728672,2106892,32244,34359738367,281780,16172,6892,9280,116,195781840,191335760,4446080,152,1111292,2007308,22320,197350700,194938136,2412564,44,1617380,99584,9924
2026-08-23T23:16:43.359375,393132540,386248580,388137028,196,3087080,2107160,32120,34359738367,281780,16172,6892,9280,116,195781840,191413212,4368628,152,1223744,2007576,22200,197350700,194835368,2515332,44,1863336,99584,9920
2026-08-23T23:16:44.359976,393132540,385822252,387892156,196,3074072,2107160,32744,34359738367,281780,16172,6892,9280,116,195781840,191319764,4462076,152,1167176,2007576,22356,197350700,194502488,2848212,44,1906896,99584,10388
2026-08-23T23:16:45.360705,393132540,385998616,387976716,196,3261276,2107160,32804,34359738367,281764,16172,6892,9280,116,195781840,191408584,4373256,152,1265668,2007576,22396,197350700,194590032,2760668,44,1995608,99584,10408
2026-08-23T23:16:46.361324,393132540,385711724,387922108,32,3345584,2107160,32948,34359738367,281764,16172,6892,9280,116,195781840,191328936,4452904,24,1253716,2007576,22436,197350700,194382788,2967912,8,2087836,99584,10512
2026-08-23T23:16:47.361956,393132540,386033912,388113380,44,2992320,2107160,32828,34359738367,281748,16172,6892,9280,116,195781840,191468412,4313428,36,1074820,2007576,22336,197350700,194565500,2785200,8,1917500,99584,10492
2026-08-23T23:16:48.362825,393132540,385591336,387795440,44,3466540,2107160,32888,34359738367,281748,16172,6892,9280,116,195781840,191300072,4481768,36,1247288,2007576,22352,197350700,194291264,3059436,8,2219252,99584,10536
