time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable
2026-08-23T23:45:00.879938,394701360,393332724,391840688,60,176988,171192,5196,34359738367,255676,16316,6872,9444,108,196564176,195832908,731268,36,110584,96700,2408,198137184,197501832,635352,24,66404,74492,2788
2026-08-23T23:45:01.880486,394701360,393000380,391578024,64,291112,306372,14280,34359738367,276140,16388,6884,9504,108,196564176,195633304,930872,64,148812,114184,4856,198137184,197367076,770108,0,142300,192188,9424
2026-08-23T23:45:02.881232,394701360,392536004,391347244,176,309696,681812,17296,34359738367,276108,16388,6884,9504,108,196564176,195459832,1104344,132,159772,255616,6472,198137184,197075920,1061264,44,149924,426260,10824
2026-08-23T23:45:03.881898,394701360,391961928,391144196,176,487132,962592,20292,34359738367,276108,16388,6884,9504,108,196564176,195234216,1329960,132,235256,375304,7868,198137184,196727712,1409472,44,251876,587288,12424
2026-08-23T23:45:04.882632,394701360,391389992,391046164,176,540284,1279676,20760,34359738367,276092,16392,6888,9504,108,196564176,194969448,1594728,132,262036,518840,8084,198137184,196420544,1716640,44,278248,760836,12676
2026-08-23T23:45:05.883387,394701360,390823628,390656672,176,879612,1600368,21616,34359738367,276092,16392,6888,9504,108,196564176,194635724,1928452,132,487960,666284,8652,198137184,196187904,1949280,44,391652,934200,12964
2026-08-23T23:45:06.884079,394701360,389955048,390152884,256,1428680,1920172,22808,34359738367,276124,16392,6888,9504,108,196564176,194193664,2370512,200,757316,853232,9192,198137184,195761384,2375800,56,671364,1066940,13616
2026-08-23T23:45:07.884769,394701360,389369112,389889928,256,1641000,1953132,23156,34359738367,276124,16392,6888,9504,108,196564176,193810864,2753312,200,949948,869640,9548,198137184,195558248,2578936,56,690964,1083500,13604
2026-08-23T23:45:08.888930,394701360,389424508,389876408,256,1377280,1953172,23008,34359738367,276124,16392,6888,9504,108,196564176,193865244,2698932,200,706240,869672,9280,198137184,195559264,2577920,56,671040,1083500,13728
2026-08-23T23:45:09.889944,394701360,389511376,389945608,264,1435048,1953172,23108,34359738367,276124,16392,6888,9504,108,196564176,193954120,2610056,208,721564,869672,9332,198137184,195557256,2579928,56,713484,1083500,13776
