time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable
2026-08-28T15:39:36.416880,393217320,392421948,390866496,0,128852,111872,2232,34359738367,0,16156,6872,9284,112,195849964,195246240,603724,0,123852,111292,1900,197367356,197175708,191648,0,5000,580,332
2026-08-28T15:39:37.417458,393217320,391645036,390428980,658960,194484,127188,5108,34359738367,0,16156,6872,9284,112,195849964,194834976,1014988,329520,181516,118912,3692,197367356,196809556,557800,329440,12968,8276,1416
2026-08-28T15:39:38.418128,393217320,391243044,390336040,776768,194772,127192,5540,34359738367,0,16156,6872,9284,112,195849964,194633920,1216044,388416,181672,118912,3848,197367356,196609124,758232,388352,13100,8280,1692
2026-08-28T15:39:39.418697,393217320,391243792,390336800,392132,195020,127196,5540,34359738367,0,16156,6872,9284,112,195849964,194633920,1216044,196104,181672,118912,3848,197367356,196609872,757484,196028,13348,8284,1692
2026-08-28T15:39:40.419260,393217320,391247016,390340052,15048,190368,127196,5220,34359738367,0,16156,6872,9284,112,195849964,194633860,1216104,7552,181620,118912,3848,197367356,196613156,754200,7496,8748,8284,1372
2026-08-28T15:39:41.419932,393217320,392144992,390668616,204,211860,279720,7228,34359738367,0,16156,6872,9284,112,195849964,195093480,756484,152,182148,195140,4848,197367356,197051512,315844,52,29712,84580,2380
2026-08-28T15:39:42.420558,393217320,391825196,390507944,76,212036,598384,7772,34359738367,0,16156,6872,9284,112,195849964,194934120,915844,68,182236,354484,5108,197367356,196891076,476280,8,29800,243900,2664
2026-08-28T15:39:43.421242,393217320,391504740,390348112,80,212044,918828,7768,34359738367,0,16156,6872,9284,112,195849964,194773876,1076088,68,182244,514708,5108,197367356,196730864,636492,12,29800,404120,2660
2026-08-28T15:39:44.422137,393217320,391259832,390326180,80,212044,1163084,7768,34359738367,0,16156,6872,9284,112,195849964,194652300,1197664,68,182244,637108,5108,197367356,196607532,759824,12,29800,525976,2660
2026-08-28T15:39:45.423577,393217320,391246924,390325924,72,212044,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645636,1204328,68,182244,643324,5108,197367356,196601288,766068,4,29800,532708,2660
2026-08-28T15:39:46.424946,393217320,391246888,390325940,104,207660,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645600,1204364,92,177860,643324,5108,197367356,196601288,766068,12,29800,532708,2660
2026-08-28T15:39:47.426328,393217320,391246916,390325968,104,207660,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645600,1204364,92,177860,643324,5108,197367356,196601316,766040,12,29800,532708,2660
2026-08-28T15:39:48.427661,393217320,391246948,390326000,112,207660,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645628,1204336,92,177860,643324,5108,197367356,196601320,766036,20,29800,532708,2660
2026-08-28T15:39:49.428997,393217320,391246940,390326052,116,207660,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645628,1204336,92,177860,643324,5108,197367356,196601312,766044,24,29800,532708,2660
2026-08-28T15:39:50.430398,393217320,391246940,390326056,104,207660,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645628,1204336,92,177860,643324,5108,197367356,196601312,766044,12,29800,532708,2660
2026-08-28T15:39:51.431747,393217320,391246940,390326056,112,207660,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645628,1204336,92,177860,643324,5108,197367356,196601312,766044,20,29800,532708,2660
2026-08-28T15:39:52.433116,393217320,391246968,390326112,96,207660,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645656,1204308,80,177860,643324,5108,197367356,196601312,766044,16,29800,532708,2660
2026-08-28T15:39:53.434543,393217320,391246980,390326124,100,207660,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645668,1204296,80,177860,643324,5108,197367356,196601312,766044,20,29800,532708,2660
2026-08-28T15:39:54.435903,393217320,391246980,390326184,104,207660,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645668,1204296,84,177860,643324,5108,197367356,196601312,766044,20,29800,532708,2660
2026-08-28T15:39:55.437188,393217320,391246980,390326184,108,207660,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645668,1204296,84,177860,643324,5108,197367356,196601312,766044,24,29800,532708,2660
2026-08-28T15:39:56.438547,393217320,391246996,390326200,108,207660,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645668,1204296,84,177860,643324,5108,197367356,196601328,766028,24,29800,532708,2660
2026-08-28T15:39:57.439931,393217320,391246968,390326188,120,207660,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645640,1204324,104,177860,643324,5108,197367356,196601328,766028,16,29800,532708,2660
2026-08-28T15:39:58.441351,393217320,391246952,390326172,124,207664,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645612,1204352,104,177864,643324,5108,197367356,196601340,766016,20,29800,532708,2660
2026-08-28T15:39:59.442700,393217320,391246952,390326172,136,207668,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645612,1204352,104,177868,643324,5108,197367356,196601340,766016,32,29800,532708,2660
2026-08-28T15:40:00.444058,393217320,391246952,390326172,136,207668,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645612,1204352,104,177868,643324,5108,197367356,196601340,766016,32,29800,532708,2660
2026-08-28T15:40:01.445401,393217320,391246952,390326172,140,207668,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645612,1204352,104,177868,643324,5108,197367356,196601340,766016,36,29800,532708,2660
2026-08-28T15:40:02.446709,393217320,391246780,390326160,112,207668,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645440,1204524,92,177868,643324,5108,197367356,196601340,766016,20,29800,532708,2660
2026-08-28T15:40:03.448050,393217320,391246784,390326164,112,207668,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645440,1204524,92,177868,643324,5108,197367356,196601344,766012,20,29800,532708,2660
2026-08-28T15:40:04.449388,393217320,391246784,390326164,116,207668,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645440,1204524,92,177868,643324,5108,197367356,196601344,766012,24,29800,532708,2660
2026-08-28T15:40:05.450690,393217320,391246788,390326168,120,207668,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645440,1204524,92,177868,643324,5108,197367356,196601348,766008,28,29800,532708,2660
2026-08-28T15:40:06.452023,393217320,391246788,390326168,120,207676,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645440,1204524,92,177876,643324,5108,197367356,196601348,766008,28,29800,532708,2660
2026-08-28T15:40:07.453356,393217320,391246696,390326104,84,207708,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645412,1204552,48,177908,643324,5108,197367356,196601284,766072,36,29800,532708,2660
2026-08-28T15:40:08.454694,393217320,391246696,390326112,40,207712,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645412,1204552,24,177912,643324,5108,197367356,196601284,766072,16,29800,532708,2660
2026-08-28T15:40:09.456029,393217320,391246696,390326120,28,207712,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645412,1204552,24,177912,643324,5108,197367356,196601284,766072,4,29800,532708,2660
2026-08-28T15:40:10.457375,393217320,391246696,390326120,36,207712,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645412,1204552,24,177912,643324,5108,197367356,196601284,766072,12,29800,532708,2660
2026-08-28T15:40:11.458717,393217320,391246672,390326096,52,207712,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645412,1204552,24,177912,643324,5108,197367356,196601260,766096,28,29800,532708,2660
2026-08-28T15:40:12.460045,393217320,391246672,390326096,52,207712,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645412,1204552,24,177912,643324,5108,197367356,196601260,766096,28,29800,532708,2660
2026-08-28T15:40:13.461405,393217320,391246616,390326068,44,207712,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645356,1204608,20,177912,643324,5108,197367356,196601260,766096,24,29800,532708,2660
2026-08-28T15:40:14.462751,393217320,391246616,390326068,48,207712,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645356,1204608,20,177912,643324,5108,197367356,196601260,766096,28,29800,532708,2660
2026-08-28T15:40:15.464115,393217320,391246616,390326088,32,207716,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645356,1204608,20,177916,643324,5108,197367356,196601260,766096,12,29800,532708,2660
2026-08-28T15:40:16.465397,393217320,391246616,390326088,36,207716,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645356,1204608,20,177916,643324,5108,197367356,196601260,766096,16,29800,532708,2660
2026-08-28T15:40:17.466709,393217320,391246588,390326060,52,207716,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645328,1204636,28,177916,643324,5108,197367356,196601260,766096,24,29800,532708,2660
2026-08-28T15:40:18.468065,393217320,391246524,390325996,32,207716,1176032,7768,34359738367,0,16156,6872,9284,112,195849964,194645264,1204700,20,177916,643324,5108,197367356,196601260,766096,12,29800,532708,2660
