time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable
2026-08-19T11:53:36.813368,393132572,386988376,390000224,493808,113436,157340,5868,34359738367,253796,16236,6880,9356,108,195749948,195117184,632764,0,45652,83120,2832,197382624,191871192,5511432,493808,67784,74220,3036
2026-08-19T11:53:37.813927,393132572,386775116,389786952,116180,137992,162752,8656,34359738367,263940,16304,6884,9420,108,195749948,194926588,823360,140,65964,83244,3676,197382624,191848528,5534096,116040,72028,79508,4980
2026-08-19T11:53:38.814645,393132572,390463680,389798008,4,139012,162748,8892,34359738367,263940,16304,6884,9420,108,195749948,194961652,788296,0,66168,83208,3892,197382624,195502028,1880596,4,72844,79540,5000
2026-08-19T11:53:39.815357,393132572,391596072,390120276,72,142236,282212,11084,34359738367,265252,16304,6884,9420,108,195749948,194908356,841592,60,67624,142968,4952,197382624,196687716,694908,12,74612,139272,6132
2026-08-19T11:53:40.816115,393132572,391200588,389887224,72,142252,607368,11084,34359738367,265252,16304,6884,9420,108,195749948,194729940,1020008,60,67632,305508,4952,197382624,196469640,912984,12,74620,301872,6132
2026-08-19T11:53:41.816936,393132572,390823432,389672196,72,142252,932352,11084,34359738367,265252,16304,6884,9420,108,195749948,194570928,1179020,60,67632,467996,4952,197382624,196252504,1130120,12,74620,464364,6132
2026-08-19T11:53:42.817698,393132572,390806296,389678708,72,142256,964724,11084,34359738367,265252,16308,6888,9420,108,195749948,194560344,1189604,60,67636,484188,4952,197382624,196245952,1136672,12,74620,480536,6132
2026-08-19T11:53:43.822480,393132572,390820468,389692880,72,142260,964840,11084,34359738367,265252,16308,6888,9420,108,195749948,194574516,1175432,60,67640,484236,4952,197382624,196245952,1136672,12,74620,480604,6132
2026-08-19T11:53:44.823988,393132572,390833436,389705848,100,142260,964840,11084,34359738367,265252,16308,6888,9420,108,195749948,194587300,1162648,72,67640,484236,4952,197382624,196246136,1136488,28,74620,480604,6132
2026-08-19T11:53:45.825496,393132572,390858960,389731372,100,142260,964840,11084,34359738367,265252,16308,6888,9420,108,195749948,194604224,1145724,72,67640,484236,4952,197382624,196254736,1127888,28,74620,480604,6132
2026-08-19T11:53:46.830454,393132572,390879396,389751808,108,142156,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194615268,1134680,80,67640,484236,4952,197382624,196264128,1118496,28,74516,480604,6132
2026-08-19T11:53:47.831940,393132572,390890856,389763268,108,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194618664,1131284,80,67540,484236,4952,197382624,196272192,1110432,28,74516,480604,6132
2026-08-19T11:53:48.833431,393132572,390924036,389796448,116,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194636796,1113152,80,67540,484236,4952,197382624,196287240,1095384,36,74516,480604,6132
2026-08-19T11:53:49.838458,393132572,390944372,389816784,124,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194649188,1100760,80,67540,484236,4952,197382624,196295184,1087440,44,74516,480604,6132
2026-08-19T11:53:50.839949,393132572,390959900,389832312,124,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194657620,1092328,80,67540,484236,4952,197382624,196302280,1080344,44,74516,480604,6132
2026-08-19T11:53:51.841438,393132572,390983200,389855612,124,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194668584,1081364,80,67540,484236,4952,197382624,196314616,1068008,44,74516,480604,6132
2026-08-19T11:53:52.846457,393132572,390993992,389866404,124,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194673580,1076368,80,67540,484236,4952,197382624,196320412,1062212,44,74516,480604,6132
2026-08-19T11:53:53.847943,393132572,391003068,389875480,124,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194678332,1071616,80,67540,484236,4952,197382624,196324736,1057888,44,74516,480604,6132
2026-08-19T11:53:54.849461,393132572,391018472,389890884,128,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194684828,1065120,84,67540,484236,4952,197382624,196333644,1048980,44,74516,480604,6132
2026-08-19T11:53:55.854458,393132572,391024836,389897248,128,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194687260,1062688,84,67540,484236,4952,197382624,196337576,1045048,44,74516,480604,6132
2026-08-19T11:53:56.855947,393132572,391031128,389903540,136,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194690836,1059112,92,67540,484236,4952,197382624,196340292,1042332,44,74516,480604,6132
2026-08-19T11:53:57.857438,393132572,391041748,389914160,136,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194694976,1054972,92,67540,484236,4952,197382624,196346772,1035852,44,74516,480604,6132
2026-08-19T11:53:58.862455,393132572,391045032,389917444,136,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194695040,1054908,92,67540,484236,4952,197382624,196349992,1032632,44,74516,480604,6132
2026-08-19T11:53:59.863934,393132572,391041484,389913896,136,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194689840,1060108,92,67540,484236,4952,197382624,196351644,1030980,44,74516,480604,6132
2026-08-19T11:54:00.865384,393132572,391051412,389923824,152,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194694200,1055748,92,67540,484236,4952,197382624,196357212,1025412,60,74516,480604,6132
2026-08-19T11:54:01.870454,393132572,391054744,389927528,152,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194695628,1054320,92,67540,484236,4952,197382624,196359116,1023508,60,74516,480604,6132
2026-08-19T11:54:02.871894,393132572,391058604,389931388,152,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194698044,1051904,92,67540,484236,4952,197382624,196360560,1022064,60,74516,480604,6132
2026-08-19T11:54:03.873357,393132572,391066736,389939520,152,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194701612,1048336,92,67540,484236,4952,197382624,196365124,1017500,60,74516,480604,6132
2026-08-19T11:54:04.878461,393132572,391068464,389941248,152,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194702484,1047464,92,67540,484236,4952,197382624,196365980,1016644,60,74516,480604,6132
2026-08-19T11:54:05.879913,393132572,391069668,389942452,152,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194703328,1046620,92,67540,484236,4952,197382624,196366340,1016284,60,74516,480604,6132
2026-08-19T11:54:06.881360,393132572,391074820,389947604,164,142056,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194705204,1044744,104,67540,484236,4952,197382624,196369616,1013008,60,74516,480604,6132
2026-08-19T11:54:07.886453,393132572,391075848,389948632,164,142088,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194705456,1044492,104,67572,484236,4952,197382624,196370392,1012232,60,74516,480604,6132
2026-08-19T11:54:08.887900,393132572,391076604,389949388,164,142088,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194706212,1043736,104,67572,484236,4952,197382624,196370392,1012232,60,74516,480604,6132
2026-08-19T11:54:09.889345,393132572,391081564,389954396,120,142092,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194707896,1042052,92,67576,484236,4952,197382624,196373668,1008956,28,74516,480604,6132
2026-08-19T11:54:10.894455,393132572,391082576,389955424,80,142092,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194708148,1041800,44,67576,484236,4952,197382624,196374428,1008196,36,74516,480604,6132
2026-08-19T11:54:11.895886,393132572,391083080,389955928,80,142092,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194708652,1041296,44,67576,484236,4952,197382624,196374428,1008196,36,74516,480604,6132
2026-08-19T11:54:12.897311,393132572,391087840,389960688,88,142092,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194710136,1039812,44,67576,484236,4952,197382624,196377704,1004920,44,74516,480604,6132
2026-08-19T11:54:13.902456,393132572,391089104,389961952,92,142028,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194710640,1039308,48,67512,484236,4952,197382624,196378464,1004160,44,74516,480604,6132
2026-08-19T11:54:14.903900,393132572,391089608,389962456,80,142028,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194711144,1038804,36,67512,484236,4952,197382624,196378464,1004160,44,74516,480604,6132
2026-08-19T11:54:15.905334,393132572,391094144,389966992,84,142028,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194712404,1037544,40,67512,484236,4952,197382624,196381740,1000884,44,74516,480604,6132
2026-08-19T11:54:16.910451,393132572,391095324,389968172,88,142028,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194712908,1037040,40,67512,484236,4952,197382624,196382416,1000208,48,74516,480604,6132
2026-08-19T11:54:17.911898,393132572,391095828,389968764,92,142028,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194713412,1036536,44,67512,484236,4952,197382624,196382416,1000208,48,74516,480604,6132
2026-08-19T11:54:18.913343,393132572,391100212,389973148,92,142028,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194714520,1035428,44,67512,484236,4952,197382624,196385692,996932,48,74516,480604,6132
2026-08-19T11:54:19.918452,393132572,391100980,389973916,32,142028,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194715024,1034924,12,67512,484236,4952,197382624,196385956,996668,20,74516,480604,6132
2026-08-19T11:54:20.919887,393132572,391101484,389974420,32,142028,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194715528,1034420,12,67512,484236,4952,197382624,196385956,996668,20,74516,480604,6132
2026-08-19T11:54:21.921328,393132572,391105516,389978452,36,142028,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194716536,1033412,12,67512,484236,4952,197382624,196388980,993644,24,74516,480604,6132
2026-08-19T11:54:22.926457,393132572,391106528,389979464,36,142028,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194717040,1032908,12,67512,484236,4952,197382624,196389488,993136,24,74516,480604,6132
2026-08-19T11:54:23.927867,393132572,391107032,389979968,36,142028,964840,11084,34359738367,265220,16308,6888,9420,108,195749948,194717544,1032404,12,67512,484236,4952,197382624,196389488,993136,24,74516,480604,6132
