time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable
2026-09-01T10:13:20.838467,393132560,387665156,388598760,50304,112192,153748,4412,34359738367,254004,16100,6888,9212,104,195781840,192771596,3010244,37344,82200,93232,3428,197350720,194893560,2457160,12960,29992,60516,984
2026-09-01T10:13:21.844178,393132560,390527340,388997932,60,140416,164092,8092,34359738367,264148,16108,6892,9216,104,195781840,194420848,1360992,56,108024,103500,5920,197350720,196106492,1244228,4,32392,60592,2172
2026-09-01T10:13:22.845295,393132560,390084652,388829368,528764,142000,178776,7828,34359738367,264484,16108,6892,9216,104,195781840,193950676,1831164,528756,109872,118176,5836,197350720,196133976,1216744,8,32128,60600,1992
2026-09-01T10:13:23.845931,393132560,389672872,388829144,819548,141700,179416,7992,34359738367,264356,16108,6892,9216,104,195781840,193479456,2302384,819540,109276,118816,6004,197350720,196193416,1157304,8,32424,60600,1988
2026-09-01T10:13:24.846570,393132560,389792876,388949628,434464,138468,179416,7448,34359738367,264356,16112,6896,9216,104,195781840,193534008,2247832,434452,107200,118816,5460,197350720,196258868,1091852,12,31268,60600,1988
2026-09-01T10:13:25.847336,393132560,389916120,389072872,44400,138472,179416,7448,34359738367,264356,16112,6896,9216,104,195781840,193593460,2188380,44388,107204,118816,5460,197350720,196322660,1028060,12,31268,60600,1988
2026-09-01T10:13:26.847956,393132560,391028872,389627832,208,220052,350148,8892,34359738367,265348,16112,6896,9216,104,195781840,194671200,1110640,176,107724,289548,6520,197350720,196357672,993048,32,112328,60600,2372
2026-09-01T10:13:27.848687,393132560,390769536,389627540,200,421552,664472,12076,34359738367,265348,16112,6896,9216,104,195781840,194470736,1311104,168,108500,603872,8032,197350720,196298800,1051920,32,313052,60600,4044
2026-09-01T10:13:28.849366,393132560,390427856,389813548,204,634304,977756,12076,34359738367,265348,16112,6896,9216,104,195781840,194252032,1529808,168,108668,917156,8032,197350720,196175824,1174896,36,525636,60600,4044
2026-09-01T10:13:29.850147,393132560,389684960,389855280,204,1182144,1214832,12076,34359738367,265348,16112,6896,9216,104,195781840,194032540,1749300,168,108544,1154232,8032,197350720,195652420,1698300,36,1073600,60600,4044
2026-09-01T10:13:30.854577,393132560,389674636,389863720,204,1188392,1228260,12076,34359738367,265316,16112,6896,9216,104,195781840,194027500,1754340,168,108544,1167660,8032,197350720,195647136,1703584,36,1079848,60600,4044
2026-09-01T10:13:31.855788,393132560,389680684,389869768,224,1188176,1228260,12076,34359738367,265316,16112,6896,9216,104,195781840,194029012,1752828,180,108436,1167660,8032,197350720,195651672,1699048,44,1079740,60600,4044
2026-09-01T10:13:32.857028,393132560,389699084,389888292,228,1188176,1228260,12076,34359738367,265316,16112,6896,9216,104,195781840,194036280,1745560,180,108436,1167660,8032,197350720,195662804,1687916,48,1079740,60600,4044
2026-09-01T10:13:33.858259,393132560,389716780,389905988,228,1188176,1228260,12076,34359738367,265316,16112,6896,9216,104,195781840,194044640,1737200,180,108436,1167660,8032,197350720,195672140,1678580,48,1079740,60600,4044
2026-09-01T10:13:34.862586,393132560,389730608,389919816,232,1188176,1228260,12076,34359738367,265316,16112,6896,9216,104,195781840,194049396,1732444,180,108436,1167660,8032,197350720,195681212,1669508,52,1079740,60600,4044
2026-09-01T10:13:35.863825,393132560,389746980,389936188,232,1188176,1228260,12076,34359738367,265316,16112,6896,9216,104,195781840,194054932,1726908,180,108436,1167660,8032,197350720,195692048,1658672,52,1079740,60600,4044
2026-09-01T10:13:36.865056,393132560,389766064,389955272,236,1188176,1228260,12076,34359738367,265316,16112,6896,9216,104,195781840,194063816,1718024,180,108436,1167660,8032,197350720,195702248,1648472,56,1079740,60600,4044
2026-09-01T10:13:37.866312,393132560,389782380,389971588,236,1188176,1228260,12076,34359738367,265316,16112,6896,9216,104,195781840,194071028,1710812,180,108436,1167660,8032,197350720,195711352,1639368,56,1079740,60600,4044
