time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable
2026-04-02T20:41:20.766441,394701364,386396976,391545376,72,60448,64984,4656,34359738367,250008,16864,6832,10032,104,196564168,191472236,5091932,36,38396,23192,2480,198137196,194924740,3212456,36,22052,41792,2176
2026-04-02T20:41:21.767050,394701364,393398264,391817368,176,68552,80576,7492,34359738367,260184,16868,6836,10032,104,196564168,195794388,769780,112,43256,37560,3900,198137196,197603876,533320,64,25296,43016,3592
2026-04-02T20:41:22.768441,394701364,392594600,391417212,743660,68292,80488,7632,34359738367,260328,16868,6836,10032,104,196564168,194990096,1574072,743592,42936,37472,4084,198137196,197604504,532692,68,25356,43016,3548
2026-04-02T20:41:23.769620,394701364,392596896,391419508,344308,68320,80488,7632,34359738367,260328,16872,6840,10032,104,196564168,194990436,1573732,344240,42964,37472,4084,198137196,197606460,530736,68,25356,43016,3548
2026-04-02T20:41:24.771036,394701364,392597628,391159672,360,68324,80488,7632,34359738367,260328,16872,6840,10032,104,196564168,194990520,1573648,288,42968,37472,4084,198137196,197607108,530088,72,25356,43016,3548
2026-04-02T20:41:25.772298,394701364,392599728,391147980,360,69620,339288,9688,34359738367,261320,16872,6840,10032,104,196564168,195016784,1547384,288,44264,272684,6140,198137196,197582944,554252,72,25356,68372,3548
2026-04-02T20:41:26.773718,394701364,392209028,390915320,360,69628,656496,9688,34359738367,261320,16872,6840,10032,104,196564168,194887456,1676712,288,44272,395616,6140,198137196,197321572,815624,72,25356,260908,3548
2026-04-02T20:41:27.775300,394701364,391984756,390794892,360,69632,865028,9688,34359738367,261320,16872,6840,10032,104,196564168,194809296,1754872,288,44276,492432,6140,198137196,197175460,961736,72,25356,372596,3548
2026-04-02T20:41:28.780553,394701364,391991356,390802544,360,69632,866932,9688,34359738367,261320,16872,6840,10032,104,196564168,194815896,1748272,288,44276,493828,6140,198137196,197175460,961736,72,25356,373104,3548
2026-04-02T20:41:29.782111,394701364,392007752,390819064,360,69632,867188,9688,34359738367,261320,16872,6840,10032,104,196564168,194830528,1733640,288,44276,494080,6140,198137196,197177224,959972,72,25356,373108,3548
2026-04-02T20:41:30.783702,394701364,392031820,390843132,360,69632,867188,9688,34359738367,261288,16876,6844,10032,104,196564168,194849468,1714700,288,44276,494080,6140,198137196,197182352,954844,72,25356,373108,3548
2026-04-02T20:41:31.788556,394701364,392071244,390882556,368,69432,867188,9688,34359738367,261288,16876,6844,10032,104,196564168,194877384,1686784,296,44180,494080,6140,198137196,197193860,943336,72,25252,373108,3548
2026-04-02T20:41:32.790120,394701364,392104468,390915780,376,69432,867188,9688,34359738367,261288,16876,6844,10032,104,196564168,194897572,1666596,296,44180,494080,6140,198137196,197206896,930300,80,25252,373108,3548
2026-04-02T20:41:33.791680,394701364,392149876,390961228,368,69432,867188,9688,34359738367,261288,16876,6844,10032,104,196564168,194927488,1636680,288,44180,494080,6140,198137196,197222388,914808,80,25252,373108,3548
2026-04-02T20:41:34.796546,394701364,392191788,391003140,368,69432,867188,9688,34359738367,261288,16876,6844,10032,104,196564168,194953504,1610664,288,44180,494080,6140,198137196,197238284,898912,80,25252,373108,3548
2026-04-02T20:41:35.798078,394701364,392230944,391042296,368,69432,867188,9688,34359738367,261288,16876,6844,10032,104,196564168,194980676,1583492,288,44180,494080,6140,198137196,197250268,886928,80,25252,373108,3548
2026-04-02T20:41:36.799632,394701364,392261088,391072440,372,69432,867188,9688,34359738367,261288,16876,6844,10032,104,196564168,195004860,1559308,292,44180,494080,6140,198137196,197256228,880968,80,25252,373108,3548
2026-04-02T20:41:37.804553,394701364,392284268,391095620,372,69432,867188,9688,34359738367,261288,16876,6844,10032,104,196564168,195025272,1538896,292,44180,494080,6140,198137196,197258996,878200,80,25252,373108,3548
2026-04-02T20:41:38.806141,394701364,392300756,391112108,376,69432,867188,9688,34359738367,261288,16876,6844,10032,104,196564168,195041584,1522584,296,44180,494080,6140,198137196,197259172,878024,80,25252,373108,3548
2026-04-02T20:41:39.807705,394701364,392315988,391127340,364,69432,867188,9688,34359738367,261288,16876,6844,10032,104,196564168,195056400,1507768,292,44180,494080,6140,198137196,197259588,877608,72,25252,373108,3548
2026-04-02T20:41:40.812551,394701364,392327196,391138548,364,69432,867188,9688,34359738367,261288,16876,6844,10032,104,196564168,195067356,1496812,292,44180,494080,6140,198137196,197259840,877356,72,25252,373108,3548
2026-04-02T20:41:41.814101,394701364,392338504,391149856,376,69432,867188,9688,34359738367,261288,16876,6844,10032,104,196564168,195078664,1485504,304,44180,494080,6140,198137196,197259840,877356,72,25252,373108,3548
2026-04-02T20:41:42.815661,394701364,392349320,391160672,376,69432,867188,9688,34359738367,261288,16876,6844,10032,104,196564168,195089228,1474940,304,44180,494080,6140,198137196,197260092,877104,72,25252,373108,3548
2026-04-02T20:41:43.820551,394701364,392357684,391169036,376,69432,867188,9688,34359738367,261288,16876,6844,10032,104,196564168,195097340,1466828,304,44180,494080,6140,198137196,197260344,876852,72,25252,373108,3548
2026-04-02T20:41:44.822095,394701364,392365828,391177180,96,69432,867188,9688,34359738367,261288,16876,6844,10032,104,196564168,195105484,1458684,80,44180,494080,6140,198137196,197260344,876852,16,25252,373108,3548
2026-04-02T20:41:45.823654,394701364,392366836,391178188,96,69432,867188,9688,34359738367,261288,16876,6844,10032,104,196564168,195106240,1457928,80,44180,494080,6140,198137196,197260596,876600,16,25252,373108,3548
2026-04-02T20:41:46.828554,394701364,392378328,391189680,96,69432,867188,9688,34359738367,261288,16880,6848,10032,104,196564168,195117480,1446688,80,44180,494080,6140,198137196,197260848,876348,16,25252,373108,3548
2026-04-02T20:41:47.830114,394701364,392387568,391198920,96,69436,867188,9688,34359738367,261288,16880,6848,10032,104,196564168,195126720,1437448,80,44184,494080,6140,198137196,197260848,876348,16,25252,373108,3548
2026-04-02T20:41:48.831639,394701364,392397356,391208708,104,69436,867188,9688,34359738367,261288,16880,6848,10032,104,196564168,195136256,1427912,84,44184,494080,6140,198137196,197261100,876096,20,25252,373108,3548
