time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable
2026-08-27T10:35:14.138620,393132544,377219252,386758896,186640,120564,160976,4776,34359738367,254276,15960,6884,9076,108,195749944,182356068,13393876,59812,91408,152828,3640,197382600,194863184,2519416,126828,29156,8148,1136
2026-08-27T10:35:15.139193,393132544,379905944,386950392,4,213184,169752,8652,34359738367,265080,15964,6888,9076,108,195749944,184487312,11262632,4,162636,153584,5840,197382600,195418632,1963968,0,50548,16168,2812
2026-08-27T10:35:16.139877,393132544,386199788,387100924,8,147536,169872,8692,34359738367,265048,15964,6888,9076,108,195749944,190754568,4995376,4,96660,153584,5864,197382600,195445220,1937380,4,50876,16288,2828
2026-08-27T10:35:17.140455,393132544,389224036,387715344,68,196200,184236,8968,34359738367,265048,15964,6888,9076,108,195749944,193667816,2082128,64,96688,153564,5868,197382600,195556220,1826380,4,99512,30672,3100
2026-08-27T10:35:18.141151,393132544,388990880,387673828,68,213256,574836,8988,34359738367,264936,15964,6888,9076,108,195749944,193756392,1993552,64,93860,153560,5344,197382600,195233984,2148616,4,119396,421780,3644
2026-08-27T10:35:19.141942,393132544,388617640,387646316,68,213256,1095972,9996,34359738367,264936,15964,6888,9076,108,195749944,193877156,1872788,64,93860,153560,5344,197382600,194740484,2642116,4,119396,942412,4652
2026-08-27T10:35:20.142688,393132544,388175924,387720312,112,213256,1611668,11020,34359738367,264936,15968,6892,9076,108,195749944,193920688,1829256,108,93860,153560,5344,197382600,194255236,3127364,4,119396,1458612,5676
2026-08-27T10:35:21.143258,393132544,387849860,387887376,112,213260,2104780,11992,34359738367,264936,15968,6892,9076,108,195749944,194036012,1713932,108,93864,153560,5344,197382600,193813848,3568752,4,119396,1951220,6648
2026-08-27T10:35:22.143986,393132544,387438660,387995984,112,213260,2624588,12964,34359738367,264936,15968,6892,9076,108,195749944,194113464,1636480,108,93864,153560,5344,197382600,193325196,4057404,4,119396,2471532,7620
2026-08-27T10:35:23.144724,393132544,387057404,388136632,112,213260,3146708,14032,34359738367,265016,15968,6892,9076,108,195749944,194179816,1570128,108,93864,153560,5344,197382600,192877084,4505516,4,119396,2993148,8688
2026-08-27T10:35:24.145350,393132544,386652720,388216292,112,213152,3630004,14976,34359738367,264984,15968,6892,9076,108,195749944,194240140,1509804,108,93864,153560,5344,197382600,192412580,4970020,4,119288,3476444,9632
2026-08-27T10:35:25.145872,393132544,386231908,388293968,132,213044,4127916,15944,34359738367,264984,15968,6892,9076,108,195749944,194293492,1456452,120,93756,153560,5344,197382600,191938416,5444184,12,119288,3974860,10600
2026-08-27T10:35:26.146645,393132544,385846096,388410100,132,213044,4629820,16916,34359738367,264984,15968,6892,9076,108,195749944,194341580,1408364,120,93756,153560,5344,197382600,191504264,5878336,12,119288,4476420,11592
2026-08-27T10:35:27.147310,393132544,385431960,388517356,132,213044,5150116,17944,34359738367,264984,15968,6892,9076,108,195749944,194399392,1350552,120,93756,153560,5344,197382600,191032064,6350536,12,119288,4997060,12600
