time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable
2026-04-02T20:14:10.522029,394701364,388629556,391462984,108,58720,66280,3264,34359738367,250104,16756,6832,9924,108,196564168,195675416,888752,52,33116,22872,1756,198137196,192954140,5183056,56,25604,43408,1508
2026-04-02T20:14:11.522624,394701364,393388504,391819936,112,208392,81496,7076,34359738367,260296,16764,6840,9924,108,196564168,195795848,768320,56,169272,22960,4012,198137196,197592656,544540,56,39120,58536,3064
2026-04-02T20:14:12.523470,394701364,393056492,391625976,172,138972,361072,7724,34359738367,260264,16764,6840,9924,108,196564168,195809208,754960,112,38404,22960,4068,198137196,197247284,889912,60,100568,338112,3656
2026-04-02T20:14:13.524262,394701364,392534228,391363548,172,139000,880752,8740,34359738367,260264,16768,6844,9924,108,196564168,195816400,747768,112,38432,22960,4068,198137196,196717828,1419368,60,100568,857792,4672
2026-04-02T20:14:14.525207,394701364,392039872,391347248,444,139004,1383352,9704,34359738367,260264,16768,6844,9924,108,196564168,195822012,742156,304,38436,22960,4068,198137196,196217860,1919336,140,100568,1360896,5636
2026-04-02T20:14:15.526372,394701364,391529492,391347308,376,139004,1893784,10696,34359738367,260264,16768,6844,9924,108,196564168,195827196,736972,268,38436,22960,4068,198137196,195702296,2434900,108,100568,1870824,6628
2026-04-02T20:14:16.527522,394701364,391024792,391361256,376,139004,2412432,11744,34359738367,260264,16768,6844,9924,108,196564168,195838452,725716,268,38436,22960,4068,198137196,195186340,2950856,108,100568,2389976,7676
2026-04-02T20:14:17.528696,394701364,390552632,391384880,376,139004,2907976,12704,34359738367,260264,16768,6844,9924,108,196564168,195858012,706156,268,38436,22960,4068,198137196,194694620,3442576,108,100568,2885016,8636
2026-04-02T20:14:18.529844,394701364,390038620,391388812,376,139004,3425360,13688,34359738367,260264,16768,6844,9924,108,196564168,195861212,702956,268,38436,22960,4068,198137196,194177408,3959788,108,100568,3402400,9620
2026-04-02T20:14:19.530972,394701364,389512304,391384364,376,139004,3946672,14716,34359738367,260248,16768,6844,9924,108,196564168,195863704,700464,268,38436,22960,4068,198137196,193648600,4488596,108,100568,3923712,10648
2026-04-02T20:14:20.532116,394701364,389004972,391378816,372,138796,4447788,15636,34359738367,260232,16768,6844,9924,108,196564168,195873248,690920,256,38436,22924,4068,198137196,193131724,5005472,116,100360,4425368,11568
2026-04-02T20:14:21.533272,394701364,388484912,391380596,392,138796,4969060,16692,34359738367,260232,16768,6844,9924,108,196564168,195878440,685728,268,38436,22924,4068,198137196,192606472,5530724,124,100360,4946136,12624
2026-04-02T20:14:22.534386,394701364,387969696,391386452,392,138692,5490060,17688,34359738367,260232,16768,6844,9924,108,196564168,195895224,668944,268,38436,22924,4068,198137196,192073464,6063732,124,100256,5467632,13648
2026-04-02T20:14:23.535523,394701364,387447316,391386208,392,138692,6011084,18712,34359738367,260232,16768,6844,9924,108,196564168,195899132,665036,268,38436,22924,4068,198137196,191548184,6589012,124,100256,5988664,14644
2026-04-02T20:14:24.536691,394701364,386980180,391389792,392,138692,6481260,19656,34359738367,260216,16768,6844,9924,108,196564168,195900948,663220,268,38436,22924,4068,198137196,191079232,7057964,124,100256,6458336,15588
2026-04-02T20:14:25.537818,394701364,386474952,391395956,396,138692,6992092,20636,34359738367,260216,16768,6844,9924,108,196564168,195904620,659548,268,38436,22924,4068,198137196,190570332,7566864,128,100256,6969168,16568
2026-04-02T20:14:26.538952,394701364,385949704,391391024,384,138692,7511828,21660,34359738367,260216,16768,6844,9924,108,196564168,195904652,659516,256,38436,22924,4068,198137196,190045052,8092144,128,100256,7489408,17592
2026-04-02T20:14:27.540080,394701364,385436768,391394280,384,138692,8027476,22612,34359738367,260216,16768,6844,9924,108,196564168,195908932,655236,256,38436,22924,4068,198137196,189527836,8609360,128,100256,8005056,18544
2026-04-02T20:14:28.541270,394701364,384827924,391186636,388,384832,8418872,24156,34359738367,263256,16768,6844,9924,108,196564168,195873556,690612,260,98312,22944,4240,198137196,188954368,9182828,128,286520,8395928,19916
2026-04-02T20:14:29.542105,394701364,384072536,390431892,388,886772,8419168,24524,34359738367,262456,16768,6844,9924,108,196564168,195703748,860420,260,288396,23064,4744,198137196,188368788,9768408,128,598376,8396104,19780
2026-04-02T20:14:30.543328,394701364,383624132,389984764,384,894388,8420160,26092,34359738367,265192,16768,6844,9924,108,196564168,195682828,881340,252,292856,23228,4312,198137196,187941304,10195892,132,601532,8396932,21780
2026-04-02T20:14:31.544320,394701364,383389152,389749784,388,1090120,8420160,26492,34359738367,262520,16768,6844,9924,108,196564168,195550636,1013532,256,394692,23228,5088,198137196,187838516,10298680,132,695428,8396932,21404
2026-04-02T20:14:32.545361,394701364,383553828,389914480,396,890604,8420160,26048,34359738367,262312,16768,6844,9924,108,196564168,195641500,922668,264,294860,23228,5040,198137196,187911824,10225372,132,595744,8396932,21008
2026-04-02T20:14:33.546298,394701364,383534584,389895236,396,890492,8420160,25728,34359738367,264360,16768,6844,9924,108,196564168,195644384,919784,264,287348,23228,4392,198137196,187890200,10246996,132,603144,8396932,21336
2026-04-02T20:14:34.548000,394701364,383514280,389874952,408,892928,8420160,26016,34359738367,262280,16768,6844,9924,108,196564168,195669200,894968,264,287060,23228,4696,198137196,187845080,10292116,144,605868,8396932,21320
2026-04-02T20:14:35.552534,394701364,383359296,389719968,408,892016,8420160,25736,34359738367,262488,16768,6844,9924,108,196564168,195525972,1038196,264,295040,23228,5024,198137196,187833324,10303872,144,596976,8396932,20712
2026-04-02T20:14:36.553587,394701364,383307204,389667876,408,892032,8420160,25712,34359738367,261544,16768,6844,9924,108,196564168,195401476,1162692,264,295304,23228,4932,198137196,187905728,10231468,144,596728,8396932,20780
2026-04-02T20:14:37.554566,394701364,383157412,389518092,408,891028,8420160,26012,34359738367,262504,16768,6844,9924,108,196564168,195239344,1324824,264,296912,23228,5016,198137196,187918068,10219128,144,594116,8396932,20996
