time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable
2026-08-29T18:17:04.898256,393132560,390716732,390056372,76,122432,169688,6712,34359738367,254624,16224,6888,9336,112,195781840,194566076,1215764,8,58920,101804,3408,197350720,196150656,1200064,68,63512,67884,3304
2026-08-29T18:17:05.898838,393132560,390248168,389598652,1812,420680,176896,9736,34359738367,265136,16228,6892,9336,112,195781840,194118428,1663412,1568,336564,108784,4704,197350720,196129740,1220980,244,84116,68112,5032
2026-08-29T18:17:06.899513,393132560,389742088,389401696,2376,539224,176896,10628,34359738367,265104,16228,6892,9336,112,195781840,193613164,2168676,2116,452948,108784,5220,197350720,196128924,1221796,260,86276,68112,5408
2026-08-29T18:17:07.900191,393132560,389397232,389393376,2448,594744,177296,10628,34359738367,265104,16228,6892,9336,112,195781840,193283780,2498060,2188,493980,109184,5204,197350720,196113452,1237268,260,100764,68112,5424
2026-08-29T18:17:08.900760,393132560,389065268,389403508,2992,598184,177308,10648,34359738367,265104,16232,6896,9336,112,195781840,192950768,2831072,2732,496388,109184,5212,197350720,196114500,1236220,260,101796,68124,5436
2026-08-29T18:17:09.901370,393132560,388704580,389388736,2028,613096,177308,10676,34359738367,265104,16232,6896,9336,112,195781840,192605380,3176460,1792,497992,109184,5216,197350720,196099200,1251520,236,115104,68124,5460
2026-08-29T18:17:10.901992,393132560,388352240,389401304,3056,589196,177308,10684,34359738367,265104,16232,6896,9336,112,195781840,192231348,3550492,2316,500300,109184,5224,197350720,196120892,1229828,236,88896,68124,5460
2026-08-29T18:17:11.902557,393132560,388007012,389405356,4112,581936,177308,10628,34359738367,265104,16232,6896,9336,112,195781840,191885380,3896460,3872,492952,109184,5212,197350720,196121632,1229088,240,88984,68124,5416
2026-08-29T18:17:12.903114,393132560,387635180,389377784,2676,613716,177308,10680,34359738367,265104,16232,6896,9336,112,195781840,191545804,4236036,2436,494644,109184,5212,197350720,196089376,1261344,240,119072,68124,5468
2026-08-29T18:17:13.903665,393132560,387294080,389371876,2684,616984,177308,10684,34359738367,265104,16232,6896,9336,112,195781840,191204704,4577136,2440,496888,109184,5212,197350720,196089376,1261344,244,120096,68124,5472
2026-08-29T18:17:14.904215,393132560,386930280,389360376,4720,632584,177308,10716,34359738367,265072,16232,6896,9336,112,195781840,190855896,4925944,4504,498256,109184,5220,197350720,196074384,1276336,216,134328,68124,5496
2026-08-29T18:17:15.904756,393132560,386594676,389374416,2888,622152,177308,10728,34359738367,265072,16232,6896,9336,112,195781840,190505172,5276668,2672,500016,109184,5228,197350720,196089504,1261216,216,122136,68124,5500
2026-08-29T18:17:16.905338,393132560,386240896,389369676,4788,631160,177308,10704,34359738367,265072,16232,6896,9336,112,195781840,190154328,5627512,4056,502064,109184,5228,197350720,196086568,1264152,228,129096,68124,5476
2026-08-29T18:17:17.905882,393132560,385884604,389360816,4888,646320,177308,10744,34359738367,265072,16232,6896,9336,112,195781840,189817100,5964740,4156,503796,109184,5228,197350720,196067504,1283216,228,142524,68124,5516
2026-08-29T18:17:18.906432,393132560,385509496,389322396,2900,672188,177308,10780,34359738367,265072,16232,6896,9336,112,195781840,189465804,6316036,2668,505480,109184,5228,197350720,196043692,1307028,232,166708,68124,5552
2026-08-29T18:17:19.906979,393132560,385154812,389332868,2964,658696,177308,10808,34359738367,265072,16232,6896,9336,112,195781840,189095748,6686092,2732,507724,109184,5244,197350720,196059064,1291656,232,150972,68124,5564
2026-08-29T18:17:20.907529,393132560,384808704,389337756,5608,651744,177308,10768,34359738367,265072,16232,6896,9336,112,195781840,188741652,7040188,5368,509092,109184,5244,197350720,196067052,1283668,240,142652,68124,5524
2026-08-29T18:17:21.908079,393132560,384423080,389311524,3568,654696,177308,10772,34359738367,265072,16232,6896,9336,112,195781840,188356028,7425812,3324,511148,109184,5244,197350720,196067052,1283668,244,143548,68124,5528
2026-08-29T18:17:22.908641,393132560,384076288,389314848,3108,648552,177308,10740,34359738367,265072,16232,6896,9336,112,195781840,188002092,7779748,2856,513200,109184,5244,197350720,196074196,1276524,252,135352,68124,5496
2026-08-29T18:17:23.909222,393132560,383731864,389321016,3424,650428,177308,10748,34359738367,265072,16232,6896,9336,112,195781840,187656660,8125180,3168,515076,109184,5252,197350720,196075204,1275516,256,135352,68124,5496
2026-08-29T18:17:24.909775,393132560,383374768,389316900,3188,652660,177308,10756,34359738367,265072,16232,6896,9336,112,195781840,187299564,8482276,3436,517308,109184,5260,197350720,196075204,1275516,256,135352,68124,5496
2026-08-29T18:17:25.910317,393132560,383018588,389295488,3236,654032,177308,10756,34359738367,265072,16236,6900,9336,112,195781840,186943132,8838708,2976,518680,109184,5260,197350720,196075456,1275264,260,135352,68124,5496
2026-08-29T18:17:26.910877,393132560,382654620,389290552,3792,656084,177308,10756,34359738367,265072,16236,6900,9336,112,195781840,186578156,9203684,3528,520732,109184,5260,197350720,196076464,1274256,264,135352,68124,5496
2026-08-29T18:17:27.911428,393132560,382298952,389290896,3856,658144,177308,10764,34359738367,265072,16236,6900,9336,112,195781840,186222488,9559352,3588,522792,109184,5268,197350720,196076464,1274256,268,135352,68124,5496
2026-08-29T18:17:28.911969,393132560,381952708,389288892,3880,659396,177308,10768,34359738367,265072,16236,6900,9336,112,195781840,185876244,9905596,3600,524044,109184,5272,197350720,196076464,1274256,280,135352,68124,5496
