time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable
2025-07-30T15:13:57.474771,394700376,372255376,391314836,364,220936,129756,3580,34359738367,251368,16988,7168,9820,116,196531936,185227192,11304744,308,171132,40964,3044,198168440,187028184,11140256,56,49804,88792,536
2025-07-30T15:13:58.475225,394700376,371623640,390809472,1408,554416,130208,7608,34359738367,261480,16988,7168,9820,116,196531936,184930364,11601572,1352,179752,41388,4076,198168440,186693276,11475164,56,374664,88820,3532
2025-07-30T15:13:59.475797,394700376,371135804,390681536,2440,684292,130208,7740,34359738367,261480,16988,7168,9820,116,196531936,184680460,11851476,2884,186324,41388,4084,198168440,186455344,11713096,60,497968,88820,3656
2025-07-30T15:14:00.476248,394700376,371298536,391163284,1484,193232,130224,7884,34359738367,261480,16988,7168,9820,116,196531936,184432168,12099768,1420,178368,41440,4376,198168440,186861832,11306608,64,14864,88784,3508
2025-07-30T15:14:01.476783,394700376,371036408,391171960,3024,194244,130248,6792,34359738367,261480,16988,7168,9820,116,196531936,184176260,12355676,3460,178764,41400,4112,198168440,186860148,11308292,68,15480,88848,2680
2025-07-30T15:14:02.477233,394700376,371033104,390874452,524,191228,130248,6792,34359738367,261480,16988,7168,9820,116,196531936,184049848,12482088,456,176756,41400,4112,198168440,186988296,11180144,68,14472,88848,2680
2025-07-30T15:14:03.477670,394700376,381357756,391096260,536,184324,118640,6336,34359738367,261128,16988,7168,9820,116,196531936,189641948,6889988,468,170224,29844,3672,198168440,191715808,6452632,68,14100,88796,2664
2025-07-30T15:14:04.478215,394700376,392082856,391111192,536,184324,118640,6336,34359738367,261128,16988,7168,9820,116,196531936,195010148,1521788,468,170224,29844,3672,198168440,197073716,1094724,68,14100,88796,2664
2025-07-30T15:14:05.478669,394700376,392937760,391474008,604,193776,306148,8728,34359738367,262568,16988,7168,9820,116,196531936,195464700,1067236,496,172156,121608,4236,198168440,197473060,695380,108,21620,184552,4492
2025-07-30T15:14:06.479366,394700376,392693040,391357064,604,193684,561308,8728,34359738367,262552,16988,7168,9820,116,196531936,195357404,1174532,496,172064,250332,4236,198168440,197335636,832804,108,21620,310980,4492
2025-07-30T15:14:07.480030,394700376,392577056,391289992,616,193716,659576,8728,34359738367,262552,16988,7168,9820,116,196531936,195293416,1238520,496,172076,302928,4236,198168440,197283640,884800,120,21640,356648,4492
2025-07-30T15:14:08.484894,394700376,392592932,391305992,616,193688,660000,8728,34359738367,262552,16988,7168,9820,116,196531936,195307352,1224584,496,172012,303148,4236,198168440,197285580,882860,120,21676,356852,4492
2025-07-30T15:14:09.485925,394700376,392605908,391318968,628,193704,660000,8728,34359738367,262552,16988,7168,9820,116,196531936,195318860,1213076,496,172028,303148,4236,198168440,197287048,881392,132,21676,356852,4492
2025-07-30T15:14:10.486971,394700376,392620404,391333464,628,193704,660000,8728,34359738367,262552,16988,7168,9820,116,196531936,195330836,1201100,496,172028,303148,4236,198168440,197289568,878872,132,21676,356852,4492
2025-07-30T15:14:11.488062,394700376,392638052,391351112,632,193704,660000,8728,34359738367,262552,16988,7168,9820,116,196531936,195345756,1186180,500,172028,303148,4236,198168440,197292296,876144,132,21676,356852,4492
2025-07-30T15:14:12.492893,394700376,392654756,391367816,632,193708,660000,8728,34359738367,262552,16988,7168,9820,116,196531936,195358940,1172996,500,172032,303148,4236,198168440,197295816,872624,132,21676,356852,4492
2025-07-30T15:14:13.493912,394700376,392673084,391386144,632,193708,660000,8728,34359738367,262552,16988,7168,9820,116,196531936,195372436,1159500,500,172032,303148,4236,198168440,197300648,867792,132,21676,356852,4492
2025-07-30T15:14:14.494954,394700376,392692464,391405524,632,193712,660000,8728,34359738367,262552,16988,7168,9820,116,196531936,195388060,1143876,500,172036,303148,4236,198168440,197304404,864036,132,21676,356852,4492
2025-07-30T15:14:15.495999,394700376,392682216,391395688,636,193716,660000,8728,34359738367,262536,16988,7168,9820,116,196531936,195379648,1152288,504,172192,303148,4296,198168440,197302568,865872,132,21524,356852,4432
2025-07-30T15:14:16.500889,394700376,392700908,391414380,636,193716,660000,8728,34359738367,262536,16988,7168,9820,116,196531936,195395408,1136528,504,172192,303148,4296,198168440,197305500,862940,132,21524,356852,4432
2025-07-30T15:14:17.501917,394700376,392721896,391435396,344,193716,660000,8728,34359738367,262536,16988,7168,9820,116,196531936,195412860,1119076,260,172192,303148,4296,198168440,197309036,859404,84,21524,356852,4432
2025-07-30T15:14:18.502954,394700376,392738012,391451512,344,193716,660000,8728,34359738367,262536,16988,7168,9820,116,196531936,195425856,1106080,260,172192,303148,4296,198168440,197312156,856284,84,21524,356852,4432
2025-07-30T15:14:19.503988,394700376,392754856,391468356,344,193716,660000,8728,34359738367,262536,16988,7168,9820,116,196531936,195439204,1092732,260,172192,303148,4296,198168440,197315652,852788,84,21524,356852,4432
2025-07-30T15:14:20.508898,394700376,392763172,391476780,368,193796,660000,8728,34359738367,262536,16988,7168,9820,116,196531936,195445216,1086720,260,172196,303148,4296,198168440,197317956,850484,108,21600,356852,4432
2025-07-30T15:14:21.509938,394700376,392775020,391488628,380,193796,660000,8728,34359738367,262536,16988,7168,9820,116,196531936,195454672,1077264,272,172196,303148,4296,198168440,197320348,848092,108,21600,356852,4432
2025-07-30T15:14:22.510978,394700376,392786440,391500048,380,193796,660000,8728,34359738367,262536,16988,7168,9820,116,196531936,195464052,1067884,272,172196,303148,4296,198168440,197322388,846052,108,21600,356852,4432
2025-07-30T15:14:23.512015,394700376,392798784,391512392,384,193796,660000,8728,34359738367,262536,16988,7168,9820,116,196531936,195475372,1056564,276,172196,303148,4296,198168440,197323412,845028,108,21600,356852,4432
2025-07-30T15:14:24.513075,394700376,392808884,391522492,384,193796,660000,8728,34359738367,262536,16988,7168,9820,116,196531936,195484408,1047528,276,172196,303148,4296,198168440,197324476,843964,108,21600,356852,4432
2025-07-30T15:14:25.516891,394700376,392808776,391522588,388,193616,660000,8788,34359738367,262520,16988,7168,9820,116,196531936,195483772,1048164,280,172132,303148,4312,198168440,197325004,843436,108,21484,356852,4476
2025-07-30T15:14:26.517918,394700376,392818172,391531988,388,193808,660000,8732,34359738367,262520,16988,7168,9820,116,196531936,195491856,1040080,280,172132,303148,4300,198168440,197326316,842124,108,21676,356852,4432
