time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable
2026-08-18T18:08:57.893646,393132572,389734964,389949760,280,201292,163232,6224,34359738367,253820,16164,6880,9284,108,195749948,194161304,1588644,16,52544,82612,2980,197382624,195573660,1808964,264,148748,80620,3244
2026-08-18T18:08:58.894230,393132572,389548120,389759756,284,222460,163884,9692,34359738367,263980,16232,6884,9348,108,195749948,193986068,1763880,20,70272,82992,4188,197382624,195562052,1820572,264,152188,80892,5504
2026-08-18T18:08:59.895025,393132572,389516896,389729288,284,251496,163916,9672,34359738367,264044,16232,6884,9348,108,195749948,193963784,1786164,20,100116,82992,4056,197382624,195553112,1829512,264,151884,80924,5616
2026-08-18T18:09:00.895784,393132572,388201204,388413764,288,1549000,164068,11928,34359738367,264012,16232,6884,9348,108,195749948,192673796,3076152,20,1380768,83016,6524,197382624,195527408,1855216,268,168736,81052,5404
2026-08-18T18:09:01.896564,393132572,386903868,387116428,288,2839140,164076,14452,34359738367,264028,16232,6884,9348,108,195749948,191376460,4373488,20,2670908,83016,9048,197382624,195527408,1855216,268,168736,81060,5404
2026-08-18T18:09:02.897150,393132572,385605828,385818388,288,4130892,164076,16784,34359738367,264012,16232,6884,9348,108,195749948,190078168,5671780,20,3962660,83016,11380,197382624,195527660,1854964,268,168736,81060,5404
2026-08-18T18:09:03.897920,393132572,384323992,384536552,288,5422088,164076,19284,34359738367,264044,16232,6884,9348,108,195749948,188787732,6962216,20,5253856,83016,13880,197382624,195528196,1854428,268,168736,81060,5404
2026-08-18T18:09:04.898717,393132572,383025956,383238528,480,6715572,164076,21792,34359738367,264028,16232,6884,9348,108,195749948,187497760,8252188,128,6546836,83016,16388,197382624,195528196,1854428,352,168736,81060,5404
2026-08-18T18:09:05.899223,393132572,381737008,381949580,484,8007700,164076,24384,34359738367,264044,16232,6884,9348,108,195749948,186207400,9542548,128,7838964,83016,18980,197382624,195529608,1853016,356,168736,81060,5404
2026-08-18T18:09:06.899788,393132572,381138244,381350820,484,8627544,164076,25984,34359738367,264252,16232,6884,9348,108,195749948,185607872,10142076,128,8458808,83016,20580,197382624,195530372,1852252,356,168736,81060,5404
2026-08-18T18:09:07.901117,393132572,381138524,381351116,492,8627448,164076,25984,34359738367,264252,16236,6888,9348,108,195749948,185607900,10142048,128,8458812,83016,20580,197382624,195530624,1852000,364,168636,81060,5404
