time,total,free,available,dirty,anon,mapped,pageTable,vmallocTotal,vmallocUsed,own_VmRSS,own_RssAnon,own_RssFile,own_VmPTE,Node0_total,Node0_free,Node0_used,Node0_dirty,Node0_anon,Node0_mapped,Node0_pageTable,Node1_total,Node1_free,Node1_used,Node1_dirty,Node1_anon,Node1_mapped,Node1_pageTable
2025-11-14T14:23:31.619713,393131588,389340940,387819460,128276,66364,70252,2596,34359738367,251112,17484,7168,10316,104,195781240,194294096,1487144,82572,60168,22848,2088,197350348,195046844,2303504,45704,6196,47404,508
2025-11-14T14:23:32.620253,393131588,389259780,387746356,131268,120372,88388,6512,34359738367,262264,17484,7168,10316,104,195781240,194151452,1629788,85564,111548,41688,4840,197350348,195108328,2242020,45704,8824,46700,1672
2025-11-14T14:23:33.620810,393131588,389398204,387898300,135444,130756,96296,6576,34359738367,263256,17484,7168,10316,104,195781240,194161488,1619752,89740,121688,49568,4904,197350348,195236716,2113632,45704,9068,46728,1672
2025-11-14T14:23:34.621425,393131588,389367288,387882912,141480,164596,106952,6884,34359738367,263240,17484,7168,10316,104,195781240,194110300,1670940,95776,155952,60224,5280,197350348,195256988,2093360,45704,8644,46728,1604
2025-11-14T14:23:35.621892,393131588,389435832,387963512,129476,169956,116884,6948,34359738367,263240,17484,7168,10316,104,195781240,194129216,1652024,84464,161312,70156,5344,197350348,195306616,2043732,45012,8644,46728,1604
2025-11-14T14:23:36.622451,393131588,389496536,388032964,135124,185340,119664,7028,34359738367,263240,17484,7168,10316,104,195781240,194135540,1645700,90112,176696,72936,5424,197350348,195360996,1989352,45012,8644,46728,1604
2025-11-14T14:23:37.622964,393131588,389566348,388110360,137232,211544,126620,7168,34359738367,263256,17484,7168,10316,104,195781240,194151088,1630152,92220,202900,79892,5564,197350348,195415260,1935088,45012,8644,46728,1604
2025-11-14T14:23:38.623429,393131588,389595928,388139940,137232,273508,126620,7288,34359738367,263256,17484,7168,10316,104,195781240,194126104,1655136,92220,264864,79892,5684,197350348,195469824,1880524,45012,8644,46728,1604
2025-11-14T14:23:39.624162,393131588,389626044,388170056,137232,330392,126620,7404,34359738367,263256,17484,7168,10316,104,195781240,194103544,1677696,92220,321748,79892,5800,197350348,195522500,1827848,45012,8644,46728,1604
2025-11-14T14:23:40.624605,393131588,389665216,388209496,136632,396036,126620,7512,34359738367,263256,17484,7168,10316,104,195781240,194071548,1709692,92588,387392,79892,5908,197350348,195593668,1756680,44044,8644,46728,1604
2025-11-14T14:23:41.625069,393131588,389681920,388226372,136648,462408,126628,7628,34359738367,263224,17484,7168,10316,104,195781240,194036152,1745088,92604,453320,79900,5956,197350348,195645768,1704580,44044,9088,46728,1672
2025-11-14T14:23:42.625524,393131588,389673380,388217832,136656,534536,126628,7868,34359738367,263208,17484,7168,10316,104,195781240,193974660,1806580,92604,525448,79900,6196,197350348,195698720,1651628,44052,9088,46728,1672
2025-11-14T14:23:43.625999,393131588,389684124,388228576,136656,604032,126628,8008,34359738367,263208,17484,7168,10316,104,195781240,193930772,1850468,92604,594944,79900,6336,197350348,195753352,1596996,44052,9088,46728,1672
2025-11-14T14:23:44.626482,393131588,389386456,387930908,136656,1020668,126620,8560,34359738367,263192,17484,7168,10316,104,195781240,193552468,2228772,92604,1012016,79892,6956,197350348,195833988,1516360,44052,8652,46728,1604
2025-11-14T14:23:45.626994,393131588,388961720,387748268,605676,987356,127172,8576,34359738367,263192,17484,7168,10316,104,195781240,193109568,2671672,563736,978704,80444,6972,197350348,195852152,1498196,41940,8652,46728,1604
2025-11-14T14:23:46.629635,393131588,388905252,387692900,605844,1147000,128828,9284,34359738367,264168,17484,7168,10316,104,195781240,192974856,2806384,563904,1138348,82100,7680,197350348,195930396,1419952,41940,8652,46728,1604
2025-11-14T14:23:47.630281,393131588,387502344,386691100,1077444,1549444,129120,10332,34359738367,264168,17484,7168,10316,104,195781240,191539340,4241900,1035504,1540792,82392,8728,197350348,195963004,1387344,41940,8652,46728,1604
2025-11-14T14:23:48.630841,393131588,387571352,386760156,1077448,1658792,129124,10628,34359738367,264168,17484,7168,10316,104,195781240,191540968,4240272,1035508,1650140,82396,9024,197350348,196030384,1319964,41940,8652,46728,1604
2025-11-14T14:23:49.631315,393131588,387595712,386784516,1077448,1761100,129124,10892,34359738367,264168,17484,7168,10316,104,195781240,191540968,4240272,1035508,1752448,82396,9288,197350348,196054744,1295604,41940,8652,46728,1604
2025-11-14T14:23:50.631753,393131588,387661348,386850152,1077448,1933300,129124,11540,34359738367,264168,17484,7168,10316,104,195781240,191549840,4231400,1035508,1924648,82396,9936,197350348,196111508,1238840,41940,8652,46728,1604
2025-11-14T14:23:51.632200,393131588,387563608,386752412,1077540,2060376,129132,11800,34359738367,264200,17484,7168,10316,104,195781240,191422104,4359136,1035564,2051288,82404,10128,197350348,196141504,1208844,41976,9088,46728,1672
2025-11-14T14:23:52.632689,393131588,385606696,384795512,1077540,4232824,129156,16508,34359738367,265192,17484,7168,10316,104,195781240,189396248,6384992,1035564,4223736,82428,14836,197350348,196210448,1139900,41976,9088,46728,1672
2025-11-14T14:23:53.633575,393131588,385297540,384486364,1077548,4606104,129156,17400,34359738367,265192,17484,7168,10316,104,195781240,189026564,6754676,1035572,4597016,82428,15728,197350348,196270976,1079372,41976,9088,46728,1672
2025-11-14T14:23:54.634780,393131588,384938340,384127176,1077560,5051668,129156,18620,34359738367,265192,17484,7168,10316,104,195781240,188615804,7165436,1035572,5042580,82428,16948,197350348,196322536,1027812,41988,9088,46728,1672
2025-11-14T14:23:55.637667,393131588,384738132,383926968,1077560,5296068,129148,18812,34359738367,265176,17484,7168,10316,104,195781240,188357504,7423736,1035572,5287408,82420,17208,197350348,196380628,969720,41988,8660,46728,1604
2025-11-14T14:23:56.638773,393131588,384566476,383755336,1073376,5558688,129148,19248,34359738367,265176,17484,7168,10316,104,195781240,188133476,7647764,1034704,5550532,82420,17644,197350348,196433000,917348,38672,8660,46728,1604
2025-11-14T14:23:57.641660,393131588,384307696,383496556,1073376,5859640,129148,19988,34359738367,265176,17484,7168,10316,104,195781240,187823768,7957472,1034704,5850980,82420,18384,197350348,196483928,866420,38672,8660,46728,1604
2025-11-14T14:23:58.642830,393131588,384186044,383374912,1073376,6015696,129148,20352,34359738367,265176,17484,7168,10316,104,195781240,187657448,8123792,1034704,6007036,82420,18748,197350348,196528596,821752,38672,8660,46728,1604
2025-11-14T14:23:59.644035,393131588,383831392,383020260,1073376,6429116,129148,21288,34359738367,265176,17484,7168,10316,104,195781240,187258784,8522456,1034704,6420456,82420,19684,197350348,196572608,777740,38672,8660,46728,1604
2025-11-14T14:24:00.645103,393131588,384010852,383199720,1073376,5915988,129148,20312,34359738367,265032,17484,7168,10316,104,195781240,187412492,8368748,1034704,5907328,82420,18708,197350348,196598360,751988,38672,8660,46728,1604
2025-11-14T14:24:01.646445,393131588,384026948,383215924,1054424,5980412,129156,20280,34359738367,265016,17484,7168,10316,104,195781240,187398060,8383180,1020420,5971756,82428,18676,197350348,196628888,721460,34004,8656,46728,1604
2025-11-14T14:24:02.647637,393131588,384075180,383264168,1054576,5914564,129156,20384,34359738367,264936,17484,7168,10316,104,195781240,187426296,8354944,1020460,5906412,82428,18780,197350348,196648884,701464,34116,8656,46728,1604
2025-11-14T14:24:03.648239,393131588,383967300,383156288,1054584,5923000,129156,20020,34359738367,264840,17484,7168,10316,104,195781240,187299204,8482036,1020468,5914344,82428,18416,197350348,196668096,682252,34116,8656,46728,1604
2025-11-14T14:24:04.649144,393131588,384016388,383205376,1054584,5965520,129156,19992,34359738367,264840,17484,7168,10316,104,195781240,187332852,8448388,1020468,5956864,82428,18388,197350348,196683536,666812,34116,8656,46728,1604
2025-11-14T14:24:05.650006,393131588,384203396,383392384,1054584,5801196,129148,19540,34359738367,264792,17484,7168,10316,104,195781240,187504048,8277192,1020468,5792608,82420,17936,197350348,196699348,651000,34116,8588,46728,1604
2025-11-14T14:24:06.651209,393131588,384509532,383698660,1033780,5516380,129148,19116,34359738367,264728,17484,7168,10316,104,195781240,187801556,7979684,999720,5507932,82420,17512,197350348,196707976,642372,34060,8588,46728,1604
2025-11-14T14:24:07.652351,393131588,384890656,384079784,1033784,5126012,129148,18232,34359738367,264632,17484,7168,10316,104,195781240,188171896,7609344,999724,5117424,82420,16628,197350348,196718760,631588,34060,8588,46728,1604
2025-11-14T14:24:08.652948,393131588,384414164,383603304,1034116,5593252,129148,18760,34359738367,264600,17484,7168,10316,104,195781240,187690816,8090424,1000024,5585168,82420,17156,197350348,196723348,627000,34092,8588,46728,1604
2025-11-14T14:24:09.653415,393131588,384247832,384012572,1602092,5116444,129148,18064,34359738367,264472,17484,7168,10316,104,195781240,187520372,8260868,1568504,5107856,82420,16460,197350348,196727460,622888,34092,8588,46728,1604
2025-11-14T14:24:10.653912,393131588,384640992,385913788,3089396,2587876,129148,13024,34359738367,264472,17484,7168,10316,104,195781240,187908392,7872848,3055304,2579792,82420,11420,197350348,196732600,617748,34092,8588,46728,1604
2025-11-14T14:24:11.654700,393131588,384703216,385976392,3084168,2616864,129256,13464,34359738367,265464,17484,7168,10316,104,195781240,187958960,7822280,3050076,2607836,82528,11792,197350348,196744256,606092,34092,9028,46728,1672
