System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2026-08-29,20:27:05.686,0.00,1.67,0.00,0.91,0.14,0.17,0.17,0.55,0.0012,0.0015,0.40,0.23,91,0.00,0.00,115.53,69.20,1049.60,3.34,83.48,0.00,0.09,49.45,0.08,133.01,0.11,99.89,0.00,100.00,0.00,0.00,43.14,13.26,88.83,2.40,0.00,0.38,0.00,0.43,0.00,0.01,0.53,0.83,0.0012,0.0036, 22400,8,0,0.03,0.05,17,0.00,0.00,45,1.93,5.09,1049.60,0.76,18.96,0.00,0.00,0.00,1.77,0.00,1.00,0.13,0.16,0.16,0.52,0.0012,0.0014, 22400,462,37,0.37,0.18,99,0.00,0.00,41,113.60,64.11,1049.60,3.54,88.60,0.01,0.17,15.82,16.77,  0%,  0%,8.79,8.08,  0%,  0%,29.40,31.22,  0%,  0%,37.19,35.19,  0%,  0%,0.04,99.96,0.00,100.00,0.00,0.00,0.19,99.81,0.00,100.00,0.00,0.00,19.74,23.41,6.49 ,6.76 ,154.83 ,87.82 ,2.40,2.40,
2026-08-29,20:27:06.186,0.00,1.62,0.00,0.94,0.19,0.27,0.28,0.44,0.0014,0.0020,0.46,0.26,95,0.00,0.00,129.50,80.13,1047.06,3.23,80.80,0.00,0.10,31.61,0.04,86.54,0.13,99.87,0.00,100.00,0.00,0.00,43.24,13.26,89.75,2.40,0.00,0.39,0.00,0.49,0.00,0.01,0.53,0.81,0.0012,0.0039, 22400,7,3,0.03,0.03,28,0.00,0.00,45,1.85,4.77,1047.06,0.78,19.41,0.00,0.00,0.00,1.69,0.00,1.00,0.18,0.26,0.28,0.41,0.0014,0.0020, 21952,545,19,0.43,0.23,99,0.00,0.00,41,127.65,75.36,1047.06,3.39,84.69,0.01,0.19,6.88,7.77,  0%,  0%,8.81,8.15,  0%,  0%,21.34,23.08,  0%,  0%,22.01,20.12,  0%,  0%,0.03,99.97,0.00,100.00,0.00,0.00,0.22,99.78,0.00,100.00,0.00,0.00,19.82,23.42,6.45 ,6.81 ,155.53 ,88.72 ,2.40,2.40,
2026-08-29,20:27:06.689,0.00,1.00,0.00,0.82,0.05,0.13,0.63,0.61,0.0010,0.0027,0.24,0.18,87,0.00,0.00,49.26,49.40,1047.27,1.99,49.86,0.00,0.04,46.13,0.11,182.72,0.09,99.91,0.00,100.00,0.00,0.00,42.03,12.99,100.98,2.40,0.00,1.22,0.00,0.86,0.04,0.13,0.64,0.59,0.0010,0.0028, 19520,195,12,0.16,0.13,86,0.00,0.00,45,45.84,37.64,1047.27,2.44,60.90,0.00,0.07,0.00,0.29,0.00,0.71,0.00,0.01,0.55,0.81,0.0007,0.0021, 22272,81,28,0.08,0.04,88,0.00,0.00,42,3.42,11.76,1047.27,0.58,14.54,0.00,0.01,10.10,10.77,  0%,  0%,12.91,12.35,  0%,  0%,45.99,47.49,  0%,  0%,45.41,43.83,  0%,  0%,0.13,99.87,0.00,100.00,0.00,0.00,0.05,99.95,0.00,100.00,0.00,0.00,21.52,20.51,6.69 ,6.30 ,95.95 ,107.36 ,2.40,2.40,
2026-08-29,20:27:07.186,0.00,0.84,0.00,0.71,0.01,0.25,0.97,0.36,0.0003,0.0111,0.09,0.03,82,0.00,0.00,22.95,27.26,1047.39,1.68,42.11,0.00,0.02,16.70,0.13,54.89,0.06,99.94,0.00,100.00,0.00,0.00,40.69,12.70,110.01,2.40,0.00,0.96,0.00,0.83,0.00,0.25,0.99,0.31,0.0001,0.0120, 20608,73,4,0.06,0.02,93,0.00,0.00,45,20.60,21.47,1047.39,1.92,47.96,0.00,0.03,0.00,0.41,0.00,0.47,0.00,0.01,0.46,0.79,0.0015,0.0037, 22400,9,8,0.03,0.01,39,0.00,0.00,42,2.35,5.78,1047.39,0.81,20.36,0.00,0.00,5.02,5.23,  0%,  0%,3.30,3.15,  0%,  0%,12.80,13.29,  0%,  0%,14.66,14.14,  0%,  0%,0.08,99.92,0.00,100.00,0.00,0.00,0.04,99.96,0.00,100.00,0.00,0.00,20.59,20.11,6.50 ,6.20 ,102.10 ,151.61 ,2.40,2.40,
2026-08-29,20:27:07.685,0.00,0.36,0.00,0.42,0.00,0.01,0.93,0.87,0.0001,0.0031,0.05,0.02,62,0.00,0.00,2.95,8.27,1047.44,0.71,17.83,0.00,0.00,11.41,0.18,30.23,0.03,99.97,0.00,100.00,0.00,0.00,39.77,12.62,143.49,2.40,0.00,0.36,0.00,0.42,0.00,0.00,0.91,0.86,0.0002,0.0032, 20928,15,3,0.02,0.01,59,0.00,0.00,45,1.49,4.14,1047.44,0.72,18.01,0.00,0.00,0.00,0.35,0.00,0.42,0.00,0.00,0.95,0.87,0.0001,0.0030, 21888,5,12,0.02,0.01,67,0.00,0.00,42,1.46,4.12,1047.44,0.71,17.65,0.00,0.00,2.11,2.25,  0%,  0%,3.58,3.47,  0%,  0%,7.93,8.27,  0%,  0%,7.19,6.85,  0%,  0%,0.03,99.97,0.00,100.00,0.00,0.00,0.03,99.97,0.00,100.00,0.00,0.00,19.72,20.06,6.42 ,6.20 ,136.60 ,150.00 ,2.40,2.40,
2026-08-29,20:27:08.186,0.00,0.38,0.00,0.49,0.00,0.01,0.65,0.85,0.0006,0.0027,0.04,0.01,58,0.00,0.00,4.09,10.89,1050.01,0.75,18.79,0.00,0.00,8.20,0.15,22.53,0.03,99.97,0.00,100.00,0.00,0.00,39.97,12.62,158.23,2.40,0.00,0.41,0.00,0.53,0.00,0.01,0.64,0.82,0.0006,0.0029, 20800,6,0,0.02,0.01,62,0.00,0.00,45,2.48,6.05,1050.01,0.82,20.48,0.00,0.00,0.00,0.33,0.00,0.45,0.00,0.00,0.67,0.88,0.0004,0.0025, 21824,1,8,0.02,0.01,55,0.00,0.00,42,1.61,4.84,1050.01,0.67,16.67,0.00,0.00,2.10,2.12,  0%,  0%,1.98,2.00,  0%,  0%,5.57,5.55,  0%,  0%,5.73,5.69,  0%,  0%,0.03,99.97,0.00,100.00,0.00,0.00,0.03,99.97,0.00,100.00,0.00,0.00,19.87,20.10,6.42 ,6.20 ,153.40 ,163.58 ,2.40,2.40,
2026-08-29,20:27:08.686,0.00,0.35,0.00,0.41,0.00,0.01,0.91,0.87,0.0001,0.0030,0.04,0.01,62,0.00,0.00,3.10,8.89,1046.21,0.70,17.44,0.00,0.00,5.16,0.12,14.48,0.03,99.97,0.00,100.00,0.00,0.00,39.58,12.58,155.64,2.40,0.00,0.35,0.00,0.41,0.00,0.01,0.88,0.85,0.0002,0.0035, 20800,1,0,0.02,0.00,61,0.00,0.00,45,1.56,4.43,1046.21,0.70,17.57,0.00,0.00,0.00,0.35,0.00,0.41,0.00,0.00,0.96,0.89,0.0001,0.0025, 21696,3,0,0.02,0.00,64,0.00,0.00,41,1.55,4.47,1046.21,0.69,17.32,0.00,0.00,1.26,1.39,  0%,  0%,1.30,1.20,  0%,  0%,3.45,3.73,  0%,  0%,3.81,3.50,  0%,  0%,0.03,99.97,0.00,100.00,0.00,0.00,0.03,99.97,0.00,100.00,0.00,0.00,19.67,19.91,6.39 ,6.19 ,164.62 ,148.12 ,2.40,2.40,
2026-08-29,20:27:09.186,0.00,0.39,0.00,0.48,0.00,0.01,0.78,0.87,0.0003,0.0025,0.04,0.01,57,0.00,0.00,3.79,9.76,1047.50,0.78,19.43,0.00,0.00,7.70,0.15,21.28,0.03,99.97,0.00,100.00,0.00,0.00,39.81,12.61,158.82,2.40,0.00,0.42,0.00,0.51,0.00,0.01,0.73,0.85,0.0004,0.0025, 20736,1,5,0.02,0.00,58,0.00,0.00,45,2.24,5.35,1047.50,0.84,20.98,0.00,0.00,0.00,0.35,0.00,0.44,0.00,0.00,0.87,0.88,0.0002,0.0025, 22080,5,2,0.02,0.01,56,0.00,0.00,41,1.55,4.41,1047.50,0.70,17.56,0.00,0.00,1.83,1.87,  0%,  0%,2.00,2.00,  0%,  0%,5.35,5.38,  0%,  0%,5.31,5.23,  0%,  0%,0.03,99.97,0.00,100.00,0.00,0.00,0.03,99.97,0.00,100.00,0.00,0.00,19.87,19.95,6.41 ,6.20 ,152.49 ,165.28 ,2.40,2.40,
2026-08-29,20:27:09.687,0.00,0.41,0.00,0.44,0.00,0.02,0.67,0.82,0.0009,0.0037,0.04,0.01,57,0.00,0.00,4.13,10.13,1049.20,0.82,20.39,0.00,0.00,5.14,0.10,14.53,0.03,99.97,0.00,100.00,0.00,0.00,39.70,12.61,175.37,2.40,0.00,0.41,0.00,0.45,0.00,0.01,0.69,0.80,0.0009,0.0042, 21056,3,0,0.02,0.00,57,0.00,0.00,45,2.16,5.22,1049.20,0.83,20.74,0.00,0.00,0.00,0.40,0.00,0.42,0.00,0.01,0.63,0.85,0.0008,0.0031, 22080,0,1,0.02,0.00,57,0.00,0.00,42,1.97,4.91,1049.20,0.80,20.02,0.00,0.00,1.28,1.38,  0%,  0%,1.29,1.20,  0%,  0%,3.44,3.70,  0%,  0%,3.82,3.56,  0%,  0%,0.03,99.97,0.00,100.00,0.00,0.00,0.03,99.97,0.00,100.00,0.00,0.00,19.73,19.97,6.40 ,6.22 ,187.78 ,164.19 ,2.40,2.40,
