System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2026-08-10,13:25:09.115,0.01,1.74,0.01,0.91,0.45,0.71,0.29,0.72,0.0003,0.0005,0.56,0.44,84,0.00,0.00,1410.51,812.22,2097.45,3.47,86.83,0.02,0.53,134.01,0.13,352.69,0.66,99.34,0.00,100.00,0.00,0.00,84.74,26.26,98.41,2.40,0.02,1.85,0.01,1.00,0.42,0.62,0.28,0.70,0.0003,0.0004, 22208,663,107,0.44,0.33,98,0.00,0.00,41,1385.01,750.68,2097.45,3.69,92.25,0.04,1.03,0.00,0.41,0.00,0.43,0.03,0.09,0.49,0.81,0.0011,0.0035, 21952,11,9,0.12,0.10,8,0.00,0.00,37,25.50,61.54,2097.45,0.83,20.72,0.00,0.02,42.51,41.64,  0%,  0%,24.71,25.15,  0%,  0%,82.46,80.95,  0%,  0%,93.73,95.55,  0%,  0%,1.12,98.88,0.00,100.00,0.00,0.00,0.21,99.79,0.00,100.00,0.00,0.00,44.43,40.31,13.62 ,12.64 ,97.34 ,128.96 ,2.40,2.40,
2026-08-10,13:25:10.115,0.01,1.24,0.01,0.84,0.37,1.01,0.59,0.74,0.0004,0.0012,0.44,0.30,69,0.00,0.00,840.12,674.83,2094.28,2.49,62.25,0.01,0.31,165.17,0.22,473.60,0.60,99.40,0.00,100.00,0.00,0.00,84.09,26.00,110.67,2.40,0.01,1.34,0.01,0.92,0.36,0.92,0.59,0.73,0.0004,0.0011, 12992,387,155,0.30,0.19,98,0.00,0.00,41,811.65,607.92,2094.28,2.67,66.76,0.02,0.61,0.00,0.43,0.00,0.47,0.02,0.09,0.66,0.82,0.0006,0.0031, 22656,5,6,0.14,0.11,5,0.00,0.00,37,28.46,66.91,2094.28,0.85,21.27,0.00,0.02,53.79,53.28,  0%,  0%,28.93,29.17,  0%,  0%,109.65,108.98,  0%,  0%,127.05,127.93,  0%,  0%,0.98,99.02,0.00,100.00,0.00,0.00,0.21,99.79,0.00,100.00,0.00,0.00,43.79,40.30,13.37 ,12.63 ,109.45 ,139.44 ,2.40,2.40,
2026-08-10,13:25:11.115,0.03,0.67,0.05,0.98,0.09,0.89,0.89,0.84,0.0000,0.0002,0.27,0.11,90,0.00,0.00,4157.41,6223.38,2094.88,1.34,33.40,0.06,1.55,20.49,0.05,102.34,4.72,95.28,0.00,100.00,0.00,0.00,93.58,25.67,104.25,2.40,0.04,0.75,0.05,0.99,0.08,0.80,0.90,0.84,0.0000,0.0003, 19328,171,4,0.22,0.09,94,0.00,0.00,41,2528.27,3380.16,2094.88,1.50,37.40,0.08,1.89,0.02,0.57,0.04,0.98,0.01,0.08,0.76,0.82,0.0000,0.0001, 22080,7,3,0.05,0.01,51,0.00,0.00,37,1629.14,2843.22,2094.88,1.15,28.65,0.05,1.22,5.60,5.72,  0%,  0%,4.62,4.54,  0%,  0%,25.13,25.27,  0%,  0%,26.06,25.88,  0%,  0%,5.10,94.90,0.00,100.00,0.00,0.00,4.34,95.66,0.00,100.00,0.00,0.00,48.34,45.23,13.22 ,12.44 ,97.62 ,139.17 ,2.40,2.40,
2026-08-10,13:25:12.116,0.03,0.66,0.05,0.98,0.12,1.02,0.88,0.81,0.0000,0.0002,0.26,0.10,91,0.00,0.00,4129.35,6280.63,2093.51,1.31,32.87,0.06,1.54,18.19,0.05,96.96,4.76,95.24,0.00,100.00,0.00,0.00,92.59,25.68,105.22,2.40,0.04,0.73,0.05,0.99,0.09,0.92,0.90,0.81,0.0000,0.0004, 19200,139,6,0.22,0.09,95,0.00,0.00,41,2474.07,3392.28,2093.51,1.46,36.47,0.07,1.85,0.02,0.57,0.04,0.98,0.03,0.10,0.59,0.80,0.0000,0.0001, 22656,9,1,0.05,0.01,53,0.00,0.00,38,1655.27,2888.36,2093.51,1.15,28.65,0.05,1.24,5.14,5.26,  0%,  0%,3.95,3.85,  0%,  0%,23.74,23.92,  0%,  0%,24.76,24.54,  0%,  0%,5.11,94.89,0.00,100.00,0.00,0.00,4.41,95.59,0.00,100.00,0.00,0.00,47.79,44.80,13.22 ,12.46 ,98.92 ,142.00 ,2.40,2.40,
2026-08-10,13:25:13.118,0.01,1.50,0.01,0.89,0.08,0.83,0.89,0.84,0.0001,0.0007,0.31,0.12,94,0.00,0.00,1157.01,769.69,2095.38,3.01,75.16,0.02,0.43,15.58,0.04,89.69,0.65,99.35,0.00,100.00,0.00,0.00,84.89,25.79,98.46,2.40,0.02,1.60,0.01,0.96,0.08,0.75,0.89,0.84,0.0001,0.0007, 19712,255,3,0.26,0.11,97,0.00,0.00,41,1129.29,704.51,2095.38,3.21,80.15,0.03,0.84,0.00,0.43,0.00,0.48,0.01,0.08,0.79,0.83,0.0003,0.0029, 22336,3,4,0.05,0.01,52,0.00,0.00,38,27.72,65.18,2095.38,0.85,21.27,0.00,0.02,4.59,4.70,  0%,  0%,3.17,3.12,  0%,  0%,21.78,21.88,  0%,  0%,23.09,22.94,  0%,  0%,1.09,98.91,0.00,100.00,0.00,0.00,0.20,99.80,0.00,100.00,0.00,0.00,44.64,40.25,13.30 ,12.49 ,94.82 ,136.34 ,2.40,2.40,
2026-08-10,13:25:14.115,0.01,1.45,0.01,0.87,0.09,0.97,0.90,0.83,0.0001,0.0009,0.27,0.09,92,0.00,0.00,1064.83,733.38,2095.41,2.90,72.60,0.02,0.40,15.58,0.04,76.05,0.63,99.37,0.00,100.00,0.00,0.00,84.73,25.75,103.04,2.40,0.02,1.55,0.01,0.95,0.07,0.87,0.92,0.84,0.0001,0.0008, 19328,150,7,0.23,0.08,96,0.00,0.00,41,1037.01,668.85,2095.41,3.10,77.52,0.03,0.77,0.00,0.43,0.00,0.46,0.02,0.10,0.62,0.80,0.0008,0.0035, 22208,8,4,0.05,0.01,62,0.00,0.00,38,27.81,64.53,2095.41,0.86,21.55,0.00,0.02,4.47,4.56,  0%,  0%,3.31,3.24,  0%,  0%,18.44,18.54,  0%,  0%,19.59,19.47,  0%,  0%,1.05,98.95,0.00,100.00,0.00,0.00,0.21,99.79,0.00,100.00,0.00,0.00,44.49,40.24,13.24 ,12.51 ,97.54 ,132.35 ,2.40,2.40,
2026-08-10,13:25:15.115,0.01,1.49,0.01,0.88,0.09,1.11,0.92,0.83,0.0001,0.0010,0.30,0.09,94,0.00,0.00,1130.78,759.65,2096.02,2.98,74.43,0.02,0.42,13.63,0.03,67.75,0.64,99.36,0.00,100.00,0.00,0.00,84.90,25.78,100.53,2.40,0.02,1.58,0.01,0.97,0.07,1.02,0.93,0.83,0.0001,0.0009, 19840,168,7,0.25,0.08,97,0.00,0.00,41,1107.26,701.80,2096.02,3.16,78.89,0.03,0.83,0.00,0.41,0.00,0.42,0.01,0.08,0.72,0.82,0.0006,0.0034, 22144,9,2,0.05,0.01,56,0.00,0.00,37,23.52,57.85,2096.02,0.81,20.33,0.00,0.02,3.74,3.89,  0%,  0%,3.07,2.94,  0%,  0%,16.46,16.72,  0%,  0%,17.43,17.14,  0%,  0%,1.07,98.93,0.00,100.00,0.00,0.00,0.21,99.79,0.00,100.00,0.00,0.00,44.73,40.17,13.27 ,12.50 ,95.82 ,137.21 ,2.40,2.40,
2026-08-10,13:25:16.115,0.00,1.16,0.00,0.80,0.13,0.75,0.80,0.86,0.0002,0.0012,0.27,0.13,95,0.00,0.00,651.73,562.49,2094.63,2.32,57.93,0.01,0.24,13.03,0.03,102.52,0.52,99.48,0.00,100.00,0.00,0.00,83.51,25.71,98.25,2.40,0.01,1.26,0.01,0.88,0.12,0.67,0.80,0.86,0.0002,0.0011, 20480,274,6,0.23,0.12,97,0.00,0.00,41,623.05,494.04,2094.63,2.52,63.06,0.02,0.46,0.00,0.42,0.00,0.49,0.01,0.08,0.77,0.83,0.0003,0.0028, 22272,5,6,0.05,0.01,52,0.00,0.00,38,28.68,68.44,2094.63,0.84,20.95,0.00,0.02,3.77,3.86,  0%,  0%,2.72,2.68,  0%,  0%,25.17,25.30,  0%,  0%,26.11,25.94,  0%,  0%,0.84,99.16,0.00,100.00,0.00,0.00,0.21,99.79,0.00,100.00,0.00,0.00,43.31,40.21,13.23 ,12.48 ,93.95 ,145.97 ,2.40,2.40,
2026-08-10,13:25:17.115,0.00,0.76,0.00,0.69,0.04,0.39,0.72,0.94,0.0001,0.0011,0.23,0.11,94,0.00,0.00,357.32,467.18,2096.88,1.53,38.24,0.01,0.13,10.72,0.03,94.55,0.50,99.50,0.00,100.00,0.00,0.00,82.93,25.66,117.36,2.40,0.00,0.82,0.01,0.75,0.02,0.30,0.76,0.95,0.0001,0.0009, 21376,199,2,0.19,0.10,97,0.00,0.00,41,331.21,404.32,2096.88,1.64,40.96,0.01,0.25,0.00,0.42,0.00,0.46,0.02,0.09,0.65,0.81,0.0007,0.0034, 22720,6,0,0.04,0.01,54,0.00,0.00,37,26.10,62.86,2096.88,0.83,20.76,0.00,0.02,2.87,2.95,  0%,  0%,2.44,2.46,  0%,  0%,23.46,23.54,  0%,  0%,23.86,23.70,  0%,  0%,0.80,99.20,0.00,100.00,0.00,0.00,0.21,99.79,0.00,100.00,0.00,0.00,42.71,40.22,13.19 ,12.47 ,106.21 ,152.56 ,2.40,2.40,
