System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2025-07-30,14:44:40.057,0.10,0.64,0.15,1.27,0.63,4.54,0.86,0.74,0.0000,0.0003,0.26,0.18,87,0.00,0.00,13219.28,20676.55,2095.96,1.28,31.97,0.20,4.93,39.97,0.09,214.06,12.11,87.89,0.00,100.00,0.00,0.00,104.72,26.46,100.02,2.40,0.12,0.69,0.17,1.26,0.59,4.44,0.87,0.75,0.0001,0.0006, 12800,139,26,0.23,0.17,98,0.00,0.00,40,7775.31,11205.34,2095.96,1.39,34.69,0.23,5.79,0.08,0.57,0.14,1.28,0.03,0.11,0.64,0.48,0.0000,0.0000, 19264,4,2,0.04,0.01,15,0.00,0.00,38,5443.97,9471.21,2095.96,1.15,28.74,0.16,4.06,16.16,16.17,  0%,  0%,3.58,4.05,  0%,  0%,49.36,48.73,  0%,  0%,57.86,58.11,  0%,  0%,13.23,86.77,0.00,100.00,0.00,0.00,10.99,89.01,0.00,100.00,0.00,0.00,56.02,48.70,13.50 ,12.96 ,97.90 ,152.46 ,2.40,2.41,
2025-07-30,14:44:41.057,0.01,0.55,0.02,1.02,0.44,1.59,0.71,0.68,0.0004,0.0014,0.35,1.22,92,0.00,0.00,1118.71,2031.56,2094.90,1.10,27.53,0.02,0.42,76.85,0.05,1066.21,1.49,98.51,0.00,100.00,0.00,0.00,92.07,26.89,106.50,2.40,0.01,0.58,0.02,1.01,0.36,1.24,0.71,0.69,0.0004,0.0013,  8384,2480,7,0.29,1.13,97,0.00,0.00,40,929.00,1609.73,2094.90,1.15,28.86,0.03,0.69,0.00,0.45,0.01,1.04,0.08,0.35,0.73,0.63,0.0004,0.0018, 20288,64,26,0.06,0.08,41,0.00,0.00,38,189.71,421.83,2094.90,0.90,22.49,0.01,0.14,14.83,14.94,  0%,  0%,23.54,23.54,  0%,  0%,271.25,271.20,  1%,  1%,262.01,261.75,  1%,  1%,2.37,97.63,0.00,100.00,0.00,0.00,0.60,99.40,0.00,100.00,0.00,0.00,49.53,42.54,13.96 ,12.93 ,104.41 ,110.96 ,2.40,2.40,
2025-07-30,14:44:42.061,0.03,0.53,0.06,0.89,5.64,8.64,0.31,0.58,0.0014,0.0021,14.28,5.04,55,0.00,0.00,4110.94,7725.28,2097.33,1.06,26.61,0.06,1.53,6561.92,0.34,12385.94,6.48,93.52,0.00,100.00,0.00,0.00,103.95,32.28,193.70,2.40,0.01,0.27,0.04,0.97,2.06,3.46,0.37,0.57,0.0026,0.0043, 27648,1583,2067,5.69,2.13,31,0.00,0.00,40,798.68,2915.29,2097.33,0.55,13.70,0.02,0.59,0.05,0.69,0.07,0.84,3.58,5.18,0.27,0.59,0.0011,0.0016, 23936,6382,3276,8.60,2.92,70,0.00,0.00,36,3312.26,4810.00,2097.33,1.38,34.43,0.10,2.46,1135.64,1135.46,  5%,  5%,2144.99,2145.83,  9%,  9%,3494.98,3494.85, 16%, 16%,2697.51,2698.60, 12%, 12%,4.48,95.52,0.00,100.00,0.00,0.00,8.49,91.51,0.00,100.00,0.00,0.00,49.54,54.40,15.71 ,16.57 ,259.12 ,169.70 ,2.40,2.40,
2025-07-30,14:44:43.065,0.21,0.28,0.78,0.84,61.81,72.80,0.09,0.54,0.0021,0.0025,96.32,18.02,51,0.00,0.00,28909.87,104440.79,2103.03,0.55,13.84,0.43,10.73,48329.62,0.42,72797.35,92.37,7.63,0.00,100.00,0.00,0.00,183.89,60.07,217.24,2.40,0.20,0.25,0.79,0.86,29.80,35.46,0.09,0.56,0.0023,0.0027, 21888,15267,26355,38.87,7.18,48,0.00,0.00,38,13231.57,53175.39,2103.03,0.50,12.44,0.39,9.82,0.23,0.31,0.76,0.81,32.01,37.34,0.08,0.52,0.0020,0.0024, 21632,29359,15772,57.46,10.84,52,0.00,0.00,35,15678.30,51265.41,2103.03,0.61,15.29,0.47,11.64,14187.73,14190.38, 65%, 65%,9975.04,9976.47, 46%, 46%,16752.04,16751.65, 77%, 77%,19649.13,19644.54, 91%, 91%,91.29,8.71,0.00,100.00,0.00,0.00,93.46,6.54,0.00,100.00,0.00,0.00,89.86,94.03,27.44 ,32.63 ,249.77 ,187.25 ,2.40,2.40,
2025-07-30,14:44:44.064,0.22,0.28,0.81,0.81,64.70,73.82,0.06,0.53,0.0022,0.0025,95.75,9.67,50,0.00,0.00,29977.14,108279.43,2093.62,0.55,13.84,0.45,11.20,48050.75,0.46,71924.12,99.64,0.36,0.00,100.00,0.00,0.00,180.78,57.43,203.00,2.40,0.21,0.25,0.84,0.84,32.09,36.74,0.06,0.54,0.0023,0.0027, 24384,14878,26500,38.49,4.01,49,0.00,0.00,38,13806.68,55999.51,2093.62,0.49,12.33,0.41,10.32,0.24,0.31,0.78,0.78,32.62,37.08,0.05,0.51,0.0020,0.0023, 25280,1077220,0,57.25,5.66,51,0.00,0.00,34,16170.46,52279.92,2093.62,0.62,15.47,0.48,12.09,14205.32,14206.12, 66%, 66%,9818.27,9821.04, 45%, 45%,16493.48,16489.03, 77%, 77%,19471.39,19470.21, 90%, 90%,99.61,0.39,0.00,100.00,0.00,0.00,99.67,0.33,0.00,100.00,0.00,0.00,89.11,91.67,26.26 ,31.17 ,235.51 ,172.49 ,2.40,2.40,
2025-07-30,14:44:45.068,0.22,0.28,0.81,0.81,64.85,74.30,0.06,0.53,0.0022,0.0025,95.88,8.10,50,0.00,0.00,30156.95,108433.24,2095.95,0.56,13.91,0.45,11.24,47663.89,0.46,71451.21,99.63,0.37,0.00,100.00,0.00,0.00,181.27,57.04,200.07,2.40,0.21,0.25,0.83,0.84,32.10,37.06,0.06,0.54,0.0023,0.0027, 23424,15325,26717,38.21,3.44,49,0.00,0.00,38,13951.00,55921.53,2095.95,0.50,12.47,0.42,10.40,0.24,0.31,0.78,0.79,32.75,37.24,0.05,0.51,0.0020,0.0023, 24576,28921,15436,57.67,4.67,52,0.00,0.00,34,16205.95,52511.71,2095.95,0.62,15.43,0.48,12.08,14192.72,14193.94, 66%, 66%,9637.25,9639.98, 44%, 44%,16312.59,16308.49, 76%, 75%,19415.66,19414.46, 90%, 90%,99.60,0.40,0.00,100.00,0.00,0.00,99.66,0.34,0.00,100.00,0.00,0.00,89.37,91.91,26.00 ,31.03 ,233.22 ,169.01 ,2.40,2.40,
2025-07-30,14:44:46.062,0.23,0.29,0.79,0.79,63.38,72.21,0.05,0.53,0.0021,0.0023,95.44,7.21,50,0.00,0.00,30862.35,106140.01,2096.85,0.58,14.54,0.46,11.51,47726.02,0.46,71438.45,99.63,0.37,0.00,100.00,0.00,0.00,179.31,56.62,200.31,2.40,0.22,0.28,0.80,0.80,30.69,35.00,0.05,0.54,0.0021,0.0024, 23872,14709,26716,37.78,3.02,48,0.00,0.00,37,14765.12,53645.52,2096.85,0.55,13.76,0.44,11.01,0.24,0.31,0.78,0.79,32.70,37.21,0.05,0.51,0.0020,0.0023, 24704,28477,15478,57.66,4.19,51,0.00,0.00,34,16097.22,52494.48,2096.85,0.61,15.33,0.48,12.01,14217.30,14217.91, 66%, 66%,9643.95,9646.86, 44%, 44%,16307.26,16303.22, 76%, 76%,19414.04,19413.93, 90%, 90%,99.60,0.40,0.00,100.00,0.00,0.00,99.66,0.34,0.00,100.00,0.00,0.00,87.38,91.93,25.68 ,30.94 ,234.49 ,168.40 ,2.40,2.40,
2025-07-30,14:44:47.062,0.23,0.30,0.79,0.79,63.25,71.91,0.05,0.53,0.0020,0.0023,95.87,6.73,50,0.00,0.00,31267.77,105322.40,2095.19,0.59,14.84,0.47,11.66,47679.61,0.46,71359.23,99.64,0.36,0.00,100.00,0.00,0.00,178.88,56.61,198.46,2.40,0.23,0.29,0.79,0.79,30.41,34.68,0.05,0.54,0.0020,0.0023, 23680,14876,26695,37.92,2.98,48,0.00,0.00,37,15114.87,52921.44,2095.19,0.57,14.28,0.45,11.27,0.24,0.31,0.78,0.78,32.84,37.24,0.05,0.51,0.0020,0.0023, 22848,29002,15582,57.95,3.75,52,0.00,0.00,34,16152.90,52400.96,2095.19,0.62,15.41,0.48,12.05,14200.64,14201.02, 66%, 66%,9637.44,9640.51, 44%, 44%,16298.98,16294.63, 75%, 75%,19382.61,19383.01, 90%, 90%,99.60,0.40,0.00,100.00,0.00,0.00,99.67,0.33,0.00,100.00,0.00,0.00,87.07,91.80,25.74 ,30.87 ,231.89 ,167.28 ,2.40,2.40,
2025-07-30,14:44:48.065,0.23,0.30,0.79,0.79,63.35,71.97,0.05,0.52,0.0020,0.0023,95.97,6.35,50,0.00,0.00,31173.18,105311.53,2092.86,0.59,14.80,0.46,11.62,47782.68,0.47,71452.30,99.64,0.36,0.00,100.00,0.00,0.00,179.28,56.58,197.93,2.41,0.23,0.29,0.79,0.79,30.58,34.82,0.05,0.54,0.0020,0.0023, 24704,14674,26693,37.97,2.65,48,0.00,0.00,37,15095.39,52856.33,2092.86,0.57,14.28,0.45,11.26,0.24,0.31,0.78,0.78,32.78,37.15,0.05,0.51,0.0020,0.0023, 24896,28781,15199,57.99,3.69,51,0.00,0.00,33,16077.79,52455.20,2092.86,0.61,15.33,0.48,11.99,14268.48,14269.09, 66%, 66%,9620.96,9624.14, 44%, 44%,16286.26,16281.81, 75%, 75%,19442.08,19442.15, 90%, 90%,99.61,0.39,0.00,100.00,0.00,0.00,99.66,0.34,0.00,100.00,0.00,0.00,87.22,92.06,25.69 ,30.88 ,231.18 ,166.80 ,2.41,2.41,
