System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2026-08-23,23:16:16.214,0.02,1.63,0.01,1.16,0.95,1.73,0.42,0.65,0.0004,0.0007,0.76,0.73,52,0.00,0.00,2579.27,1579.29,2102.08,3.27,81.66,0.04,0.96,527.02,0.36,1369.17,1.02,98.98,0.00,100.00,0.00,0.00,89.71,26.97,118.72,2.40,0.00,0.64,0.00,0.62,0.10,0.25,0.46,0.77,0.0010,0.0026, 23040,57,7,0.37,0.46,9,0.00,0.00,44,96.02,149.13,2102.08,1.29,32.19,0.00,0.07,0.04,1.74,0.02,1.27,0.85,1.48,0.42,0.61,0.0003,0.0006, 22528,481,472,0.39,0.26,97,0.00,0.00,37,2483.25,1430.16,2102.08,3.47,86.82,0.07,1.85,115.31,115.48,  0%,  0%,148.34,147.89,  0%,  0%,355.90,356.61,  1%,  1%,328.59,328.07,  1%,  1%,0.36,99.64,0.00,100.00,0.00,0.00,1.67,98.33,0.00,100.00,0.00,0.00,40.32,49.38,13.65 ,13.32 ,110.48 ,119.38 ,2.40,2.40,
2026-08-23,23:16:17.211,0.02,1.69,0.01,1.17,0.78,1.52,0.45,0.71,0.0003,0.0006,0.71,0.72,52,0.00,0.00,2722.65,1610.78,2094.71,3.38,84.51,0.04,1.02,505.24,0.35,1302.49,1.03,98.97,0.00,100.00,0.00,0.00,90.36,26.85,117.97,2.40,0.00,0.79,0.00,0.69,0.09,0.27,0.56,0.81,0.0006,0.0019, 20800,50,11,0.35,0.45,9,0.00,0.00,44,141.69,179.74,2094.71,1.58,39.41,0.00,0.11,0.04,1.80,0.02,1.28,0.69,1.25,0.43,0.67,0.0003,0.0005, 22272,466,467,0.36,0.26,96,0.00,0.00,37,2580.96,1431.03,2094.71,3.61,90.18,0.08,1.92,113.42,113.76,  0%,  0%,139.16,138.90,  0%,  0%,336.42,336.92,  1%,  1%,314.88,314.27,  1%,  1%,0.39,99.61,0.00,100.00,0.00,0.00,1.67,98.33,0.00,100.00,0.00,0.00,40.42,49.94,13.61 ,13.24 ,111.82 ,118.51 ,2.40,2.40,
2026-08-23,23:16:18.214,0.02,1.70,0.01,1.17,0.73,1.46,0.46,0.69,0.0003,0.0005,0.68,0.69,49,0.00,0.00,2674.71,1569.86,2096.46,3.41,85.19,0.04,1.00,509.92,0.37,1308.69,1.00,99.00,0.00,100.00,0.00,0.00,90.23,26.84,117.65,2.40,0.00,0.69,0.00,0.63,0.08,0.24,0.57,0.77,0.0008,0.0025, 22592,21,24,0.34,0.44,4,0.00,0.00,44,99.33,143.85,2096.46,1.38,34.52,0.00,0.07,0.04,1.81,0.02,1.28,0.66,1.22,0.45,0.67,0.0003,0.0005, 22528,458,461,0.35,0.25,97,0.00,0.00,37,2575.39,1426.01,2096.46,3.61,90.30,0.08,1.92,113.91,114.29,  0%,  0%,141.00,140.71,  0%,  0%,338.43,339.06,  1%,  1%,315.96,315.24,  1%,  1%,0.34,99.66,0.00,100.00,0.00,0.00,1.66,98.34,0.00,100.00,0.00,0.00,40.19,50.04,13.60 ,13.24 ,118.66 ,117.59 ,2.40,2.40,
2026-08-23,23:16:19.212,0.02,1.70,0.01,1.16,0.76,1.50,0.46,0.69,0.0003,0.0006,0.69,0.70,51,0.00,0.00,2674.99,1573.45,2095.77,3.40,85.00,0.04,1.00,494.51,0.36,1273.48,1.01,98.99,0.00,100.00,0.00,0.00,90.20,26.81,117.42,2.40,0.00,0.70,0.00,0.62,0.08,0.25,0.58,0.77,0.0008,0.0025, 20800,34,2,0.33,0.44,5,0.00,0.00,44,102.89,146.29,2095.77,1.41,35.17,0.00,0.08,0.04,1.80,0.02,1.28,0.68,1.25,0.44,0.67,0.0003,0.0005, 22272,480,472,0.36,0.26,97,0.00,0.00,37,2572.10,1427.16,2095.77,3.60,90.11,0.08,1.92,111.57,112.05,  0%,  0%,135.69,135.20,  0%,  0%,328.19,329.17,  1%,  1%,308.56,307.55,  1%,  1%,0.35,99.65,0.00,100.00,0.00,0.00,1.67,98.33,0.00,100.00,0.00,0.00,40.21,49.99,13.58 ,13.23 ,116.28 ,117.50 ,2.40,2.40,
2026-08-23,23:16:20.214,0.02,1.69,0.01,1.17,0.77,1.51,0.45,0.69,0.0003,0.0006,0.70,0.70,51,0.00,0.00,2671.27,1581.06,2094.42,3.38,84.48,0.04,1.00,497.64,0.36,1280.66,1.01,98.99,0.00,100.00,0.00,0.00,90.22,26.80,116.95,2.40,0.00,0.65,0.00,0.65,0.11,0.28,0.50,0.74,0.0011,0.0028, 22016,34,12,0.34,0.44,6,0.00,0.00,44,101.33,155.46,2094.42,1.30,32.59,0.00,0.08,0.04,1.80,0.02,1.28,0.66,1.22,0.45,0.67,0.0003,0.0005, 22272,465,448,0.36,0.26,97,0.00,0.00,37,2569.93,1425.60,2094.42,3.61,90.14,0.08,1.92,112.11,112.38,  0%,  0%,136.71,136.43,  0%,  0%,330.54,331.04,  1%,  1%,309.79,309.28,  1%,  1%,0.36,99.64,0.00,100.00,0.00,0.00,1.66,98.34,0.00,100.00,0.00,0.00,40.26,49.95,13.56 ,13.24 ,110.31 ,117.50 ,2.40,2.40,
2026-08-23,23:16:21.212,0.02,1.69,0.01,1.17,0.79,1.56,0.46,0.69,0.0003,0.0006,0.70,0.70,51,0.00,0.00,2666.26,1576.51,2095.60,3.38,84.56,0.04,0.99,503.75,0.36,1296.18,1.01,98.99,0.00,100.00,0.00,0.00,90.25,26.80,117.34,2.40,0.00,0.70,0.00,0.64,0.07,0.25,0.59,0.77,0.0007,0.0024, 21376,34,8,0.34,0.44,5,0.00,0.00,44,103.52,148.11,2095.60,1.40,34.95,0.00,0.08,0.04,1.79,0.02,1.28,0.71,1.31,0.44,0.66,0.0003,0.0005, 22592,470,468,0.36,0.26,97,0.00,0.00,37,2562.74,1428.40,2095.60,3.59,89.71,0.08,1.91,111.97,112.15,  0%,  0%,139.92,139.72,  0%,  0%,335.81,336.12,  1%,  1%,312.28,311.96,  1%,  1%,0.35,99.65,0.00,100.00,0.00,0.00,1.67,98.33,0.00,100.00,0.00,0.00,40.25,50.00,13.58 ,13.22 ,116.86 ,117.37 ,2.40,2.40,
2026-08-23,23:16:22.214,0.02,1.71,0.01,1.16,0.75,1.48,0.46,0.70,0.0003,0.0006,0.68,0.67,49,0.00,0.00,2686.34,1569.51,2094.35,3.42,85.58,0.04,1.00,506.99,0.38,1287.24,1.01,98.99,0.00,100.00,0.00,0.00,90.13,26.81,116.30,2.40,0.00,0.67,0.00,0.62,0.06,0.23,0.63,0.78,0.0006,0.0024, 21760,19,17,0.33,0.43,3,0.00,0.00,44,96.86,143.94,2094.35,1.35,33.65,0.00,0.07,0.04,1.82,0.02,1.28,0.69,1.26,0.44,0.67,0.0003,0.0005, 22464,469,470,0.35,0.23,97,0.00,0.00,37,2589.48,1425.57,2094.35,3.63,90.82,0.08,1.93,114.29,114.50,  0%,  0%,139.22,138.98,  0%,  0%,332.21,332.68,  1%,  1%,311.39,310.94,  1%,  1%,0.35,99.65,0.00,100.00,0.00,0.00,1.66,98.34,0.00,100.00,0.00,0.00,40.14,49.99,13.58 ,13.23 ,124.76 ,115.89 ,2.40,2.40,
2026-08-23,23:16:23.212,0.02,1.72,0.01,1.16,0.73,1.24,0.37,0.73,0.0003,0.0005,0.65,0.72,37,0.00,0.00,2706.51,1569.72,2095.81,3.45,86.21,0.04,1.01,621.77,0.45,1549.32,1.01,98.99,0.00,100.00,0.00,0.00,90.22,26.69,122.04,2.40,0.00,0.70,0.00,0.62,0.07,0.24,0.59,0.78,0.0007,0.0024, 20928,29,7,0.40,0.54,3,0.00,0.00,44,100.26,142.91,2095.81,1.40,35.08,0.00,0.07,0.04,1.83,0.02,1.28,0.65,1.00,0.33,0.72,0.0003,0.0004, 22144,334,584,0.26,0.17,97,0.00,0.00,37,2606.25,1426.81,2095.81,3.65,91.33,0.08,1.94,143.44,143.55,  0%,  0%,167.46,167.31,  0%,  0%,397.90,398.09,  1%,  1%,376.77,376.56,  1%,  1%,0.35,99.65,0.00,100.00,0.00,0.00,1.66,98.34,0.00,100.00,0.00,0.00,40.24,49.98,13.67 ,13.01 ,120.75 ,122.12 ,2.40,2.40,
2026-08-23,23:16:24.214,0.02,1.66,0.01,1.16,0.98,1.56,0.33,0.69,0.0004,0.0006,0.71,0.72,44,0.00,0.00,2642.75,1588.71,2096.38,3.33,83.17,0.04,0.98,588.04,0.41,1486.05,1.02,98.98,0.00,100.00,0.00,0.00,90.20,26.78,118.76,2.40,0.00,0.69,0.00,0.61,0.07,0.24,0.61,0.77,0.0007,0.0025, 22592,22,11,0.38,0.51,3,0.00,0.00,44,97.45,141.32,2096.38,1.38,34.48,0.00,0.07,0.04,1.76,0.02,1.27,0.91,1.31,0.29,0.66,0.0004,0.0005, 22464,423,552,0.33,0.21,97,0.00,0.00,37,2545.31,1447.39,2096.38,3.52,87.93,0.08,1.90,135.28,135.52,  0%,  0%,158.70,158.55,  0%,  0%,381.68,382.02,  1%,  1%,361.39,360.96,  1%,  1%,0.34,99.66,0.00,100.00,0.00,0.00,1.69,98.31,0.00,100.00,0.00,0.00,40.20,50.01,13.66 ,13.12 ,126.84 ,118.42 ,2.40,2.40,
