System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2026-08-23,23:45:02.864,0.08,2.11,0.04,0.93,1.14,3.43,0.64,0.95,0.0001,0.0003,1.12,1.23,66,0.00,0.00,10278.79,4876.16,2097.41,4.22,105.40,0.15,3.83,521.10,0.22,2024.21,3.92,96.08,0.00,100.00,0.00,0.00,91.42,27.33,97.13,2.40,0.06,2.05,0.03,0.92,0.60,1.67,0.60,0.94,0.0001,0.0004,  9152,496,134,0.27,0.39,92,0.00,0.00,34,4112.88,2005.76,2097.41,4.10,102.53,0.12,3.06,0.09,2.15,0.04,0.93,0.54,1.76,0.67,0.96,0.0001,0.0003, 21824,1045,30,0.85,0.84,56,0.00,0.00,30,6165.90,2870.40,2097.41,4.30,107.40,0.18,4.59,68.90,70.25,  0%,  0%,191.62,190.33,  0%,  0%,552.84,555.65,  2%,  2%,459.38,456.33,  2%,  2%,3.26,96.74,0.00,100.00,0.00,0.00,4.59,95.41,0.00,100.00,0.00,0.00,44.92,46.50,13.55 ,13.78 ,110.63 ,92.40 ,2.40,2.40,
2026-08-23,23:45:03.866,0.06,1.37,0.04,0.94,3.24,9.97,0.64,0.86,0.0004,0.0013,1.30,1.51,64,0.00,0.00,7628.55,5561.54,2095.36,2.74,68.58,0.11,2.84,698.02,0.25,2437.33,4.41,95.59,0.00,100.00,0.00,0.00,91.05,27.47,112.12,2.40,0.05,1.33,0.04,0.93,1.54,4.80,0.65,0.85,0.0005,0.0014, 16704,671,222,0.43,0.57,83,0.00,0.00,34,3325.04,2495.43,2095.36,2.66,66.62,0.10,2.48,0.06,1.40,0.05,0.94,1.70,5.17,0.63,0.87,0.0004,0.0012, 23488,1035,128,0.87,0.94,54,0.00,0.00,31,4303.51,3066.12,2095.36,2.81,70.18,0.13,3.21,127.11,127.89,  0%,  0%,222.15,220.87,  1%,  1%,645.99,648.09,  3%,  3%,572.52,570.74,  2%,  2%,3.99,96.01,0.00,100.00,0.00,0.00,4.84,95.16,0.00,100.00,0.00,0.00,44.93,46.12,13.68 ,13.79 ,122.31 ,105.97 ,2.40,2.40,
2026-08-23,23:45:04.864,0.08,1.50,0.06,0.96,2.67,6.52,0.56,0.91,0.0002,0.0006,1.62,1.66,62,0.00,0.00,11115.08,7403.81,2095.67,3.00,75.06,0.17,4.14,850.57,0.26,2842.36,5.76,94.24,0.00,100.00,0.00,0.00,92.62,27.76,112.92,2.40,0.08,1.50,0.06,0.96,1.65,4.06,0.57,0.90,0.0003,0.0007, 10368,882,344,0.60,0.71,82,0.00,0.00,34,5690.95,3782.63,2095.67,3.01,75.22,0.17,4.24,0.08,1.50,0.05,0.96,1.02,2.46,0.55,0.93,0.0002,0.0005, 22016,894,161,1.02,0.95,48,0.00,0.00,31,5424.13,3621.18,2095.67,3.00,74.89,0.16,4.04,175.41,178.02,  0%,  0%,250.17,246.99,  1%,  1%,737.11,743.61,  3%,  3%,683.87,677.77,  3%,  3%,5.87,94.13,0.00,100.00,0.00,0.00,5.64,94.36,0.00,100.00,0.00,0.00,46.19,46.43,13.88 ,13.89 ,118.97 ,107.42 ,2.40,2.40,
2026-08-23,23:45:05.863,0.34,1.03,0.33,1.00,26.89,100.48,0.73,0.81,0.0006,0.0022,8.67,6.42,58,0.00,0.00,45076.74,43954.59,2094.32,2.05,51.28,0.67,16.82,4735.50,0.31,11419.08,32.91,67.09,0.00,100.00,0.00,0.00,118.56,31.87,131.81,2.40,0.35,1.04,0.34,1.00,14.13,52.60,0.73,0.81,0.0006,0.0022, 18944,3358,2396,3.85,3.02,63,0.00,0.00,33,23482.72,22635.54,2094.32,2.07,51.87,0.70,17.52,0.32,1.01,0.32,0.99,12.76,47.87,0.73,0.81,0.0006,0.0022, 22144,3422,1639,4.83,3.41,54,0.00,0.00,30,21594.02,21319.05,2094.32,2.03,50.64,0.64,16.11,1255.63,1249.75,  5%,  5%,1113.01,1117.11,  5%,  5%,2824.96,2816.23, 13%, 13%,2882.92,2894.98, 13%, 13%,33.80,66.20,0.00,100.00,0.00,0.00,32.03,67.97,0.00,100.00,0.00,0.00,59.05,59.51,15.94 ,15.93 ,132.32 ,131.27 ,2.40,2.40,
2026-08-23,23:45:06.864,0.26,1.18,0.22,1.00,23.21,61.11,0.61,0.85,0.0007,0.0017,6.98,5.15,78,0.00,0.00,35118.73,29837.58,2094.77,2.35,58.85,0.52,13.10,2139.72,0.18,6033.03,22.32,77.68,0.00,100.00,0.00,0.00,110.92,30.95,117.04,2.40,0.28,1.21,0.23,1.00,12.04,31.98,0.62,0.84,0.0006,0.0017, 22720,4017,1097,3.35,2.59,83,0.00,0.00,33,18545.10,15353.27,2094.77,2.42,60.39,0.55,13.83,0.25,1.14,0.22,1.00,11.17,29.13,0.61,0.85,0.0007,0.0018, 22208,3926,757,3.63,2.56,73,0.00,0.00,30,16573.62,14484.31,2094.77,2.29,57.21,0.49,12.36,536.27,535.11,  2%,  2%,533.39,534.96,  2%,  2%,1516.17,1513.56,  7%,  7%,1500.23,1503.07,  6%,  7%,22.92,77.08,0.00,100.00,0.00,0.00,21.71,78.29,0.00,100.00,0.00,0.00,55.75,55.18,15.67 ,15.28 ,116.64 ,117.47 ,2.40,2.40,
2026-08-23,23:45:07.868,0.53,1.04,0.51,1.00,50.19,110.34,0.53,0.89,0.0007,0.0015,14.05,9.10,72,0.00,0.00,71437.74,68575.80,2100.04,2.08,52.09,1.06,26.51,5016.06,0.22,12471.85,51.03,48.97,0.00,100.00,0.00,0.00,133.77,34.44,128.74,2.40,0.58,1.04,0.56,1.00,34.65,68.93,0.48,0.87,0.0009,0.0018, 28096,8291,2919,7.34,4.85,82,0.00,0.00,32,39007.46,37469.72,2100.04,2.08,52.05,1.16,28.95,0.48,1.04,0.46,0.99,15.54,41.41,0.61,0.91,0.0005,0.0013, 22976,5005,1661,6.71,4.25,61,0.00,0.00,29,32430.29,31106.08,2100.04,2.09,52.13,0.96,24.07,1471.07,1460.19,  6%,  6%,1037.30,1047.51,  4%,  4%,2984.39,2963.43, 13%, 13%,3250.16,3273.88, 15%, 15%,55.63,44.37,0.00,100.00,0.00,0.00,46.43,53.57,0.00,100.00,0.00,0.00,68.31,65.46,17.68 ,16.76 ,125.73 ,133.43 ,2.40,2.40,
2026-08-23,23:45:08.873,0.48,1.12,0.43,1.00,25.11,77.63,0.66,0.89,0.0004,0.0012,9.83,7.26,57,0.00,0.00,64861.48,57689.35,2103.54,2.25,56.22,0.97,24.16,5521.82,0.32,12952.27,43.14,56.86,0.00,100.00,0.00,0.00,125.26,32.58,137.35,2.40,0.51,1.12,0.46,1.00,15.70,44.12,0.63,0.88,0.0005,0.0013, 22208,3687,3334,4.27,3.06,67,0.00,0.00,31,34478.87,30736.15,2103.54,2.24,56.09,1.03,25.68,0.45,1.13,0.40,0.99,9.42,33.51,0.71,0.90,0.0003,0.0011, 20416,3594,1684,5.56,4.20,49,0.00,0.00,28,30382.62,26953.20,2103.54,2.25,56.36,0.91,22.64,1559.39,1546.32,  7%,  7%,1199.66,1216.45,  5%,  5%,3142.42,3112.55, 14%, 14%,3333.86,3363.44, 15%, 15%,45.79,54.21,0.00,100.00,0.00,0.00,40.49,59.51,0.00,100.00,0.00,0.00,63.04,62.22,16.17 ,16.41 ,135.06 ,140.44 ,2.40,2.40,
2026-08-23,23:45:09.865,0.48,1.02,0.47,1.00,43.24,144.13,0.70,0.84,0.0007,0.0022,12.54,8.25,70,0.00,0.00,64064.21,62789.81,2085.63,2.04,51.01,0.96,24.00,4818.46,0.23,11898.77,47.12,52.88,0.00,100.00,0.00,0.00,129.77,33.51,129.96,2.40,0.50,1.03,0.48,1.00,22.79,75.29,0.69,0.83,0.0007,0.0023, 22720,5559,2673,5.78,3.86,73,0.00,0.00,31,33151.65,32240.24,2085.63,2.06,51.41,0.99,24.84,0.46,1.01,0.46,1.00,20.45,68.85,0.70,0.84,0.0007,0.0022, 22720,5889,1938,6.76,4.39,67,0.00,0.00,28,30912.56,30549.58,2085.63,2.02,50.59,0.93,23.16,1307.70,1297.28,  6%,  6%,1100.33,1113.14,  5%,  5%,2929.74,2906.13, 13%, 13%,3019.38,3043.53, 14%, 14%,48.31,51.69,0.00,100.00,0.00,0.00,45.92,54.08,0.00,100.00,0.00,0.00,64.72,65.06,16.81 ,16.70 ,129.20 ,130.78 ,2.40,2.40,
2026-08-23,23:45:10.865,0.61,1.11,0.55,1.00,43.69,102.80,0.56,0.89,0.0005,0.0013,12.53,8.21,72,0.00,0.00,81228.05,73137.89,2094.23,2.22,55.53,1.21,30.29,4521.97,0.22,11505.61,54.63,45.37,0.00,100.00,0.00,0.00,135.53,33.62,128.99,2.40,0.62,1.13,0.55,1.00,19.55,49.97,0.60,0.89,0.0005,0.0012, 22848,5234,2446,5.46,3.66,74,0.00,0.00,33,41854.22,37033.29,2094.23,2.26,56.51,1.25,31.21,0.59,1.09,0.54,1.00,24.14,52.83,0.53,0.89,0.0006,0.0013, 23360,6343,1644,7.07,4.56,71,0.00,0.00,30,39373.83,36104.60,2094.23,2.18,54.53,1.17,29.36,1236.75,1233.21,  5%,  5%,1023.78,1028.23,  4%,  4%,2814.47,2805.90, 13%, 13%,2937.65,2947.59, 13%, 13%,55.23,44.77,0.00,100.00,0.00,0.00,54.04,45.96,0.00,100.00,0.00,0.00,67.04,68.50,16.73 ,16.89 ,129.80 ,128.24 ,2.40,2.40,
