System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2026-05-12,11:12:38.437,0.02,0.73,0.02,1.28,3.09,19.40,0.82,0.58,0.0015,0.0094,2.79,1.85,48,0.00,0.00,2063.20,2832.25,2096.63,1.46,36.42,0.03,0.77,1502.42,0.32,4303.56,1.65,98.35,0.00,100.00,0.00,0.00,108.36,28.54,146.79,2.40,0.02,0.73,0.02,1.29,1.41,10.44,0.85,0.58,0.0013,0.0094, 13312,420,240,1.76,1.21,53,0.00,0.00,34,1109.09,1527.78,2096.63,1.45,36.30,0.03,0.83,0.01,0.73,0.02,1.27,1.68,8.95,0.79,0.58,0.0018,0.0094, 22784,278,430,1.03,0.64,39,0.00,0.00,30,954.10,1304.47,2096.63,1.46,36.57,0.03,0.71,358.25,341.73,  1%,  1%,394.79,407.66,  1%,  1%,1109.83,1076.14,  5%,  5%,1040.66,1076.93,  4%,  5%,1.77,98.23,0.00,100.00,0.00,0.00,1.54,98.46,0.00,100.00,0.00,0.00,54.06,54.30,14.58 ,13.96 ,162.07 ,134.75 ,2.40,2.40,
2026-05-12,11:12:39.447,0.03,0.52,0.05,1.29,32.71,49.74,0.31,0.46,0.0093,0.0142,11.79,6.35,50,0.00,0.00,3513.19,6716.28,2097.31,1.05,26.15,0.05,1.31,6287.80,0.35,12728.79,3.89,96.11,0.00,100.00,0.00,0.00,118.20,32.41,229.27,2.40,0.03,0.53,0.05,1.29,16.26,25.24,0.33,0.46,0.0090,0.0139, 21696,2643,2513,6.26,3.49,51,0.00,0.00,31,1810.21,3421.80,2097.31,1.06,26.45,0.05,1.35,0.03,0.52,0.05,1.29,16.45,24.50,0.30,0.45,0.0097,0.0144, 22592,2562,2650,5.52,2.86,48,0.00,0.00,28,1702.98,3294.48,2097.31,1.03,25.85,0.05,1.27,1553.90,1535.29,  7%,  7%,1592.67,1605.94,  7%,  7%,3204.03,3170.96, 14%, 14%,3157.36,3196.45, 14%, 14%,3.97,96.03,0.00,100.00,0.00,0.00,3.82,96.18,0.00,100.00,0.00,0.00,58.53,59.67,16.53 ,15.87 ,230.87 ,227.69 ,2.40,2.40,
2026-05-12,11:12:40.437,0.13,0.30,0.42,1.29,340.40,356.47,0.03,0.31,0.0199,0.0208,105.59,24.27,50,0.00,0.00,17111.98,56924.38,2094.42,0.60,15.03,0.26,6.38,53742.60,0.41,77892.95,33.03,66.97,0.00,100.00,0.00,0.00,222.21,62.83,229.23,2.39,0.13,0.30,0.43,1.29,170.81,178.86,0.03,0.31,0.0199,0.0208, 23040,25939,26268,52.84,12.26,50,0.00,0.00,29,8584.12,28515.78,2094.42,0.60,15.05,0.26,6.41,0.13,0.30,0.42,1.29,169.59,177.61,0.03,0.31,0.0199,0.0208, 22784,26087,25435,52.75,12.01,50,0.00,0.00,25,8527.86,28408.60,2094.42,0.60,15.01,0.25,6.36,13450.24,13454.48, 62%, 62%,13421.52,13416.35, 62%, 62%,19418.37,19429.69, 90%, 90%,19523.03,19521.86, 91%, 91%,33.10,66.90,0.00,100.00,0.00,0.00,32.97,67.03,0.00,100.00,0.00,0.00,108.76,113.45,30.97 ,31.86 ,229.45 ,229.00 ,2.40,2.37,
2026-05-12,11:12:41.439,0.12,0.29,0.42,1.28,339.91,356.63,0.03,0.28,0.0204,0.0214,103.99,7.57,50,0.00,0.00,16671.49,56815.56,2096.63,0.59,14.67,0.25,6.21,51610.32,0.46,74777.54,33.20,66.80,0.00,100.00,0.00,0.00,211.46,58.48,202.00,2.23,0.13,0.30,0.43,1.29,173.10,181.58,0.03,0.28,0.0204,0.0214, 24128,25731,25689,52.02,3.82,51,0.00,0.00,29,8498.12,28718.97,2096.63,0.59,14.80,0.25,6.33,0.12,0.29,0.42,1.26,166.81,175.05,0.03,0.28,0.0204,0.0214, 22912,24772,24303,51.97,3.75,49,0.00,0.00,26,8173.37,28096.60,2096.63,0.58,14.55,0.24,6.09,13153.16,13155.83, 61%, 61%,12653.30,12648.04, 58%, 58%,18455.03,18464.32, 85%, 86%,18930.02,18928.18, 88%, 88%,33.29,66.71,0.00,100.00,0.00,0.00,33.11,66.89,0.00,100.00,0.00,0.00,106.46,105.01,28.93 ,29.55 ,203.40 ,200.10 ,2.31,2.15,
2026-05-12,11:12:42.438,0.12,0.29,0.42,1.27,327.35,343.72,0.03,0.28,0.0204,0.0214,100.64,4.16,50,0.00,0.00,16044.15,56290.91,2094.83,0.57,14.25,0.24,5.98,49670.67,0.47,72590.85,33.07,66.93,0.00,100.00,0.00,0.00,199.24,56.72,199.66,2.08,0.12,0.28,0.43,1.29,165.74,174.00,0.03,0.28,0.0204,0.0214, 23488,24601,24770,50.37,2.12,51,0.00,0.00,29,8122.64,28528.08,2094.83,0.57,14.24,0.24,6.06,0.12,0.29,0.41,1.25,161.61,169.72,0.03,0.27,0.0204,0.0214, 24192,24026,23484,50.27,2.05,49,0.00,0.00,26,7921.52,27762.83,2094.83,0.57,14.27,0.24,5.91,12571.69,12573.49, 58%, 58%,12265.03,12260.46, 57%, 57%,17971.39,17977.25, 83%, 83%,18321.48,18320.73, 85%, 85%,33.10,66.90,0.00,100.00,0.00,0.00,33.03,66.97,0.00,100.00,0.00,0.00,99.62,99.63,28.20 ,28.52 ,200.78 ,198.32 ,2.12,2.03,
2026-05-12,11:12:43.511,0.12,0.29,0.42,1.27,349.43,366.96,0.03,0.28,0.0204,0.0214,107.88,3.65,50,0.00,0.00,17136.84,60085.09,2246.63,0.57,14.26,0.24,5.96,53204.64,0.48,77725.07,32.89,67.11,0.00,100.00,0.00,0.00,213.94,60.63,198.50,2.08,0.12,0.29,0.42,1.29,177.10,185.92,0.03,0.28,0.0203,0.0213, 23616,26339,26327,53.97,1.84,51,0.00,0.00,28,8720.97,30432.16,2246.63,0.57,14.33,0.24,6.07,0.12,0.28,0.41,1.26,172.33,181.04,0.03,0.27,0.0205,0.0215, 24768,25721,25096,53.91,1.81,49,0.00,0.00,25,8415.87,29652.92,2246.63,0.57,14.19,0.23,5.85,13471.70,13474.69, 58%, 58%,13131.46,13126.79, 57%, 57%,19237.76,19243.47, 83%, 83%,19623.27,19620.57, 85%, 85%,32.92,67.08,0.00,100.00,0.00,0.00,32.85,67.15,0.00,100.00,0.00,0.00,107.00,106.94,30.18 ,30.46 ,199.66 ,197.12 ,2.12,2.03,
2026-05-12,11:12:44.511,0.12,0.28,0.42,1.27,328.60,345.06,0.03,0.27,0.0204,0.0215,100.67,3.21,50,0.00,0.00,16084.82,56619.37,2097.06,0.57,14.20,0.24,5.99,49639.07,0.48,72512.37,33.19,66.81,0.00,100.00,0.00,0.00,199.57,56.48,198.21,2.08,0.12,0.28,0.43,1.29,166.49,174.78,0.03,0.28,0.0204,0.0214, 24000,24472,24581,50.36,1.61,51,0.00,0.00,29,8157.74,28672.02,2097.06,0.57,14.23,0.24,6.08,0.12,0.28,0.42,1.26,162.10,170.28,0.03,0.27,0.0204,0.0215, 23040,24009,23500,50.31,1.59,49,0.00,0.00,25,7927.08,27947.35,2097.06,0.57,14.18,0.24,5.91,12568.66,12570.77, 58%, 58%,12252.01,12247.63, 57%, 57%,17948.20,17953.48, 83%, 83%,18306.31,18304.38, 85%, 85%,33.23,66.77,0.00,100.00,0.00,0.00,33.15,66.85,0.00,100.00,0.00,0.00,99.73,99.84,28.07 ,28.40 ,199.35 ,196.85 ,2.12,2.03,
2026-05-12,11:12:45.516,0.12,0.29,0.42,1.27,325.95,342.28,0.03,0.28,0.0204,0.0214,100.51,3.18,50,0.00,0.00,15990.46,56077.66,2094.52,0.57,14.26,0.24,5.96,49578.02,0.48,72408.32,32.93,67.07,0.00,100.00,0.00,0.00,199.35,56.41,198.28,2.08,0.12,0.28,0.42,1.29,165.25,173.50,0.03,0.28,0.0204,0.0214, 24128,24663,24642,50.28,1.60,51,0.00,0.00,29,8093.11,28402.37,2094.52,0.57,14.25,0.24,6.04,0.12,0.29,0.41,1.25,160.70,168.77,0.03,0.27,0.0203,0.0214, 24448,23996,23399,50.23,1.58,49,0.00,0.00,25,7897.35,27675.29,2094.52,0.57,14.27,0.24,5.89,12565.65,12567.88, 58%, 58%,12224.65,12219.83, 56%, 56%,17912.83,17918.42, 83%, 83%,18289.49,18287.58, 85%, 85%,32.96,67.04,0.00,100.00,0.00,0.00,32.90,67.10,0.00,100.00,0.00,0.00,99.72,99.63,28.06 ,28.35 ,199.44 ,196.88 ,2.13,2.03,
2026-05-12,11:12:46.511,0.12,0.28,0.42,1.27,326.04,342.39,0.03,0.27,0.0205,0.0215,100.62,3.16,50,0.00,0.00,15938.09,56059.54,2096.60,0.57,14.22,0.24,5.94,49632.12,0.48,72491.74,32.88,67.12,0.00,100.00,0.00,0.00,199.56,56.49,198.22,2.08,0.12,0.28,0.42,1.29,165.14,173.39,0.03,0.28,0.0204,0.0214, 23360,24619,24546,50.33,1.59,51,0.00,0.00,28,8085.57,28395.93,2096.60,0.57,14.24,0.24,6.03,0.12,0.28,0.41,1.26,160.91,169.00,0.03,0.27,0.0205,0.0215, 23808,24007,23435,50.29,1.58,49,0.00,0.00,25,7852.53,27663.61,2096.60,0.57,14.19,0.23,5.85,12572.00,12574.54, 58%, 58%,12245.22,12240.36, 57%, 57%,17938.76,17944.39, 83%, 83%,18305.43,18303.17, 85%, 85%,32.92,67.08,0.00,100.00,0.00,0.00,32.85,67.15,0.00,100.00,0.00,0.00,99.72,99.83,28.04 ,28.45 ,199.37 ,196.84 ,2.13,2.03,
