System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2026-05-12,12:18:19.646,0.00,1.00,0.00,0.97,0.15,0.47,0.66,0.82,0.0003,0.0010,0.48,0.22,51,0.00,0.00,492.68,493.61,2099.07,2.00,49.91,0.01,0.18,277.83,0.40,722.73,0.38,4.49,95.14,100.00,0.00,0.00,72.69,26.35,97.84,2.40,0.01,1.03,0.01,1.01,0.13,0.40,0.65,0.84,0.0003,0.0008, 21888,137,123,0.22,0.10,99,0.00,0.00,47,483.40,469.36,2099.07,2.06,51.50,0.01,0.36,0.00,0.38,0.00,0.52,0.02,0.07,0.68,0.31,0.0019,0.0078,  3200,3,1,0.26,0.13,1,0.00,0.00,41,9.27,24.24,2099.07,0.76,19.12,0.00,0.01,108.04,107.92,  0%,  0%,30.85,31.03,  0%,  0%,149.81,149.35,  0%,  0%,211.60,211.98,  0%,  0%,0.69,7.46,91.85,100.00,0.00,0.00,0.07,1.51,98.42,100.00,0.00,0.00,37.00,35.69,13.24 ,13.11 ,101.25 ,69.87 ,2.40,2.40,
2026-05-12,12:18:20.646,0.00,0.91,0.00,0.77,0.27,0.59,0.51,0.65,0.0008,0.0018,0.52,0.08,50,0.00,0.00,323.16,355.04,2094.60,1.82,45.51,0.00,0.12,272.13,0.45,657.60,0.34,5.74,93.92,100.00,0.00,0.00,72.54,26.25,129.82,2.40,0.00,1.13,0.00,0.72,0.18,0.44,0.56,0.70,0.0006,0.0015, 21376,33,31,0.26,0.03,97,0.00,0.00,47,292.97,260.00,2094.60,2.25,56.34,0.01,0.22,0.00,0.32,0.00,0.98,0.09,0.15,0.37,0.37,0.0029,0.0051,  6272,10,4,0.26,0.06,6,0.00,0.00,41,30.18,95.04,2094.60,0.64,15.88,0.00,0.02,119.89,119.59,  0%,  0%,16.22,16.43,  0%,  0%,123.19,122.42,  0%,  0%,205.60,206.38,  0%,  0%,0.54,8.19,91.27,100.00,0.00,0.00,0.14,3.29,96.57,100.00,0.00,0.00,36.67,35.87,13.20 ,13.05 ,114.52 ,180.91 ,2.40,2.40,
2026-05-12,12:18:21.646,0.02,0.58,0.03,1.17,1.55,13.08,0.72,0.69,0.0008,0.0064,1.08,0.41,42,0.00,0.00,2029.63,3481.72,2095.01,1.17,29.15,0.03,0.76,320.22,0.22,943.21,2.23,32.91,64.87,100.00,0.00,0.00,82.40,26.80,126.72,2.40,0.03,0.59,0.05,1.18,1.48,12.93,0.73,0.69,0.0007,0.0064,  9600,113,185,0.88,0.13,97,0.00,0.00,46,2009.24,3424.19,2095.01,1.17,29.34,0.06,1.50,0.00,0.35,0.00,0.75,0.06,0.15,0.55,0.30,0.0030,0.0073,  4352,3,3,0.21,0.27,2,0.00,0.00,41,20.39,57.53,2095.01,0.71,17.72,0.00,0.02,88.84,88.34,  0%,  0%,71.34,71.70,  0%,  0%,228.65,227.31,  1%,  1%,242.97,244.29,  1%,  1%,4.34,63.46,32.20,100.00,0.00,0.00,0.11,2.35,97.53,100.00,0.00,0.00,46.39,36.01,13.69 ,13.12 ,125.73 ,143.56 ,2.40,2.40,
2026-05-12,12:18:22.646,0.02,0.52,0.04,1.18,3.84,20.63,0.59,0.68,0.0015,0.0083,1.59,0.49,45,0.00,0.00,2479.96,4791.88,2095.38,1.04,25.88,0.04,0.92,420.52,0.20,1220.86,3.02,47.39,49.58,100.00,0.00,0.00,87.25,27.16,123.54,2.40,0.04,0.52,0.07,1.19,3.82,20.52,0.59,0.68,0.0015,0.0083, 10752,201,260,1.31,0.18,99,0.00,0.00,46,2469.70,4769.52,2095.38,1.04,25.89,0.07,1.84,0.00,0.46,0.00,0.38,0.02,0.11,0.77,0.24,0.0021,0.0105,  4096,0,3,0.28,0.31,0,0.00,0.00,42,10.26,22.35,2095.38,0.92,22.96,0.00,0.01,133.07,132.70,  0%,  0%,77.20,77.56,  0%,  0%,282.94,281.74,  1%,  1%,327.56,328.63,  1%,  1%,5.96,93.15,0.89,100.00,0.00,0.00,0.09,1.63,98.28,100.00,0.00,0.00,51.04,36.21,14.01 ,13.15 ,124.17 ,76.36 ,2.40,2.40,
2026-05-12,12:18:23.647,0.02,0.55,0.04,1.18,10.64,27.55,0.36,0.63,0.0037,0.0097,2.28,0.54,48,0.00,0.00,2849.80,5220.92,2094.50,1.09,27.29,0.04,1.06,772.64,0.27,2018.47,3.29,46.94,49.77,100.00,0.00,0.00,87.94,27.55,119.76,2.40,0.04,0.55,0.08,1.19,10.62,27.45,0.35,0.63,0.0037,0.0097, 12544,539,596,1.65,0.20,99,0.00,0.00,46,2840.45,5201.77,2094.50,1.09,27.30,0.08,2.12,0.00,0.49,0.00,0.38,0.02,0.10,0.74,0.23,0.0024,0.0105,  4288,1,3,0.62,0.34,0,0.00,0.00,41,9.35,19.15,2094.50,0.98,24.42,0.00,0.01,302.51,302.24,  1%,  1%,83.74,84.15,  0%,  0%,417.56,416.34,  1%,  1%,591.84,592.73,  2%,  2%,6.51,92.40,1.08,100.00,0.00,0.00,0.07,1.47,98.45,100.00,0.00,0.00,51.64,36.31,14.13 ,13.42 ,119.85 ,101.48 ,2.40,2.40,
2026-05-12,12:18:24.647,0.24,0.33,0.72,1.28,592.88,624.98,0.03,0.37,0.0186,0.0196,64.38,18.40,50,0.00,0.00,31842.54,96912.27,2097.04,0.66,16.43,0.47,11.87,32650.85,0.39,50481.47,56.53,16.99,26.48,100.00,0.00,0.00,161.11,49.93,253.66,2.40,0.30,0.34,0.89,1.28,361.15,383.06,0.03,0.38,0.0181,0.0192, 23104,19287,19419,32.45,9.14,62,0.00,0.00,41,19957.42,59519.58,2097.04,0.67,16.77,0.60,14.88,0.18,0.32,0.56,1.27,231.73,241.92,0.02,0.35,0.0195,0.0204, 22848,11993,11848,31.93,9.26,38,0.00,0.00,37,11885.12,37392.69,2097.04,0.64,15.89,0.35,8.86,10029.50,10031.62, 46%, 46%,6293.45,6296.28, 29%, 29%,11233.69,11235.27, 52%, 52%,14006.15,14006.36, 65%, 65%,69.23,30.70,0.07,100.00,0.00,0.00,43.82,3.28,52.89,100.00,0.00,0.00,88.17,72.94,25.00 ,24.93 ,241.61 ,273.12 ,2.40,2.40,
2026-05-12,12:18:25.647,0.39,0.30,1.29,1.29,1064.17,1115.69,0.03,0.29,0.0205,0.0214,107.16,14.15,50,0.00,0.00,52018.71,172325.46,2094.21,0.60,15.09,0.78,19.41,53960.35,0.44,77601.33,100.00,0.00,0.00,100.00,0.00,0.00,221.74,60.92,207.70,2.40,0.39,0.30,1.29,1.29,532.83,558.55,0.03,0.28,0.0205,0.0215, 21120,26148,25993,53.60,7.07,50,0.00,0.00,40,26017.72,86162.75,2094.21,0.60,15.10,0.78,19.41,0.39,0.30,1.29,1.29,531.34,557.14,0.03,0.29,0.0204,0.0214, 22592,26219,25846,53.56,7.08,50,0.00,0.00,36,26000.99,86162.70,2094.21,0.60,15.09,0.78,19.40,13480.04,13483.75, 62%, 62%,13497.50,13499.05, 62%, 62%,19362.49,19366.71, 90%, 90%,19436.83,19435.31, 90%, 90%,100.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,108.54,113.19,30.00 ,30.93 ,207.65 ,207.75 ,2.40,2.40,
2026-05-12,12:18:26.646,0.37,0.29,1.27,1.28,1011.51,1062.07,0.03,0.28,0.0205,0.0215,102.68,5.34,50,0.00,0.00,49327.69,170578.98,2094.25,0.58,14.46,0.74,18.40,50996.51,0.47,74051.89,99.52,0.48,0.00,100.00,0.00,0.00,205.30,57.61,199.46,2.18,0.37,0.29,1.28,1.29,509.84,535.23,0.03,0.27,0.0205,0.0215, 23936,24862,24746,51.35,2.65,50,0.00,0.00,40,24866.43,85797.88,2094.25,0.58,14.49,0.74,18.55,0.37,0.29,1.27,1.27,501.67,526.84,0.03,0.28,0.0205,0.0215, 22016,24598,24214,51.33,2.68,49,0.00,0.00,36,24461.26,84781.11,2094.25,0.58,14.43,0.73,18.25,12843.10,12846.70, 59%, 59%,12652.42,12654.30, 59%, 59%,18389.24,18389.93, 85%, 85%,18637.53,18635.19, 86%, 86%,99.58,0.42,0.00,100.00,0.00,0.00,99.47,0.53,0.00,100.00,0.00,0.00,101.93,103.37,28.52 ,29.08 ,199.94 ,198.92 ,2.21,2.15,
2026-05-12,12:18:27.647,0.36,0.28,1.27,1.28,993.03,1043.02,0.03,0.27,0.0205,0.0215,100.96,3.54,50,0.00,0.00,48411.00,170085.33,2096.40,0.57,14.23,0.72,18.04,49980.40,0.48,72905.48,99.28,0.72,0.00,100.00,0.00,0.00,199.47,56.82,198.46,2.10,0.37,0.29,1.28,1.29,502.33,527.53,0.03,0.27,0.0205,0.0215, 24064,24526,24561,50.48,1.76,50,0.00,0.00,40,24521.09,85663.56,2096.40,0.57,14.31,0.73,18.28,0.36,0.28,1.26,1.27,490.70,515.48,0.03,0.28,0.0205,0.0216, 22784,24075,23661,50.48,1.78,49,0.00,0.00,35,23889.91,84421.76,2096.40,0.57,14.15,0.71,17.81,12648.35,12651.90, 58%, 58%,12339.26,12340.89, 57%, 57%,18056.31,18056.30, 84%, 84%,18397.71,18395.16, 85%, 85%,99.32,0.68,0.00,100.00,0.00,0.00,99.23,0.77,0.00,100.00,0.00,0.00,99.74,99.73,28.19 ,28.63 ,199.43 ,197.30 ,2.15,2.06,
