System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2026-05-12,15:52:34.708,0.00,0.75,0.00,0.75,0.18,0.44,0.43,0.83,0.0005,0.0012,0.57,0.40,51,0.00,0.00,372.46,495.13,2097.52,1.50,37.61,0.01,0.14,320.18,0.33,949.89,0.49,99.51,0.00,100.00,0.00,0.00,82.70,26.50,122.31,2.40,0.00,0.84,0.01,0.87,0.16,0.30,0.36,0.85,0.0005,0.0009, 21248,267,249,0.24,0.15,97,0.00,0.00,44,334.82,400.40,2097.52,1.67,41.81,0.01,0.25,0.00,0.40,0.00,0.47,0.03,0.14,0.65,0.80,0.0007,0.0036, 22272,8,2,0.33,0.25,2,0.00,0.00,37,37.63,94.73,2097.52,0.79,19.86,0.00,0.03,96.45,96.91,  0%,  0%,63.57,63.25,  0%,  0%,222.89,223.65,  1%,  1%,252.19,251.16,  1%,  1%,0.68,99.32,0.00,100.00,0.00,0.00,0.30,99.70,0.00,100.00,0.00,0.00,42.37,40.33,13.30 ,13.21 ,118.08 ,154.97 ,2.40,2.40,
2026-05-12,15:52:35.708,0.00,0.94,0.00,0.60,0.14,0.39,0.49,0.85,0.0004,0.0011,0.56,0.07,52,0.00,0.00,344.48,367.18,2093.76,1.88,46.91,0.01,0.13,252.92,0.40,610.80,0.46,99.54,0.00,100.00,0.00,0.00,82.30,26.29,122.39,2.40,0.00,1.12,0.00,0.66,0.12,0.27,0.43,0.85,0.0004,0.0009, 22592,64,43,0.30,0.03,97,0.00,0.00,43,308.39,275.29,2093.76,2.24,56.01,0.01,0.23,0.00,0.39,0.00,0.47,0.02,0.11,0.71,0.82,0.0005,0.0032, 22016,7,4,0.27,0.03,2,0.00,0.00,38,36.09,91.89,2093.76,0.79,19.64,0.00,0.03,115.74,116.27,  0%,  0%,10.58,10.33,  0%,  0%,109.91,110.79,  0%,  0%,195.63,194.47,  0%,  0%,0.62,99.38,0.00,100.00,0.00,0.00,0.29,99.71,0.00,100.00,0.00,0.00,41.97,40.33,13.22 ,13.06 ,116.34 ,168.04 ,2.40,2.40,
2026-05-12,15:52:36.707,0.01,0.79,0.01,1.03,1.02,4.55,0.70,0.79,0.0007,0.0032,0.93,0.61,48,0.00,0.00,1433.45,1813.06,2094.76,1.58,39.53,0.02,0.53,509.20,0.33,1459.02,1.32,98.68,0.00,100.00,0.00,0.00,90.93,26.84,144.56,2.40,0.02,0.87,0.02,1.09,0.48,2.88,0.78,0.80,0.0005,0.0027,  3584,192,127,0.62,0.37,66,0.00,0.00,43,1056.53,1212.43,2094.76,1.74,43.57,0.03,0.79,0.01,0.63,0.01,0.92,0.54,1.67,0.59,0.77,0.0014,0.0044, 21952,73,108,0.31,0.24,20,0.00,0.00,38,376.92,600.63,2094.76,1.26,31.38,0.01,0.28,125.82,136.76,  0%,  0%,127.35,119.27,  0%,  0%,348.76,372.70,  1%,  1%,382.14,355.42,  1%,  1%,1.67,98.33,0.00,100.00,0.00,0.00,0.97,99.03,0.00,100.00,0.00,0.00,46.99,43.95,13.60 ,13.24 ,151.27 ,137.71 ,2.40,2.40,
2026-05-12,15:52:37.707,0.02,0.66,0.02,1.09,3.18,7.61,0.47,0.80,0.0016,0.0038,1.50,1.32,45,0.00,0.00,2019.40,3057.43,2094.59,1.32,33.02,0.03,0.75,1097.46,0.39,3152.45,2.10,97.90,0.00,100.00,0.00,0.00,100.94,27.52,146.37,2.40,0.01,0.62,0.02,1.05,1.19,2.91,0.50,0.80,0.0014,0.0035,  7232,241,118,0.98,0.90,49,0.00,0.00,43,822.93,1325.44,2094.59,1.24,31.04,0.02,0.61,0.02,0.69,0.03,1.12,1.99,4.70,0.45,0.80,0.0017,0.0039, 22848,243,342,0.52,0.42,39,0.00,0.00,38,1196.47,1731.99,2094.59,1.38,34.54,0.04,0.89,233.97,258.29,  1%,  1%,310.59,294.61,  1%,  1%,783.65,832.96,  3%,  3%,796.55,739.29,  3%,  3%,1.89,98.11,0.00,100.00,0.00,0.00,2.30,97.70,0.00,100.00,0.00,0.00,49.29,51.65,14.03 ,13.49 ,169.47 ,132.88 ,2.40,2.40,
2026-05-12,15:52:38.707,0.02,0.65,0.02,1.10,5.67,10.10,0.33,0.76,0.0027,0.0048,2.15,1.62,48,0.00,0.00,2088.08,3217.13,2094.49,1.30,32.45,0.03,0.78,1356.87,0.36,3795.22,2.18,97.82,0.00,100.00,0.00,0.00,101.48,27.94,144.59,2.40,0.02,0.66,0.03,1.17,3.35,6.44,0.38,0.75,0.0026,0.0049, 13184,557,394,1.43,1.01,60,0.00,0.00,43,1305.99,1964.67,2094.49,1.33,33.24,0.04,0.97,0.01,0.62,0.02,1.01,2.32,3.66,0.26,0.76,0.0030,0.0047, 22272,258,386,0.72,0.61,30,0.00,0.00,37,782.08,1252.46,2094.49,1.25,31.22,0.02,0.58,333.07,356.35,  1%,  1%,341.91,325.54,  1%,  1%,917.14,965.64,  4%,  4%,983.82,928.61,  4%,  4%,2.51,97.49,0.00,100.00,0.00,0.00,1.86,98.14,0.00,100.00,0.00,0.00,51.51,49.97,14.30 ,13.64 ,150.64 ,136.31 ,2.40,2.40,
2026-05-12,15:52:39.716,0.12,0.32,0.37,1.28,303.99,320.22,0.03,0.34,0.0186,0.0196,63.57,21.06,50,0.00,0.00,16348.49,50527.08,2108.00,0.65,16.18,0.24,6.04,32563.75,0.38,49209.29,29.17,70.83,0.00,100.00,0.00,0.00,172.14,50.14,244.57,2.40,0.13,0.33,0.39,1.28,155.64,164.76,0.03,0.36,0.0180,0.0191, 20544,16447,15791,32.03,10.79,51,0.00,0.00,38,8625.13,26177.54,2108.00,0.66,16.47,0.26,6.38,0.11,0.32,0.36,1.28,148.35,155.46,0.03,0.33,0.0192,0.0201, 20480,15378,15208,31.54,10.27,49,0.00,0.00,33,7723.36,24349.53,2108.00,0.63,15.86,0.23,5.71,8295.28,8304.64, 38%, 38%,7984.71,7979.13, 36%, 36%,12148.47,12167.99, 56%, 56%,12454.23,12438.60, 57%, 57%,30.14,69.86,0.00,100.00,0.00,0.00,28.19,71.81,0.00,100.00,0.00,0.00,86.17,85.98,25.11 ,25.03 ,242.04 ,247.21 ,2.40,2.40,
2026-05-12,15:52:40.712,0.19,0.30,0.64,1.29,526.14,551.72,0.03,0.28,0.0205,0.0215,106.53,12.52,50,0.00,0.00,25689.85,85200.93,2087.06,0.60,15.08,0.39,9.65,53496.02,0.45,76875.36,49.79,50.21,0.00,100.00,0.00,0.00,220.59,59.81,204.86,2.40,0.19,0.30,0.64,1.29,263.43,276.25,0.03,0.28,0.0205,0.0215, 23296,26394,25555,53.32,6.38,50,0.00,0.00,37,12840.56,42589.12,2087.06,0.60,15.07,0.39,9.65,0.19,0.30,0.64,1.29,262.71,275.47,0.03,0.28,0.0204,0.0214, 22528,26072,25829,53.21,6.14,50,0.00,0.00,32,12849.29,42611.80,2087.06,0.60,15.08,0.39,9.66,13347.49,13348.31, 62%, 62%,13400.21,13400.00, 62%, 62%,19195.41,19200.64, 90%, 90%,19239.37,19239.95, 90%, 90%,49.77,50.23,0.00,100.00,0.00,0.00,49.81,50.19,0.00,100.00,0.00,0.00,108.14,112.45,29.46 ,30.34 ,204.92 ,204.80 ,2.40,2.40,
2026-05-12,15:52:41.712,0.18,0.29,0.63,1.27,497.56,522.37,0.03,0.28,0.0204,0.0215,101.64,5.16,50,0.00,0.00,24351.18,84636.54,2094.32,0.58,14.39,0.36,9.08,50199.57,0.47,73158.54,49.54,50.46,0.00,100.00,0.00,0.00,201.82,57.12,200.41,2.13,0.19,0.29,0.64,1.29,253.79,266.43,0.03,0.28,0.0203,0.0214, 23360,25632,24658,50.89,2.62,51,0.00,0.00,37,12476.43,42777.80,2094.32,0.58,14.58,0.37,9.31,0.18,0.28,0.62,1.26,243.78,255.95,0.03,0.27,0.0205,0.0216, 24576,24131,23822,50.75,2.55,49,0.00,0.00,32,11874.75,41858.74,2094.32,0.57,14.18,0.35,8.86,12800.17,12800.35, 59%, 59%,12299.87,12299.18, 57%, 57%,18052.39,18055.67, 84%, 84%,18525.12,18525.36, 86%, 86%,49.65,50.35,0.00,100.00,0.00,0.00,49.42,50.58,0.00,100.00,0.00,0.00,102.09,99.73,28.34 ,28.78 ,202.11 ,198.13 ,2.21,2.05,
2026-05-12,15:52:42.709,0.18,0.28,0.63,1.28,493.00,517.76,0.03,0.27,0.0205,0.0215,100.91,3.64,50,0.00,0.00,24068.13,84650.86,2096.72,0.57,14.22,0.36,8.97,49735.43,0.48,72582.31,49.43,50.57,0.00,100.00,0.00,0.00,199.48,56.53,198.54,2.10,0.18,0.29,0.64,1.29,249.55,262.10,0.03,0.28,0.0205,0.0215, 23680,25118,24229,50.52,1.83,51,0.00,0.00,37,12189.87,42678.60,2096.72,0.57,14.28,0.36,9.08,0.18,0.28,0.63,1.27,243.45,255.66,0.03,0.27,0.0205,0.0215, 22976,24249,23772,50.39,1.81,49,0.00,0.00,32,11878.26,41972.26,2096.72,0.57,14.15,0.35,8.85,12572.20,12572.50, 58%, 58%,12295.62,12295.12, 57%, 57%,17986.27,17987.42, 83%, 83%,18304.27,18304.36, 85%, 85%,49.47,50.53,0.00,100.00,0.00,0.00,49.39,50.61,0.00,100.00,0.00,0.00,99.73,99.75,28.05 ,28.48 ,199.46 ,197.43 ,2.14,2.05,
