System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2026-02-25,20:40:10.821,0.01,0.97,0.01,1.12,0.26,0.43,0.31,0.91,0.0002,0.0003,0.34,0.87,99,0.00,0.00,1564.98,1619.79,2105.60,1.93,48.31,0.02,0.58,11.45,0.01,694.99,1.07,98.93,0.00,100.00,0.00,0.00,86.25,26.92,94.00,2.40,0.02,0.98,0.02,1.14,0.24,0.37,0.29,0.92,0.0002,0.0002, 21440,1654,7,0.32,0.86,99,0.00,0.00,35,1549.41,1586.15,2105.60,1.95,48.84,0.05,1.15,0.00,0.46,0.00,0.62,0.02,0.05,0.43,0.64,0.0015,0.0034, 21440,1,3,0.01,0.01,36,0.00,0.00,30,15.57,33.63,2105.60,0.93,23.15,0.00,0.01,4.18,3.99,  0%,  0%,1.60,1.68,  0%,  0%,174.54,174.27,  0%,  0%,173.11,173.07,  0%,  0%,2.06,97.94,0.00,100.00,0.00,0.00,0.08,99.92,0.00,100.00,0.00,0.00,45.87,40.39,13.96 ,12.96 ,92.06 ,145.78 ,2.40,2.40,
2026-02-25,20:40:11.822,0.00,1.59,0.00,0.39,0.10,0.27,0.58,0.67,0.0003,0.0009,0.46,0.03,99,0.00,0.00,307.51,193.74,2094.64,3.17,79.36,0.00,0.11,4.87,0.01,13.30,0.37,99.63,0.00,100.00,0.00,0.00,81.10,26.40,95.23,2.40,0.00,1.66,0.00,0.39,0.08,0.24,0.61,0.67,0.0003,0.0008, 21568,46,1,0.46,0.02,99,0.00,0.00,35,296.49,178.30,2094.64,3.33,83.14,0.01,0.22,0.00,0.71,0.00,0.45,0.01,0.03,0.38,0.67,0.0013,0.0027, 21952,5,9,0.01,0.00,57,0.00,0.00,30,11.02,15.43,2094.64,1.43,35.70,0.00,0.01,1.33,1.31,  0%,  0%,1.09,1.14,  0%,  0%,3.24,3.13,  0%,  0%,3.42,3.51,  0%,  0%,0.69,99.31,0.00,100.00,0.00,0.00,0.05,99.95,0.00,100.00,0.00,0.00,41.03,40.06,13.50 ,12.90 ,90.16 ,142.09 ,2.40,2.40,
2026-02-25,20:40:12.822,0.01,1.02,0.01,1.05,0.27,3.98,0.90,0.81,0.0002,0.0023,0.53,0.14,98,0.00,0.00,1758.93,1717.69,2096.01,2.05,51.20,0.03,0.66,9.02,0.01,83.85,1.22,98.78,0.00,100.00,0.00,0.00,84.29,26.43,93.16,2.40,0.03,1.03,0.03,1.07,0.25,3.95,0.90,0.81,0.0001,0.0023,  6080,225,4,0.52,0.13,99,0.00,0.00,35,1747.91,1698.73,2096.01,2.06,51.45,0.05,1.30,0.00,0.58,0.00,0.41,0.02,0.04,0.41,0.64,0.0015,0.0032, 21568,1,2,0.01,0.01,21,0.00,0.00,30,11.03,18.97,2096.01,1.16,29.07,0.00,0.01,3.22,3.16,  0%,  0%,1.29,1.36,  0%,  0%,20.36,20.15,  0%,  0%,21.59,21.76,  0%,  0%,2.37,97.63,0.00,100.00,0.00,0.00,0.07,99.93,0.00,100.00,0.00,0.00,44.26,40.02,13.52 ,12.91 ,91.18 ,162.46 ,2.40,2.40,
2026-02-25,20:40:13.822,0.03,0.82,0.04,1.22,1.17,13.45,0.86,0.83,0.0003,0.0031,0.99,0.33,97,0.00,0.00,4387.31,5352.74,2094.89,1.64,40.98,0.07,1.64,15.34,0.01,258.96,3.27,96.73,0.00,100.00,0.00,0.00,93.15,26.92,91.64,2.40,0.07,0.82,0.08,1.23,1.15,13.40,0.86,0.83,0.0003,0.0031,  5952,479,12,0.98,0.32,99,0.00,0.00,35,4376.10,5337.62,2094.89,1.64,40.99,0.13,3.26,0.00,0.74,0.00,0.39,0.02,0.05,0.50,0.58,0.0020,0.0045, 21312,1,2,0.01,0.01,11,0.00,0.00,30,11.21,15.12,2094.89,1.48,37.08,0.00,0.01,5.61,5.53,  0%,  0%,2.05,2.14,  0%,  0%,63.89,63.60,  0%,  0%,65.67,65.81,  0%,  0%,6.49,93.51,0.00,100.00,0.00,0.00,0.06,99.94,0.00,100.00,0.00,0.00,53.12,40.03,13.98 ,12.93 ,90.66 ,155.38 ,2.40,2.40,
2026-02-25,20:40:14.822,0.04,0.67,0.06,1.18,4.20,22.53,0.75,0.74,0.0008,0.0045,1.61,0.91,69,0.00,0.00,5000.13,7471.57,2095.12,1.34,33.46,0.07,1.86,519.75,0.21,1705.83,4.73,95.27,0.00,100.00,0.00,0.00,98.53,27.54,123.84,2.40,0.05,0.74,0.07,1.16,2.99,11.46,0.62,0.81,0.0009,0.0035,  9920,618,30,1.21,0.62,71,0.00,0.00,35,3289.42,4466.57,2095.12,1.47,36.82,0.10,2.45,0.03,0.57,0.04,1.20,1.21,11.08,0.86,0.61,0.0007,0.0065, 21824,788,298,0.40,0.30,65,0.00,0.00,30,1710.70,3005.01,2095.12,1.14,28.46,0.05,1.28,99.50,106.05,  0%,  0%,156.50,157.70,  0%,  0%,445.75,446.38,  2%,  2%,410.56,403.14,  1%,  1%,5.73,94.27,0.00,100.00,0.00,0.00,3.72,96.28,0.00,100.00,0.00,0.00,51.76,46.77,14.13 ,13.41 ,116.98 ,132.21 ,2.40,2.40,
2026-02-25,20:40:15.821,0.05,0.56,0.08,1.15,12.10,41.31,0.64,0.62,0.0019,0.0065,2.89,1.88,65,0.00,0.00,6330.49,11275.49,2093.46,1.12,28.07,0.09,2.36,1242.83,0.26,3807.47,7.33,92.67,0.00,100.00,0.00,0.00,106.29,28.63,130.45,2.40,0.03,0.59,0.04,0.95,7.42,11.19,0.25,0.69,0.0042,0.0063, 15616,1103,175,1.62,1.11,62,0.00,0.00,36,1773.88,3004.79,2093.46,1.18,29.52,0.05,1.32,0.07,0.55,0.12,1.24,4.68,30.12,0.80,0.58,0.0010,0.0066, 23040,1115,775,1.27,0.78,68,0.00,0.00,30,4556.62,8270.70,2093.46,1.10,27.55,0.14,3.40,249.73,265.13,  1%,  1%,363.28,364.69,  1%,  1%,987.33,990.65,  4%,  4%,923.69,905.81,  4%,  4%,4.72,95.28,0.00,100.00,0.00,0.00,9.94,90.06,0.00,100.00,0.00,0.00,48.89,57.40,14.42 ,14.21 ,137.76 ,123.47 ,2.40,2.40,
2026-02-25,20:40:16.828,0.46,0.57,0.80,1.24,876.75,954.18,0.05,0.46,0.0142,0.0154,101.23,3.01,86,0.00,0.00,61903.92,107768.67,2094.95,1.15,28.72,0.92,23.02,14281.23,0.14,27773.47,64.55,35.45,0.00,100.00,0.00,0.00,185.26,53.16,148.00,2.31,0.48,0.57,0.84,1.22,479.90,501.65,0.02,0.48,0.0149,0.0156, 23040,48635,13572,46.93,2.41,97,0.00,0.00,29,32143.08,56533.62,2094.95,1.14,28.43,0.96,23.89,0.44,0.58,0.76,1.26,396.85,452.53,0.07,0.43,0.0133,0.0152, 22528,39469,4122,54.30,0.60,78,0.00,0.00,25,29760.84,51235.05,2094.95,1.16,29.04,0.89,22.14,6394.80,6488.51, 29%, 30%,732.27,665.64,  3%,  3%,4714.90,4832.00, 21%, 22%,9179.53,9047.04, 42%, 42%,68.77,31.23,0.00,100.00,0.00,0.00,60.33,39.67,0.00,100.00,0.00,0.00,91.46,93.80,26.17 ,26.99 ,143.90 ,152.64 ,2.36,2.27,
2026-02-25,20:40:17.824,0.67,0.57,1.19,1.27,1348.92,1414.59,0.02,0.46,0.0150,0.0157,161.06,1.56,87,0.00,0.00,89897.78,158630.72,2096.73,1.13,28.34,1.34,33.60,20195.04,0.12,38177.81,93.12,6.88,0.00,100.00,0.00,0.00,223.07,66.83,161.87,2.25,0.71,0.61,1.17,1.28,755.44,782.71,0.02,0.45,0.0158,0.0164, 21504,69026,20741,70.26,1.45,98,0.00,0.00,29,47731.15,78418.68,2096.73,1.22,30.43,1.43,35.70,0.63,0.53,1.20,1.27,593.48,631.88,0.03,0.48,0.0141,0.0150, 22784,66514,647,90.80,0.12,79,0.00,0.00,25,42166.62,80212.04,2096.73,1.05,26.28,1.26,31.50,9529.07,9553.42, 44%, 44%,564.57,547.97,  2%,  2%,6131.53,6166.87, 28%, 28%,12958.86,12920.54, 60%, 60%,91.64,8.36,0.00,100.00,0.00,0.00,94.61,5.39,0.00,100.00,0.00,0.00,111.80,111.28,31.35 ,35.48 ,149.50 ,176.57 ,2.33,2.17,
2026-02-25,20:40:18.824,0.64,0.54,1.18,1.21,1270.41,1320.75,0.02,0.49,0.0148,0.0154,157.51,1.42,88,0.00,0.00,85557.58,158875.47,2096.24,1.08,26.93,1.28,31.90,19275.97,0.12,37073.82,98.18,1.82,0.00,100.00,0.00,0.00,199.13,66.26,174.03,1.99,0.68,0.57,1.19,1.23,702.89,729.17,0.02,0.47,0.0153,0.0159, 21056,66682,20035,67.69,1.38,98,0.00,0.00,29,45918.54,79917.22,2096.24,1.15,28.73,1.37,34.23,0.59,0.50,1.18,1.18,567.52,591.58,0.02,0.51,0.0143,0.0149, 22016,66844,161,89.82,0.04,80,0.00,0.00,25,39639.04,78958.25,2096.24,1.00,25.10,1.18,29.57,9144.67,9135.03, 42%, 42%,493.06,503.21,  2%,  2%,6000.31,5987.80, 27%, 27%,12535.84,12549.87, 58%, 58%,96.81,3.19,0.00,100.00,0.00,0.00,99.54,0.46,0.00,100.00,0.00,0.00,99.64,99.49,30.92 ,35.35 ,159.78 ,190.61 ,2.00,1.98,
