System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2025-11-30,07:45:49.380,0.01,0.96,0.01,1.16,0.18,0.43,0.55,0.87,0.0002,0.0004,0.38,0.53,98,0.00,0.00,1045.49,1088.14,2099.48,1.92,48.04,0.02,0.39,12.95,0.01,433.29,0.70,99.30,0.00,100.00,0.00,0.00,85.78,26.55,98.56,2.40,0.02,0.98,0.02,1.17,0.15,0.30,0.48,0.90,0.0001,0.0003, 22720,960,4,0.37,0.52,99,0.00,0.00,35,1021.55,1041.70,2099.48,1.96,49.03,0.03,0.76,0.00,0.52,0.00,1.01,0.03,0.13,0.72,0.42,0.0013,0.0054, 21312,8,2,0.01,0.01,45,0.00,0.00,33,23.94,46.44,2099.48,1.03,25.78,0.00,0.02,4.26,4.15,  0%,  0%,2.21,2.32,  0%,  0%,108.54,108.32,  0%,  0%,108.21,108.23,  0%,  0%,1.33,98.67,0.00,100.00,0.00,0.00,0.07,99.93,0.00,100.00,0.00,0.00,45.37,40.40,13.71 ,12.84 ,95.58 ,128.35 ,2.40,2.40,
2025-11-30,07:45:50.380,0.00,1.12,0.00,0.84,0.11,0.36,0.67,0.60,0.0004,0.0012,0.45,0.03,99,0.00,0.00,304.80,271.76,2093.97,2.24,56.08,0.00,0.11,5.78,0.01,15.55,0.24,99.76,0.00,100.00,0.00,0.00,82.08,26.22,96.82,2.40,0.00,1.19,0.00,0.83,0.09,0.25,0.61,0.64,0.0003,0.0009, 22208,62,4,0.44,0.03,99,0.00,0.00,35,284.92,238.91,2093.97,2.39,59.63,0.01,0.21,0.00,0.61,0.00,0.96,0.02,0.11,0.82,0.43,0.0008,0.0053, 21504,5,0,0.01,0.01,41,0.00,0.00,33,19.88,32.86,2093.97,1.21,30.26,0.00,0.01,2.03,1.93,  0%,  0%,0.86,0.97,  0%,  0%,3.57,3.28,  0%,  0%,4.20,4.49,  0%,  0%,0.43,99.57,0.00,100.00,0.00,0.00,0.05,99.95,0.00,100.00,0.00,0.00,41.87,40.21,13.42 ,12.79 ,93.39 ,152.88 ,2.40,2.40,
2025-11-30,07:45:51.380,0.03,0.84,0.03,1.14,3.28,23.51,0.84,0.58,0.0009,0.0067,1.16,0.70,61,0.00,0.00,3511.01,4188.59,2094.71,1.68,41.91,0.05,1.31,535.19,0.29,1591.34,2.75,97.25,0.00,100.00,0.00,0.00,93.58,26.97,145.70,2.40,0.04,0.89,0.04,1.12,1.48,13.53,0.88,0.58,0.0006,0.0056,  9472,267,35,0.84,0.49,70,0.00,0.00,35,2409.69,2699.02,2094.71,1.79,44.64,0.07,1.80,0.02,0.74,0.02,1.16,1.80,9.98,0.80,0.57,0.0016,0.0091, 22912,151,95,0.32,0.21,40,0.00,0.00,33,1101.32,1489.57,2094.71,1.48,36.97,0.03,0.82,120.06,130.73,  0%,  0%,144.79,139.61,  0%,  0%,395.37,410.90,  1%,  1%,402.88,382.19,  1%,  1%,3.59,96.41,0.00,100.00,0.00,0.00,1.91,98.09,0.00,100.00,0.00,0.00,48.05,45.53,13.76 ,13.21 ,160.39 ,132.55 ,2.40,2.40,
2025-11-30,07:45:52.380,0.05,0.78,0.06,1.22,12.56,59.49,0.77,0.57,0.0020,0.0093,2.84,1.82,52,0.00,0.00,6412.39,8257.91,2094.71,1.55,38.83,0.10,2.39,1563.37,0.34,4492.18,5.05,94.95,0.00,100.00,0.00,0.00,106.57,28.45,142.37,2.40,0.05,0.77,0.06,1.23,5.90,30.66,0.79,0.57,0.0018,0.0092, 14080,487,194,1.81,1.19,58,0.00,0.00,35,3322.44,4310.11,2094.71,1.54,38.54,0.10,2.48,0.05,0.78,0.06,1.21,6.66,28.83,0.74,0.57,0.0022,0.0093, 22336,482,279,1.04,0.64,42,0.00,0.00,33,3089.95,3947.80,2094.71,1.57,39.14,0.09,2.30,342.60,365.72,  1%,  1%,432.40,422.66,  2%,  1%,1131.88,1161.77,  5%,  5%,1120.36,1078.18,  5%,  5%,5.23,94.77,0.00,100.00,0.00,0.00,4.87,95.13,0.00,100.00,0.00,0.00,52.93,53.64,14.51 ,13.94 ,154.31 ,131.92 ,2.40,2.40,
2025-11-30,07:45:53.380,0.09,0.95,0.09,1.26,55.21,114.34,0.49,0.57,0.0046,0.0096,7.37,3.78,51,0.00,0.00,11899.51,12579.52,2094.81,1.89,47.30,0.18,4.44,3866.01,0.35,9752.44,7.45,92.55,0.00,100.00,0.00,0.00,113.86,30.77,142.18,2.40,0.09,0.95,0.10,1.27,29.16,60.42,0.49,0.57,0.0046,0.0096, 22848,1759,1288,4.33,2.31,56,0.00,0.00,34,6289.95,6651.42,2094.81,1.89,47.28,0.19,4.69,0.08,0.95,0.09,1.25,26.05,53.92,0.49,0.57,0.0046,0.0096, 23552,1475,1356,3.04,1.47,45,0.00,0.00,32,5609.56,5928.11,2094.81,1.89,47.31,0.17,4.18,916.51,938.79,  4%,  4%,1011.19,999.52,  4%,  4%,2435.64,2466.94, 11%, 11%,2445.16,2404.70, 11%, 11%,7.83,92.17,0.00,100.00,0.00,0.00,7.07,92.93,0.00,100.00,0.00,0.00,56.55,57.30,15.77 ,15.00 ,142.89 ,141.39 ,2.40,2.40,
2025-11-30,07:45:54.388,0.83,0.68,1.23,1.28,704.18,867.89,0.16,0.73,0.0063,0.0077,85.36,25.29,50,0.00,0.00,112526.62,166507.36,2105.16,1.35,33.79,1.67,41.67,47643.86,0.43,72313.71,96.29,3.71,0.00,100.00,0.00,0.00,227.03,57.54,219.15,2.14,0.84,0.68,1.24,1.29,357.16,440.10,0.16,0.72,0.0063,0.0077, 22208,23304,20198,46.93,16.74,50,0.00,0.00,29,56812.01,83573.24,2105.16,1.36,33.99,1.68,42.08,0.83,0.67,1.23,1.28,347.02,427.79,0.15,0.73,0.0062,0.0077, 20352,18839,21253,38.43,8.56,50,0.00,0.00,26,55714.62,82934.12,2105.16,1.34,33.59,1.65,41.26,11026.14,11022.34, 51%, 51%,12797.78,12797.59, 59%, 59%,18737.24,18737.46, 86%, 86%,17415.55,17423.47, 80%, 80%,96.30,3.70,0.00,100.00,0.00,0.00,96.29,3.71,0.00,100.00,0.00,0.00,113.48,113.55,30.66 ,26.88 ,214.67 ,223.80 ,2.17,2.10,
2025-11-30,07:45:55.384,0.82,0.67,1.21,1.22,688.93,844.68,0.15,0.73,0.0063,0.0078,84.85,18.23,50,0.00,0.00,108834.18,161737.62,2086.81,1.35,33.65,1.63,40.83,47103.22,0.46,71195.41,99.43,0.57,0.00,100.00,0.00,0.00,210.40,55.14,212.99,2.02,0.82,0.67,1.22,1.23,350.56,430.14,0.15,0.72,0.0064,0.0078, 22720,23351,20056,46.77,13.03,50,0.00,0.00,30,54915.87,81364.77,2086.81,1.35,33.75,1.65,41.21,0.81,0.67,1.21,1.21,338.36,414.54,0.15,0.73,0.0063,0.0077, 21056,18790,21337,38.08,5.20,50,0.00,0.00,27,53918.31,80372.84,2086.81,1.34,33.54,1.62,40.45,10861.61,10855.77, 50%, 50%,12692.39,12693.46, 59%, 59%,18479.72,18477.26, 86%, 86%,17114.31,17124.13, 80%, 80%,99.35,0.65,0.00,100.00,0.00,0.00,99.52,0.48,0.00,100.00,0.00,0.00,105.24,105.16,29.53 ,25.61 ,207.36 ,218.84 ,2.05,1.99,
2025-11-30,07:45:56.384,0.79,0.68,1.16,1.17,679.93,831.22,0.15,0.72,0.0064,0.0078,84.35,15.28,50,0.00,0.00,106487.49,155827.15,2096.48,1.37,34.17,1.59,39.71,46274.55,0.46,70221.80,99.31,0.69,0.00,100.00,0.00,0.00,199.56,54.53,209.37,1.95,0.80,0.68,1.17,1.18,346.39,423.88,0.15,0.72,0.0064,0.0079, 23104,23038,19720,46.61,11.43,50,0.00,0.00,30,53720.87,78649.69,2096.48,1.37,34.15,1.60,40.05,0.79,0.68,1.15,1.16,333.54,407.34,0.15,0.73,0.0063,0.0077, 22912,18467,21142,37.74,3.85,50,0.00,0.00,27,52766.62,77177.46,2096.48,1.37,34.19,1.57,39.36,10648.92,10643.03, 49%, 49%,12490.94,12491.65, 58%, 58%,18232.80,18230.77, 84%, 84%,16874.43,16883.81, 78%, 78%,99.34,0.66,0.00,100.00,0.00,0.00,99.27,0.73,0.00,100.00,0.00,0.00,99.73,99.84,29.29 ,25.24 ,204.06 ,214.85 ,1.97,1.93,
2025-11-30,07:45:57.385,0.79,0.68,1.16,1.17,683.19,834.55,0.15,0.72,0.0064,0.0078,84.90,13.71,50,0.00,0.00,106561.77,156385.13,2102.44,1.36,34.07,1.58,39.60,46396.60,0.47,70289.57,99.30,0.70,0.00,100.00,0.00,0.00,200.18,54.54,206.94,1.95,0.80,0.68,1.17,1.18,348.16,425.79,0.15,0.72,0.0065,0.0079, 22144,23254,19904,46.98,10.59,50,0.00,0.00,30,53709.73,78884.67,2102.44,1.36,34.04,1.60,39.93,0.79,0.68,1.15,1.16,335.02,408.76,0.14,0.73,0.0063,0.0077, 23936,18667,21384,37.92,3.11,50,0.00,0.00,28,52852.04,77500.46,2102.44,1.36,34.10,1.57,39.28,10668.24,10662.48, 49%, 49%,12533.15,12532.73, 58%, 58%,18257.19,18256.09, 84%, 84%,16883.76,16892.52, 78%, 78%,99.34,0.66,0.00,100.00,0.00,0.00,99.27,0.73,0.00,100.00,0.00,0.00,100.13,100.05,29.42 ,25.12 ,201.29 ,212.77 ,1.97,1.93,
2025-11-30,07:45:58.388,0.79,0.68,1.16,1.17,681.56,832.58,0.15,0.72,0.0064,0.0079,84.80,12.62,50,0.00,0.00,106008.35,156015.74,2095.83,1.36,33.97,1.58,39.51,46266.50,0.47,70005.09,99.30,0.70,0.00,100.00,0.00,0.00,199.47,54.04,205.39,1.95,0.80,0.68,1.17,1.18,347.53,424.96,0.15,0.72,0.0065,0.0080, 22976,23283,19815,46.99,10.02,50,0.00,0.00,29,53443.03,78685.90,2095.83,1.36,33.96,1.59,39.84,0.78,0.68,1.15,1.16,334.02,407.63,0.14,0.73,0.0064,0.0078, 24832,18623,21262,37.81,2.60,50,0.00,0.00,27,52565.32,77329.84,2095.83,1.36,33.99,1.57,39.18,10628.86,10622.86, 49%, 49%,12507.21,12507.58, 58%, 58%,18191.23,18189.44, 84%, 84%,16807.83,16816.59, 78%, 78%,99.33,0.67,0.00,100.00,0.00,0.00,99.27,0.73,0.00,100.00,0.00,0.00,99.74,99.73,29.17 ,24.87 ,199.53 ,211.44 ,1.97,1.93,
