System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2026-03-17,01:36:07.334,0.03,1.91,0.01,0.95,0.56,0.86,0.33,0.81,0.0002,0.0002,0.37,0.63,11,0.00,0.00,3705.71,1940.10,2104.19,3.82,95.50,0.06,1.38,591.75,0.59,1440.34,1.52,98.48,0.00,100.00,0.00,0.00,83.54,26.40,138.68,2.40,0.05,1.93,0.03,0.96,0.53,0.78,0.31,0.82,0.0001,0.0002, 12160,82,561,0.05,0.05,94,0.00,0.00,37,3684.58,1908.93,2104.19,3.86,96.51,0.11,2.74,0.00,0.68,0.00,0.46,0.03,0.08,0.49,0.55,0.0016,0.0038, 21952,4,6,0.32,0.58,0,0.00,0.00,32,21.13,31.17,2104.19,1.36,33.90,0.00,0.02,153.69,153.37,  0%,  0%,142.22,142.47,  0%,  0%,356.27,355.48,  1%,  1%,363.89,364.70,  1%,  1%,2.94,97.06,0.00,100.00,0.00,0.00,0.10,99.90,0.00,100.00,0.00,0.00,43.31,40.22,12.96 ,13.44 ,137.76 ,182.82 ,2.40,2.40,
2026-03-17,01:36:08.334,0.02,1.55,0.01,0.91,0.37,2.80,0.87,0.53,0.0002,0.0012,0.25,0.67,98,0.00,0.00,2351.36,1518.03,2093.97,3.10,77.45,0.04,0.88,11.99,0.01,500.13,1.25,98.75,0.00,100.00,0.00,0.00,83.20,26.32,96.20,2.40,0.03,1.56,0.02,0.92,0.34,2.74,0.88,0.53,0.0001,0.0012,  6976,1047,5,0.24,0.66,99,0.00,0.00,37,2333.90,1494.39,2093.97,3.12,78.09,0.07,1.74,0.00,0.74,0.00,0.42,0.02,0.05,0.45,0.63,0.0013,0.0030, 21568,3,2,0.01,0.01,26,0.00,0.00,32,17.46,23.64,2093.97,1.48,36.94,0.00,0.01,3.06,3.03,  0%,  0%,2.93,2.97,  0%,  0%,125.73,125.73,  0%,  0%,124.47,124.19,  0%,  0%,2.41,97.59,0.00,100.00,0.00,0.00,0.08,99.92,0.00,100.00,0.00,0.00,43.16,40.04,13.56 ,12.76 ,94.84 ,151.60 ,2.40,2.40,
2026-03-17,01:36:09.334,0.01,1.11,0.01,0.78,0.20,0.43,0.55,0.86,0.0002,0.0004,0.26,1.18,99,0.00,0.00,1064.49,963.20,2096.14,2.21,55.26,0.02,0.40,10.09,0.01,881.92,0.92,99.08,0.00,100.00,0.00,0.00,82.35,26.54,111.76,2.40,0.02,1.11,0.01,0.80,0.18,0.39,0.56,0.87,0.0002,0.0004,  6272,1646,8,0.25,1.17,99,0.00,0.00,37,1046.75,940.82,2096.14,2.23,55.63,0.03,0.78,0.00,0.79,0.00,0.38,0.02,0.05,0.44,0.65,0.0012,0.0027, 22080,5,9,0.01,0.01,29,0.00,0.00,32,17.74,22.38,2096.14,1.59,39.64,0.00,0.01,2.98,2.96,  0%,  0%,2.04,2.10,  0%,  0%,221.89,221.75,  1%,  1%,219.32,218.95,  1%,  1%,1.75,98.25,0.00,100.00,0.00,0.00,0.09,99.91,0.00,100.00,0.00,0.00,42.36,39.99,13.78 ,12.77 ,109.26 ,148.53 ,2.40,2.40,
2026-03-17,01:36:10.334,0.01,1.10,0.01,0.79,0.20,0.45,0.55,0.86,0.0002,0.0004,0.26,1.16,99,0.00,0.00,1064.51,966.65,2093.97,2.20,55.06,0.02,0.40,9.24,0.01,864.68,0.91,99.09,0.00,100.00,0.00,0.00,82.31,26.45,113.05,2.40,0.02,1.11,0.01,0.81,0.18,0.40,0.57,0.87,0.0002,0.0004,  6464,1656,3,0.25,1.15,99,0.00,0.00,37,1048.48,943.41,2093.97,2.22,55.57,0.03,0.78,0.00,0.69,0.00,0.38,0.02,0.05,0.41,0.63,0.0014,0.0031, 21632,4,1,0.01,0.01,23,0.00,0.00,32,16.03,23.24,2093.97,1.38,34.49,0.00,0.01,2.89,2.89,  0%,  0%,1.71,1.75,  0%,  0%,217.20,217.21,  1%,  1%,215.40,214.87,  1%,  1%,1.74,98.26,0.00,100.00,0.00,0.00,0.09,99.91,0.00,100.00,0.00,0.00,42.37,39.94,13.72 ,12.73 ,110.59 ,162.79 ,2.40,2.40,
2026-03-17,01:36:11.333,0.01,1.13,0.01,0.76,0.17,0.43,0.59,0.87,0.0002,0.0004,0.24,1.12,99,0.00,0.00,1034.88,911.82,2094.03,2.27,56.75,0.02,0.39,10.31,0.01,836.64,0.90,99.10,0.00,100.00,0.00,0.00,82.11,26.39,118.48,2.40,0.02,1.14,0.01,0.77,0.15,0.38,0.60,0.88,0.0001,0.0004,  6464,1608,3,0.23,1.11,99,0.00,0.00,37,1016.84,889.17,2094.03,2.29,57.18,0.03,0.76,0.00,0.80,0.00,0.40,0.02,0.05,0.49,0.63,0.0011,0.0029, 20864,0,10,0.01,0.01,26,0.00,0.00,33,18.04,22.66,2094.03,1.59,39.81,0.00,0.01,3.05,3.06,  0%,  0%,2.08,2.12,  0%,  0%,210.20,210.24,  0%,  0%,208.39,207.82,  0%,  0%,1.71,98.29,0.00,100.00,0.00,0.00,0.09,99.91,0.00,100.00,0.00,0.00,42.16,39.95,13.68 ,12.71 ,115.50 ,161.82 ,2.40,2.40,
2026-03-17,01:36:12.333,0.01,1.13,0.01,0.75,0.16,0.42,0.60,0.87,0.0002,0.0004,0.24,1.09,99,0.00,0.00,1012.35,898.42,2095.70,2.25,56.34,0.02,0.38,9.40,0.01,805.55,0.89,99.11,0.00,100.00,0.00,0.00,82.10,26.37,118.84,2.40,0.01,1.14,0.01,0.77,0.14,0.35,0.62,0.88,0.0001,0.0004,  8576,1531,5,0.22,1.08,99,0.00,0.00,38,987.98,866.53,2095.70,2.28,57.01,0.03,0.74,0.00,0.76,0.00,0.45,0.03,0.07,0.45,0.63,0.0012,0.0028, 20800,5,0,0.01,0.01,43,0.00,0.00,32,24.37,31.89,2095.70,1.53,38.21,0.00,0.02,2.93,2.82,  0%,  0%,1.78,1.88,  0%,  0%,202.20,202.02,  0%,  0%,200.80,200.53,  0%,  0%,1.68,98.32,0.00,100.00,0.00,0.00,0.11,99.89,0.00,100.00,0.00,0.00,42.11,39.98,13.65 ,12.72 ,116.67 ,138.72 ,2.40,2.40,
2026-03-17,01:36:13.333,0.01,1.14,0.01,0.75,0.15,0.41,0.63,0.87,0.0001,0.0004,0.24,1.10,99,0.00,0.00,1021.40,892.99,2094.43,2.29,57.19,0.02,0.38,5.73,0.00,812.87,0.89,99.11,0.00,100.00,0.00,0.00,82.15,26.39,118.78,2.40,0.01,1.15,0.01,0.77,0.13,0.35,0.63,0.88,0.0001,0.0003,  6144,1593,1,0.23,1.10,99,0.00,0.00,38,1003.90,872.17,2094.43,2.30,57.55,0.03,0.75,0.00,0.84,0.00,0.38,0.02,0.06,0.60,0.60,0.0010,0.0034, 20416,1,3,0.01,0.01,37,0.00,0.00,33,17.51,20.83,2094.43,1.68,42.03,0.00,0.01,1.80,1.82,  0%,  0%,1.05,1.07,  0%,  0%,204.31,204.35,  0%,  0%,202.39,201.82,  0%,  0%,1.69,98.31,0.00,100.00,0.00,0.00,0.08,99.92,0.00,100.00,0.00,0.00,42.17,39.97,13.67 ,12.72 ,115.66 ,177.04 ,2.40,2.40,
2026-03-17,01:36:14.334,0.01,1.13,0.01,0.76,0.15,0.40,0.61,0.87,0.0001,0.0004,0.24,1.10,99,0.00,0.00,1022.77,906.16,2096.03,2.26,56.43,0.02,0.38,5.91,0.00,811.49,0.89,99.11,0.00,100.00,0.00,0.00,82.17,26.39,118.03,2.40,0.01,1.14,0.01,0.78,0.13,0.35,0.62,0.88,0.0001,0.0003,  9344,1570,1,0.23,1.10,99,0.00,0.00,38,1005.30,884.03,2096.03,2.27,56.86,0.03,0.75,0.00,0.79,0.00,0.38,0.02,0.05,0.53,0.67,0.0009,0.0027, 20032,2,2,0.01,0.01,40,0.00,0.00,33,17.46,22.13,2096.03,1.58,39.46,0.00,0.01,1.72,1.73,  0%,  0%,1.21,1.24,  0%,  0%,203.91,203.97,  0%,  0%,202.10,201.51,  0%,  0%,1.68,98.32,0.00,100.00,0.00,0.00,0.09,99.91,0.00,100.00,0.00,0.00,42.19,39.98,13.69 ,12.70 ,115.16 ,174.90 ,2.40,2.40,
2026-03-17,01:36:15.334,0.01,1.13,0.01,0.78,0.15,0.39,0.61,0.87,0.0001,0.0004,0.24,1.14,99,0.00,0.00,1059.18,939.00,2096.02,2.26,56.40,0.02,0.39,6.59,0.00,833.11,0.90,99.10,0.00,100.00,0.00,0.00,82.16,26.45,120.05,2.40,0.02,1.14,0.01,0.79,0.13,0.35,0.62,0.88,0.0001,0.0003,  6976,1626,1,0.24,1.13,99,0.00,0.00,38,1041.97,917.51,2096.02,2.27,56.78,0.03,0.78,0.00,0.80,0.00,0.38,0.02,0.05,0.49,0.66,0.0010,0.0026, 19072,1,2,0.01,0.01,37,0.00,0.00,33,17.21,21.49,2096.02,1.60,40.06,0.00,0.01,2.16,2.16,  0%,  0%,1.11,1.15,  0%,  0%,209.14,209.15,  0%,  0%,207.68,207.14,  0%,  0%,1.72,98.28,0.00,100.00,0.00,0.00,0.08,99.92,0.00,100.00,0.00,0.00,42.22,39.94,13.74 ,12.71 ,117.10 ,177.12 ,2.40,2.40,
