System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2026-08-30,07:45:40.226,0.00,1.49,0.00,0.90,0.14,0.30,0.51,0.53,0.0007,0.0015,0.54,0.48,55,0.00,0.00,196.00,131.29,2100.86,2.99,74.65,0.00,0.07,325.80,0.32,945.82,0.11,99.89,0.00,100.00,0.00,0.00,86.38,26.48,112.45,2.40,0.00,1.46,0.00,0.93,0.12,0.20,0.38,0.41,0.0012,0.0020, 21760,274,242,0.25,0.15,88,0.00,0.00,36,100.32,68.53,2100.86,2.93,73.20,0.00,0.07,0.00,1.52,0.00,0.86,0.02,0.10,0.81,0.67,0.0002,0.0010, 21312,234,32,0.29,0.32,31,0.00,0.00,32,95.69,62.76,2100.86,3.05,76.23,0.00,0.07,92.74,92.21,  0%,  0%,70.22,70.62,  0%,  0%,229.24,227.95,  1%,  1%,243.62,245.01,  1%,  1%,0.11,99.89,0.00,100.00,0.00,0.00,0.11,99.89,0.00,100.00,0.00,0.00,43.29,43.09,13.26 ,13.22 ,115.02 ,101.80 ,2.40,2.40,
2026-08-30,07:45:41.223,0.00,1.15,0.00,0.66,0.01,0.05,0.66,0.82,0.0002,0.0006,0.15,0.85,9,0.00,0.00,74.05,64.48,2095.12,2.30,57.42,0.00,0.03,414.91,0.42,1682.57,0.07,99.93,0.00,100.00,0.00,0.00,84.18,26.16,119.83,2.40,0.00,0.38,0.00,0.48,0.00,0.02,0.63,0.81,0.0009,0.0038, 21568,7,0,0.05,0.01,57,0.00,0.00,36,4.32,11.34,2095.12,0.76,19.06,0.00,0.00,0.00,1.31,0.00,0.72,0.01,0.03,0.68,0.83,0.0001,0.0004, 19008,442,2,0.09,0.84,8,0.00,0.00,33,69.73,53.15,2095.12,2.62,65.60,0.00,0.05,2.75,3.26,  0%,  0%,204.56,204.34,  0%,  0%,499.04,499.40,  2%,  2%,342.41,341.72,  1%,  1%,0.04,99.96,0.00,100.00,0.00,0.00,0.11,99.89,0.00,100.00,0.00,0.00,40.48,43.70,12.83 ,13.33 ,142.46 ,115.79 ,2.40,2.40,
2026-08-30,07:45:42.223,0.00,0.80,0.00,0.54,0.00,0.02,0.68,0.89,0.0001,0.0006,0.13,1.10,5,0.00,0.00,38.63,48.17,2094.97,1.60,40.10,0.00,0.01,549.12,0.45,2221.44,0.07,99.93,0.00,100.00,0.00,0.00,83.64,26.30,139.91,2.40,0.00,0.36,0.00,0.41,0.00,0.01,0.87,0.84,0.0002,0.0034, 21312,6,3,0.05,0.01,55,0.00,0.00,36,2.84,8.00,2094.97,0.71,17.76,0.00,0.00,0.00,0.89,0.00,0.58,0.00,0.01,0.59,0.91,0.0001,0.0004, 19456,532,5,0.07,1.09,4,0.00,0.00,33,35.79,40.17,2094.97,1.78,44.55,0.00,0.03,3.81,4.08,  0%,  0%,270.61,270.62,  1%,  1%,659.30,658.95,  3%,  3%,451.57,451.62,  2%,  2%,0.03,99.97,0.00,100.00,0.00,0.00,0.10,99.90,0.00,100.00,0.00,0.00,40.50,43.14,12.83 ,13.47 ,141.73 ,139.14 ,2.40,2.40,
2026-08-30,07:45:43.223,0.00,0.75,0.00,0.57,0.02,0.05,0.38,0.82,0.0005,0.0011,0.12,1.10,4,0.00,0.00,43.94,58.73,2094.81,1.50,37.41,0.00,0.02,548.30,0.45,2221.51,0.08,99.92,0.00,100.00,0.00,0.00,83.14,26.29,143.72,2.40,0.00,0.39,0.00,0.46,0.01,0.02,0.41,0.71,0.0023,0.0053, 21056,5,0,0.05,0.01,51,0.00,0.00,36,4.50,11.42,2094.81,0.79,19.68,0.00,0.00,0.00,0.83,0.00,0.60,0.01,0.02,0.36,0.86,0.0003,0.0006, 20928,531,4,0.07,1.09,4,0.00,0.00,33,39.45,47.31,2094.81,1.67,41.69,0.00,0.03,2.81,3.11,  0%,  0%,271.19,271.19,  1%,  1%,659.90,659.58,  3%,  3%,451.02,451.01,  2%,  2%,0.04,99.96,0.00,100.00,0.00,0.00,0.12,99.88,0.00,100.00,0.00,0.00,40.12,43.02,12.80 ,13.49 ,144.84 ,143.40 ,2.40,2.40,
2026-08-30,07:45:44.223,0.00,0.78,0.00,0.53,0.00,0.02,0.70,0.89,0.0001,0.0007,0.12,1.08,4,0.00,0.00,36.88,47.17,2095.41,1.56,39.09,0.00,0.01,540.15,0.45,2185.42,0.07,99.93,0.00,100.00,0.00,0.00,82.89,26.33,146.50,2.40,0.00,0.35,0.00,0.43,0.00,0.01,0.83,0.83,0.0003,0.0036, 20480,3,3,0.05,0.02,46,0.00,0.00,37,3.32,9.39,2095.41,0.71,17.65,0.00,0.00,0.00,0.89,0.00,0.57,0.00,0.01,0.61,0.91,0.0001,0.0004, 21248,522,5,0.07,1.07,4,0.00,0.00,33,33.56,37.78,2095.41,1.78,44.42,0.00,0.03,3.26,3.56,  0%,  0%,266.69,266.64,  1%,  1%,649.00,648.76,  3%,  3%,443.85,443.81,  2%,  2%,0.03,99.97,0.00,100.00,0.00,0.00,0.10,99.90,0.00,100.00,0.00,0.00,39.95,42.94,12.86 ,13.47 ,153.47 ,144.62 ,2.40,2.40,
2026-08-30,07:45:45.223,0.00,0.76,0.00,0.57,0.01,0.03,0.66,0.88,0.0001,0.0006,0.13,1.10,5,0.00,0.00,40.43,52.99,2093.74,1.53,38.16,0.00,0.02,549.80,0.45,2216.60,0.07,99.93,0.00,100.00,0.00,0.00,82.77,26.24,133.62,2.40,0.00,0.37,0.00,0.46,0.00,0.01,0.83,0.83,0.0003,0.0030, 20672,0,4,0.05,0.02,47,0.00,0.00,36,3.78,10.10,2093.74,0.75,18.69,0.00,0.00,0.00,0.85,0.00,0.61,0.00,0.01,0.57,0.90,0.0001,0.0004, 19968,535,5,0.07,1.08,4,0.00,0.00,33,36.66,42.88,2093.74,1.71,42.74,0.00,0.03,3.62,3.88,  0%,  0%,271.16,271.15,  1%,  1%,658.40,658.10,  3%,  3%,450.04,450.05,  2%,  2%,0.03,99.97,0.00,100.00,0.00,0.00,0.11,99.89,0.00,100.00,0.00,0.00,39.78,42.99,12.80 ,13.44 ,150.83 ,129.30 ,2.40,2.40,
2026-08-30,07:45:46.223,0.00,0.80,0.00,0.54,0.00,0.02,0.64,0.89,0.0001,0.0006,0.12,1.10,4,0.00,0.00,39.73,49.39,2096.79,1.61,40.22,0.00,0.01,549.95,0.45,2224.72,0.07,99.93,0.00,100.00,0.00,0.00,82.77,26.28,146.74,2.40,0.00,0.38,0.00,0.40,0.00,0.01,0.79,0.83,0.0004,0.0036, 20416,4,0,0.05,0.02,46,0.00,0.00,37,2.94,7.76,2096.79,0.76,18.91,0.00,0.00,0.00,0.88,0.00,0.58,0.00,0.01,0.55,0.91,0.0001,0.0003, 20352,528,5,0.07,1.09,4,0.00,0.00,34,36.80,41.63,2096.79,1.77,44.20,0.00,0.03,3.32,3.60,  0%,  0%,271.53,271.50,  1%,  1%,660.73,660.41,  3%,  3%,451.79,451.79,  2%,  2%,0.03,99.97,0.00,100.00,0.00,0.00,0.11,99.89,0.00,100.00,0.00,0.00,39.70,43.08,12.82 ,13.46 ,159.38 ,143.56 ,2.40,2.40,
2026-08-30,07:45:47.223,0.00,0.80,0.00,0.59,0.01,0.03,0.61,0.88,0.0002,0.0007,0.12,1.10,4,0.00,0.00,42.13,52.87,2094.66,1.59,39.85,0.00,0.02,548.10,0.45,2215.08,0.07,99.93,0.00,100.00,0.00,0.00,82.71,26.28,141.96,2.40,0.00,0.36,0.00,0.44,0.00,0.01,0.74,0.83,0.0005,0.0035, 20096,1,3,0.05,0.01,44,0.00,0.00,37,3.20,8.78,2094.66,0.73,18.22,0.00,0.00,0.00,0.88,0.00,0.63,0.01,0.02,0.56,0.89,0.0001,0.0004, 19392,533,0,0.07,1.08,4,0.00,0.00,34,38.93,44.08,2094.66,1.77,44.16,0.00,0.03,3.30,3.55,  0%,  0%,270.62,270.63,  1%,  1%,657.98,657.57,  3%,  3%,449.73,449.81,  2%,  2%,0.03,99.97,0.00,100.00,0.00,0.00,0.10,99.90,0.00,100.00,0.00,0.00,39.63,43.08,12.81 ,13.47 ,161.74 ,137.34 ,2.40,2.40,
2026-08-30,07:45:48.224,0.00,0.80,0.00,0.55,0.01,0.03,0.61,0.88,0.0002,0.0007,0.12,1.07,4,0.00,0.00,40.59,51.04,2096.73,1.59,39.76,0.00,0.02,538.76,0.45,2172.36,0.07,99.93,0.00,100.00,0.00,0.00,82.82,26.30,137.95,2.40,0.00,0.38,0.00,0.42,0.00,0.01,0.72,0.81,0.0006,0.0039, 20544,2,2,0.05,0.02,45,0.00,0.00,37,3.53,9.25,2096.73,0.76,19.11,0.00,0.00,0.00,0.89,0.00,0.59,0.01,0.02,0.53,0.91,0.0001,0.0004, 20672,519,6,0.07,1.06,4,0.00,0.00,34,37.06,41.80,2096.73,1.77,44.33,0.00,0.03,3.39,3.65,  0%,  0%,265.85,265.86,  1%,  1%,645.33,645.00,  3%,  3%,440.99,441.04,  2%,  2%,0.03,99.97,0.00,100.00,0.00,0.00,0.11,99.89,0.00,100.00,0.00,0.00,39.85,42.96,12.82 ,13.48 ,161.52 ,132.32 ,2.40,2.40,
