,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2026-08-07,22:23:54.084,  570.07,  790.10,    0.00,    0.00,  568.60,  788.07,    0.00,    0.00,  568.32,  788.22,    0.00,    0.00,  555.54,  772.55,    0.00,    0.00,  557.50,  774.43,    0.00,    0.00,  557.39,  774.17,    0.00,    0.00, 3377.44, 4687.55,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 8064.99,    7.68,    7.23,    0.00,    0.00,    7.89,    7.18,    0.00,    0.00,    7.67,    7.23,    0.00,    0.00,    6.73,    7.08,    0.00,    0.00,    6.50,    7.07,    0.00,    0.00,    6.73,    7.06,    0.00,    0.00,   43.21,   42.86,    0.00,    0.00,    0.96,    0.95,    0.00,    0.00,   86.06,   3420.65,   4730.41,      0.00,      0.00,   3420.65,   4730.41,   8151.05
2026-08-07,22:23:55.084,   36.87,   22.30,    0.00,    0.00,   36.67,   22.62,    0.00,    0.00,   35.80,   22.19,    0.00,    0.00,   33.00,   21.90,    0.00,    0.00,   33.77,   22.01,    0.00,    0.00,   33.68,   22.06,    0.00,    0.00,  209.80,  133.07,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  342.88,    7.86,    2.35,    0.00,    0.00,    8.02,    2.30,    0.00,    0.00,    7.33,    2.32,    0.00,    0.00,    6.25,    1.98,    0.00,    0.00,    6.39,    1.97,    0.00,    0.00,    6.30,    1.96,    0.00,    0.00,   42.15,   12.87,    0.00,    0.00,    0.95,    0.94,    0.00,    0.00,   55.02,    251.95,    145.95,      0.00,      0.00,    251.95,    145.95,    397.90
2026-08-07,22:23:56.084,   49.92,  111.25,    0.00,    0.00,   49.78,  111.47,    0.00,    0.00,   49.02,  111.21,    0.00,    0.00,   38.71,  109.06,    0.00,    0.00,   39.24,  108.95,    0.00,    0.00,   39.03,  109.13,    0.00,    0.00,  265.72,  661.08,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  926.79,    8.76,    2.63,    0.00,    0.00,    9.33,    2.74,    0.00,    0.00,    8.66,    2.94,    0.00,    0.00,    7.85,    2.47,    0.00,    0.00,    7.67,    2.65,    0.00,    0.00,    7.98,    2.48,    0.00,    0.00,   50.25,   15.92,    0.00,    0.00,    0.96,    0.95,    0.00,    0.00,   66.17,    315.96,    677.00,      0.00,      0.00,    315.96,    677.00,    992.96
2026-08-07,22:23:57.084,   50.15,  165.79,    0.00,    0.00,   50.06,  166.14,    0.00,    0.00,   49.47,  165.86,    0.00,    0.00,   35.08,  162.44,    0.00,    0.00,   35.38,  162.36,    0.00,    0.00,   35.05,  162.64,    0.00,    0.00,  255.19,  985.23,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00, 1240.42,    7.36,    1.75,    0.00,    0.00,    7.86,    1.73,    0.00,    0.00,    6.93,    1.76,    0.00,    0.00,    6.22,    1.54,    0.00,    0.00,    5.97,    1.56,    0.00,    0.00,    6.41,    1.57,    0.00,    0.00,   40.75,    9.91,    0.00,    0.00,    0.95,    0.94,    0.00,    0.00,   50.65,    295.94,    995.14,      0.00,      0.00,    295.94,    995.14,   1291.08
2026-08-07,22:23:58.084,   54.97,  181.03,    0.00,    0.00,   55.03,  181.30,    0.00,    0.00,   54.40,  180.99,    0.00,    0.00,   38.83,  175.96,    0.00,    0.00,   39.14,  175.83,    0.00,    0.00,   38.89,  176.15,    0.00,    0.00,  281.27, 1071.25,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00, 1352.52,    8.56,    2.03,    0.00,    0.00,    8.98,    1.96,    0.00,    0.00,    7.96,    2.01,    0.00,    0.00,    7.09,    1.79,    0.00,    0.00,    7.01,    1.79,    0.00,    0.00,    7.21,    1.79,    0.00,    0.00,   46.83,   11.36,    0.00,    0.00,    0.95,    0.94,    0.00,    0.00,   58.19,    328.09,   1082.62,      0.00,      0.00,    328.09,   1082.62,   1410.71
2026-08-07,22:23:59.084,   54.05,  190.36,    0.00,    0.00,   54.02,  190.69,    0.00,    0.00,   53.30,  190.37,    0.00,    0.00,   36.98,  184.56,    0.00,    0.00,   37.24,  184.48,    0.00,    0.00,   37.08,  184.73,    0.00,    0.00,  272.68, 1125.21,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00, 1397.89,    7.81,    2.04,    0.00,    0.00,    7.93,    2.01,    0.00,    0.00,    6.97,    2.01,    0.00,    0.00,    6.17,    1.79,    0.00,    0.00,    6.23,    1.79,    0.00,    0.00,    6.40,    1.82,    0.00,    0.00,   41.51,   11.46,    0.00,    0.00,    0.95,    0.94,    0.00,    0.00,   52.97,    314.19,   1136.67,      0.00,      0.00,    314.19,   1136.67,   1450.86
2026-08-07,22:24:00.084,   52.58,  182.60,    0.00,    0.00,   52.73,  182.97,    0.00,    0.00,   52.04,  182.69,    0.00,    0.00,   36.40,  176.77,    0.00,    0.00,   36.54,  176.62,    0.00,    0.00,   36.52,  176.95,    0.00,    0.00,  266.82, 1078.60,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00, 1345.43,    7.53,    1.91,    0.00,    0.00,    8.08,    1.90,    0.00,    0.00,    7.31,    1.94,    0.00,    0.00,    6.40,    1.72,    0.00,    0.00,    6.17,    1.71,    0.00,    0.00,    6.76,    1.68,    0.00,    0.00,   42.24,   10.86,    0.00,    0.00,    0.95,    0.94,    0.00,    0.00,   53.11,    309.06,   1089.47,      0.00,      0.00,    309.06,   1089.47,   1398.53
2026-08-07,22:24:01.084,   52.23,  178.55,    0.00,    0.00,   52.39,  178.86,    0.00,    0.00,   51.71,  178.56,    0.00,    0.00,   36.36,  172.97,    0.00,    0.00,   36.55,  172.82,    0.00,    0.00,   36.35,  173.16,    0.00,    0.00,  265.60, 1054.92,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00, 1320.52,    7.30,    1.51,    0.00,    0.00,    7.13,    1.44,    0.00,    0.00,    6.23,    1.47,    0.00,    0.00,    5.35,    1.27,    0.00,    0.00,    5.58,    1.27,    0.00,    0.00,    5.60,    1.28,    0.00,    0.00,   37.18,    8.24,    0.00,    0.00,    0.94,    0.93,    0.00,    0.00,   45.41,    302.78,   1063.15,      0.00,      0.00,    302.78,   1063.15,   1365.93
2026-08-07,22:24:02.084,   52.66,  183.89,    0.00,    0.00,   52.98,  184.27,    0.00,    0.00,   52.32,  184.00,    0.00,    0.00,   36.55,  177.48,    0.00,    0.00,   36.67,  177.26,    0.00,    0.00,   36.61,  177.62,    0.00,    0.00,  267.78, 1084.53,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00, 1352.31,    7.54,    1.46,    0.00,    0.00,    7.70,    1.43,    0.00,    0.00,    6.71,    1.44,    0.00,    0.00,    5.65,    1.23,    0.00,    0.00,    5.98,    1.24,    0.00,    0.00,    5.97,    1.24,    0.00,    0.00,   39.54,    8.03,    0.00,    0.00,    0.94,    0.93,    0.00,    0.00,   47.58,    307.33,   1092.56,      0.00,      0.00,    307.33,   1092.56,   1399.89
