,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2026-04-01,18:32:46.623,  554.02,  779.39,    0.00,    0.00,  553.41,  778.64,    0.00,    0.00,  555.64,  781.79,    0.00,    0.00,  542.21,  765.96,    0.00,    0.00,  541.18,  763.72,    0.00,    0.00,  541.30,  764.08,    0.00,    0.00, 3287.76, 4633.57,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 7921.33,    5.48,    5.10,    0.00,    0.00,    5.47,    5.13,    0.00,    0.00,    5.66,    5.30,    0.00,    0.00,    4.66,    4.51,    0.00,    0.00,    4.44,    4.37,    0.00,    0.00,    4.66,    4.51,    0.00,    0.00,   30.38,   28.93,    0.00,    0.00,    0.96,    0.94,    0.00,    0.00,   59.31,   3318.14,   4662.50,      0.00,      0.00,   3318.14,   4662.50,   7980.64
2026-04-01,18:32:47.623,   27.75,   18.82,    0.00,    0.00,   27.54,   18.87,    0.00,    0.00,   27.74,   18.80,    0.00,    0.00,   25.35,   18.46,    0.00,    0.00,   25.51,   18.39,    0.00,    0.00,   24.84,   18.45,    0.00,    0.00,  158.73,  111.79,    0.00,    0.00,    0.99,    0.98,    0.00,    0.00,  270.51,    2.82,    1.55,    0.00,    0.00,    2.87,    1.60,    0.00,    0.00,    2.81,    1.55,    0.00,    0.00,    2.71,    1.46,    0.00,    0.00,    2.59,    1.43,    0.00,    0.00,    2.60,    1.41,    0.00,    0.00,   16.41,    8.99,    0.00,    0.00,    0.85,    0.84,    0.00,    0.00,   25.40,    175.13,    120.78,      0.00,      0.00,    175.13,    120.78,    295.91
2026-04-01,18:32:48.623,   51.91,  171.94,    0.00,    0.00,   51.62,  171.94,    0.00,    0.00,   51.87,  172.02,    0.00,    0.00,   36.30,  167.39,    0.00,    0.00,   36.28,  167.41,    0.00,    0.00,   36.20,  167.34,    0.00,    0.00,  264.18, 1018.05,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00, 1282.22,    2.07,    1.54,    0.00,    0.00,    2.08,    1.54,    0.00,    0.00,    2.05,    1.51,    0.00,    0.00,    1.92,    1.38,    0.00,    0.00,    1.81,    1.30,    0.00,    0.00,    1.81,    1.31,    0.00,    0.00,   11.75,    8.59,    0.00,    0.00,    0.80,    0.78,    0.00,    0.00,   20.34,    275.92,   1026.64,      0.00,      0.00,    275.92,   1026.64,   1302.56
2026-04-01,18:32:49.623,  205.57,  234.46,    0.00,    0.00,  205.35,  235.22,    0.00,    0.00,  197.91,  228.64,    0.00,    0.00,  160.05,  201.11,    0.00,    0.00,  161.82,  202.78,    0.00,    0.00,  167.37,  208.13,    0.00,    0.00, 1098.08, 1310.33,    0.00,    0.00,    1.01,    1.01,    0.00,    0.00, 2408.41,  258.91,  196.03,    0.00,    0.00,  259.00,  190.95,    0.00,    0.00,  249.96,  180.22,    0.00,    0.00,  201.99,  172.03,    0.00,    0.00,  199.58,  170.46,    0.00,    0.00,  194.63,  170.96,    0.00,    0.00, 1364.07, 1080.66,    0.00,    0.00,    1.01,    1.00,    0.00,    0.00, 2444.72,   2462.15,   2390.99,      0.00,      0.00,   2462.15,   2390.99,   4853.13
2026-04-01,18:32:50.628, 7489.21,  103.85,    0.00,    0.00, 7488.63,  106.01,    0.00,    0.00, 7489.84,  106.56,    0.00,    0.00, 7472.42,   94.98,    0.00,    0.00, 7474.94,   96.17,    0.00,    0.00, 7474.33,   97.96,    0.00,    0.00,44889.37,  605.52,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,45494.89,13964.72,   70.67,    0.00,    0.00,13955.25,   71.34,    0.00,    0.00,13957.64,   68.33,    0.00,    0.00,13937.63,   62.51,    0.00,    0.00,13942.66,   61.14,    0.00,    0.00,13943.17,   61.94,    0.00,    0.00,83701.06,  395.94,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,84097.00, 128590.44,   1001.46,      0.00,      0.00, 128590.44,   1001.46, 129591.90
2026-04-01,18:32:51.624, 9028.56,   18.99,    0.00,    0.00, 9024.15,   17.83,    0.00,    0.00, 9026.22,   18.93,    0.00,    0.00, 9014.83,   14.21,    0.00,    0.00, 9016.36,   15.51,    0.00,    0.00, 9012.64,   15.38,    0.00,    0.00,54122.77,  100.85,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,54223.61,15406.12,   16.96,    0.00,    0.00,15401.46,   17.71,    0.00,    0.00,15399.76,   16.68,    0.00,    0.00,15392.08,   13.81,    0.00,    0.00,15400.85,   12.73,    0.00,    0.00,15403.87,   13.58,    0.00,    0.00,92404.13,   91.47,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,92495.60, 146526.91,    192.32,      0.00,      0.00, 146526.91,    192.32, 146719.22
2026-04-01,18:32:52.628, 9143.69,   18.53,    0.00,    0.00, 9139.43,   17.66,    0.00,    0.00, 9140.79,   18.41,    0.00,    0.00, 9130.07,   14.00,    0.00,    0.00, 9132.37,   15.18,    0.00,    0.00, 9128.84,   15.08,    0.00,    0.00,54815.18,   98.86,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,54914.05,15415.62,   16.77,    0.00,    0.00,15411.45,   17.48,    0.00,    0.00,15409.50,   16.35,    0.00,    0.00,15401.97,   13.48,    0.00,    0.00,15410.61,   12.56,    0.00,    0.00,15414.01,   13.36,    0.00,    0.00,92463.15,   90.00,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,92553.15, 147278.33,    188.87,      0.00,      0.00, 147278.33,    188.87, 147467.19
2026-04-01,18:32:53.624, 9005.20,   17.79,    0.00,    0.00, 9000.84,   16.91,    0.00,    0.00, 9002.38,   17.57,    0.00,    0.00, 8991.57,   13.39,    0.00,    0.00, 8993.53,   14.58,    0.00,    0.00, 8989.52,   14.13,    0.00,    0.00,53983.05,   94.37,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,54077.42,15407.08,   14.98,    0.00,    0.00,15401.88,   15.43,    0.00,    0.00,15399.64,   14.42,    0.00,    0.00,15390.59,   11.53,    0.00,    0.00,15400.91,   10.94,    0.00,    0.00,15403.90,   11.62,    0.00,    0.00,92404.00,   78.92,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,92482.92, 146387.05,    173.29,      0.00,      0.00, 146387.05,    173.29, 146560.34
2026-04-01,18:32:54.625, 9094.14,   15.85,    0.00,    0.00, 9089.49,   14.93,    0.00,    0.00, 9092.36,   15.37,    0.00,    0.00, 9081.05,   11.79,    0.00,    0.00, 9082.88,   12.71,    0.00,    0.00, 9077.75,   11.86,    0.00,    0.00,54517.66,   82.50,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,54600.16,15424.10,   10.29,    0.00,    0.00,15420.98,   10.46,    0.00,    0.00,15418.36,    9.86,    0.00,    0.00,15410.62,    6.97,    0.00,    0.00,15418.71,    6.49,    0.00,    0.00,15423.12,    7.24,    0.00,    0.00,92515.91,   51.31,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,92567.22, 147033.56,    133.81,      0.00,      0.00, 147033.56,    133.81, 147167.38
2026-04-01,18:32:55.626, 9088.24,   16.12,    0.00,    0.00, 9083.72,   15.17,    0.00,    0.00, 9085.49,   15.69,    0.00,    0.00, 9072.89,   11.95,    0.00,    0.00, 9076.21,   12.93,    0.00,    0.00, 9071.07,   12.17,    0.00,    0.00,54477.63,   84.03,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,54561.66,15430.77,   10.54,    0.00,    0.00,15425.68,   10.73,    0.00,    0.00,15424.12,   10.01,    0.00,    0.00,15415.54,    7.34,    0.00,    0.00,15424.92,    6.51,    0.00,    0.00,15429.21,    7.54,    0.00,    0.00,92550.23,   52.66,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,92602.90, 147027.86,    136.69,      0.00,      0.00, 147027.86,    136.69, 147164.55
