,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2026-08-23,23:44:06.851,  551.32,  785.69,    0.00,    0.00,  551.07,  785.93,    0.00,    0.00,  551.64,  786.32,    0.00,    0.00,  543.24,  776.02,    0.00,    0.00,  543.36,  775.83,    0.00,    0.00,  543.25,  776.34,    0.00,    0.00, 3283.88, 4686.13,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 7970.00,   39.52,   38.84,    0.00,    0.00,   39.33,   39.10,    0.00,    0.00,   38.93,   38.71,    0.00,    0.00,   36.19,   37.69,    0.00,    0.00,   36.10,   37.42,    0.00,    0.00,   36.57,   37.75,    0.00,    0.00,  226.66,  229.51,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  456.16,   3510.53,   4915.63,      0.00,      0.00,   3510.53,   4915.63,   8426.17
2026-08-23,23:44:07.851,    3.60,    2.37,    0.00,    0.00,    3.57,    2.38,    0.00,    0.00,    3.48,    2.32,    0.00,    0.00,    2.75,    1.87,    0.00,    0.00,    2.82,    1.89,    0.00,    0.00,    2.82,    1.91,    0.00,    0.00,   19.06,   12.73,    0.00,    0.00,    0.89,    0.86,    0.00,    0.00,   31.79,   32.62,   28.94,    0.00,    0.00,   32.15,   28.99,    0.00,    0.00,   32.16,   28.91,    0.00,    0.00,   29.14,   28.11,    0.00,    0.00,   29.42,   28.09,    0.00,    0.00,   29.51,   28.15,    0.00,    0.00,  184.99,  171.20,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  356.19,    204.05,    183.93,      0.00,      0.00,    204.05,    183.93,    387.97
2026-08-23,23:44:08.851,   48.02,   45.65,    0.00,    0.00,   47.83,   45.68,    0.00,    0.00,   48.09,   45.87,    0.00,    0.00,   43.63,   44.45,    0.00,    0.00,   44.14,   44.76,    0.00,    0.00,   43.68,   44.48,    0.00,    0.00,  275.40,  270.90,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  546.30,   71.95,   74.86,    0.00,    0.00,   72.22,   75.82,    0.00,    0.00,   71.17,   74.78,    0.00,    0.00,   65.45,   73.16,    0.00,    0.00,   65.73,   73.26,    0.00,    0.00,   66.24,   73.37,    0.00,    0.00,  412.77,  445.24,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  858.01,    688.17,    716.14,      0.00,      0.00,    688.17,    716.14,   1404.32
2026-08-23,23:44:09.858, 3949.66, 1145.51,    0.00,    0.00, 3946.58, 1146.50,    0.00,    0.00, 3947.96, 1145.10,    0.00,    0.00, 3941.51, 1141.64,    0.00,    0.00, 3943.61, 1142.86,    0.00,    0.00, 3939.60, 1141.96,    0.00,    0.00,23668.94, 6863.57,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,30532.51, 3328.54,  899.17,    0.00,    0.00, 3324.54,  901.10,    0.00,    0.00, 3328.14,  899.89,    0.00,    0.00, 3320.92,  881.53,    0.00,    0.00, 3323.02,  881.96,    0.00,    0.00, 3318.34,  880.69,    0.00,    0.00,19943.51, 5344.35,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,25287.86,  43612.45,  12207.92,      0.00,      0.00,  43612.45,  12207.92,  55820.37
2026-08-23,23:44:10.858, 9042.33,  888.93,    0.00,    0.00, 9034.70,  889.37,    0.00,    0.00, 9037.50,  889.56,    0.00,    0.00, 9026.31,  883.45,    0.00,    0.00, 9027.20,  883.50,    0.00,    0.00, 9019.65,  883.75,    0.00,    0.00,54187.70, 5318.56,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,59506.25, 7749.37,  802.24,    0.00,    0.00, 7737.16,  804.95,    0.00,    0.00, 7742.60,  803.31,    0.00,    0.00, 7738.36,  793.20,    0.00,    0.00, 7741.88,  792.92,    0.00,    0.00, 7731.00,  792.59,    0.00,    0.00,46440.37, 4789.21,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,51229.58, 100628.06,  10107.77,      0.00,      0.00, 100628.06,  10107.77, 110735.83
2026-08-23,23:44:11.858, 9064.93,  651.27,    0.00,    0.00, 9057.13,  651.28,    0.00,    0.00, 9060.41,  650.76,    0.00,    0.00, 9048.42,  646.11,    0.00,    0.00, 9048.73,  646.53,    0.00,    0.00, 9041.69,  646.38,    0.00,    0.00,54321.30, 3892.32,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,58213.63, 7665.01,  554.65,    0.00,    0.00, 7652.49,  555.83,    0.00,    0.00, 7656.68,  554.16,    0.00,    0.00, 7653.85,  549.55,    0.00,    0.00, 7656.25,  549.30,    0.00,    0.00, 7645.62,  549.66,    0.00,    0.00,45929.89, 3313.16,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,49243.05, 100251.20,   7205.48,      0.00,      0.00, 100251.20,   7205.48, 107456.67
2026-08-23,23:44:12.858, 9088.48,  576.44,    0.00,    0.00, 9080.06,  577.09,    0.00,    0.00, 9083.72,  575.94,    0.00,    0.00, 9071.30,  571.62,    0.00,    0.00, 9072.01,  571.85,    0.00,    0.00, 9064.87,  572.14,    0.00,    0.00,54460.44, 3445.08,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,57905.52, 7624.73,  523.37,    0.00,    0.00, 7612.07,  523.63,    0.00,    0.00, 7616.98,  522.17,    0.00,    0.00, 7613.50,  518.44,    0.00,    0.00, 7615.31,  518.52,    0.00,    0.00, 7605.50,  518.87,    0.00,    0.00,45688.09, 3124.98,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,48813.07, 100148.53,   6570.06,      0.00,      0.00, 100148.53,   6570.06, 106718.59
2026-08-23,23:44:13.861, 9050.92,  574.60,    0.00,    0.00, 9043.04,  574.05,    0.00,    0.00, 9045.44,  574.07,    0.00,    0.00, 9033.40,  570.12,    0.00,    0.00, 9033.90,  570.22,    0.00,    0.00, 9026.11,  569.96,    0.00,    0.00,54232.79, 3433.02,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,57665.82, 7787.04,  515.96,    0.00,    0.00, 7773.75,  517.01,    0.00,    0.00, 7778.54,  515.76,    0.00,    0.00, 7774.92,  512.29,    0.00,    0.00, 7777.66,  511.94,    0.00,    0.00, 7767.18,  512.36,    0.00,    0.00,46659.09, 3085.32,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,49744.41, 100891.88,   6518.34,      0.00,      0.00, 100891.88,   6518.34, 107410.22
2026-08-23,23:44:14.858, 8991.97,  560.69,    0.00,    0.00, 8983.25,  559.59,    0.00,    0.00, 8986.94,  560.03,    0.00,    0.00, 8974.96,  556.05,    0.00,    0.00, 8975.70,  556.20,    0.00,    0.00, 8967.78,  555.58,    0.00,    0.00,53880.60, 3348.14,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,57228.74, 7723.26,  464.33,    0.00,    0.00, 7709.24,  464.75,    0.00,    0.00, 7714.27,  463.83,    0.00,    0.00, 7710.97,  460.33,    0.00,    0.00, 7713.16,  460.18,    0.00,    0.00, 7703.18,  460.42,    0.00,    0.00,46274.07, 2773.84,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,49047.91, 100154.67,   6121.98,      0.00,      0.00, 100154.67,   6121.98, 106276.66
