,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2026-08-23,23:16:15.792,  624.12,  879.46,    0.00,    0.00,  626.60,  881.54,    0.00,    0.00,  625.07,  880.82,    0.00,    0.00,  610.91,  865.08,    0.00,    0.00,  610.35,  864.35,    0.00,    0.00,  613.11,  866.35,    0.00,    0.00, 3710.17, 5237.60,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 8947.77,   60.15,   40.78,    0.00,    0.00,   60.05,   41.09,    0.00,    0.00,   60.35,   40.83,    0.00,    0.00,   55.21,   38.66,    0.00,    0.00,   55.18,   38.58,    0.00,    0.00,   55.20,   38.78,    0.00,    0.00,  346.14,  238.72,    0.00,    0.00,    1.00,    0.99,    0.00,    0.00,  584.86,   4056.31,   5476.31,      0.00,      0.00,   4056.31,   5476.31,   9532.62
2026-08-23,23:16:16.792,   62.18,   78.38,    0.00,    0.00,   63.35,   78.65,    0.00,    0.00,   62.35,   78.50,    0.00,    0.00,   57.69,   73.81,    0.00,    0.00,   57.86,   73.98,    0.00,    0.00,   59.02,   74.14,    0.00,    0.00,  362.46,  457.46,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  819.92,   65.29,   45.88,    0.00,    0.00,   65.06,   46.10,    0.00,    0.00,   65.48,   45.93,    0.00,    0.00,   60.19,   43.16,    0.00,    0.00,   60.15,   43.21,    0.00,    0.00,   60.38,   43.53,    0.00,    0.00,  376.55,  267.82,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  644.37,    739.01,    725.28,      0.00,      0.00,    739.01,    725.28,   1464.29
2026-08-23,23:16:17.791,   56.76,   76.79,    0.00,    0.00,   57.84,   76.97,    0.00,    0.00,   57.04,   76.84,    0.00,    0.00,   53.17,   71.92,    0.00,    0.00,   53.16,   71.94,    0.00,    0.00,   54.64,   72.10,    0.00,    0.00,  332.61,  446.56,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  779.17,   59.74,   42.94,    0.00,    0.00,   59.32,   43.08,    0.00,    0.00,   59.88,   43.05,    0.00,    0.00,   55.01,   40.31,    0.00,    0.00,   54.91,   40.28,    0.00,    0.00,   55.21,   40.55,    0.00,    0.00,  344.08,  250.21,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  594.29,    676.69,    696.76,      0.00,      0.00,    676.69,    696.76,   1373.45
2026-08-23,23:16:18.791,   59.26,   75.86,    0.00,    0.00,   60.79,   76.07,    0.00,    0.00,   59.66,   75.92,    0.00,    0.00,   55.40,   70.44,    0.00,    0.00,   55.12,   70.45,    0.00,    0.00,   56.95,   70.69,    0.00,    0.00,  347.18,  439.44,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  786.62,   62.03,   44.00,    0.00,    0.00,   61.70,   44.10,    0.00,    0.00,   62.19,   44.01,    0.00,    0.00,   56.91,   41.28,    0.00,    0.00,   56.89,   41.25,    0.00,    0.00,   57.06,   41.51,    0.00,    0.00,  356.80,  256.16,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  612.96,    703.98,    695.60,      0.00,      0.00,    703.98,    695.60,   1399.58
2026-08-23,23:16:19.791,   57.13,   76.47,    0.00,    0.00,   58.32,   76.53,    0.00,    0.00,   57.53,   76.40,    0.00,    0.00,   53.61,   71.59,    0.00,    0.00,   53.47,   71.56,    0.00,    0.00,   54.96,   71.93,    0.00,    0.00,  335.02,  444.47,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  779.49,   61.42,   43.97,    0.00,    0.00,   61.06,   44.15,    0.00,    0.00,   61.61,   44.06,    0.00,    0.00,   56.39,   41.22,    0.00,    0.00,   56.44,   41.18,    0.00,    0.00,   56.63,   41.43,    0.00,    0.00,  353.55,  256.02,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  609.57,    688.57,    700.49,      0.00,      0.00,    688.57,    700.49,   1389.06
2026-08-23,23:16:20.792,   58.20,   74.68,    0.00,    0.00,   59.25,   74.58,    0.00,    0.00,   58.43,   74.65,    0.00,    0.00,   54.48,   69.41,    0.00,    0.00,   54.43,   69.33,    0.00,    0.00,   55.81,   69.67,    0.00,    0.00,  340.61,  432.33,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  772.94,   63.96,   45.74,    0.00,    0.00,   63.61,   45.89,    0.00,    0.00,   64.11,   45.80,    0.00,    0.00,   58.68,   42.93,    0.00,    0.00,   58.62,   42.84,    0.00,    0.00,   58.93,   43.10,    0.00,    0.00,  367.91,  266.29,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  634.19,    708.51,    698.62,      0.00,      0.00,    708.51,    698.62,   1407.13
2026-08-23,23:16:21.792,   57.41,   76.22,    0.00,    0.00,   58.43,   76.22,    0.00,    0.00,   57.67,   76.15,    0.00,    0.00,   53.02,   70.01,    0.00,    0.00,   53.02,   69.92,    0.00,    0.00,   54.45,   70.21,    0.00,    0.00,  333.99,  438.72,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  772.71,   60.77,   42.22,    0.00,    0.00,   60.19,   42.28,    0.00,    0.00,   60.88,   42.25,    0.00,    0.00,   55.53,   39.02,    0.00,    0.00,   55.60,   39.05,    0.00,    0.00,   55.74,   39.30,    0.00,    0.00,  348.71,  244.12,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  592.83,    682.70,    682.84,      0.00,      0.00,    682.70,    682.84,   1365.54
2026-08-23,23:16:22.792,   56.40,   71.80,    0.00,    0.00,   57.39,   71.78,    0.00,    0.00,   56.57,   71.71,    0.00,    0.00,   52.12,   65.53,    0.00,    0.00,   52.14,   65.51,    0.00,    0.00,   53.48,   65.73,    0.00,    0.00,  328.10,  412.06,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  740.16,   65.63,   43.59,    0.00,    0.00,   65.29,   43.74,    0.00,    0.00,   65.87,   43.65,    0.00,    0.00,   59.34,   39.07,    0.00,    0.00,   59.32,   39.00,    0.00,    0.00,   59.58,   39.29,    0.00,    0.00,  375.02,  248.33,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  623.36,    703.13,    660.39,      0.00,      0.00,    703.13,    660.39,   1363.52
2026-08-23,23:16:23.793,   74.97,  110.90,    0.00,    0.00,   75.91,  110.82,    0.00,    0.00,   75.11,  110.65,    0.00,    0.00,   70.83,  103.33,    0.00,    0.00,   70.83,  103.42,    0.00,    0.00,   72.20,  103.68,    0.00,    0.00,  439.84,  642.80,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00, 1082.64,   33.53,   20.70,    0.00,    0.00,   33.24,   20.82,    0.00,    0.00,   33.60,   20.69,    0.00,    0.00,   30.54,   18.62,    0.00,    0.00,   30.51,   18.64,    0.00,    0.00,   30.86,   18.93,    0.00,    0.00,  192.29,  118.41,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  310.70,    632.13,    761.21,      0.00,      0.00,    632.13,    761.21,   1393.34
