,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2026-08-19,11:53:38.411,  526.92,  755.30,    0.00,    0.00,  526.30,  753.91,    0.00,    0.00,  526.89,  755.07,    0.00,    0.00,  513.05,  736.85,    0.00,    0.00,  513.49,  737.55,    0.00,    0.00,  513.31,  737.01,    0.00,    0.00, 3119.97, 4475.69,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 7595.66,   61.87,   33.06,    0.00,    0.00,   61.86,   32.96,    0.00,    0.00,   61.78,   32.94,    0.00,    0.00,   61.12,   32.29,    0.00,    0.00,   61.20,   32.36,    0.00,    0.00,   61.03,   32.20,    0.00,    0.00,  368.86,  195.81,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  564.68,   3488.83,   4671.51,      0.00,      0.00,   3488.83,   4671.51,   8160.34
2026-08-19,11:53:39.411,   12.42,   11.54,    0.00,    0.00,   12.33,   11.52,    0.00,    0.00,   12.37,   11.42,    0.00,    0.00,   11.64,   11.14,    0.00,    0.00,   11.73,   11.20,    0.00,    0.00,   12.08,   11.39,    0.00,    0.00,   72.58,   68.23,    0.00,    0.00,    0.97,    0.97,    0.00,    0.00,  140.80,   71.09,   98.66,    0.00,    0.00,   71.29,   98.89,    0.00,    0.00,   71.32,   98.97,    0.00,    0.00,   94.38,  112.27,    0.00,    0.00,   68.41,   97.19,    0.00,    0.00,   68.41,   97.23,    0.00,    0.00,  444.90,  603.21,    0.00,    0.00,    0.99,    1.03,    0.00,    0.00, 1048.11,    517.48,    671.43,      0.00,      0.00,    517.48,    671.43,   1188.91
2026-08-19,11:53:40.411,  139.83,  114.81,    0.00,    0.00,  183.84,  141.80,    0.00,    0.00,  207.81,  160.05,    0.00,    0.00,  171.86,  140.05,    0.00,    0.00,  132.73,  115.01,    0.00,    0.00,  145.68,  125.46,    0.00,    0.00,  981.75,  797.18,    0.00,    0.00,    1.01,    1.01,    0.00,    0.00, 1778.93,   96.07,   85.27,    0.00,    0.00,  102.35,   88.43,    0.00,    0.00,   91.05,   79.84,    0.00,    0.00,   77.06,   78.22,    0.00,    0.00,   74.99,   76.06,    0.00,    0.00,   87.91,   86.44,    0.00,    0.00,  529.43,  494.27,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 1023.70,   1511.18,   1291.45,      0.00,      0.00,   1511.18,   1291.45,   2802.63
2026-08-19,11:53:41.411,  213.94,  136.18,    0.00,    0.00,  264.40,  162.47,    0.00,    0.00,  286.04,  176.85,    0.00,    0.00,  246.25,  159.93,    0.00,    0.00,  199.54,  134.67,    0.00,    0.00,  213.64,  145.16,    0.00,    0.00, 1423.80,  915.26,    0.00,    0.00,    1.01,    1.01,    0.00,    0.00, 2339.06,  137.36,  120.36,    0.00,    0.00,  140.70,  123.54,    0.00,    0.00,  133.54,  115.53,    0.00,    0.00,  122.93,  114.86,    0.00,    0.00,  119.62,  111.27,    0.00,    0.00,  130.01,  120.98,    0.00,    0.00,  784.15,  706.53,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 1490.68,   2207.95,   1621.79,      0.00,      0.00,   2207.95,   1621.79,   3829.75
2026-08-19,11:53:42.415, 4787.56, 1705.16,    0.00,    0.00, 4816.77, 1723.02,    0.00,    0.00, 4827.67, 1732.37,    0.00,    0.00, 4771.39, 1713.13,    0.00,    0.00, 4742.69, 1693.18,    0.00,    0.00, 4754.62, 1703.56,    0.00,    0.00,28700.70,10270.42,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,38971.12, 4737.59, 1648.12,    0.00,    0.00, 4735.82, 1648.35,    0.00,    0.00, 4736.73, 1647.38,    0.00,    0.00, 4694.17, 1634.94,    0.00,    0.00, 4692.95, 1632.77,    0.00,    0.00, 4693.47, 1633.77,    0.00,    0.00,28290.72, 9845.33,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,38136.05,  56991.42,  20115.75,      0.00,      0.00,  56991.42,  20115.75,  77107.17
2026-08-19,11:53:43.415, 8953.82, 1129.55,    0.00,    0.00, 8954.33, 1126.34,    0.00,    0.00, 8951.12, 1131.41,    0.00,    0.00, 8884.91, 1127.91,    0.00,    0.00, 8880.54, 1123.63,    0.00,    0.00, 8885.55, 1126.79,    0.00,    0.00,53510.27, 6765.63,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,60275.91, 8935.34, 1105.54,    0.00,    0.00, 8925.79, 1100.65,    0.00,    0.00, 8937.88, 1110.37,    0.00,    0.00, 8872.26, 1101.61,    0.00,    0.00, 8867.98, 1098.65,    0.00,    0.00, 8857.62, 1092.52,    0.00,    0.00,53396.87, 6609.34,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,60006.21, 106907.14,  13374.97,      0.00,      0.00, 106907.14,  13374.97, 120282.11
2026-08-19,11:53:44.419, 8968.62,  468.56,    0.00,    0.00, 8969.39,  464.07,    0.00,    0.00, 8965.46,  467.88,    0.00,    0.00, 8896.68,  463.45,    0.00,    0.00, 8892.38,  460.37,    0.00,    0.00, 8898.02,  463.55,    0.00,    0.00,53590.55, 2787.88,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,56378.43, 8941.67,  453.71,    0.00,    0.00, 8930.66,  449.13,    0.00,    0.00, 8945.08,  458.60,    0.00,    0.00, 8879.46,  450.56,    0.00,    0.00, 8872.34,  445.82,    0.00,    0.00, 8860.61,  439.99,    0.00,    0.00,53429.82, 2697.81,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,56127.63, 107020.37,   5485.69,      0.00,      0.00, 107020.37,   5485.69, 112506.06
2026-08-19,11:53:45.420, 8963.14,  326.13,    0.00,    0.00, 8964.29,  321.13,    0.00,    0.00, 8962.83,  325.15,    0.00,    0.00, 8892.33,  318.64,    0.00,    0.00, 8887.19,  316.51,    0.00,    0.00, 8892.91,  319.01,    0.00,    0.00,53562.68, 1926.55,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,55489.23, 8943.49,  315.30,    0.00,    0.00, 8932.90,  310.61,    0.00,    0.00, 8946.48,  319.35,    0.00,    0.00, 8880.43,  309.72,    0.00,    0.00, 8874.69,  306.00,    0.00,    0.00, 8861.92,  299.51,    0.00,    0.00,53439.91, 1860.48,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,55300.40, 107002.59,   3787.04,      0.00,      0.00, 107002.59,   3787.04, 110789.63
2026-08-19,11:53:46.423, 8951.48,  294.66,    0.00,    0.00, 8950.83,  289.14,    0.00,    0.00, 8950.32,  293.12,    0.00,    0.00, 8880.24,  286.87,    0.00,    0.00, 8875.49,  284.03,    0.00,    0.00, 8879.88,  286.75,    0.00,    0.00,53488.25, 1734.56,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,55222.81, 8960.47,  285.74,    0.00,    0.00, 8950.14,  281.21,    0.00,    0.00, 8963.40,  288.97,    0.00,    0.00, 8897.73,  279.66,    0.00,    0.00, 8891.44,  276.30,    0.00,    0.00, 8878.84,  269.94,    0.00,    0.00,53542.02, 1681.81,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,55223.83, 107030.27,   3416.37,      0.00,      0.00, 107030.27,   3416.37, 110446.64
