,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2026-04-01,23:56:08.476,  542.46,  782.37,    0.00,    0.00,  541.77,  781.44,    0.00,    0.00,  542.48,  782.26,    0.00,    0.00,  533.54,  772.58,    0.00,    0.00,  533.88,  772.86,    0.00,    0.00,  534.52,  772.91,    0.00,    0.00, 3228.65, 4664.41,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 7893.06,   28.81,  120.41,    0.00,    0.00,   28.51,  120.08,    0.00,    0.00,   28.64,  120.29,    0.00,    0.00,   52.56,  137.57,    0.00,    0.00,   16.74,  118.45,    0.00,    0.00,   16.93,  118.55,    0.00,    0.00,  172.19,  735.36,    0.00,    0.00,    0.99,    1.11,    0.00,    0.00,  907.55,   3400.84,   5399.77,      0.00,      0.00,   3400.84,   5399.77,   8800.61
2026-04-01,23:56:09.475,    2.39,    1.72,    0.00,    0.00,    2.40,    1.72,    0.00,    0.00,    2.42,    1.73,    0.00,    0.00,    1.89,    1.47,    0.00,    0.00,    1.90,    1.50,    0.00,    0.00,    1.89,    1.49,    0.00,    0.00,   12.89,    9.63,    0.00,    0.00,    0.83,    0.78,    0.00,    0.00,   22.52,   74.89,   39.69,    0.00,    0.00,   74.98,   39.73,    0.00,    0.00,   74.94,   39.70,    0.00,    0.00,   71.35,   38.80,    0.00,    0.00,   71.48,   38.78,    0.00,    0.00,   71.25,   38.70,    0.00,    0.00,  438.89,  235.39,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  674.28,    451.78,    245.02,      0.00,      0.00,    451.78,    245.02,    696.81
2026-04-01,23:56:10.475,    1.47,    0.98,    0.00,    0.00,    1.53,    1.00,    0.00,    0.00,    1.50,    0.98,    0.00,    0.00,    1.23,    0.84,    0.00,    0.00,    1.23,    0.83,    0.00,    0.00,    1.24,    0.84,    0.00,    0.00,    8.20,    5.46,    0.00,    0.00,    0.73,    0.67,    0.00,    0.00,   13.66,   74.60,    3.91,    0.00,    0.00,   74.64,    3.96,    0.00,    0.00,   74.69,    3.94,    0.00,    0.00,   74.05,    3.52,    0.00,    0.00,   73.93,    3.44,    0.00,    0.00,   73.93,    3.45,    0.00,    0.00,  445.83,   22.21,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  468.04,    454.03,     27.67,      0.00,      0.00,    454.03,     27.67,    481.70
2026-04-01,23:56:11.475,   50.49,   43.47,    0.00,    0.00,   69.86,   61.62,    0.00,    0.00,   60.21,   52.42,    0.00,    0.00,   45.61,   44.69,    0.00,    0.00,   44.02,   43.19,    0.00,    0.00,   52.23,   50.08,    0.00,    0.00,  322.42,  295.47,    0.00,    0.00,    1.01,    1.01,    0.00,    0.00,  617.89,  126.70,   68.27,    0.00,    0.00,  138.58,   76.12,    0.00,    0.00,  126.68,   70.41,    0.00,    0.00,   96.31,   60.54,    0.00,    0.00,  109.39,   69.32,    0.00,    0.00,  106.40,   66.23,    0.00,    0.00,  704.05,  410.90,    0.00,    0.00,    1.00,    1.01,    0.00,    0.00, 1114.95,   1026.47,    706.37,      0.00,      0.00,   1026.47,    706.37,   1732.84
2026-04-01,23:56:12.476,  120.15,   96.72,    0.00,    0.00,  154.49,  126.26,    0.00,    0.00,  137.54,  110.63,    0.00,    0.00,  105.90,   93.39,    0.00,    0.00,  102.31,   91.96,    0.00,    0.00,  123.03,  107.92,    0.00,    0.00,  743.42,  626.88,    0.00,    0.00,    1.01,    1.01,    0.00,    0.00, 1370.30,  181.47,   99.71,    0.00,    0.00,  205.73,  114.72,    0.00,    0.00,  191.39,  106.37,    0.00,    0.00,  136.35,   85.50,    0.00,    0.00,  157.25,  104.73,    0.00,    0.00,  153.07,   96.54,    0.00,    0.00, 1025.26,  607.57,    0.00,    0.00,    1.00,    1.01,    0.00,    0.00, 1632.84,   1768.68,   1234.46,      0.00,      0.00,   1768.68,   1234.46,   3003.14
2026-04-01,23:56:13.476,  126.12,   94.18,    0.00,    0.00,  156.22,  122.64,    0.00,    0.00,  140.41,  106.57,    0.00,    0.00,  110.27,   90.71,    0.00,    0.00,  106.90,   88.84,    0.00,    0.00,  123.86,  103.45,    0.00,    0.00,  763.79,  606.39,    0.00,    0.00,    1.01,    1.01,    0.00,    0.00, 1370.18,  229.76,  112.21,    0.00,    0.00,  262.79,  132.83,    0.00,    0.00,  237.26,  119.64,    0.00,    0.00,  183.41,   99.84,    0.00,    0.00,  200.55,  115.53,    0.00,    0.00,  197.81,  108.62,    0.00,    0.00, 1311.58,  688.67,    0.00,    0.00,    1.00,    1.01,    0.00,    0.00, 2000.25,   2075.37,   1295.06,      0.00,      0.00,   2075.37,   1295.06,   3370.42
2026-04-01,23:56:14.477,  292.81,  137.01,    0.00,    0.00,  316.48,  156.68,    0.00,    0.00,  314.86,  148.01,    0.00,    0.00,  242.29,  125.56,    0.00,    0.00,  237.50,  123.51,    0.00,    0.00,  257.73,  135.57,    0.00,    0.00, 1661.67,  826.34,    0.00,    0.00,    1.01,    1.00,    0.00,    0.00, 2488.01,  388.75,  180.47,    0.00,    0.00,  427.76,  212.20,    0.00,    0.00,  397.29,  190.66,    0.00,    0.00,  341.69,  157.85,    0.00,    0.00,  360.03,  175.55,    0.00,    0.00,  355.75,  167.77,    0.00,    0.00, 2271.26, 1084.50,    0.00,    0.00,    1.01,    1.01,    0.00,    0.00, 3355.77,   3932.93,   1910.84,      0.00,      0.00,   3932.93,   1910.84,   5843.78
2026-04-01,23:56:15.480,12479.16,   95.90,    0.00,    0.00,12473.98,   90.47,    0.00,    0.00,12480.61,   93.37,    0.00,    0.00,12272.35,   67.57,    0.00,    0.00,12274.19,   67.54,    0.00,    0.00,12275.44,   68.08,    0.00,    0.00,74255.73,  482.93,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,74738.66, 8508.41,  424.76,    0.00,    0.00, 8563.14,  458.70,    0.00,    0.00, 8524.93,  445.52,    0.00,    0.00, 8323.47,  269.15,    0.00,    0.00, 8319.83,  272.10,    0.00,    0.00, 8329.25,  283.61,    0.00,    0.00,50569.03, 2153.84,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,52722.87, 124824.77,   2636.77,      0.00,      0.00, 124824.77,   2636.77, 127461.54
2026-04-01,23:56:16.481,15380.74,   21.73,    0.00,    0.00,15380.23,   21.74,    0.00,    0.00,15382.35,   21.50,    0.00,    0.00,15180.15,   16.09,    0.00,    0.00,15183.53,   17.50,    0.00,    0.00,15180.95,   16.45,    0.00,    0.00,91687.95,  115.00,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,91802.95,10208.88,  177.94,    0.00,    0.00,10216.51,  172.93,    0.00,    0.00,10212.03,  174.77,    0.00,    0.00,10080.12,  118.21,    0.00,    0.00,10079.33,  124.73,    0.00,    0.00,10088.97,  139.83,    0.00,    0.00,60885.85,  908.41,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,61794.27, 152573.80,   1023.42,      0.00,      0.00, 152573.80,   1023.42, 153597.22
