,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2026-02-02,05:01:05.191,  590.94,  936.53,    0.00,    0.00,  590.81,  936.21,    0.00,    0.00,  590.13,  935.47,    0.00,    0.00,  561.82,  912.24,    0.00,    0.00,  562.59,  913.15,    0.00,    0.00,  562.93,  913.48,    0.00,    0.00, 3459.22, 5547.08,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 9006.30,   12.57,   11.74,    0.00,    0.00,   22.60,   20.29,    0.00,    0.00,   15.07,   14.09,    0.00,    0.00,   34.75,   28.44,    0.00,    0.00,   10.70,   11.04,    0.00,    0.00,   20.63,   19.46,    0.00,    0.00,  116.32,  105.05,    0.00,    0.00,    0.99,    1.11,    0.00,    0.00,  221.38,   3575.54,   5652.13,      0.00,      0.00,   3575.54,   5652.13,   9227.67
2026-02-02,05:01:06.191,   70.74,   31.92,    0.00,    0.00,   70.84,   31.92,    0.00,    0.00,   70.78,   31.88,    0.00,    0.00,   67.92,   30.40,    0.00,    0.00,   68.23,   30.36,    0.00,    0.00,   67.94,   30.40,    0.00,    0.00,  416.45,  186.87,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  603.31,    1.31,    1.10,    0.00,    0.00,    1.30,    1.08,    0.00,    0.00,    1.38,    1.15,    0.00,    0.00,    1.16,    1.03,    0.00,    0.00,    1.19,    1.06,    0.00,    0.00,    1.17,    1.05,    0.00,    0.00,    7.50,    6.47,    0.00,    0.00,    0.70,    0.65,    0.00,    0.00,   13.97,    423.95,    193.34,      0.00,      0.00,    423.95,    193.34,    617.29
2026-02-02,05:01:07.191,   77.04,    4.48,    0.00,    0.00,   77.11,    4.46,    0.00,    0.00,   76.97,    4.42,    0.00,    0.00,   75.92,    4.01,    0.00,    0.00,   76.00,    4.00,    0.00,    0.00,   76.02,    4.03,    0.00,    0.00,  459.06,   25.40,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  484.46,    1.04,    0.78,    0.00,    0.00,    1.02,    0.77,    0.00,    0.00,    1.11,    0.83,    0.00,    0.00,    0.90,    0.70,    0.00,    0.00,    0.94,    0.73,    0.00,    0.00,    0.91,    0.71,    0.00,    0.00,    5.93,    4.51,    0.00,    0.00,    0.62,    0.55,    0.00,    0.00,   10.44,    464.99,     29.91,      0.00,      0.00,    464.99,     29.91,    494.90
2026-02-02,05:01:08.191,  146.51,   47.05,    0.00,    0.00,  126.80,   47.09,    0.00,    0.00,  140.95,   47.21,    0.00,    0.00,  105.36,   46.03,    0.00,    0.00,  122.15,   45.77,    0.00,    0.00,   99.28,   45.87,    0.00,    0.00,  741.04,  279.01,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 1020.06,    3.56,    2.55,    0.00,    0.00,    3.49,    2.50,    0.00,    0.00,    3.67,    2.61,    0.00,    0.00,    3.23,    2.32,    0.00,    0.00,    3.34,    2.41,    0.00,    0.00,    3.22,    2.31,    0.00,    0.00,   20.49,   14.69,    0.00,    0.00,    0.89,    0.88,    0.00,    0.00,   35.19,    761.54,    293.71,      0.00,      0.00,    761.54,    293.71,   1055.24
2026-02-02,05:01:09.191,  238.84,   74.91,    0.00,    0.00,  216.49,   73.56,    0.00,    0.00,  233.84,   74.57,    0.00,    0.00,  186.77,   72.12,    0.00,    0.00,  217.95,   74.20,    0.00,    0.00,  178.87,   71.74,    0.00,    0.00, 1272.75,  441.11,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 1713.86,    7.49,    6.24,    0.00,    0.00,    6.33,    5.11,    0.00,    0.00,    6.23,    4.99,    0.00,    0.00,    5.74,    4.65,    0.00,    0.00,    5.84,    4.77,    0.00,    0.00,    5.54,    4.47,    0.00,    0.00,   37.17,   30.24,    0.00,    0.00,    0.94,    0.93,    0.00,    0.00,   67.41,   1309.92,    471.35,      0.00,      0.00,   1309.92,    471.35,   1781.27
2026-02-02,05:01:10.195, 2635.62,  823.98,    0.00,    0.00, 2622.84,  820.41,    0.00,    0.00, 2629.02,  823.05,    0.00,    0.00, 2565.50,  810.80,    0.00,    0.00, 2595.29,  815.55,    0.00,    0.00, 2565.24,  809.78,    0.00,    0.00,15613.51, 4903.57,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,20517.08,   63.30,   27.59,    0.00,    0.00,   59.31,   24.04,    0.00,    0.00,   59.82,   24.08,    0.00,    0.00,   58.47,   23.06,    0.00,    0.00,   59.06,   23.39,    0.00,    0.00,   57.50,   22.36,    0.00,    0.00,  357.44,  144.52,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  501.96,  15970.95,   5048.09,      0.00,      0.00,  15970.95,   5048.09,  21019.04
2026-02-02,05:01:11.194,11939.93, 3378.64,    0.00,    0.00,11945.74, 3377.78,    0.00,    0.00,11942.41, 3385.75,    0.00,    0.00,11838.51, 3361.71,    0.00,    0.00,11837.79, 3361.56,    0.00,    0.00,11844.28, 3363.79,    0.00,    0.00,71348.67,20229.24,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,91577.91,  277.09,   58.75,    0.00,    0.00,  273.94,   57.32,    0.00,    0.00,  278.67,   61.34,    0.00,    0.00,  277.60,   59.60,    0.00,    0.00,  278.09,   59.65,    0.00,    0.00,  271.82,   56.21,    0.00,    0.00, 1657.20,  352.86,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2010.06,  73005.87,  20582.10,      0.00,      0.00,  73005.87,  20582.10,  93587.97
2026-02-02,05:01:12.194,12469.80, 1646.59,    0.00,    0.00,12475.01, 1643.56,    0.00,    0.00,12473.04, 1651.27,    0.00,    0.00,12381.29, 1648.16,    0.00,    0.00,12378.17, 1646.76,    0.00,    0.00,12384.45, 1647.02,    0.00,    0.00,74561.77, 9883.37,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,84445.14,  318.17,   54.63,    0.00,    0.00,  314.30,   52.49,    0.00,    0.00,  323.47,   56.86,    0.00,    0.00,  314.12,   49.28,    0.00,    0.00,  318.73,   52.99,    0.00,    0.00,  304.29,   45.12,    0.00,    0.00, 1893.08,  311.38,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2204.46,  76454.84,  10194.75,      0.00,      0.00,  76454.84,  10194.75,  86649.59
2026-02-02,05:01:13.194,12210.41,  817.23,    0.00,    0.00,12214.49,  814.45,    0.00,    0.00,12213.65,  817.68,    0.00,    0.00,12134.06,  818.44,    0.00,    0.00,12130.39,  817.69,    0.00,    0.00,12135.48,  816.64,    0.00,    0.00,73038.48, 4902.13,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,77940.61,  361.10,   82.94,    0.00,    0.00,  352.39,   75.61,    0.00,    0.00,  363.11,   81.85,    0.00,    0.00,  348.16,   67.49,    0.00,    0.00,  353.98,   72.78,    0.00,    0.00,  339.89,   63.73,    0.00,    0.00, 2118.62,  444.40,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2563.02,  75157.11,   5346.52,      0.00,      0.00,  75157.11,   5346.52,  80503.63
2026-02-02,05:01:14.194,12222.13,  503.47,    0.00,    0.00,12227.90,  501.81,    0.00,    0.00,12226.84,  504.75,    0.00,    0.00,12152.27,  503.85,    0.00,    0.00,12147.64,  502.63,    0.00,    0.00,12153.96,  501.39,    0.00,    0.00,73130.75, 3017.91,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,76148.66,  379.73,   95.56,    0.00,    0.00,  373.69,   88.79,    0.00,    0.00,  381.47,   91.84,    0.00,    0.00,  365.64,   76.35,    0.00,    0.00,  370.41,   81.76,    0.00,    0.00,  361.40,   75.56,    0.00,    0.00, 2232.35,  509.87,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2742.21,  75363.09,   3527.78,      0.00,      0.00,  75363.09,   3527.78,  78890.87
2026-02-02,05:01:15.194,12240.99,  376.11,    0.00,    0.00,12246.03,  376.05,    0.00,    0.00,12244.11,  377.76,    0.00,    0.00,12171.81,  377.05,    0.00,    0.00,12168.10,  374.77,    0.00,    0.00,12174.35,  374.04,    0.00,    0.00,73245.38, 2255.77,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,75501.16,  381.72,   95.35,    0.00,    0.00,  374.91,   89.23,    0.00,    0.00,  382.66,   92.13,    0.00,    0.00,  367.62,   76.91,    0.00,    0.00,  370.58,   80.49,    0.00,    0.00,  360.61,   73.77,    0.00,    0.00, 2238.10,  507.87,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2745.97,  75483.48,   2763.65,      0.00,      0.00,  75483.48,   2763.65,  78247.13
2026-02-02,05:01:16.194,12255.80,  326.30,    0.00,    0.00,12261.58,  326.47,    0.00,    0.00,12259.87,  327.84,    0.00,    0.00,12189.24,  325.87,    0.00,    0.00,12184.47,  323.78,    0.00,    0.00,12190.21,  323.58,    0.00,    0.00,73341.18, 1953.86,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,75295.04,  380.37,   94.25,    0.00,    0.00,  374.42,   88.65,    0.00,    0.00,  381.52,   91.41,    0.00,    0.00,  366.81,   76.34,    0.00,    0.00,  369.66,   79.82,    0.00,    0.00,  359.83,   72.91,    0.00,    0.00, 2232.61,  503.39,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2736.00,  75573.79,   2457.24,      0.00,      0.00,  75573.79,   2457.24,  78031.03
