,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2026-02-25,20:30:27.601,  620.43,  851.84,    0.00,    0.00,  622.36,  854.61,    0.00,    0.00,  621.13,  852.72,    0.00,    0.00,  605.19,  830.72,    0.00,    0.00,  610.35,  835.09,    0.00,    0.00,  606.80,  832.47,    0.00,    0.00, 3686.26, 5057.46,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 8743.71,    4.14,    5.18,    0.00,    0.00,    4.17,    5.20,    0.00,    0.00,    4.39,    5.34,    0.00,    0.00,    3.59,    4.95,    0.00,    0.00,    3.47,    4.82,    0.00,    0.00,    3.38,    4.75,    0.00,    0.00,   23.14,   30.24,    0.00,    0.00,    0.91,    0.89,    0.00,    0.00,   53.38,   3709.40,   5087.70,      0.00,      0.00,   3709.40,   5087.70,   8797.09
2026-02-25,20:30:28.600,    5.57,    7.79,    0.00,    0.00,    5.54,    7.80,    0.00,    0.00,    5.57,    7.80,    0.00,    0.00,    5.10,    7.68,    0.00,    0.00,    5.10,    7.72,    0.00,    0.00,    5.10,    7.69,    0.00,    0.00,   31.98,   46.47,    0.00,    0.00,    0.92,    0.91,    0.00,    0.00,   78.45,   69.21,  116.75,    0.00,    0.00,   69.03,  116.74,    0.00,    0.00,   69.30,  116.79,    0.00,    0.00,   60.72,  115.06,    0.00,    0.00,   60.50,  115.01,    0.00,    0.00,   60.50,  114.95,    0.00,    0.00,  389.26,  695.31,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00, 1084.57,    421.24,    741.78,      0.00,      0.00,    421.24,    741.78,   1163.02
2026-02-25,20:30:29.601,    1.78,    1.39,    0.00,    0.00,    1.76,    1.39,    0.00,    0.00,    1.78,    1.39,    0.00,    0.00,    1.48,    1.24,    0.00,    0.00,    1.44,    1.23,    0.00,    0.00,    1.46,    1.24,    0.00,    0.00,    9.70,    7.88,    0.00,    0.00,    0.76,    0.71,    0.00,    0.00,   17.58,  104.81,  216.85,    0.00,    0.00,  104.50,  216.86,    0.00,    0.00,  104.97,  216.82,    0.00,    0.00,   90.72,  213.98,    0.00,    0.00,   90.35,  213.86,    0.00,    0.00,   90.45,  213.96,    0.00,    0.00,  585.81, 1292.33,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 1878.14,    595.51,   1300.21,      0.00,      0.00,    595.51,   1300.21,   1895.72
2026-02-25,20:30:30.601,    1.97,    1.56,    0.00,    0.00,    1.95,    1.57,    0.00,    0.00,    1.94,    1.57,    0.00,    0.00,    1.68,    1.43,    0.00,    0.00,    1.65,    1.43,    0.00,    0.00,    1.65,    1.38,    0.00,    0.00,   10.84,    8.94,    0.00,    0.00,    0.79,    0.75,    0.00,    0.00,   19.78,  106.70,  223.01,    0.00,    0.00,  106.41,  223.02,    0.00,    0.00,  106.94,  223.02,    0.00,    0.00,   92.57,  220.18,    0.00,    0.00,   92.13,  220.16,    0.00,    0.00,   92.11,  220.11,    0.00,    0.00,  596.86, 1329.50,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 1926.36,    607.70,   1338.44,      0.00,      0.00,    607.70,   1338.44,   1946.14
2026-02-25,20:30:31.601,    1.88,    1.52,    0.00,    0.00,    1.87,    1.52,    0.00,    0.00,    1.87,    1.49,    0.00,    0.00,    1.63,    1.40,    0.00,    0.00,    1.58,    1.38,    0.00,    0.00,    1.59,    1.39,    0.00,    0.00,   10.42,    8.70,    0.00,    0.00,    0.78,    0.74,    0.00,    0.00,   19.12,  108.09,  224.90,    0.00,    0.00,  107.77,  224.92,    0.00,    0.00,  108.28,  224.98,    0.00,    0.00,   93.71,  222.82,    0.00,    0.00,   93.21,  222.69,    0.00,    0.00,   93.28,  222.66,    0.00,    0.00,  604.33, 1342.97,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 1947.30,    614.75,   1351.67,      0.00,      0.00,    614.75,   1351.67,   1966.42
2026-02-25,20:30:32.602,    2.12,    1.61,    0.00,    0.00,    2.12,    1.62,    0.00,    0.00,    2.12,    1.63,    0.00,    0.00,    1.81,    1.50,    0.00,    0.00,    1.76,    1.49,    0.00,    0.00,    1.76,    1.45,    0.00,    0.00,   11.69,    9.30,    0.00,    0.00,    0.81,    0.77,    0.00,    0.00,   20.99,  106.60,  222.35,    0.00,    0.00,  106.34,  222.39,    0.00,    0.00,  106.80,  222.49,    0.00,    0.00,   92.44,  219.96,    0.00,    0.00,   91.87,  219.85,    0.00,    0.00,   92.03,  219.80,    0.00,    0.00,  596.08, 1326.82,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 1922.90,    607.77,   1336.12,      0.00,      0.00,    607.77,   1336.12,   1943.89
2026-02-25,20:30:33.602,    1.87,    1.43,    0.00,    0.00,    1.81,    1.40,    0.00,    0.00,    1.84,    1.40,    0.00,    0.00,    1.57,    1.32,    0.00,    0.00,    1.52,    1.30,    0.00,    0.00,    1.53,    1.31,    0.00,    0.00,   10.13,    8.16,    0.00,    0.00,    0.78,    0.73,    0.00,    0.00,   18.30,  106.89,  224.54,    0.00,    0.00,  106.78,  224.56,    0.00,    0.00,  107.15,  224.61,    0.00,    0.00,   92.66,  221.91,    0.00,    0.00,   92.19,  221.84,    0.00,    0.00,   92.52,  221.84,    0.00,    0.00,  598.19, 1339.29,    0.00,    0.00,    1.00,    0.99,    0.00,    0.00, 1937.48,    608.32,   1347.46,      0.00,      0.00,    608.32,   1347.46,   1955.78
2026-02-25,20:30:34.603,    1.78,    1.33,    0.00,    0.00,    1.76,    1.34,    0.00,    0.00,    1.81,    1.37,    0.00,    0.00,    1.51,    1.24,    0.00,    0.00,    1.45,    1.21,    0.00,    0.00,    1.45,    1.18,    0.00,    0.00,    9.76,    7.68,    0.00,    0.00,    0.77,    0.72,    0.00,    0.00,   17.44,  105.13,  217.53,    0.00,    0.00,  104.76,  217.56,    0.00,    0.00,  104.94,  217.62,    0.00,    0.00,   90.72,  216.28,    0.00,    0.00,   90.37,  216.19,    0.00,    0.00,   90.56,  216.17,    0.00,    0.00,  586.49, 1301.36,    0.00,    0.00,    1.00,    0.99,    0.00,    0.00, 1887.85,    596.24,   1309.04,      0.00,      0.00,    596.24,   1309.04,   1905.28
2026-02-25,20:30:35.603,    1.60,    0.99,    0.00,    0.00,    1.59,    1.02,    0.00,    0.00,    1.61,    1.01,    0.00,    0.00,    1.36,    0.91,    0.00,    0.00,    1.31,    0.89,    0.00,    0.00,    1.31,    0.87,    0.00,    0.00,    8.78,    5.69,    0.00,    0.00,    0.75,    0.69,    0.00,    0.00,   14.47,  105.35,  219.45,    0.00,    0.00,  105.27,  219.45,    0.00,    0.00,  105.54,  219.52,    0.00,    0.00,   91.30,  217.77,    0.00,    0.00,   90.90,  217.70,    0.00,    0.00,   90.95,  217.64,    0.00,    0.00,  589.32, 1311.54,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 1900.85,    598.10,   1317.23,      0.00,      0.00,    598.10,   1317.23,   1915.32
