,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2026-08-12,19:51:12.913,  577.97,  784.20,    0.00,    0.00,  578.18,  783.75,    0.00,    0.00,  576.67,  781.94,    0.00,    0.00,  558.32,  762.04,    0.00,    0.00,  558.72,  762.51,    0.00,    0.00,  560.06,  764.11,    0.00,    0.00, 3409.92, 4638.55,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 8048.47,   50.42,   64.82,    0.00,    0.00,   50.33,   64.62,    0.00,    0.00,   50.57,   64.86,    0.00,    0.00,   41.58,   56.33,    0.00,    0.00,   41.75,   56.58,    0.00,    0.00,   41.78,   56.62,    0.00,    0.00,  276.42,  363.83,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  640.26,   3686.35,   5002.38,      0.00,      0.00,   3686.35,   5002.38,   8688.72
2026-08-12,19:51:13.914,    2.34,    1.94,    0.00,    0.00,    2.42,    2.04,    0.00,    0.00,    2.38,    1.99,    0.00,    0.00,    2.04,    1.76,    0.00,    0.00,    2.00,    1.71,    0.00,    0.00,    2.00,    1.70,    0.00,    0.00,   13.18,   11.14,    0.00,    0.00,    0.82,    0.79,    0.00,    0.00,   24.33,   24.20,  109.46,    0.00,    0.00,   24.20,  109.40,    0.00,    0.00,   24.38,  109.57,    0.00,    0.00,   17.97,  106.49,    0.00,    0.00,   17.84,  106.41,    0.00,    0.00,   17.84,  106.35,    0.00,    0.00,  126.42,  647.68,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00,  774.09,    139.60,    658.82,      0.00,      0.00,    139.60,    658.82,    798.42
2026-08-12,19:51:14.913,    1.18,    0.76,    0.00,    0.00,    1.27,    0.83,    0.00,    0.00,    1.21,    0.79,    0.00,    0.00,    1.10,    0.73,    0.00,    0.00,    1.04,    0.69,    0.00,    0.00,    1.01,    0.66,    0.00,    0.00,    6.82,    4.46,    0.00,    0.00,    0.66,    0.61,    0.00,    0.00,   11.28,   11.99,  178.73,    0.00,    0.00,   12.03,  178.79,    0.00,    0.00,   12.12,  178.81,    0.00,    0.00,    3.36,  174.38,    0.00,    0.00,    3.31,  174.36,    0.00,    0.00,    3.30,  174.43,    0.00,    0.00,   46.13, 1059.51,    0.00,    0.00,    0.97,    0.88,    0.00,    0.00, 1105.63,     52.94,   1063.97,      0.00,      0.00,     52.94,   1063.97,   1116.91
2026-08-12,19:51:15.914,    1.68,    1.32,    0.00,    0.00,    1.74,    1.39,    0.00,    0.00,    1.71,    1.33,    0.00,    0.00,    1.41,    1.07,    0.00,    0.00,    1.33,    1.02,    0.00,    0.00,    1.35,    1.02,    0.00,    0.00,    9.21,    7.15,    0.00,    0.00,    0.76,    0.70,    0.00,    0.00,   16.36,   11.18,  174.56,    0.00,    0.00,   11.18,  174.62,    0.00,    0.00,   11.27,  174.65,    0.00,    0.00,    2.85,  170.08,    0.00,    0.00,    2.81,  170.07,    0.00,    0.00,    2.81,  170.05,    0.00,    0.00,   42.11, 1034.03,    0.00,    0.00,    0.96,    0.86,    0.00,    0.00, 1076.13,     51.32,   1041.18,      0.00,      0.00,     51.32,   1041.18,   1092.50
2026-08-12,19:51:16.914,    1.41,    1.13,    0.00,    0.00,    1.50,    1.21,    0.00,    0.00,    1.46,    1.17,    0.00,    0.00,    1.31,    1.06,    0.00,    0.00,    1.22,    1.00,    0.00,    0.00,    1.21,    0.99,    0.00,    0.00,    8.11,    6.55,    0.00,    0.00,    0.71,    0.67,    0.00,    0.00,   14.66,   10.83,  169.04,    0.00,    0.00,   10.87,  169.04,    0.00,    0.00,   10.95,  169.05,    0.00,    0.00,    2.80,  164.64,    0.00,    0.00,    2.76,  164.61,    0.00,    0.00,    2.77,  164.62,    0.00,    0.00,   40.99, 1001.00,    0.00,    0.00,    0.96,    0.86,    0.00,    0.00, 1041.99,     49.10,   1007.55,      0.00,      0.00,     49.10,   1007.55,   1056.65
2026-08-12,19:51:17.915,    1.98,    1.60,    0.00,    0.00,    2.06,    1.66,    0.00,    0.00,    2.11,    1.69,    0.00,    0.00,    1.60,    1.35,    0.00,    0.00,    1.51,    1.27,    0.00,    0.00,    1.52,    1.27,    0.00,    0.00,   10.78,    8.85,    0.00,    0.00,    0.80,    0.73,    0.00,    0.00,   19.63,   11.47,  172.92,    0.00,    0.00,   11.48,  172.92,    0.00,    0.00,   11.57,  173.00,    0.00,    0.00,    3.19,  168.41,    0.00,    0.00,    3.15,  168.37,    0.00,    0.00,    3.17,  168.39,    0.00,    0.00,   44.03, 1024.02,    0.00,    0.00,    0.97,    0.87,    0.00,    0.00, 1068.05,     54.81,   1032.87,      0.00,      0.00,     54.81,   1032.87,   1087.67
2026-08-12,19:51:18.915,    1.26,    1.17,    0.00,    0.00,    1.32,    1.20,    0.00,    0.00,    1.30,    1.19,    0.00,    0.00,    1.17,    1.10,    0.00,    0.00,    1.09,    1.05,    0.00,    0.00,    1.08,    1.04,    0.00,    0.00,    7.22,    6.75,    0.00,    0.00,    0.68,    0.63,    0.00,    0.00,   13.98,   11.46,  183.61,    0.00,    0.00,   11.47,  183.62,    0.00,    0.00,   11.55,  183.64,    0.00,    0.00,    2.82,  178.96,    0.00,    0.00,    2.76,  178.94,    0.00,    0.00,    2.78,  178.94,    0.00,    0.00,   42.84, 1087.72,    0.00,    0.00,    0.96,    0.86,    0.00,    0.00, 1130.56,     50.07,   1094.47,      0.00,      0.00,     50.07,   1094.47,   1144.54
2026-08-12,19:51:19.915,    1.90,    1.51,    0.00,    0.00,    2.01,    1.59,    0.00,    0.00,    1.95,    1.53,    0.00,    0.00,    1.50,    1.22,    0.00,    0.00,    1.43,    1.19,    0.00,    0.00,    1.44,    1.19,    0.00,    0.00,   10.23,    8.23,    0.00,    0.00,    0.78,    0.72,    0.00,    0.00,   18.46,   10.72,  164.20,    0.00,    0.00,   10.75,  164.19,    0.00,    0.00,   10.81,  164.26,    0.00,    0.00,    3.01,  159.97,    0.00,    0.00,    2.98,  159.99,    0.00,    0.00,    3.00,  159.94,    0.00,    0.00,   41.27,  972.55,    0.00,    0.00,    0.96,    0.87,    0.00,    0.00, 1013.82,     51.50,    980.78,      0.00,      0.00,     51.50,    980.78,   1032.28
2026-08-12,19:51:20.914,    1.22,    1.07,    0.00,    0.00,    1.30,    1.15,    0.00,    0.00,    1.25,    1.10,    0.00,    0.00,    1.11,    1.01,    0.00,    0.00,    1.06,    0.97,    0.00,    0.00,    1.03,    0.94,    0.00,    0.00,    6.99,    6.24,    0.00,    0.00,    0.67,    0.62,    0.00,    0.00,   13.22,   10.60,  168.23,    0.00,    0.00,   10.62,  168.25,    0.00,    0.00,   10.68,  168.26,    0.00,    0.00,    2.66,  163.88,    0.00,    0.00,    2.62,  163.91,    0.00,    0.00,    2.66,  163.91,    0.00,    0.00,   39.84,  996.43,    0.00,    0.00,    0.96,    0.85,    0.00,    0.00, 1036.27,     46.83,   1002.67,      0.00,      0.00,     46.83,   1002.67,   1049.50
