,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2026-08-19,15:35:47.446,  761.90,  858.55,    0.00,    0.00,  761.65,  857.48,    0.00,    0.00,  760.99,  857.25,    0.00,    0.00,  747.73,  842.46,    0.00,    0.00,  747.88,  843.44,    0.00,    0.00,  748.09,  843.23,    0.00,    0.00, 4528.24, 5102.40,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 9630.64,    4.63,    4.72,    0.00,    0.00,    4.67,    4.71,    0.00,    0.00,    4.84,    4.92,    0.00,    0.00,    4.35,    4.74,    0.00,    0.00,    4.43,    4.76,    0.00,    0.00,    4.21,    4.58,    0.00,    0.00,   27.14,   28.43,    0.00,    0.00,    0.92,    0.92,    0.00,    0.00,   55.57,   4555.39,   5130.82,      0.00,      0.00,   4555.39,   5130.82,   9686.21
2026-08-19,15:35:48.446,  312.86,  144.52,    0.00,    0.00,  313.43,  144.44,    0.00,    0.00,  313.14,  144.47,    0.00,    0.00,  304.47,  142.40,    0.00,    0.00,  304.60,  142.54,    0.00,    0.00,  305.26,  142.46,    0.00,    0.00, 1853.76,  860.84,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2714.60,   14.71,    8.64,    0.00,    0.00,   14.84,    8.73,    0.00,    0.00,   14.91,    8.85,    0.00,    0.00,   13.66,    8.26,    0.00,    0.00,   13.74,    8.27,    0.00,    0.00,   13.67,    8.19,    0.00,    0.00,   85.53,   50.94,    0.00,    0.00,    0.97,    0.97,    0.00,    0.00,  136.47,   1939.29,    911.78,      0.00,      0.00,   1939.29,    911.78,   2851.07
2026-08-19,15:35:49.447,  272.66,  169.17,    0.00,    0.00,  273.46,  169.06,    0.00,    0.00,  272.70,  169.16,    0.00,    0.00,  267.57,  168.11,    0.00,    0.00,  267.41,  168.22,    0.00,    0.00,  268.39,  168.09,    0.00,    0.00, 1622.20, 1011.81,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2634.00,   35.61,   28.45,    0.00,    0.00,   35.77,   28.53,    0.00,    0.00,   35.86,   28.70,    0.00,    0.00,   32.63,   28.21,    0.00,    0.00,   32.98,   28.31,    0.00,    0.00,   32.96,   28.15,    0.00,    0.00,  205.82,  170.35,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  376.16,   1828.01,   1182.15,      0.00,      0.00,   1828.01,   1182.15,   3010.17
2026-08-19,15:35:50.447,  278.81,  157.93,    0.00,    0.00,  279.69,  157.85,    0.00,    0.00,  278.65,  158.02,    0.00,    0.00,  275.07,  156.03,    0.00,    0.00,  274.95,  156.13,    0.00,    0.00,  275.50,  155.96,    0.00,    0.00, 1662.67,  941.93,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2604.59,   47.22,   33.04,    0.00,    0.00,   47.22,   33.00,    0.00,    0.00,   47.49,   33.25,    0.00,    0.00,   43.31,   32.31,    0.00,    0.00,   43.57,   32.48,    0.00,    0.00,   43.40,   32.31,    0.00,    0.00,  272.21,  196.40,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  468.61,   1934.88,   1138.32,      0.00,      0.00,   1934.88,   1138.32,   3073.21
2026-08-19,15:35:51.447,  248.16,  150.86,    0.00,    0.00,  248.66,  150.70,    0.00,    0.00,  248.31,  150.83,    0.00,    0.00,  244.74,  148.99,    0.00,    0.00,  244.43,  149.04,    0.00,    0.00,  245.31,  148.87,    0.00,    0.00, 1479.60,  899.28,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2378.88,   54.16,   39.80,    0.00,    0.00,   54.27,   39.73,    0.00,    0.00,   54.41,   40.02,    0.00,    0.00,   49.75,   39.13,    0.00,    0.00,   50.16,   39.31,    0.00,    0.00,   49.97,   39.07,    0.00,    0.00,  312.72,  237.06,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  549.78,   1792.32,   1136.34,      0.00,      0.00,   1792.32,   1136.34,   2928.66
2026-08-19,15:35:52.447,  282.44,  181.65,    0.00,    0.00,  282.64,  181.58,    0.00,    0.00,  282.20,  181.64,    0.00,    0.00,  277.57,  179.90,    0.00,    0.00,  277.40,  179.96,    0.00,    0.00,  278.17,  179.78,    0.00,    0.00, 1680.42, 1084.51,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2764.93,   42.03,   32.54,    0.00,    0.00,   42.06,   32.40,    0.00,    0.00,   42.21,   32.67,    0.00,    0.00,   38.46,   32.06,    0.00,    0.00,   39.19,   32.26,    0.00,    0.00,   38.73,   32.07,    0.00,    0.00,  242.68,  194.00,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  436.68,   1923.09,   1278.51,      0.00,      0.00,   1923.09,   1278.51,   3201.61
2026-08-19,15:35:53.447,  267.28,  163.90,    0.00,    0.00,  267.71,  163.69,    0.00,    0.00,  267.00,  163.91,    0.00,    0.00,  262.67,  161.82,    0.00,    0.00,  262.70,  161.98,    0.00,    0.00,  263.07,  161.77,    0.00,    0.00, 1590.41,  977.06,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2567.47,   42.72,   29.47,    0.00,    0.00,   42.59,   29.37,    0.00,    0.00,   42.73,   29.59,    0.00,    0.00,   38.96,   28.62,    0.00,    0.00,   39.50,   28.94,    0.00,    0.00,   39.28,   28.68,    0.00,    0.00,  245.78,  174.68,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  420.46,   1836.19,   1151.73,      0.00,      0.00,   1836.19,   1151.73,   2987.93
2026-08-19,15:35:54.448,  288.19,  152.09,    0.00,    0.00,  288.23,  151.98,    0.00,    0.00,  287.69,  152.14,    0.00,    0.00,  284.99,  150.50,    0.00,    0.00,  284.79,  150.53,    0.00,    0.00,  285.38,  150.49,    0.00,    0.00, 1719.27,  907.73,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2627.00,   60.64,   44.12,    0.00,    0.00,   60.41,   44.01,    0.00,    0.00,   60.43,   44.15,    0.00,    0.00,   55.45,   43.40,    0.00,    0.00,   56.01,   43.61,    0.00,    0.00,   56.01,   43.50,    0.00,    0.00,  348.95,  262.81,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  611.76,   2068.21,   1170.54,      0.00,      0.00,   2068.21,   1170.54,   3238.75
2026-08-19,15:35:55.447,  286.26,  170.61,    0.00,    0.00,  285.93,  170.39,    0.00,    0.00,  285.74,  170.63,    0.00,    0.00,  281.40,  169.00,    0.00,    0.00,  281.32,  169.11,    0.00,    0.00,  281.51,  169.00,    0.00,    0.00, 1702.16, 1018.74,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2720.91,   42.61,   32.94,    0.00,    0.00,   42.50,   32.79,    0.00,    0.00,   42.72,   33.05,    0.00,    0.00,   39.30,   32.37,    0.00,    0.00,   39.53,   32.63,    0.00,    0.00,   39.40,   32.50,    0.00,    0.00,  246.06,  196.28,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  442.34,   1948.23,   1215.02,      0.00,      0.00,   1948.23,   1215.02,   3163.24
