,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2025-07-30,15:13:58.798,  618.98,  876.43,    0.00,    0.00,  619.38,  875.80,    0.00,    0.00,  620.91,  878.05,    0.00,    0.00,  610.03,  874.22,    0.00,    0.00,  613.77,  877.61,    0.00,    0.00,  610.50,  873.75,    0.00,    0.00, 3693.56, 5255.86,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 8949.43,  229.83,  139.12,    0.00,    0.00,  230.08,  139.40,    0.00,    0.00,  229.92,  139.32,    0.00,    0.00,  227.04,  137.74,    0.00,    0.00,  226.70,  137.74,    0.00,    0.00,  226.87,  137.71,    0.00,    0.00, 1370.44,  831.03,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2201.47,   5064.00,   6086.89,      0.00,      0.00,   5064.00,   6086.89,  11150.89
2025-07-30,15:13:59.798,   56.19,   52.15,    0.00,    0.00,   56.35,   52.32,    0.00,    0.00,   56.45,   52.36,    0.00,    0.00,   48.92,   51.26,    0.00,    0.00,   48.76,   51.09,    0.00,    0.00,   49.06,   51.15,    0.00,    0.00,  315.74,  310.33,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  626.07,  311.30,  160.85,    0.00,    0.00,  311.33,  160.89,    0.00,    0.00,  311.68,  161.22,    0.00,    0.00,  310.09,  160.72,    0.00,    0.00,  309.75,  160.64,    0.00,    0.00,  309.61,  160.50,    0.00,    0.00, 1863.77,  964.83,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2828.60,   2179.51,   1275.16,      0.00,      0.00,   2179.51,   1275.16,   3454.67
2025-07-30,15:14:00.797,   69.66,   56.30,    0.00,    0.00,   69.72,   56.39,    0.00,    0.00,   70.14,   56.41,    0.00,    0.00,   61.10,   55.49,    0.00,    0.00,   60.88,   55.37,    0.00,    0.00,   61.22,   55.60,    0.00,    0.00,  392.72,  335.55,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  728.27,   68.57,   33.12,    0.00,    0.00,   69.01,   33.33,    0.00,    0.00,   69.21,   33.58,    0.00,    0.00,   65.37,   31.95,    0.00,    0.00,   65.17,   31.93,    0.00,    0.00,   65.31,   31.98,    0.00,    0.00,  402.63,  195.90,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  598.53,    795.36,    531.45,      0.00,      0.00,    795.36,    531.45,   1326.80
2025-07-30,15:14:01.798,  102.30,   53.63,    0.00,    0.00,  102.42,   53.72,    0.00,    0.00,  102.34,   53.70,    0.00,    0.00,   91.45,   53.09,    0.00,    0.00,   91.16,   53.09,    0.00,    0.00,   91.84,   53.16,    0.00,    0.00,  581.52,  320.41,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  901.92,   18.89,   17.96,    0.00,    0.00,   19.00,   18.02,    0.00,    0.00,   19.00,   18.02,    0.00,    0.00,   18.60,   17.89,    0.00,    0.00,   18.52,   17.84,    0.00,    0.00,   18.59,   17.90,    0.00,    0.00,  112.60,  107.64,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00,  220.25,    694.12,    428.05,      0.00,      0.00,    694.12,    428.05,   1122.17
2025-07-30,15:14:02.798,   90.13,   50.22,    0.00,    0.00,   90.19,   50.20,    0.00,    0.00,   90.48,   50.24,    0.00,    0.00,   80.68,   49.14,    0.00,    0.00,   80.43,   49.13,    0.00,    0.00,   80.81,   49.22,    0.00,    0.00,  512.72,  298.14,    0.00,    0.00,    1.00,    0.99,    0.00,    0.00,  810.86,   21.94,   23.00,    0.00,    0.00,   22.18,   23.19,    0.00,    0.00,   22.08,   23.04,    0.00,    0.00,   20.43,   21.51,    0.00,    0.00,   20.34,   21.42,    0.00,    0.00,   20.42,   21.46,    0.00,    0.00,  127.38,  133.61,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00,  260.99,    640.10,    431.75,      0.00,      0.00,    640.10,    431.75,   1071.85
2025-07-30,15:14:03.797,   30.54,   22.72,    0.00,    0.00,   30.47,   22.69,    0.00,    0.00,   30.88,   22.89,    0.00,    0.00,   27.71,   22.03,    0.00,    0.00,   27.74,   21.98,    0.00,    0.00,   27.65,   21.97,    0.00,    0.00,  174.99,  134.28,    0.00,    0.00,    0.99,    0.98,    0.00,    0.00,  309.27,   27.18,   40.51,    0.00,    0.00,   27.31,   40.59,    0.00,    0.00,   27.36,   40.61,    0.00,    0.00,   25.45,   39.04,    0.00,    0.00,   25.34,   38.98,    0.00,    0.00,   25.41,   39.08,    0.00,    0.00,  158.05,  238.82,    0.00,    0.00,    0.99,    0.98,    0.00,    0.00,  396.88,    333.04,    373.10,      0.00,      0.00,    333.04,    373.10,    706.14
2025-07-30,15:14:04.798,   43.02,   25.91,    0.00,    0.00,   43.31,   26.27,    0.00,    0.00,   43.23,   26.16,    0.00,    0.00,   35.37,   24.66,    0.00,    0.00,   35.37,   24.61,    0.00,    0.00,   35.75,   24.89,    0.00,    0.00,  236.06,  152.49,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  388.55,   36.88,   46.05,    0.00,    0.00,   37.16,   46.32,    0.00,    0.00,   37.07,   46.24,    0.00,    0.00,   31.52,   43.88,    0.00,    0.00,   30.93,   43.69,    0.00,    0.00,   31.39,   43.81,    0.00,    0.00,  204.94,  270.00,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  474.94,    441.00,    422.49,      0.00,      0.00,    441.00,    422.49,    863.49
2025-07-30,15:14:05.798,  204.03,  108.92,    0.00,    0.00,  232.60,  136.84,    0.00,    0.00,  215.70,  120.64,    0.00,    0.00,  139.05,  102.90,    0.00,    0.00,  119.13,   88.36,    0.00,    0.00,  148.79,  112.56,    0.00,    0.00, 1059.30,  670.22,    0.00,    0.00,    1.01,    1.01,    0.00,    0.00, 1729.52,  175.92,  103.64,    0.00,    0.00,  177.11,  102.93,    0.00,    0.00,  170.44,  100.03,    0.00,    0.00,  113.75,   90.00,    0.00,    0.00,  105.51,   85.86,    0.00,    0.00,  110.76,   88.04,    0.00,    0.00,  853.50,  570.49,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 1423.99,   1912.79,   1240.72,      0.00,      0.00,   1912.79,   1240.72,   3153.51
2025-07-30,15:14:06.798,  318.87,  170.41,    0.00,    0.00,  349.99,  201.10,    0.00,    0.00,  331.71,  182.53,    0.00,    0.00,  259.31,  164.10,    0.00,    0.00,  239.34,  147.19,    0.00,    0.00,  271.16,  175.13,    0.00,    0.00, 1770.38, 1040.47,    0.00,    0.00,    1.01,    1.01,    0.00,    0.00, 2810.85,  323.88,  180.46,    0.00,    0.00,  323.47,  177.88,    0.00,    0.00,  313.39,  172.78,    0.00,    0.00,  259.71,  163.28,    0.00,    0.00,  250.03,  158.05,    0.00,    0.00,  256.94,  162.02,    0.00,    0.00, 1727.42, 1014.47,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2741.89,   3497.80,   2054.94,      0.00,      0.00,   3497.80,   2054.94,   5552.74
2025-07-30,15:14:07.801, 5093.49, 1542.87,    0.00,    0.00, 5093.81, 1560.31,    0.00,    0.00, 5188.13, 1629.65,    0.00,    0.00, 5085.63, 1575.84,    0.00,    0.00, 5070.83, 1537.49,    0.00,    0.00, 5067.84, 1546.55,    0.00,    0.00,30599.72, 9392.72,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,39992.45, 5242.33, 1888.66,    0.00,    0.00, 5197.50, 1838.75,    0.00,    0.00, 5261.91, 1911.16,    0.00,    0.00, 5213.53, 1855.90,    0.00,    0.00, 5241.61, 1891.37,    0.00,    0.00, 5170.05, 1810.18,    0.00,    0.00,31326.93,11196.02,    0.00,    0.00,    1.01,    1.00,    0.00,    0.00,42522.95,  61926.65,  20588.74,      0.00,      0.00,  61926.65,  20588.74,  82515.39
2025-07-30,15:14:08.801, 5213.31,  734.05,    0.00,    0.00, 5211.06,  753.40,    0.00,    0.00, 5320.08,  825.67,    0.00,    0.00, 5206.62,  776.94,    0.00,    0.00, 5198.27,  737.63,    0.00,    0.00, 5189.86,  747.08,    0.00,    0.00,31339.20, 4574.78,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,35913.98, 5443.60, 1173.06,    0.00,    0.00, 5402.99, 1131.04,    0.00,    0.00, 5469.97, 1203.23,    0.00,    0.00, 5418.27, 1153.30,    0.00,    0.00, 5443.46, 1186.76,    0.00,    0.00, 5371.62, 1105.84,    0.00,    0.00,32549.90, 6953.24,    0.00,    0.00,    1.01,    1.00,    0.00,    0.00,39503.14,  63889.11,  11528.02,      0.00,      0.00,  63889.11,  11528.02,  75417.12
