,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2026-08-13,20:47:16.825,  601.33, 1079.73,    0.00,    0.00,  601.85, 1080.38,    0.00,    0.00,  601.87, 1080.64,    0.00,    0.00,  567.07, 1041.90,    0.00,    0.00,  567.04, 1041.95,    0.00,    0.00,  567.67, 1042.41,    0.00,    0.00, 3506.84, 6367.01,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 9873.85,    2.16,    3.31,    0.00,    0.00,    2.07,    3.27,    0.00,    0.00,    2.24,    3.34,    0.00,    0.00,    1.87,    3.34,    0.00,    0.00,    1.95,    3.36,    0.00,    0.00,    1.98,    3.44,    0.00,    0.00,   12.27,   20.05,    0.00,    0.00,    0.83,    0.81,    0.00,    0.00,   32.32,   3519.11,   6387.06,      0.00,      0.00,   3519.11,   6387.06,   9906.17
2026-08-13,20:47:17.825,   34.72,  308.91,    0.00,    0.00,   34.76,  308.98,    0.00,    0.00,   34.78,  309.01,    0.00,    0.00,    7.95,  287.12,    0.00,    0.00,    7.87,  287.08,    0.00,    0.00,    7.81,  287.03,    0.00,    0.00,  127.89, 1788.12,    0.00,    0.00,    0.99,    0.95,    0.00,    0.00, 1916.01,    2.82,    1.34,    0.00,    0.00,    2.76,    1.30,    0.00,    0.00,    2.86,    1.34,    0.00,    0.00,    2.57,    1.10,    0.00,    0.00,    2.55,    1.09,    0.00,    0.00,    2.55,    1.11,    0.00,    0.00,   16.11,    7.27,    0.00,    0.00,    0.86,    0.84,    0.00,    0.00,   23.38,    144.01,   1795.39,      0.00,      0.00,    144.01,   1795.39,   1939.39
2026-08-13,20:47:18.825,   34.81,  293.09,    0.00,    0.00,   34.86,  293.10,    0.00,    0.00,   34.86,  293.16,    0.00,    0.00,    7.28,  292.67,    0.00,    0.00,    7.27,  292.65,    0.00,    0.00,    7.12,  292.58,    0.00,    0.00,  126.21, 1757.25,    0.00,    0.00,    0.99,    0.94,    0.00,    0.00, 1883.45,    1.44,    1.00,    0.00,    0.00,    1.42,    0.95,    0.00,    0.00,    1.57,    1.05,    0.00,    0.00,    1.22,    0.81,    0.00,    0.00,    1.21,    0.79,    0.00,    0.00,    1.18,    0.82,    0.00,    0.00,    8.04,    5.43,    0.00,    0.00,    0.73,    0.66,    0.00,    0.00,   13.47,    134.24,   1762.68,      0.00,      0.00,    134.24,   1762.68,   1896.92
2026-08-13,20:47:19.826,   34.78,  293.29,    0.00,    0.00,   34.86,  293.32,    0.00,    0.00,   34.88,  293.39,    0.00,    0.00,    7.26,  292.81,    0.00,    0.00,    7.20,  292.77,    0.00,    0.00,    7.11,  292.69,    0.00,    0.00,  126.09, 1758.27,    0.00,    0.00,    0.99,    0.94,    0.00,    0.00, 1884.36,    1.49,    1.06,    0.00,    0.00,    1.48,    0.99,    0.00,    0.00,    1.62,    1.09,    0.00,    0.00,    1.24,    0.83,    0.00,    0.00,    1.23,    0.82,    0.00,    0.00,    1.16,    0.80,    0.00,    0.00,    8.23,    5.59,    0.00,    0.00,    0.74,    0.67,    0.00,    0.00,   13.82,    134.32,   1763.86,      0.00,      0.00,    134.32,   1763.86,   1898.18
2026-08-13,20:47:20.826, 9371.65,  121.56,    0.00,    0.00, 9372.01,  121.68,    0.00,    0.00, 9372.22,  121.58,    0.00,    0.00, 9361.11,  120.70,    0.00,    0.00, 9361.00,  120.60,    0.00,    0.00, 9361.13,  120.64,    0.00,    0.00,56199.12,  726.76,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,56925.89,    2.06,    1.11,    0.00,    0.00,    2.14,    1.13,    0.00,    0.00,    2.28,    1.18,    0.00,    0.00,    1.65,    0.93,    0.00,    0.00,    1.64,    0.95,    0.00,    0.00,    1.60,    0.88,    0.00,    0.00,   11.37,    6.18,    0.00,    0.00,    0.81,    0.75,    0.00,    0.00,   17.55,  56210.49,    732.94,      0.00,      0.00,  56210.49,    732.94,  56943.43
2026-08-13,20:47:21.830,16586.14,    4.25,    0.00,    0.00,16586.55,    4.42,    0.00,    0.00,16586.09,    4.28,    0.00,    0.00,16585.64,    3.58,    0.00,    0.00,16585.38,    3.40,    0.00,    0.00,16585.12,    3.52,    0.00,    0.00,99514.92,   23.45,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,99538.38,    2.91,    1.08,    0.00,    0.00,    3.06,    1.16,    0.00,    0.00,    3.22,    1.15,    0.00,    0.00,    2.22,    0.91,    0.00,    0.00,    2.25,    0.94,    0.00,    0.00,    2.21,    0.87,    0.00,    0.00,   15.88,    6.12,    0.00,    0.00,    0.87,    0.82,    0.00,    0.00,   21.99,  99530.80,     29.57,      0.00,      0.00,  99530.80,     29.57,  99560.36
2026-08-13,20:47:22.834,16601.07,    3.89,    0.00,    0.00,16601.45,    4.10,    0.00,    0.00,16601.08,    3.88,    0.00,    0.00,16600.83,    3.24,    0.00,    0.00,16600.54,    3.06,    0.00,    0.00,16600.38,    3.22,    0.00,    0.00,99605.37,   21.38,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,99626.75,    2.54,    0.96,    0.00,    0.00,    2.76,    1.05,    0.00,    0.00,    2.88,    1.07,    0.00,    0.00,    1.95,    0.83,    0.00,    0.00,    1.96,    0.87,    0.00,    0.00,    1.93,    0.80,    0.00,    0.00,   14.03,    5.59,    0.00,    0.00,    0.85,    0.79,    0.00,    0.00,   19.61,  99619.39,     26.97,      0.00,      0.00,  99619.39,     26.97,  99646.36
2026-08-13,20:47:23.838,16589.90,    3.98,    0.00,    0.00,16590.10,    4.12,    0.00,    0.00,16589.86,    4.07,    0.00,    0.00,16589.26,    3.16,    0.00,    0.00,16589.21,    3.01,    0.00,    0.00,16589.02,    3.11,    0.00,    0.00,99537.34,   21.44,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,99558.78,    2.61,    0.98,    0.00,    0.00,    2.81,    1.06,    0.00,    0.00,    2.94,    1.07,    0.00,    0.00,    1.97,    0.85,    0.00,    0.00,    2.00,    0.91,    0.00,    0.00,    1.94,    0.80,    0.00,    0.00,   14.27,    5.67,    0.00,    0.00,    0.86,    0.80,    0.00,    0.00,   19.94,  99551.60,     27.12,      0.00,      0.00,  99551.60,     27.12,  99578.72
2026-08-13,20:47:24.842,16587.69,    3.80,    0.00,    0.00,16587.91,    3.97,    0.00,    0.00,16587.59,    3.81,    0.00,    0.00,16587.33,    3.16,    0.00,    0.00,16587.11,    2.99,    0.00,    0.00,16586.95,    3.10,    0.00,    0.00,99524.58,   20.83,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,99545.41,    2.48,    0.92,    0.00,    0.00,    2.69,    1.02,    0.00,    0.00,    2.80,    1.02,    0.00,    0.00,    1.88,    0.79,    0.00,    0.00,    1.91,    0.84,    0.00,    0.00,    1.85,    0.75,    0.00,    0.00,   13.61,    5.34,    0.00,    0.00,    0.85,    0.78,    0.00,    0.00,   18.95,  99538.19,     26.17,      0.00,      0.00,  99538.19,     26.17,  99564.36
