,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2025-12-10,13:51:14.507,  576.02,  828.58,    0.00,    0.00,  576.19,  828.71,    0.00,    0.00,  575.97,  828.37,    0.00,    0.00,  565.59,  821.56,    0.00,    0.00,  565.85,  822.38,    0.00,    0.00,  565.33,  821.53,    0.00,    0.00, 3424.95, 4951.12,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 8376.07,  279.55,  111.16,    0.00,    0.00,  284.40,  115.59,    0.00,    0.00,  280.26,  111.19,    0.00,    0.00,  272.93,  110.56,    0.00,    0.00,  272.62,  110.74,    0.00,    0.00,  273.07,  110.99,    0.00,    0.00, 1662.84,  670.25,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2333.09,   5087.79,   5621.37,      0.00,      0.00,   5087.79,   5621.37,  10709.16
2025-12-10,13:51:15.501,   10.92,   12.74,    0.00,    0.00,   11.12,   12.96,    0.00,    0.00,   10.94,   12.73,    0.00,    0.00,    8.37,   12.32,    0.00,    0.00,    8.34,   12.40,    0.00,    0.00,    8.23,   12.38,    0.00,    0.00,   57.92,   75.53,    0.00,    0.00,    0.96,    0.95,    0.00,    0.00,  133.45,  407.66,  158.33,    0.00,    0.00,  408.03,  158.50,    0.00,    0.00,  407.78,  158.29,    0.00,    0.00,  400.30,  157.50,    0.00,    0.00,  400.06,  157.43,    0.00,    0.00,  400.44,  157.56,    0.00,    0.00, 2424.27,  947.62,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 3371.89,   2482.19,   1023.15,      0.00,      0.00,   2482.19,   1023.15,   3505.34
2025-12-10,13:51:16.502,   12.81,   14.27,    0.00,    0.00,   12.86,   14.41,    0.00,    0.00,   12.78,   14.28,    0.00,    0.00,    9.93,   13.80,    0.00,    0.00,   10.03,   13.94,    0.00,    0.00,    9.80,   13.88,    0.00,    0.00,   68.21,   84.57,    0.00,    0.00,    0.97,    0.96,    0.00,    0.00,  152.78,  415.50,  182.09,    0.00,    0.00,  416.38,  182.49,    0.00,    0.00,  415.90,  182.27,    0.00,    0.00,  410.13,  181.87,    0.00,    0.00,  409.69,  181.66,    0.00,    0.00,  410.48,  181.83,    0.00,    0.00, 2478.08, 1092.23,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 3570.30,   2546.29,   1176.79,      0.00,      0.00,   2546.29,   1176.79,   3723.08
2025-12-10,13:51:17.502,   15.96,   18.99,    0.00,    0.00,   16.16,   19.36,    0.00,    0.00,   15.98,   19.11,    0.00,    0.00,   12.37,   18.73,    0.00,    0.00,   12.42,   18.87,    0.00,    0.00,   12.22,   18.82,    0.00,    0.00,   85.11,  113.87,    0.00,    0.00,    0.98,    0.97,    0.00,    0.00,  198.98,  369.76,  181.15,    0.00,    0.00,  370.81,  181.57,    0.00,    0.00,  370.36,  181.39,    0.00,    0.00,  363.05,  180.82,    0.00,    0.00,  362.66,  180.75,    0.00,    0.00,  363.10,  180.98,    0.00,    0.00, 2199.74, 1086.66,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 3286.40,   2284.85,   1200.54,      0.00,      0.00,   2284.85,   1200.54,   3485.38
2025-12-10,13:51:18.502,   18.99,   21.62,    0.00,    0.00,   19.23,   22.05,    0.00,    0.00,   18.81,   21.72,    0.00,    0.00,   14.32,   21.24,    0.00,    0.00,   14.27,   21.18,    0.00,    0.00,   14.34,   21.43,    0.00,    0.00,   99.96,  129.24,    0.00,    0.00,    0.98,    0.97,    0.00,    0.00,  229.20,  374.20,  158.16,    0.00,    0.00,  375.55,  158.69,    0.00,    0.00,  374.40,  158.13,    0.00,    0.00,  368.11,  156.81,    0.00,    0.00,  367.97,  156.84,    0.00,    0.00,  368.35,  157.15,    0.00,    0.00, 2228.58,  945.78,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 3174.36,   2328.54,   1075.02,      0.00,      0.00,   2328.54,   1075.02,   3403.56
2025-12-10,13:51:19.502,   15.25,   16.85,    0.00,    0.00,   15.32,   17.20,    0.00,    0.00,   15.03,   16.89,    0.00,    0.00,   11.48,   16.47,    0.00,    0.00,   11.46,   16.57,    0.00,    0.00,   11.53,   16.59,    0.00,    0.00,   80.06,  100.56,    0.00,    0.00,    0.98,    0.97,    0.00,    0.00,  180.62,  417.55,  180.19,    0.00,    0.00,  418.02,  180.40,    0.00,    0.00,  417.64,  180.02,    0.00,    0.00,  411.45,  179.55,    0.00,    0.00,  411.30,  179.50,    0.00,    0.00,  411.80,  179.62,    0.00,    0.00, 2487.76, 1079.28,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 3567.03,   2567.82,   1179.84,      0.00,      0.00,   2567.82,   1179.84,   3747.65
2025-12-10,13:51:20.502,   14.88,   19.13,    0.00,    0.00,   14.87,   19.49,    0.00,    0.00,   14.89,   19.40,    0.00,    0.00,   11.19,   19.02,    0.00,    0.00,   11.10,   19.04,    0.00,    0.00,   11.27,   19.13,    0.00,    0.00,   78.21,  115.20,    0.00,    0.00,    0.97,    0.97,    0.00,    0.00,  193.40,  406.93,  180.99,    0.00,    0.00,  407.24,  181.44,    0.00,    0.00,  406.84,  181.08,    0.00,    0.00,  402.01,  180.47,    0.00,    0.00,  401.85,  180.42,    0.00,    0.00,  402.36,  180.56,    0.00,    0.00, 2427.22, 1084.95,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 3512.17,   2505.43,   1200.15,      0.00,      0.00,   2505.43,   1200.15,   3705.58
2025-12-10,13:51:21.503,   16.94,   18.43,    0.00,    0.00,   17.07,   18.63,    0.00,    0.00,   17.07,   18.52,    0.00,    0.00,   13.03,   18.01,    0.00,    0.00,   13.00,   18.00,    0.00,    0.00,   13.12,   18.12,    0.00,    0.00,   90.22,  109.71,    0.00,    0.00,    0.98,    0.97,    0.00,    0.00,  199.93,  344.57,  142.88,    0.00,    0.00,  344.95,  143.24,    0.00,    0.00,  344.29,  142.90,    0.00,    0.00,  338.49,  141.99,    0.00,    0.00,  338.43,  141.97,    0.00,    0.00,  339.00,  141.98,    0.00,    0.00, 2049.74,  854.96,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 2904.70,   2139.96,    964.66,      0.00,      0.00,   2139.96,    964.66,   3104.63
2025-12-10,13:51:22.502,    9.66,    8.12,    0.00,    0.00,   10.05,    8.49,    0.00,    0.00,    9.62,    8.07,    0.00,    0.00,    8.23,    7.83,    0.00,    0.00,    8.24,    7.87,    0.00,    0.00,    8.29,    7.96,    0.00,    0.00,   54.11,   48.35,    0.00,    0.00,    0.96,    0.95,    0.00,    0.00,  102.45,  251.72,   79.45,    0.00,    0.00,  252.44,   79.65,    0.00,    0.00,  251.52,   79.40,    0.00,    0.00,  242.71,   78.82,    0.00,    0.00,  242.16,   78.76,    0.00,    0.00,  242.90,   78.88,    0.00,    0.00, 1483.46,  474.95,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 1958.41,   1537.56,    523.30,      0.00,      0.00,   1537.56,    523.30,   2060.86
2025-12-10,13:51:23.502,   22.30,   19.12,    0.00,    0.00,   22.17,   19.09,    0.00,    0.00,   22.29,   19.07,    0.00,    0.00,   20.35,   18.47,    0.00,    0.00,   20.37,   18.55,    0.00,    0.00,   20.31,   18.55,    0.00,    0.00,  127.80,  112.85,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00,  240.65,  143.82,   63.53,    0.00,    0.00,  143.04,   62.85,    0.00,    0.00,  143.24,   62.71,    0.00,    0.00,  136.16,   61.17,    0.00,    0.00,  136.41,   61.26,    0.00,    0.00,  136.08,   61.11,    0.00,    0.00,  838.75,  372.63,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 1211.39,    966.55,    485.48,      0.00,      0.00,    966.55,    485.48,   1452.03
