System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2026-08-19,15:35:47.820,0.06,1.50,0.04,1.00,6.44,10.65,0.39,0.71,0.0008,0.0013,1.72,0.77,99,0.00,0.00,8504.19,5658.68,2099.75,3.01,75.14,0.13,3.17,16.70,0.01,443.73,4.22,95.78,0.00,100.00,0.00,0.00,90.45,27.42,87.78,2.40,0.13,1.51,0.08,1.00,6.41,10.59,0.39,0.71,0.0008,0.0012, 21760,2508,9,1.70,0.76,99,0.00,0.00,33,8485.95,5624.60,2099.75,3.02,75.44,0.25,6.32,0.00,0.54,0.00,0.85,0.03,0.06,0.30,0.58,0.0018,0.0033, 21440,5,4,0.02,0.01,34,0.00,0.00,31,18.25,34.09,2099.75,1.07,26.77,0.00,0.01,6.41,6.51,  0%,  0%,1.90,1.88,  0%,  0%,109.62,109.82,  0%,  0%,112.31,111.98,  0%,  0%,8.37,91.63,0.00,100.00,0.00,0.00,0.06,99.94,0.00,100.00,0.00,0.00,50.26,40.20,14.67 ,12.75 ,87.62 ,138.93 ,2.40,2.40,
2026-08-19,15:35:48.820,0.07,1.51,0.04,1.00,6.62,10.83,0.38,0.69,0.0007,0.0012,1.98,0.99,93,0.00,0.00,9034.00,5967.90,2094.73,3.03,75.69,0.13,3.37,227.31,0.08,898.15,4.46,95.54,0.00,100.00,0.00,0.00,91.92,27.61,92.83,2.40,0.13,1.54,0.08,1.00,5.90,9.98,0.40,0.69,0.0007,0.0012, 22400,2407,17,1.87,0.92,93,0.00,0.00,36,8393.44,5434.52,2094.73,3.09,77.22,0.25,6.26,0.01,1.20,0.01,0.97,0.72,0.86,0.14,0.67,0.0011,0.0013, 22656,133,141,0.11,0.07,82,0.00,0.00,30,640.56,533.38,2094.73,2.40,60.05,0.02,0.48,50.05,50.12,  0%,  0%,63.64,63.50,  0%,  0%,230.76,231.05,  1%,  1%,218.32,218.01,  1%,  1%,8.10,91.90,0.00,100.00,0.00,0.00,0.82,99.18,0.00,100.00,0.00,0.00,50.12,41.80,14.74 ,12.87 ,87.56 ,139.23 ,2.40,2.40,
2026-08-19,15:35:49.820,0.07,1.51,0.05,1.00,5.80,11.62,0.50,0.68,0.0006,0.0013,1.89,1.17,73,0.00,0.00,9135.43,6046.44,2096.84,3.02,75.54,0.14,3.40,798.43,0.26,2361.21,4.52,95.48,0.00,100.00,0.00,0.00,95.25,27.89,115.48,2.40,0.10,1.62,0.06,1.00,3.04,6.80,0.55,0.71,0.0005,0.0010, 21440,1482,3,1.58,0.94,71,0.00,0.00,35,6487.46,4012.97,2096.84,3.23,80.83,0.19,4.83,0.04,1.30,0.03,0.99,2.76,4.82,0.42,0.61,0.0010,0.0018, 22144,442,543,0.31,0.23,90,0.00,0.00,31,2647.97,2033.47,2096.84,2.60,65.11,0.08,1.97,116.50,116.59,  0%,  0%,282.76,282.58,  1%,  1%,658.37,658.80,  3%,  3%,522.27,521.77,  2%,  2%,5.98,94.02,0.00,100.00,0.00,0.00,3.07,96.93,0.00,100.00,0.00,0.00,48.79,46.46,14.59 ,13.29 ,88.05 ,140.72 ,2.40,2.40,
2026-08-19,15:35:50.820,0.07,1.49,0.05,1.00,5.77,10.88,0.46,0.69,0.0006,0.0012,1.91,1.25,72,0.00,0.00,8989.51,6045.32,2095.08,2.97,74.35,0.13,3.35,819.70,0.26,2448.45,4.52,95.48,0.00,100.00,0.00,0.00,95.11,27.79,116.96,2.40,0.09,1.59,0.06,1.00,2.80,5.32,0.47,0.75,0.0004,0.0009, 21184,1559,14,1.64,1.03,70,0.00,0.00,36,6225.66,3910.47,2095.08,3.18,79.60,0.19,4.64,0.04,1.29,0.03,0.99,2.98,5.56,0.46,0.59,0.0011,0.0020, 21696,394,618,0.27,0.22,89,0.00,0.00,29,2763.85,2134.85,2095.08,2.59,64.73,0.08,2.06,103.38,103.48,  0%,  0%,306.49,306.34,  1%,  1%,694.47,694.87,  3%,  3%,529.82,529.30,  2%,  2%,5.83,94.17,0.00,100.00,0.00,0.00,3.21,96.79,0.00,100.00,0.00,0.00,48.62,46.49,14.61 ,13.18 ,89.05 ,140.98 ,2.40,2.40,
2026-08-19,15:35:51.820,0.07,1.50,0.04,1.00,5.50,10.85,0.49,0.70,0.0006,0.0012,1.69,1.15,77,0.00,0.00,9013.51,6007.73,2095.08,3.00,75.02,0.13,3.36,623.50,0.22,2000.38,4.49,95.51,0.00,100.00,0.00,0.00,95.08,27.65,113.10,2.40,0.09,1.59,0.06,1.00,2.83,5.21,0.45,0.77,0.0005,0.0008, 21760,1656,4,1.48,0.99,76,0.00,0.00,35,6243.30,3928.23,2095.08,3.18,79.47,0.19,4.66,0.04,1.33,0.03,0.99,2.67,5.64,0.52,0.58,0.0010,0.0020, 22400,294,477,0.21,0.16,88,0.00,0.00,31,2770.21,2079.50,2095.08,2.66,66.61,0.08,2.07,80.11,80.29,  0%,  0%,231.77,231.33,  1%,  1%,561.19,562.19,  2%,  2%,438.95,438.05,  2%,  2%,5.86,94.14,0.00,100.00,0.00,0.00,3.12,96.88,0.00,100.00,0.00,0.00,48.66,46.43,14.55 ,13.10 ,89.01 ,140.38 ,2.40,2.40,
2026-08-19,15:35:52.820,0.07,1.51,0.05,1.00,5.94,11.41,0.47,0.68,0.0007,0.0013,1.98,1.12,75,0.00,0.00,9097.80,6038.60,2095.27,3.01,75.33,0.14,3.39,777.64,0.25,2305.66,4.53,95.47,0.00,100.00,0.00,0.00,94.91,27.87,113.18,2.40,0.10,1.61,0.06,1.00,3.19,6.54,0.51,0.72,0.0005,0.0010, 20800,1607,3,1.67,0.90,73,0.00,0.00,35,6466.00,4010.60,2095.27,3.22,80.61,0.19,4.82,0.04,1.30,0.03,0.99,2.75,4.87,0.43,0.61,0.0010,0.0019, 21952,417,568,0.31,0.22,89,0.00,0.00,30,2631.80,2028.00,2095.27,2.60,64.89,0.08,1.96,112.16,112.31,  0%,  0%,276.74,276.42,  1%,  1%,643.47,644.12,  2%,  3%,509.34,508.73,  2%,  2%,5.98,94.02,0.00,100.00,0.00,0.00,3.07,96.93,0.00,100.00,0.00,0.00,48.65,46.25,14.58 ,13.29 ,88.24 ,140.81 ,2.40,2.40,
2026-08-19,15:35:53.820,0.07,1.48,0.05,1.00,6.34,11.29,0.43,0.68,0.0007,0.0012,2.00,1.27,72,0.00,0.00,9056.03,6115.51,2094.90,2.96,74.04,0.14,3.38,872.89,0.27,2577.13,4.58,95.42,0.00,100.00,0.00,0.00,94.94,27.94,117.28,2.40,0.09,1.61,0.06,1.00,2.99,5.84,0.48,0.74,0.0005,0.0009, 21376,1570,6,1.69,1.02,69,0.00,0.00,36,6336.77,3934.76,2094.90,3.22,80.52,0.19,4.73,0.04,1.25,0.03,0.99,3.35,5.45,0.38,0.58,0.0012,0.0020, 21504,444,621,0.31,0.24,89,0.00,0.00,31,2719.25,2180.75,2094.90,2.49,62.35,0.08,2.03,113.04,113.21,  0%,  0%,323.48,323.16,  1%,  1%,729.44,730.15,  3%,  3%,559.11,558.42,  2%,  2%,5.87,94.13,0.00,100.00,0.00,0.00,3.28,96.72,0.00,100.00,0.00,0.00,48.51,46.42,14.65 ,13.28 ,88.66 ,140.88 ,2.40,2.40,
2026-08-19,15:35:54.820,0.07,1.52,0.05,1.00,6.13,11.94,0.48,0.69,0.0006,0.0013,1.87,1.21,78,0.00,0.00,9500.32,6253.34,2095.08,3.04,75.96,0.14,3.54,648.72,0.21,2077.05,4.67,95.33,0.00,100.00,0.00,0.00,95.51,27.78,111.28,2.40,0.10,1.60,0.06,1.00,3.24,5.66,0.42,0.75,0.0005,0.0009, 21056,1795,6,1.64,1.04,77,0.00,0.00,36,6525.22,4068.91,2095.08,3.21,80.18,0.19,4.87,0.04,1.36,0.03,1.00,2.89,6.28,0.54,0.60,0.0010,0.0021, 22528,306,501,0.23,0.17,89,0.00,0.00,30,2975.09,2184.43,2095.08,2.72,68.10,0.09,2.22,80.92,81.15,  0%,  0%,243.54,243.12,  1%,  1%,584.77,585.74,  2%,  2%,453.75,452.79,  2%,  2%,6.07,93.93,0.00,100.00,0.00,0.00,3.27,96.73,0.00,100.00,0.00,0.00,48.88,46.63,14.65 ,13.13 ,88.78 ,140.23 ,2.40,2.40,
2026-08-19,15:35:55.820,0.07,1.49,0.05,1.00,6.16,11.31,0.45,0.69,0.0007,0.0013,2.05,1.08,74,0.00,0.00,9027.53,6071.67,2095.06,2.97,74.34,0.13,3.37,809.82,0.26,2383.98,4.54,95.46,0.00,100.00,0.00,0.00,94.78,27.86,112.79,2.40,0.09,1.59,0.06,1.00,3.24,6.44,0.49,0.73,0.0005,0.0010, 19904,1677,3,1.75,0.87,72,0.00,0.00,36,6353.80,3994.00,2095.06,3.18,79.54,0.19,4.74,0.04,1.29,0.03,0.99,2.92,4.87,0.40,0.59,0.0011,0.0018, 22272,414,549,0.30,0.22,89,0.00,0.00,29,2673.74,2077.67,2095.06,2.57,64.34,0.08,1.99,108.68,108.82,  0%,  0%,296.23,296.09,  1%,  1%,672.38,672.75,  3%,  3%,519.66,519.19,  2%,  2%,5.96,94.04,0.00,100.00,0.00,0.00,3.13,96.87,0.00,100.00,0.00,0.00,48.51,46.27,14.63 ,13.23 ,88.12 ,140.83 ,2.40,2.40,
