System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2026-08-12,12:20:37.653,0.07,1.51,0.04,1.00,6.39,10.75,0.40,0.71,0.0007,0.0012,1.66,0.82,99,0.00,0.00,8823.84,5837.45,2102.42,3.02,75.58,0.13,3.28,13.04,0.01,437.09,4.35,95.65,0.00,100.00,0.00,0.00,90.88,27.37,88.21,2.40,0.13,1.52,0.09,1.00,6.36,10.57,0.39,0.71,0.0007,0.0012, 21248,2472,8,1.65,0.81,99,0.00,0.00,35,8795.47,5791.50,2102.42,3.04,75.93,0.26,6.54,0.00,0.62,0.00,0.69,0.04,0.17,0.77,0.52,0.0013,0.0061, 21248,4,8,0.01,0.01,49,0.00,0.00,29,28.36,45.95,2102.42,1.23,30.86,0.00,0.02,3.97,4.39,  0%,  0%,2.44,2.25,  0%,  0%,108.82,109.65,  0%,  0%,109.84,108.77,  0%,  0%,8.61,91.39,0.00,100.00,0.00,0.00,0.10,99.90,0.00,100.00,0.00,0.00,50.48,40.40,14.64 ,12.73 ,88.03 ,132.78 ,2.40,2.40,
2026-08-12,12:20:38.653,0.07,1.50,0.05,1.00,6.31,11.57,0.45,0.68,0.0007,0.0013,2.00,0.98,79,0.00,0.00,9142.27,6110.75,2094.59,2.99,74.80,0.14,3.41,580.93,0.19,1775.69,4.58,95.42,0.00,100.00,0.00,0.00,94.66,27.72,105.52,2.40,0.10,1.57,0.07,1.00,4.03,7.26,0.44,0.72,0.0006,0.0010, 21312,1961,4,1.79,0.82,80,0.00,0.00,35,7035.87,4473.11,2094.59,3.15,78.65,0.21,5.25,0.03,1.29,0.02,0.98,2.28,4.31,0.47,0.58,0.0011,0.0020, 21824,129,431,0.21,0.15,70,0.00,0.00,27,2106.40,1637.65,2094.59,2.57,64.31,0.06,1.57,82.00,82.10,  0%,  0%,208.43,208.41,  0%,  0%,495.52,495.57,  2%,  2%,392.43,392.18,  1%,  1%,6.67,93.33,0.00,100.00,0.00,0.00,2.48,97.52,0.00,100.00,0.00,0.00,49.10,45.56,14.66 ,13.06 ,88.30 ,139.21 ,2.40,2.40,
2026-08-12,12:20:39.653,0.07,1.46,0.04,0.99,6.06,11.05,0.44,0.69,0.0007,0.0013,1.56,1.15,69,0.00,0.00,8732.12,5970.97,2094.89,2.92,73.12,0.13,3.26,693.83,0.26,2078.89,4.48,95.52,0.00,100.00,0.00,0.00,94.35,27.40,99.42,2.40,0.08,1.49,0.05,0.99,4.97,8.06,0.38,0.64,0.0009,0.0015, 21760,1706,6,1.54,1.13,69,0.00,0.00,35,5302.41,3569.21,2094.89,2.97,74.28,0.16,3.96,0.05,1.43,0.04,1.00,1.10,2.98,0.63,0.77,0.0003,0.0009, 21696,14,638,0.02,0.02,74,0.00,0.00,25,3429.71,2401.76,2094.89,2.86,71.40,0.10,2.56,133.49,133.52,  0%,  0%,213.48,213.34,  0%,  0%,553.12,553.54,  2%,  2%,486.37,485.86,  2%,  2%,5.36,94.64,0.00,100.00,0.00,0.00,3.59,96.41,0.00,100.00,0.00,0.00,48.20,46.16,14.65 ,12.75 ,90.36 ,140.18 ,2.40,2.40,
2026-08-12,12:20:40.653,0.07,1.51,0.04,1.00,6.07,11.00,0.44,0.69,0.0007,0.0012,1.88,1.08,60,0.00,0.00,8816.42,5819.53,2095.09,3.03,75.75,0.13,3.29,1070.20,0.36,2900.76,4.35,95.65,0.00,100.00,0.00,0.00,95.59,27.77,101.66,2.40,0.06,1.42,0.04,1.00,4.80,9.15,0.47,0.54,0.0012,0.0023, 21568,1320,9,1.61,0.88,58,0.00,0.00,36,3933.87,2764.88,2095.09,2.85,71.14,0.12,2.93,0.07,1.60,0.05,1.00,1.27,1.85,0.30,0.88,0.0003,0.0004, 22976,220,818,0.27,0.20,71,0.00,0.00,26,4882.55,3054.65,2095.09,3.20,79.92,0.15,3.64,264.05,263.91,  1%,  1%,271.18,271.06,  1%,  1%,731.54,732.18,  3%,  3%,718.82,718.21,  3%,  3%,4.14,95.86,0.00,100.00,0.00,0.00,4.56,95.44,0.00,100.00,0.00,0.00,47.32,48.27,14.57 ,13.20 ,93.10 ,136.72 ,2.40,2.40,
2026-08-12,12:20:41.653,0.07,1.49,0.04,0.99,5.74,10.39,0.44,0.69,0.0006,0.0012,1.71,1.26,54,0.00,0.00,8846.64,5949.86,2095.06,2.97,74.34,0.13,3.30,1112.72,0.37,3058.52,4.47,95.53,0.00,100.00,0.00,0.00,95.07,27.72,111.63,2.40,0.05,1.42,0.04,0.98,3.80,6.69,0.43,0.58,0.0011,0.0019, 22016,1067,14,1.38,1.01,51,0.00,0.00,36,3522.53,2489.34,2095.06,2.83,70.75,0.11,2.63,0.08,1.54,0.05,1.00,1.94,3.70,0.47,0.79,0.0004,0.0007, 23744,112,875,0.33,0.26,68,0.00,0.00,26,5324.11,3460.52,2095.06,3.08,76.93,0.16,3.97,243.53,243.04,  1%,  1%,313.12,313.02,  1%,  1%,795.72,795.64,  3%,  3%,733.38,733.78,  3%,  3%,3.78,96.22,0.00,100.00,0.00,0.00,5.16,94.84,0.00,100.00,0.00,0.00,46.44,48.63,14.46 ,13.26 ,97.34 ,137.02 ,2.40,2.40,
2026-08-12,12:20:42.653,0.07,1.47,0.05,1.00,6.90,11.85,0.41,0.70,0.0007,0.0013,1.94,1.30,54,0.00,0.00,9355.69,6354.64,2095.08,2.94,73.61,0.14,3.49,1237.13,0.38,3386.07,4.75,95.25,0.00,100.00,0.00,0.00,95.82,28.00,111.85,2.40,0.07,1.37,0.05,0.99,5.62,9.25,0.39,0.59,0.0012,0.0020, 22016,1374,74,1.46,1.05,58,0.00,0.00,36,4705.24,3427.91,2095.08,2.75,68.63,0.14,3.51,0.07,1.59,0.04,1.00,1.28,2.60,0.50,0.85,0.0003,0.0006, 22144,35,809,0.48,0.25,39,0.00,0.00,26,4650.45,2926.73,2095.08,3.18,79.45,0.14,3.47,340.12,339.16,  1%,  1%,278.95,278.91,  1%,  1%,827.37,826.97,  3%,  3%,865.35,866.38,  4%,  4%,5.14,94.86,0.00,100.00,0.00,0.00,4.37,95.63,0.00,100.00,0.00,0.00,47.68,48.14,14.55 ,13.44 ,106.08 ,132.18 ,2.40,2.40,
2026-08-12,12:20:43.653,0.07,1.50,0.05,1.00,6.72,12.08,0.44,0.68,0.0007,0.0013,2.05,1.24,59,0.00,0.00,9469.70,6294.23,2095.07,3.01,75.23,0.14,3.53,1179.36,0.36,3240.90,4.70,95.30,0.00,100.00,0.00,0.00,95.94,28.09,108.31,2.40,0.06,1.38,0.05,1.00,5.37,9.78,0.45,0.54,0.0012,0.0023, 20928,1256,56,1.45,0.83,60,0.00,0.00,36,4319.47,3123.48,2095.07,2.77,69.15,0.13,3.22,0.08,1.62,0.05,1.00,1.35,2.29,0.40,0.86,0.0003,0.0004, 21952,59,699,0.60,0.41,55,0.00,0.00,26,5150.23,3170.76,2095.07,3.25,81.21,0.15,3.84,344.86,343.89,  1%,  1%,245.32,245.29,  1%,  1%,776.04,775.60,  3%,  3%,844.10,845.16,  3%,  3%,4.67,95.33,0.00,100.00,0.00,0.00,4.73,95.27,0.00,100.00,0.00,0.00,47.29,48.64,14.48 ,13.62 ,103.23 ,129.61 ,2.40,2.40,
2026-08-12,12:20:44.653,0.07,1.52,0.05,1.00,6.40,11.91,0.46,0.68,0.0007,0.0013,1.96,1.33,62,0.00,0.00,9370.71,6167.21,2095.07,3.04,75.97,0.14,3.49,1065.15,0.32,2962.87,4.61,95.39,0.00,100.00,0.00,0.00,95.78,28.04,103.40,2.40,0.06,1.43,0.04,0.99,4.13,7.64,0.45,0.57,0.0011,0.0021, 21568,1190,16,1.41,1.01,55,0.00,0.00,36,3697.56,2581.06,2095.07,2.87,71.63,0.11,2.76,0.08,1.58,0.05,1.00,2.27,4.27,0.46,0.79,0.0004,0.0008, 21824,210,806,0.54,0.31,84,0.00,0.00,27,5673.14,3586.15,2095.07,3.16,79.10,0.17,4.23,255.50,255.15,  1%,  1%,277.25,277.25,  1%,  1%,753.08,753.06,  3%,  3%,728.28,728.44,  3%,  3%,3.87,96.13,0.00,100.00,0.00,0.00,5.35,94.65,0.00,100.00,0.00,0.00,46.85,48.93,14.50 ,13.54 ,95.28 ,116.81 ,2.40,2.40,
2026-08-12,12:20:45.653,0.07,1.50,0.05,1.00,7.02,11.77,0.40,0.69,0.0007,0.0013,1.97,1.23,60,0.00,0.00,9391.83,6259.00,2095.88,3.00,75.03,0.14,3.50,1096.95,0.34,3017.79,4.68,95.32,0.00,100.00,0.00,0.00,95.74,27.83,106.68,2.40,0.07,1.40,0.05,0.99,5.75,9.10,0.36,0.60,0.0012,0.0019, 21824,1614,15,1.72,1.09,61,0.00,0.00,36,4795.81,3418.27,2095.88,2.81,70.15,0.14,3.58,0.07,1.62,0.04,1.00,1.27,2.67,0.52,0.82,0.0003,0.0006, 21440,28,868,0.25,0.14,52,0.00,0.00,26,4596.02,2840.74,2095.88,3.24,80.89,0.14,3.43,247.83,247.69,  1%,  1%,300.74,300.69,  1%,  1%,778.74,779.02,  3%,  3%,730.17,729.86,  3%,  3%,5.12,94.88,0.00,100.00,0.00,0.00,4.24,95.76,0.00,100.00,0.00,0.00,47.89,47.85,14.68 ,13.15 ,97.54 ,137.30 ,2.40,2.40,
