System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2026-08-13,20:47:17.169,0.01,0.64,0.02,1.00,0.15,0.22,0.22,0.85,0.0001,0.0002,0.13,1.79,99,0.00,0.00,1370.45,2144.82,2097.39,1.28,31.95,0.02,0.51,10.09,0.01,1469.89,1.60,98.40,0.00,100.00,0.00,0.00,85.97,26.72,96.68,2.40,0.02,0.64,0.03,1.00,0.13,0.19,0.22,0.86,0.0001,0.0001, 22784,3259,7,0.12,1.78,99,0.00,0.00,43,1356.65,2120.93,2097.39,1.28,31.98,0.04,1.01,0.00,0.58,0.00,0.84,0.02,0.04,0.24,0.63,0.0015,0.0027, 20800,1,3,0.01,0.01,37,0.00,0.00,41,13.80,23.89,2097.39,1.16,28.88,0.00,0.01,3.61,3.52,  0%,  0%,1.42,1.54,  0%,  0%,369.64,369.70,  1%,  1%,365.59,364.96,  1%,  1%,3.16,96.84,0.00,100.00,0.00,0.00,0.04,99.96,0.00,100.00,0.00,0.00,45.98,39.99,14.27 ,12.45 ,94.09 ,133.78 ,2.40,2.40,
2026-08-13,20:47:18.170,0.01,0.65,0.02,0.99,0.18,0.27,0.22,0.83,0.0001,0.0002,0.14,1.79,99,0.00,0.00,1409.59,2174.55,2096.13,1.30,32.41,0.02,0.53,16.46,0.01,1477.16,1.63,98.37,0.00,100.00,0.00,0.00,85.87,26.68,95.45,2.40,0.02,0.64,0.03,1.00,0.14,0.17,0.14,0.87,0.0001,0.0001, 22272,3297,1,0.13,1.78,99,0.00,0.00,43,1363.25,2120.87,2096.13,1.29,32.14,0.04,1.02,0.00,0.86,0.00,0.77,0.05,0.10,0.37,0.68,0.0010,0.0021, 21120,11,6,0.01,0.01,81,0.00,0.00,41,46.34,53.67,2096.13,1.73,43.17,0.00,0.03,5.26,5.14,  0%,  0%,2.97,3.09,  0%,  0%,371.61,371.74,  1%,  1%,367.23,366.57,  1%,  1%,3.16,96.84,0.00,100.00,0.00,0.00,0.10,99.90,0.00,100.00,0.00,0.00,45.92,39.95,14.25 ,12.44 ,90.99 ,115.85 ,2.40,2.40,
2026-08-13,20:47:19.170,0.01,0.65,0.02,0.99,0.15,0.22,0.20,0.85,0.0001,0.0002,0.13,1.76,99,0.00,0.00,1405.57,2151.65,2094.65,1.31,32.66,0.02,0.52,5.84,0.00,1435.58,1.62,98.38,0.00,100.00,0.00,0.00,85.52,26.68,94.05,2.40,0.02,0.65,0.03,1.00,0.13,0.17,0.12,0.87,0.0001,0.0001, 22208,3343,0,0.13,1.75,99,0.00,0.00,43,1379.49,2117.53,2094.65,1.30,32.57,0.04,1.03,0.00,0.76,0.00,0.65,0.02,0.05,0.50,0.71,0.0007,0.0020, 20544,3,2,0.01,0.01,50,0.00,0.00,41,26.08,34.12,2094.65,1.53,38.22,0.00,0.02,1.84,1.81,  0%,  0%,1.06,1.13,  0%,  0%,361.92,362.19,  1%,  1%,356.14,355.33,  1%,  1%,3.16,96.84,0.00,100.00,0.00,0.00,0.08,99.92,0.00,100.00,0.00,0.00,45.93,39.59,14.25 ,12.43 ,90.64 ,149.91 ,2.40,2.40,
2026-08-13,20:47:20.170,0.01,0.65,0.02,0.99,0.15,0.22,0.20,0.85,0.0001,0.0002,0.13,1.76,99,0.00,0.00,1399.99,2147.97,2096.84,1.30,32.59,0.02,0.52,5.46,0.00,1436.37,1.61,98.39,0.00,100.00,0.00,0.00,85.67,26.74,94.52,2.40,0.02,0.65,0.03,1.00,0.14,0.18,0.17,0.86,0.0001,0.0001, 22144,3346,6,0.13,1.76,99,0.00,0.00,43,1383.30,2121.22,2096.84,1.30,32.61,0.04,1.03,0.00,0.62,0.00,0.66,0.02,0.04,0.42,0.70,0.0009,0.0023, 20416,0,4,0.01,0.01,38,0.00,0.00,41,16.69,26.75,2096.84,1.25,31.19,0.00,0.01,1.75,1.66,  0%,  0%,0.98,1.07,  0%,  0%,362.23,362.39,  1%,  1%,356.21,355.54,  1%,  1%,3.16,96.84,0.00,100.00,0.00,0.00,0.06,99.94,0.00,100.00,0.00,0.00,45.93,39.75,14.25 ,12.49 ,91.30 ,160.81 ,2.40,2.40,
2026-08-13,20:47:21.177,0.09,0.38,0.23,1.00,917.97,918.37,0.00,0.30,0.0785,0.0785,90.69,0.13,99,0.00,0.00,11700.07,30939.86,2103.63,0.76,18.91,0.17,4.34,10.49,0.00,93.29,22.99,77.01,0.00,100.00,0.00,0.00,112.36,46.14,162.05,2.40,0.17,0.38,0.46,1.00,917.94,918.15,0.00,0.30,0.0787,0.0787, 22464,87046,4,90.67,0.13,99,0.00,0.00,41,11669.31,30894.41,2103.63,0.76,18.89,0.35,8.66,0.00,0.68,0.00,0.61,0.03,0.22,0.87,0.47,0.0009,0.0070, 19648,2,0,0.01,0.01,24,0.00,0.00,41,30.76,45.45,2103.63,1.35,33.83,0.00,0.02,2.91,3.35,  0%,  0%,2.25,1.99,  0%,  0%,22.57,23.53,  0%,  0%,24.15,23.04,  0%,  0%,45.84,54.16,0.00,100.00,0.00,0.00,0.11,99.89,0.00,100.00,0.00,0.00,73.06,39.30,33.60 ,12.54 ,162.19 ,164.18 ,2.40,2.40,
2026-08-13,20:47:22.178,0.09,0.37,0.25,1.00,1005.77,1006.18,0.00,0.30,0.0808,0.0808,99.71,0.03,99,0.00,0.00,12449.41,33623.39,2103.30,0.74,18.51,0.19,4.63,11.42,0.00,30.33,25.02,74.98,0.00,100.00,0.00,0.00,115.81,48.04,161.92,2.40,0.18,0.37,0.50,1.00,1005.74,1005.95,0.00,0.30,0.0810,0.0810, 22848,94863,3,99.69,0.02,99,0.00,0.00,40,12414.07,33565.89,2103.30,0.74,18.49,0.37,9.24,0.00,0.61,0.00,0.64,0.03,0.22,0.84,0.51,0.0009,0.0063, 20480,3,2,0.02,0.01,34,0.00,0.00,41,35.34,57.50,2103.30,1.23,30.73,0.00,0.03,3.28,3.49,  0%,  0%,2.37,2.28,  0%,  0%,6.95,7.40,  0%,  0%,8.26,7.72,  0%,  0%,49.96,50.04,0.00,100.00,0.00,0.00,0.13,99.87,0.00,100.00,0.00,0.00,76.10,39.71,35.49 ,12.55 ,161.78 ,172.42 ,2.40,2.40,
2026-08-13,20:47:23.182,0.09,0.37,0.25,1.00,1008.88,1009.27,0.00,0.30,0.0808,0.0808,99.73,0.03,99,0.00,0.00,12483.88,33723.88,2103.43,0.74,18.51,0.19,4.64,8.18,0.00,22.19,25.07,74.93,0.00,100.00,0.00,0.00,115.82,48.04,162.05,2.40,0.19,0.37,0.50,1.00,1008.85,1009.06,0.00,0.30,0.0810,0.0810, 22784,95195,6,99.71,0.02,99,0.00,0.00,40,12457.40,33681.36,2103.43,0.74,18.49,0.37,9.25,0.00,0.62,0.00,0.61,0.02,0.20,0.89,0.47,0.0008,0.0077, 20480,1,0,0.01,0.01,17,0.00,0.00,41,26.48,42.52,2103.43,1.25,31.14,0.00,0.02,2.59,2.85,  0%,  0%,1.44,1.30,  0%,  0%,4.72,5.29,  0%,  0%,6.41,5.76,  0%,  0%,50.04,49.96,0.00,100.00,0.00,0.00,0.10,99.90,0.00,100.00,0.00,0.00,76.27,39.56,35.53 ,12.52 ,162.05 ,175.88 ,2.40,2.40,
2026-08-13,20:47:24.186,0.09,0.37,0.25,1.00,1009.79,1010.18,0.00,0.30,0.0809,0.0809,99.74,0.03,99,0.00,0.00,12487.30,33721.36,2103.50,0.74,18.52,0.19,4.64,7.83,0.00,21.34,25.07,74.93,0.00,100.00,0.00,0.00,115.89,48.03,162.07,2.40,0.19,0.37,0.50,1.00,1009.76,1009.98,0.00,0.30,0.0810,0.0811, 23936,95215,4,99.73,0.02,99,0.00,0.00,40,12459.73,33680.89,2103.50,0.74,18.50,0.37,9.26,0.00,0.68,0.00,0.62,0.02,0.20,0.89,0.48,0.0008,0.0074, 20416,1,2,0.01,0.01,20,0.00,0.00,41,27.57,40.47,2103.50,1.36,34.06,0.00,0.02,2.38,2.64,  0%,  0%,1.47,1.33,  0%,  0%,4.64,5.19,  0%,  0%,6.07,5.44,  0%,  0%,50.04,49.96,0.00,100.00,0.00,0.00,0.10,99.90,0.00,100.00,0.00,0.00,76.26,39.63,35.52 ,12.51 ,162.07 ,177.91 ,2.40,2.40,
2026-08-13,20:47:25.190,0.09,0.37,0.25,1.00,1009.82,1010.21,0.00,0.30,0.0809,0.0809,99.75,0.03,99,0.00,0.00,12487.12,33725.49,2103.48,0.74,18.51,0.19,4.64,7.61,0.00,20.82,25.07,74.93,0.00,100.00,0.00,0.00,116.13,48.07,162.06,2.40,0.19,0.37,0.50,1.00,1009.80,1010.01,0.00,0.30,0.0810,0.0811, 22464,95225,2,99.73,0.02,99,0.00,0.00,39,12459.85,33680.45,2103.48,0.74,18.50,0.37,9.26,0.00,0.61,0.00,0.62,0.02,0.20,0.89,0.47,0.0008,0.0074, 20224,0,2,0.01,0.01,23,0.00,0.00,41,27.27,45.04,2103.48,1.21,30.27,0.00,0.02,2.29,2.59,  0%,  0%,1.44,1.30,  0%,  0%,4.47,5.10,  0%,  0%,5.98,5.26,  0%,  0%,50.04,49.96,0.00,100.00,0.00,0.00,0.11,99.89,0.00,100.00,0.00,0.00,76.49,39.64,35.56 ,12.52 ,162.06 ,169.91 ,2.40,2.40,
