System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,
2026-08-19,17:44:42.097,0.01,0.33,0.04,0.99,0.38,1.11,0.38,0.85,0.0002,0.0006,0.25,0.93,90,0.00,0.00,1946.42,5928.08,2108.22,0.66,16.42,0.03,0.72,131.51,0.11,1035.72,4.44,95.56,0.00,100.00,0.00,0.00,88.08,26.70,123.86,2.40,0.00,0.01,0.03,0.98,0.09,0.43,0.55,0.31,0.0030,0.0147, 21504,9,8,0.02,0.03,25,0.00,0.00,34,29.04,1947.61,2108.22,0.03,0.75,0.00,0.02,0.03,0.48,0.06,0.99,0.30,0.68,0.30,0.90,0.0002,0.0004, 22208,1648,23,0.24,0.91,91,0.00,0.00,29,1917.38,3980.47,2108.22,0.96,24.08,0.06,1.42,50.84,49.41,  0%,  0%,16.37,14.89,  0%,  0%,244.26,243.47,  1%,  1%,272.69,275.29,  1%,  1%,2.94,97.06,0.00,100.00,0.00,0.00,5.94,94.06,0.00,100.00,0.00,0.00,41.05,47.03,12.95 ,13.75 ,182.16 ,115.35 ,2.40,2.40,
2026-08-19,17:44:43.097,0.00,1.07,0.00,0.72,0.15,0.30,0.42,0.65,0.0005,0.0010,0.45,0.04,15,0.00,0.00,301.41,282.09,2093.95,2.14,53.42,0.00,0.11,393.81,0.80,971.46,0.29,99.71,0.00,100.00,0.00,0.00,80.93,26.19,96.19,2.40,0.00,0.43,0.00,0.61,0.02,0.05,0.51,0.48,0.0025,0.0056, 21568,2,1,0.01,0.01,63,0.00,0.00,34,9.36,22.02,2093.95,0.85,21.26,0.00,0.01,0.00,1.12,0.00,0.73,0.13,0.25,0.40,0.67,0.0004,0.0009, 22336,64,0,0.44,0.03,14,0.00,0.00,29,292.04,260.07,2093.95,2.25,56.15,0.01,0.22,195.02,195.07,  0%,  0%,1.83,1.90,  0%,  0%,169.59,169.67,  0%,  0%,316.19,316.01,  1%,  1%,0.05,99.95,0.00,100.00,0.00,0.00,0.53,99.47,0.00,100.00,0.00,0.00,39.84,41.10,12.83 ,13.37 ,147.43 ,92.65 ,2.40,2.40,
2026-08-19,17:44:44.100,0.00,1.40,0.00,0.80,0.16,0.35,0.46,0.65,0.0003,0.0006,0.45,0.05,20,0.00,0.00,582.28,414.92,2094.96,2.81,70.17,0.01,0.22,369.73,0.75,911.99,0.39,99.61,0.00,100.00,0.00,0.00,81.29,26.19,95.42,2.40,0.00,0.44,0.00,0.70,0.02,0.05,0.53,0.53,0.0020,0.0047, 22272,6,5,0.01,0.01,61,0.00,0.00,34,10.70,24.42,2094.96,0.88,21.92,0.00,0.01,0.01,1.46,0.01,0.80,0.14,0.30,0.45,0.67,0.0002,0.0005, 22016,83,2,0.44,0.04,19,0.00,0.00,29,571.58,390.50,2094.96,2.93,73.19,0.02,0.43,183.04,183.10,  0%,  0%,1.77,1.82,  0%,  0%,159.27,159.37,  0%,  0%,296.76,296.59,  1%,  1%,0.05,99.95,0.00,100.00,0.00,0.00,0.73,99.27,0.00,100.00,0.00,0.00,39.81,41.48,12.83 ,13.35 ,141.67 ,91.66 ,2.40,2.40,
2026-08-19,17:44:45.097,0.03,0.73,0.04,0.94,4.75,18.76,0.68,0.76,0.0011,0.0043,1.46,1.27,50,0.00,0.00,4334.07,5967.57,2095.49,1.45,36.31,0.06,1.62,876.20,0.32,2743.93,4.73,95.27,0.00,100.00,0.00,0.00,93.11,27.60,135.85,2.40,0.03,0.65,0.04,0.92,1.63,10.54,0.82,0.67,0.0009,0.0060, 10624,332,171,0.69,0.52,64,0.00,0.00,34,1750.91,2688.97,2095.49,1.30,32.56,0.05,1.31,0.04,0.79,0.05,0.96,3.12,8.22,0.48,0.82,0.0012,0.0032, 20864,476,71,0.78,0.74,41,0.00,0.00,29,2583.15,3278.60,2095.49,1.58,39.39,0.08,1.93,164.55,174.02,  0%,  0%,269.00,268.63,  1%,  1%,722.06,732.22,  3%,  3%,653.92,635.73,  3%,  2%,4.36,95.64,0.00,100.00,0.00,0.00,5.10,94.90,0.00,100.00,0.00,0.00,45.58,47.53,13.77 ,13.83 ,168.57 ,119.34 ,2.40,2.40,
2026-08-19,17:44:46.097,0.04,0.68,0.06,0.96,8.84,28.28,0.63,0.71,0.0017,0.0055,2.21,1.72,53,0.00,0.00,5124.84,7492.68,2094.86,1.37,34.20,0.08,1.91,1285.56,0.33,3926.44,5.80,94.20,0.00,100.00,0.00,0.00,96.05,28.23,129.13,2.40,0.03,0.61,0.05,0.95,2.87,16.11,0.80,0.61,0.0013,0.0074, 13632,557,309,0.98,0.75,66,0.00,0.00,34,2166.26,3533.58,2094.86,1.23,30.65,0.06,1.62,0.04,0.75,0.06,0.98,5.97,12.17,0.37,0.78,0.0020,0.0041, 20800,743,84,1.23,0.97,45,0.00,0.00,29,2958.57,3959.10,2094.86,1.49,37.36,0.09,2.21,265.82,278.68,  1%,  1%,369.36,371.69,  1%,  1%,1019.27,1028.93,  4%,  4%,950.57,927.67,  4%,  4%,5.57,94.43,0.00,100.00,0.00,0.00,6.03,93.97,0.00,100.00,0.00,0.00,47.18,48.87,14.08 ,14.15 ,151.64 ,116.15 ,2.40,2.40,
2026-08-19,17:44:47.104,0.19,0.56,0.35,1.00,338.64,399.78,0.10,0.48,0.0129,0.0153,44.63,3.86,95,0.00,0.00,26198.78,46636.65,2104.67,1.12,28.09,0.39,9.70,3028.95,0.06,8123.34,34.62,65.38,0.00,100.00,0.00,0.00,126.15,39.51,140.30,2.40,0.17,0.54,0.32,1.00,149.75,195.45,0.17,0.44,0.0127,0.0165, 20800,18679,2542,18.27,1.04,98,0.00,0.00,31,11810.86,21824.30,2104.67,1.08,27.06,0.35,8.75,0.21,0.58,0.37,1.00,188.89,204.33,0.04,0.51,0.0131,0.0142, 22976,26626,73,26.36,2.82,93,0.00,0.00,26,14387.92,24812.35,2104.67,1.16,28.99,0.43,10.65,815.81,775.02,  3%,  3%,682.99,755.13,  3%,  3%,2070.85,1952.94,  9%,  9%,2004.31,2095.25,  9%,  9%,32.47,67.53,0.00,100.00,0.00,0.00,36.77,63.23,0.00,100.00,0.00,0.00,60.19,65.96,18.53 ,20.98 ,134.98 ,144.28 ,2.40,2.40,
2026-08-19,17:44:48.104,0.62,0.63,0.99,1.00,1326.19,1379.04,0.01,0.48,0.0160,0.0166,175.36,0.94,99,0.00,0.00,82863.18,131786.40,2095.01,1.26,31.44,1.24,30.99,1332.79,0.01,3693.30,98.57,1.43,0.00,100.00,0.00,0.00,191.76,67.82,148.38,2.40,0.63,0.64,0.97,1.00,683.72,710.89,0.01,0.47,0.0163,0.0170, 23872,88793,279,88.18,0.03,99,0.00,0.00,31,41912.16,64987.32,2095.01,1.29,32.25,1.25,31.32,0.61,0.61,1.00,1.00,642.47,668.15,0.02,0.48,0.0157,0.0163, 21888,86865,5,87.17,0.90,99,0.00,0.00,25,40951.02,66799.08,2095.01,1.23,30.65,1.23,30.65,416.81,408.02,  1%,  1%,250.03,257.92,  1%,  1%,872.43,850.78,  4%,  3%,973.90,996.19,  4%,  4%,97.14,2.86,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,92.93,98.83,33.83 ,33.99 ,146.01 ,150.80 ,2.40,2.40,
2026-08-19,17:44:49.101,0.62,0.62,1.00,1.00,1323.12,1376.37,0.02,0.48,0.0159,0.0165,176.38,0.95,99,0.00,0.00,83268.86,133977.33,2094.23,1.24,31.08,1.24,31.08,1352.48,0.01,3748.94,100.00,0.00,0.00,100.00,0.00,0.00,193.10,68.12,149.05,2.40,0.63,0.63,1.00,1.00,678.90,706.35,0.01,0.48,0.0161,0.0167, 22144,89446,278,88.96,0.03,99,0.00,0.00,30,42204.66,66961.43,2094.23,1.26,31.51,1.26,31.51,0.61,0.61,1.00,1.00,644.22,670.02,0.02,0.48,0.0157,0.0163, 22528,86981,2,87.41,0.92,99,0.00,0.00,25,41064.20,67015.91,2094.23,1.23,30.64,1.23,30.64,423.22,413.07,  1%,  1%,254.13,262.06,  1%,  1%,886.42,863.26,  4%,  4%,987.16,1012.11,  4%,  4%,100.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,93.81,99.29,34.01 ,34.11 ,147.30 ,150.84 ,2.40,2.40,
2026-08-19,17:44:50.108,0.62,0.62,1.00,1.00,1324.19,1377.48,0.02,0.48,0.0159,0.0165,176.52,0.96,99,0.00,0.00,83368.25,134162.66,2094.50,1.24,31.07,1.24,31.07,1361.98,0.01,3774.53,100.00,0.00,0.00,100.00,0.00,0.00,193.24,68.18,149.13,2.40,0.63,0.63,1.00,1.00,679.74,707.23,0.01,0.48,0.0161,0.0167, 23424,89708,285,89.03,0.03,99,0.00,0.00,30,42274.50,67084.23,2094.50,1.26,31.51,1.26,31.51,0.61,0.61,1.00,1.00,644.45,670.25,0.02,0.48,0.0157,0.0163, 23680,87189,5,87.49,0.93,99,0.00,0.00,24,41093.75,67078.43,2094.50,1.23,30.63,1.23,30.63,426.10,416.12,  1%,  1%,255.77,263.99,  1%,  1%,892.56,868.99,  4%,  4%,994.01,1018.99,  4%,  4%,100.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,94.02,99.22,34.05 ,34.13 ,147.44 ,150.87 ,2.40,2.40,
