time,variant,elapsed,phase,limit,current_mb,high_events,psi_some_avg10,anon,file,pgscan,pgsteal,pgmajfault,repl_fail_events,repl_lock_main_lost,repl_pg_private_alloc,repl_pg_private_free,repl_pte_miss_events,repl_rdprotect_handled,repl_reclaimed,repl_reclaimed_replicas,repl_remote_faults_on_main,repl_repl_allocated,repl_repl_copy_events,repl_skipped_pressure,repl_tlb_flushed,repl_total_faults,repl_unreplicated,repl_writes_to_replicated,vm_numa_pte_updates,vm_numa_huge_pte_updates,vm_numa_hint_faults,vm_numa_hint_faults_local,vm_numa_pages_migrated,vm_pgmigrate_success,vm_pgmigrate_fail
2026-08-27T19:11:12.863,repl-bound,0.001,normal,max,4235,0,0.00,2285006848,2124312576,0,0,458441,459724,0,0,0,1340738,0,0,0,309405,504754,504754,0,1009508,1605601,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:13.363,repl-bound,0.501,normal,max,4233,0,0.00,2285006848,2124312576,0,0,458441,459724,0,0,0,1340738,0,0,0,309405,504754,504754,0,1009508,1605601,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:13.863,repl-bound,1.001,normal,max,4235,0,0.00,2285006848,2124312576,0,0,458441,459724,0,0,0,1340738,0,0,0,309405,504754,504754,0,1009508,1605601,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:14.363,repl-bound,1.501,normal,max,4235,0,0.00,2285006848,2124312576,0,0,458441,459724,0,0,0,1340738,0,0,0,309405,504754,504754,0,1009508,1605601,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:14.863,repl-bound,2.001,normal,max,4235,0,0.00,2285006848,2124312576,0,0,458441,459724,0,0,0,1340738,0,0,0,309405,504754,504754,0,1009508,1605601,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:15.363,repl-bound,2.501,normal,max,4235,0,0.00,2285006848,2124312576,0,0,458441,459724,0,0,0,1340738,0,0,0,309405,504754,504754,0,1009508,1605601,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:15.863,repl-bound,3.001,normal,max,4236,0,0.00,2285006848,2124312576,0,0,458441,459724,0,0,0,1340738,0,0,0,309405,504754,504754,0,1009508,1605601,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:16.363,repl-bound,3.501,normal,max,4237,0,0.00,2285006848,2124312576,0,0,458441,459724,0,0,0,1340738,0,0,0,309405,504754,504754,0,1009508,1605601,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:16.863,repl-bound,4.001,normal,max,4237,0,0.00,2285006848,2124312576,0,0,458441,459724,0,0,0,1340738,0,0,0,309405,504754,504754,0,1009508,1605601,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:17.363,repl-bound,4.501,normal,max,4237,0,0.00,2285010944,2124312576,0,0,458441,459724,0,0,0,1340738,0,0,0,309405,504754,504754,0,1009508,1605601,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:17.863,repl-bound,5.001,normal,max,4238,0,0.00,2285010944,2124312576,0,0,458441,459724,0,0,0,1340738,0,0,0,309405,504754,504754,0,1009508,1605601,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:18.363,repl-bound,5.501,normal,max,4237,0,0.00,2285010944,2124312576,0,0,458441,459724,0,0,0,1340738,0,0,0,309405,504754,504754,0,1009508,1605601,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:18.863,repl-bound,6.001,normal,max,4237,0,0.00,2285010944,2124312576,0,0,458441,459724,0,0,0,1340738,0,0,0,309405,504754,504754,0,1009508,1605601,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:19.363,repl-bound,6.501,normal,max,4237,0,0.00,2285010944,2124312576,0,0,458441,459724,0,0,0,1340738,0,0,0,309405,504754,504754,0,1009508,1605601,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:19.863,repl-bound,7.001,normal,max,4236,0,0.00,2285010944,2124312576,0,0,458441,459724,0,0,0,1340738,0,0,0,309405,504754,504754,0,1009508,1605601,0,0,173,0,168,109,45,45,0
