time,variant,elapsed,phase,limit,current_mb,high_events,psi_some_avg10,anon,file,pgscan,pgsteal,pgmajfault,repl_fail_events,repl_lock_main_lost,repl_pg_private_alloc,repl_pg_private_free,repl_pte_miss_events,repl_rdprotect_handled,repl_reclaimed,repl_reclaimed_replicas,repl_remote_faults_on_main,repl_repl_allocated,repl_repl_copy_events,repl_skipped_pressure,repl_tlb_flushed,repl_total_faults,repl_unreplicated,repl_writes_to_replicated,vm_numa_pte_updates,vm_numa_huge_pte_updates,vm_numa_hint_faults,vm_numa_hint_faults_local,vm_numa_pages_migrated,vm_pgmigrate_success,vm_pgmigrate_fail
2026-08-29T20:46:10.352,repl-dynamic,0.001,normal,max,4217,0,0.00,2282795008,2106712064,0,0,456583,458150,0,0,0,1331525,0,0,0,360242,504211,504211,0,1008422,1645718,0,0,469,0,464,232,124,124,0
2026-08-29T20:46:10.853,repl-dynamic,0.501,normal,max,4218,0,0.00,2282795008,2106712064,0,0,456583,458150,0,0,0,1331525,0,0,0,360242,504211,504211,0,1008422,1645718,0,0,469,0,464,232,124,124,0
2026-08-29T20:46:11.353,repl-dynamic,1.001,normal,max,4216,0,0.00,2282795008,2106712064,0,0,456583,458150,0,0,0,1331525,0,0,0,360242,504211,504211,0,1008422,1645718,0,0,469,0,464,232,124,124,0
2026-08-29T20:46:11.853,repl-dynamic,1.501,normal,max,4217,0,0.00,2282803200,2106712064,0,0,456583,458150,0,0,0,1331525,0,0,0,360242,504211,504211,0,1008422,1645718,0,0,469,0,464,232,124,124,0
2026-08-29T20:46:12.353,repl-dynamic,2.001,normal,max,4218,0,0.00,2282803200,2106712064,0,0,456583,458150,0,0,0,1331525,0,0,0,360242,504211,504211,0,1008422,1645718,0,0,469,0,464,232,124,124,0
2026-08-29T20:46:12.853,repl-dynamic,2.501,normal,max,4216,0,0.00,2282803200,2106712064,0,0,456583,458150,0,0,0,1331525,0,0,0,360242,504211,504211,0,1008422,1645718,0,0,469,0,464,232,124,124,0
2026-08-29T20:46:13.353,repl-dynamic,3.001,normal,max,4218,0,0.00,2282803200,2106712064,0,0,456583,458150,0,0,0,1331535,0,0,0,360242,504221,504221,0,1008442,1645728,0,0,469,0,464,232,124,124,0
2026-08-29T20:46:13.853,repl-dynamic,3.501,normal,max,4218,0,0.00,2282844160,2106712064,0,0,456583,458150,0,0,0,1331535,0,0,0,360242,504221,504221,0,1008442,1645728,0,0,469,0,464,232,124,124,0
2026-08-29T20:46:14.353,repl-dynamic,4.001,normal,max,4216,0,0.00,2282844160,2106712064,0,0,456583,458150,0,0,0,1331535,0,0,0,360242,504221,504221,0,1008442,1645728,0,0,469,0,464,232,124,124,0
2026-08-29T20:46:14.853,repl-dynamic,4.501,normal,max,4218,0,0.00,2282844160,2106712064,0,0,456583,458150,0,0,0,1331535,0,0,0,360242,504221,504221,0,1008442,1645728,0,0,469,0,464,232,124,124,0
