ops_sec,mb_sec,lsm_sz,blob_sz,c_wgb,w_amp,c_mbps,c_wsecs,c_csecs,b_rgb,b_wgb,usec_op,p50,p99,p99.9,p99.99,pmax,uptime,stall%,Nstall,u_cpu,s_cpu,rss,test,date,version,job_id,githash,tag,nb_runs,start_time,end_time
7514133,1902.6,10GB,0GB,"0,0",,"0,0",0,0,0,0,"8,0","10,0",14,30,33,40034,210,0.0,,"13,4","0,0","10,1",readrandom.t64,2026-03-15T11:54:33,10.5.0,,11a259a5f0,readrandom,0,2026-03-15T11:54:33.322387,2026-03-15T11:58:04.856963
7488162,1896.0,10GB,0GB,"0,0",,"0,0",0,0,0,0,"8,0","10,0",14,29,33,68343,210,0.0,,"13,4","0,0","10,1",readrandom.t64,2026-03-15T11:59:56,10.5.0,,11a259a5f0,readrandom,1,2026-03-15T11:59:56.666460,2026-03-15T12:03:28.219319
7517931,1903.4,10GB,0GB,"0,0",,"0,0",0,0,0,0,"8,0","10,0",14,30,33,42645,210,0.0,,"13,4","0,0","10,1",readrandom.t64,2026-03-15T12:05:21,10.5.0,,11a259a5f0,readrandom,2,2026-03-15T12:05:21.173076,2026-03-15T12:08:52.700709
7446151,1885.5,10GB,0GB,"0,0",,"0,0",0,0,0,0,"8,0","10,0",14,29,33,30002,210,0.0,,"13,4","0,0","10,1",readrandom.t64,2026-03-15T12:10:43,10.5.0,,11a259a5f0,readrandom,3,2026-03-15T12:10:42.906790,2026-03-15T12:14:14.437186
7502498,1899.5,10GB,0GB,"0,0",,"0,0",0,0,0,0,"8,0","10,0",15,27,33,33956,210,0.0,,"13,4","0,0","10,1",readrandom.t64,2026-03-15T12:16:07,10.5.0,,11a259a5f0,readrandom,4,2026-03-15T12:16:06.980227,2026-03-15T12:19:38.508612
7242589,1833.8,10GB,0GB,"0,0",,"0,0",0,0,0,0,"8,0","89,0",163,169,206,32149,210,0.0,,"13,4","0,0","10,1",multireadrandom.t64,2026-03-15T13:43:17,10.5.0,,11a259a5f0,multireadrandom,0,2026-03-15T13:43:16.945473,2026-03-15T13:46:48.484318
7305886,1849.6,10GB,0GB,"0,0",,"0,0",0,0,0,0,"8,0","88,0",163,169,207,24103,210,0.0,,"13,4","0,0","10,1",multireadrandom.t64,2026-03-15T13:48:39,10.5.0,,11a259a5f0,multireadrandom,1,2026-03-15T13:48:39.614361,2026-03-15T13:52:11.138059
7397164,1872.9,10GB,0GB,"0,0",,"0,0",0,0,0,0,"8,0","87,0",161,169,208,72105,210,0.0,,"13,4","0,0","10,1",multireadrandom.t64,2026-03-15T13:54:01,10.5.0,,11a259a5f0,multireadrandom,2,2026-03-15T13:54:01.452565,2026-03-15T13:57:32.982553
7362667,1864.3,10GB,0GB,"0,0",,"0,0",0,0,0,0,"8,0","87,0",162,169,195,34987,210,0.0,,"13,4","0,0","10,1",multireadrandom.t64,2026-03-15T13:59:26,10.5.0,,11a259a5f0,multireadrandom,3,2026-03-15T13:59:26.691431,2026-03-15T14:02:58.219674
7326412,1855.0,10GB,0GB,"0,0",,"0,0",0,0,0,0,"8,0","88,0",162,169,195,40114,210,0.0,,"13,4","0,0","10,1",multireadrandom.t64,2026-03-15T14:04:50,10.5.0,,11a259a5f0,multireadrandom,4,2026-03-15T14:04:50.589165,2026-03-15T14:08:22.143866
2502479,10023.5,10GB,0GB,"0,0",,"0,0",0,0,0,0,"25,0","25,0",35,49,66,133177,210,0.0,,"13,4","0,0","10,1",fwdrange.t64,2026-03-15T15:31:48,10.5.0,,11a259a5f0,fwdrange,0,2026-03-15T15:31:48.504613,2026-03-15T15:35:20.185382
2557215,10242.8,10GB,0GB,"0,0",,"0,0",0,0,0,0,"25,0","24,0",33,49,66,35134,210,0.0,,"13,4","0,0","10,1",fwdrange.t64,2026-03-15T15:37:15,10.5.0,,11a259a5f0,fwdrange,1,2026-03-15T15:37:15.348544,2026-03-15T15:40:46.885668
2553163,10226.5,10GB,0GB,"0,0",,"0,0",0,0,0,0,"25,0","24,0",33,49,64,78998,210,0.0,,"13,4","0,0","10,1",fwdrange.t64,2026-03-15T15:42:40,10.5.0,,11a259a5f0,fwdrange,2,2026-03-15T15:42:40.346811,2026-03-15T15:46:11.944473
2432712,9744.1,10GB,0GB,"0,0",,"0,0",0,0,0,0,"26,0","26,0",38,49,69,47778,210,0.0,,"13,4","0,0","10,1",fwdrange.t64,2026-03-15T15:48:06,10.5.0,,11a259a5f0,fwdrange,3,2026-03-15T15:48:06.396010,2026-03-15T15:51:37.947803
2509478,10051.5,10GB,0GB,"0,0",,"0,0",0,0,0,0,"25,0","25,0",33,49,66,48043,210,0.0,,"13,4","0,0","10,1",fwdrange.t64,2026-03-15T15:53:30,10.5.0,,11a259a5f0,fwdrange,4,2026-03-15T15:53:30.386939,2026-03-15T15:57:01.931730
1960107,7851.1,10GB,0GB,"0,0",,"0,0",0,0,0,0,"32,0","30,0",50,50,77,32082,210,0.0,,"13,4","0,0","10,1",revrange.t64,2026-03-15T17:20:18,10.5.0,,11a259a5f0,revrange,0,2026-03-15T17:20:18.150342,2026-03-15T17:23:49.688423
