metric,baseline,distribute,patched-repl
build_commit,773340973.0,773340973.0,773340973.0
build_number,7217.0,7217.0,7217.0
model_size,8533004544.0,8533004544.0,8533004544.0
model_n_params,8030326848.0,8030326848.0,8030326848.0
n_batch,2048.0,2048.0,2048.0
n_ubatch,512.0,512.0,512.0
n_threads,64.0,64.0,64.0
cpu_strict,0.0,0.0,0.0
poll,50.0,50.0,50.0
n_gpu_layers,99.0,99.0,99.0
n_cpu_moe,0.0,0.0,0.0
main_gpu,0.0,0.0,0.0
no_kv_offload,0.0,0.0,0.0
flash_attn,0.0,0.0,0.0
tensor_split,0.0,0.0,0.0
use_mmap,1.0,1.0,1.0
embeddings,0.0,0.0,0.0
no_op_offload,0.0,0.0,0.0
no_host,0.0,0.0,0.0
n_prompt,0.0,0.0,0.0
n_gen,512.0,512.0,512.0
n_depth,0.0,0.0,0.0
avg_ns,91446802099.0,74777733647.0,54468231191.0
stddev_ns,355961095.0,369274731.0,339573451.0
avg_ts,5.598951,6.847092,9.400269
stddev_ts,0.021775,0.034035,0.059086
samples,457.0,369.0,273.0
local_pct,50.42669584245077,54.0,96.0
local_pct_skt0,53.15098468271335,53.02173913043478,99.0
local_pct_skt1,50.056892778993436,55.17934782608695,94.0
lmb_gb_skt0,0.2444868025164114,17.91450832201087,35.392402844551285
lmb_gb_skt1,21.53291891753282,10.748576400715258,36.31537603021978
rmb_gb_skt0,20.73585373358862,8.404819654381793,0.6396412831959707
rmb_gb_skt1,0.17071893804704596,14.998898373637601,0.06647779304029304
ipc,0.3363457330415755,0.3459620596205962,0.37684981684981683
inst,42371.32774617068,43623.33989159892,15301.337985347987
exec,0.3162363238512035,0.3256910569105691,0.11520146520146518
inst_skt0,13289.77124726477,24827.15472826087,7696.256117216117
inst_skt1,29081.556477024067,18794.908858695653,7605.081684981685
exec_skt0,0.19689277899343546,0.36874999999999997,0.11578754578754578
exec_skt1,0.43509846827133486,0.2787228260869566,0.11476190476190476
cpu_balance,0.4569828048152917,0.7570303187944979,0.9881534046105249
llc_rd_miss_lat_ns,345.7028227571116,250.84554347826088,157.92871794871795
l3hit,0.6201094091903719,0.6077235772357723,0.6197802197802198
l2miss,23.795864332603937,30.162981029810297,13.175164835164834
l3miss,8.025754923413567,10.19650406504065,4.424432234432234
l3mpi,0.0002000000000000001,0.00020000000000000004,0.0002996336996336996
l2mpi,0.0005967177242888402,0.0006997289972899729,0.0008835164835164835
upi_to_mc,0.4694748358862142,0.44152173913043485,0.049999999999999996
upi_in_gb,23.79703911378556,27.180346375338758,3.9816565790979856
upi_out_gb,44.067550965023244,44.22227133046026,10.048110906021062
upi_out_pct,52.189277899343544,52.1351902173913,11.363553113553115
upi_in_pct,27.7855579868709,32.017663043478265,4.0
mem_bw_gb,50.79913509043353,61.47001354846325,82.21091325176887
mem_read_gb,47.364855246512576,58.398587284297726,78.3065263378172
mem_write_gb,3.434279801182987,3.0714263178228025,3.9096737544221694
mem_read_gb_skt0,1.7997611161446938,35.41333270733173,37.3876846290531
mem_read_gb_skt1,45.565093724357226,22.985254496480085,40.91884148848684
mem_write_gb_skt0,1.4874967305456783,0.4032718868046017,0.18226008135573307
mem_write_gb_skt1,1.9467831988512034,2.6681543505322804,3.7272009001997186
data_mem_gb,8.693286761902927,8.220489746746532,15.230520837447223
data_mem_gb_node0,0.29326112646805613,5.074153716551429,6.836906629450181
data_mem_gb_node1,8.40002563543487,3.1463360301951036,8.393614207997041
pagetable_mb,26.88339501096491,26.859082553475936,46.116943359375
pagetable_mb_node0,3.8674958881578947,13.796624331550802,20.6796875
pagetable_mb_node1,23.015899122807017,13.062458221925134,25.437255859375
warmup_s,0.0,0.0,0.0
