metric,baseline,baseline-warmup,distribute,distribute-warmup,interleaved-distribute,interleaved-distribute-warmup,repl-distribute,repl-distribute-warmup
n_prompt,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
n_gen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runs,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
avg_ns,10630277413.0,10071767206.0,10346149786.0,9687246998.0,10385027288.0,9798469450.0,11160218696.0,9743951373.0
avg_ts,48.35104,50.98138,49.56301,52.86482,49.32007,52.25801,46.31884,52.56989
stddev_ts,3.110372,2.751527,2.062698,0.832093,0.999759,0.535008,4.435998,1.167726
samples,135.0,201.0,207.0,194.0,207.0,196.0,153.0,195.0
local_pct,73.57777777777778,63.134328358208954,67.59903381642512,66.64948453608247,49.93719806763285,49.55612244897959,74.69934640522875,79.17435897435898
local_pct_skt0,79.74074074074075,68.29353233830845,68.53623188405797,69.07731958762886,53.84057971014493,55.22959183673469,78.88888888888889,83.26153846153846
local_pct_skt1,64.37037037037037,65.45273631840796,66.16425120772946,62.52577319587629,46.08212560386473,41.30612244897959,69.96078431372548,74.26666666666667
lmb_gb_skt0,8.417546058768657,12.369543331185566,11.831971763959391,14.449766451719576,8.859146970177665,10.232014973958334,9.96654296875,20.66079536158377
lmb_gb_skt1,10.711156133395523,9.496033960459183,9.5953076171875,9.388469091530055,7.713525864684466,8.7619503060567,7.984668607026144,16.98241185897436
rmb_gb_skt0,5.318185763888889,2.5209814453125,5.840758982487923,4.485305059523809,8.313324434673367,9.731258095854923,3.5511886899834435,1.876528754908377
rmb_gb_skt1,2.4951967592592594,8.161820392219388,5.95083678002451,7.2383686266447365,7.430483041158537,8.584891183035714,2.798190104166667,2.5017077061518322
ipc,0.9072592592592594,0.6920398009950249,0.7257487922705315,0.716340206185567,0.7233333333333334,0.6941326530612245,0.8880392156862745,0.7128205128205128
inst,4967.859555555556,3957.5618407960196,4436.627149758455,3933.9195360824738,4418.53652173913,3794.240408163265,5077.4013725490195,3864.8703589743586
inst_skt0,2481.9825185185186,2125.4700995024873,2212.039565217391,2003.6238659793817,2204.4308695652176,1898.076173469388,2520.584117647059,1935.3554358974359
inst_skt1,2485.8773333333334,1832.092039800995,2224.5876811594203,1930.2961855670108,2214.1056038647343,1896.164387755102,2556.816993464052,1929.5155384615387
afreq,0.8276296296296297,0.8796517412935323,0.9208212560386474,0.905360824742268,0.9216425120772945,0.9045918367346938,0.9013071895424837,0.9089743589743589
freq,0.04199999999999999,0.04761194029850747,0.04932367149758454,0.043762886597938144,0.04942028985507246,0.04392857142857143,0.043267973856209146,0.04266666666666666
cpu_balance,0.9984332232477489,0.8619702720023379,0.9943593520505835,0.9634024720620264,0.9956304097317538,0.9989927771387639,0.9858289130940484,0.9969825194237826
llc_rd_miss_lat_ns,167.70333333333335,389.19014925373136,214.2114009661836,196.65051546391751,233.25357487922707,207.00040816326532,163.75385620915034,167.558
l3hit,0.2122222222222222,0.3716915422885573,0.3230434782608696,0.3397938144329897,0.322463768115942,0.32673469387755105,0.25542483660130716,0.39451282051282055
l2miss,2.488444444444444,2.2282089552238804,2.1866183574879225,2.441237113402062,2.1894202898550725,2.456785714285714,2.679477124183007,2.826564102564103
l3miss,2.029703703703704,1.5526368159203976,1.4663768115942026,1.6421649484536083,1.4792270531400968,1.6449489795918366,1.8784967320261439,1.6854358974358972
l3mpi,0.00038296296296296304,0.0017044776119402986,0.00030386473429951696,0.0004505154639175258,0.00030772946859903384,0.00047602040816326535,0.0003673202614379085,0.0004753846153846154
upi_in_gb,8.330701316550927,11.818702726601368,12.912416591183575,12.71887871496456,17.766370678593,20.313350805165815,6.522645143995098,5.245884765625001
upi_out_gb,16.513035300925925,23.155461607975745,24.277525050951084,23.29280369080219,31.46784024003623,33.330161232461734,13.935623914930558,12.269659655448718
upi_out_pct,19.211111111111112,27.06467661691542,28.4975845410628,27.35438144329897,37.01086956521739,39.294642857142854,16.11111111111111,14.117948717948718
upi_in_pct,9.477777777777778,13.594527363184081,14.946859903381643,14.716494845360824,20.67270531400966,23.81377551020408,7.27124183006536,5.802564102564102
mem_bw_gb,34.02608116319444,39.938000816231344,39.992080172478865,43.05980438547036,41.6883056640625,47.38575479312819,30.92095056310877,49.70887384815705
mem_read_gb,18.840853370949073,28.778778665267414,29.36350548195954,31.666434590447807,29.387794705904447,34.21963842275191,17.51117694805195,38.05885717147436
mem_write_gb,15.185227864583329,11.159222296719527,10.628574360280796,11.393369341978094,12.30051077035757,13.166116968271682,13.409773741883114,11.65001622596154
mem_read_gb_skt0,8.12953566261574,19.559619772232587,15.854517615866545,19.25138671875,14.70381850022536,17.282498455436865,9.319340313007304,20.190597055288464
mem_read_gb_skt1,10.711317925347224,9.219158261427241,13.508987866092996,12.415047821359535,14.683975830078124,16.937139718191965,8.191836761870942,17.868260516826922
mem_write_gb_skt0,6.014393880208334,3.982785729555348,6.520027740036233,7.117781189594072,6.158842773437501,6.69732028260523,7.042466771509741,6.76344085536859
mem_write_gb_skt1,9.170834129050926,7.176436955845772,4.108546478713769,4.275588253060567,6.141667996920072,6.468796785315687,6.367307033786527,4.886575170272437
data_mem_gb,8.31448740158638,8.4571350249485,7.883228283573464,8.077846685221775,7.866882655931556,8.093778746468681,12.86667982532132,14.826049511249249
data_mem_gb_node0,7.365509450870709,2.93536151107864,4.599122125745395,4.371557008417159,3.985826741094175,4.114488971476653,5.960728356146044,7.233936661940354
data_mem_gb_node1,0.9490200516081204,5.521938513760543,3.2843128149060234,3.7063942746177236,3.881098484647447,3.979338821099729,6.906139570666898,7.592265593699921
pagetable_mb,25.489934990875913,26.46260883084577,26.124660326086957,25.712759067357513,26.146550422705314,26.35612643494898,37.92777217741936,39.85330528846154
pagetable_mb_node0,18.638629105839417,9.542793843283581,13.7935726147343,12.963285297927461,12.302441878019323,12.505102040816327,18.09039818548387,19.07598157051282
pagetable_mb_node1,6.8513058850364965,16.91981498756219,12.331087711352657,12.749473769430052,13.84410854468599,13.851024394132653,19.837373991935483,20.77744391025641
tma_l3_bound,0.4846153846153846,5.338461538461538,5.459183673469388,6.572192513368984,5.467661691542289,7.155440414507772,0.6556291390728477,8.693548387096774
tma_dram_bound,2.585185185185185,5.36180904522613,2.478048780487805,3.96875,2.645631067961165,4.036082474226804,2.712418300653595,4.067357512953368
tma_l1_bound,7.45925925925926,7.50251256281407,7.902439024390244,9.088541666666666,7.815533980582524,9.304123711340207,7.888888888888889,10.036269430051814
tma_store_bound,2.437037037037037,1.7185929648241205,0.4097560975609756,0.9375,0.48058252427184467,0.7731958762886598,0.43137254901960786,1.1191709844559585
warmup_s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
