metric,imbalanced,balancing,interleaved,patched-repl
ops_sec,7573835.4,8023087.8,7972074.4,8572004.0
mb_sec,1917.58,2031.4,2018.52,2170.2799999999997
c_wsecs,0.0,0.0,0.0,0.0
c_csecs,0.0,0.0,0.0,0.0
b_rgb,0.0,0.0,0.0,0.0
b_wgb,0.0,0.0,0.0,0.0
p99,15.4,14.0,14.0,17.2
p99.9,1858.2,1806.2,1813.0,1741.6
p99.99,3310.0,3228.2,3238.8,3153.0
pmax,24638.8,15178.6,30762.6,28704.4
uptime,75.0,75.0,75.0,75.0
stall%,0.0,0.0,0.0,0.0
nb_runs,2.0,2.0,2.0,2.0
samples,77.0,76.8,77.0,78.6
local_pct,52.467532467532465,50.56114149008886,48.92467532467533,85.18932164881532
local_pct_skt0,52.45194805194806,53.4821941216678,51.262337662337664,85.39509899383317
local_pct_skt1,75.95324675324676,45.73171565276829,45.11948051948052,89.80308341447582
lmb_gb_skt0,15.402682309466849,8.09143168799665,7.658645665882425,16.566672830759728
lmb_gb_skt1,0.07565307323933039,7.808941686133812,7.866880705846306,15.696120121308017
rmb_gb_skt0,0.013138370161910457,7.658741402511962,7.2210912134740255,0.09844843521786759
rmb_gb_skt1,14.592127068982538,7.81225193645537,7.580129011918236,0.8807790883134533
ipc,0.6610389610389611,0.6914025974025975,0.6837402597402598,0.6619006815968841
inst,54633.08568831169,58007.01115926179,57460.501142857145,19972.552543005517
inst_skt0,28132.001116883115,29195.94344634313,28990.88083116883,10032.138889970787
inst_skt1,26501.084623376624,28811.067867395766,28469.620233766233,9940.414007140538
cpu_balance,0.9420298823049533,0.983578672787871,0.9820531709895514,0.9908579131194243
llc_rd_miss_lat_ns,197.30345454545454,159.14677922077922,160.6448051948052,111.2549448231094
l3hit,0.7722337662337662,0.7687224880382775,0.7668831168831168,0.7845274261603377
l2miss,108.65631168831169,114.88690293916609,113.25514285714287,42.577889646218765
l3miss,19.556493506493506,21.03584996582365,20.770207792207792,7.686326841934438
l3mpi,0.0004948051948051947,0.0004898530416951468,0.0005028571428571428,0.0005671502758844532
upi_in_gb,15.725401734983766,17.181561624231033,17.1172150974026,1.3692624816795482
upi_out_gb,31.29622841416396,32.387412355017524,32.32337987012987,3.853504869183099
upi_out_pct,36.845454545454544,38.13256151742994,38.06883116883117,4.0318889970788705
upi_in_pct,18.374675324675326,20.030032467532468,19.93376623376623,1.1323596234988642
mem_bw_gb,45.259040330762986,49.96555222706981,50.12314229810588,39.23986154112403
mem_read_gb,31.106295961850652,35.02806612723215,35.19852420112782,37.680326853662066
mem_write_gb,14.152743810876624,14.937486125202927,14.924618351965677,1.5595350849333618
mem_read_gb_skt0,30.964706067370127,17.69311148031656,17.697944712411356,19.402794858799393
mem_read_gb_skt1,0.14159012276785715,17.334954672280844,17.500579258092852,18.277532416423238
mem_write_gb_skt0,14.110844054383117,7.56931257609578,7.524238499190981,1.148460545416971
mem_write_gb_skt1,0.0418996296672078,7.368174005681818,7.4003796738828616,0.4110741192236693
warmup_s,0.0,0.0,0.0,0.0
ops_sec_std,39295.66636793433,37226.68680798763,61939.9557014695,51061.63481029568
mb_sec_std,9.893533241466328,9.490521587352276,15.5840302874449,13.051513322216804
runs,5.0,5.0,5.0,5.0
