label,dataset,tag,test,n_prompt,n_gen,runs,test_time,avg_ns,avg_ts,stddev_ts,start_time,end_time,samples,local_pct,local_pct_skt0,local_pct_skt1,lmb_gb_skt0,lmb_gb_skt1,rmb_gb_skt0,rmb_gb_skt1,ipc,inst,inst_skt0,inst_skt1,afreq,freq,cpu_balance,llc_rd_miss_lat_ns,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_write_gb_skt0,mem_write_gb_skt1,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,tma_l3_bound,tma_dram_bound,tma_l1_bound,tma_store_bound,warmup_s
llama,llama,baseline,pp512,512,0,10,2026-08-27T09:15:01Z,12899181941,40.00157,3.909382,2026-08-27 11:13:04.016361180,2026-08-27 11:17:22.000000000,157,69.81528662420382,70.36942675159236,64.01910828025478,6.490862609474522,9.130044536226114,4.3664473029458595,3.1697041699840764,0.9292993630573249,85697.80885350317,43094.72286624204,42603.086305732475,0.8628025477707009,0.6946496815286626,0.9885917224242162,177.7894904458599,0.18089171974522297,35.89891719745222,29.49388535031847,0.00031656050955414017,8.25298150129379,16.5170408290207,19.21019108280255,9.388535031847134,30.095402381070862,16.202620919585986,13.892782083499204,6.974654595441879,9.22796595093551,5.5489466187300955,8.343835464769109,8.529508266808852,8.003917790059024,0.5255250271011449,26.429294418238992,21.471010220125788,4.959807389937107,,,,,0.0
llama,llama,baseline,tg128,0,128,10,2026-08-27T09:17:22Z,21761731597,5.881885,0.002923,2026-08-27 11:13:46.765368060,2026-08-27 11:21:02.000000000,377,58.3474801061008,58.59151193633952,57.08222811671087,15.742376595656498,3.937411928050398,1.8860789331896552,13.86674714025199,0.5813793103448276,60441.13862068965,35042.9299469496,25398.208647214855,0.9341909814323609,0.8572413793103449,0.7247741180792933,276.25660477453584,0.4587798408488064,30.422201591511932,16.895649867374004,0.0002480106100795756,17.611059065193963,32.28648895992208,37.984748010610076,20.4946949602122,42.70084100940816,35.063762355976465,7.637079301019563,30.156293517904512,4.907468397712202,3.142848661306366,4.494230510195623,8.597881589617048,8.192317498424066,0.4055302029564267,26.959211722883598,22.087218915343914,4.87263351521164,,,,,0.0
llama,llama,distribute,pp512,512,0,10,2026-08-27T09:21:02Z,10197584582,50.26774,1.821399,2026-08-27 11:19:58.048308360,2026-08-27 11:23:22.000000000,204,64.23039215686275,68.90196078431373,60.28431372549019,13.48565793504902,5.741636986825981,3.4504681755514706,8.698610791973039,0.734264705882353,73759.11455882354,39267.89705882353,34491.21754901961,0.9212254901960785,0.7966176470588238,0.8783566254477945,224.98651960784315,0.3207352941176471,36.388774509803916,25.058872549019615,0.00031519607843137257,13.092595071231619,24.706333390778184,28.963235294117652,15.099264705882355,38.66249918619792,27.602748927696076,11.059750976562501,20.64915077359068,6.953598154105391,5.380585267310049,5.679165374157475,7.839076432101245,5.79426869735342,2.04483019072434,26.04133312807882,17.852947967980295,8.183536022167488,,,,,0.0
llama,llama,distribute,tg128,0,128,10,2026-08-27T09:23:22Z,17278472730,7.408064,0.004784,2026-08-27 11:20:31.430545400,2026-08-27 11:26:17.000000000,346,60.45086705202312,62.835260115606935,58.46242774566474,15.396422281430636,9.093383083453757,6.518055116510116,11.383879380419074,0.581242774566474,62105.62843930636,33110.41052023121,28995.21815028902,0.945606936416185,0.8660115606936417,0.8757130369184726,226.39005780346818,0.44881502890173414,36.32300578034682,19.457630057803467,0.0002835260115606937,19.939609600794796,33.76146230355853,39.733381502890175,23.307803468208093,50.71591230751812,42.988239328577905,7.727673233695653,27.15408868319746,15.834151353034418,3.8089228940217392,3.9187503396739127,7.923662589252858,5.221616109212239,2.7020569289939993,26.535439311594203,16.717821557971014,9.814764492753623,,,,,0.0
llama,llama,interleaved-distribute,pp512,512,0,10,2026-08-27T09:26:17Z,10236286255,50.04821,1.290858,2026-08-27 11:25:13.274274900,2026-08-27 11:28:38.000000000,205,51.11219512195122,54.80487804878049,47.06341463414634,10.9169921875,7.330449695121951,7.6875381097560975,9.023947217987805,0.7369756097560978,73660.4004390244,37702.410439024396,35957.99029268292,0.919658536585366,0.7909756097560976,0.9537318668480707,215.1809756097561,0.3169268292682927,39.2839512195122,26.14180487804878,0.00033317073170731706,18.396966082317075,31.49668235518293,37.07439024390244,21.46707317073171,44.53634903772866,32.049759908536586,12.486588843368905,18.46524737995427,13.584513147865854,6.305527105564025,6.181061880716462,7.700929204429069,4.20268128557903,3.4983524973799542,26.393025914634148,14.440186737804877,11.952896341463415,,,,,0.0
llama,llama,interleaved-distribute,tg128,0,128,10,2026-08-27T09:28:38Z,15296028209,8.368207,0.013884,2026-08-27 11:26:36.079435820,2026-08-27 11:31:42.000000000,306,49.666666666666664,53.467320261437905,43.950980392156865,11.227812114514803,10.382084865196079,10.997638378267974,10.44033394607843,0.5783006535947712,55036.54790849673,27563.670294117645,27472.877581699344,0.9369934640522877,0.787516339869281,0.9967060731952785,220.05830065359476,0.4137581699346405,38.593594771241825,21.462875816993463,0.00042973856209150326,24.090566757301882,37.96682049121732,44.79738562091503,28.228758169934643,53.28956571691177,44.070112783394606,9.219452486723856,22.059957841860705,22.01015545215482,4.5914744817197715,4.627978356055963,7.836607453090693,3.950892766316732,3.885790706459993,26.50759548611111,13.665619893790849,12.842026654411764,,,,,0.0
llama,llama,interleaved-distribute-warmup,pp512,512,0,10,2026-08-27T09:31:42Z,9711778790,52.72268,0.430421,2026-08-27 11:30:14.764424200,2026-08-27 11:33:29.000000000,195,49.57948717948718,55.61025641025641,40.62564102564102,10.042347756410257,8.730839342948718,9.840655048076924,8.738992387820513,0.696,63739.499743589746,31925.571282051274,31813.928820512825,0.9085641025641024,0.7240000000000001,0.9965030395054758,208.92958974358976,0.3263076923076923,42.27558974358974,28.164307692307688,0.0005082051282051282,20.545645082131415,33.68064528245192,39.697435897435895,24.05641025641026,47.62896413901417,34.43069648034793,13.198267457313147,17.274949259020616,17.155747825386598,6.613935999919461,6.5843316587467795,8.066504881554042,4.067693297396001,3.998812154396293,25.869442654639176,12.37367106958763,13.49341575386598,,,,,0.0
llama,llama,interleaved-distribute-warmup,tg128,0,128,10,2026-08-27T09:33:29Z,15375189726,8.325106,0.00736,2026-08-27 11:33:29.000000000,2026-08-27 11:38:36.503794520,146,50.0,50.04794520547945,49.95172413793104,16.469030928938356,15.619692887931034,15.77415988869863,16.562856950431033,0.28568493150684937,37198.065616438354,18664.491506849314,18534.218689655172,0.9792465753424657,0.9713013698630137,0.9930202857577805,243.35150684931511,0.6128767123287671,38.50897260273973,12.828561643835616,0.0003404109589041096,35.58279156410531,53.23713686590325,62.956896551724135,41.86724137931034,74.25020301870748,70.74653698979591,3.5036656967474493,35.31442890888936,35.43209502551021,1.6574534813133446,1.8454623724489796,8.697992607855028,4.384536915440713,4.313455692414315,27.402142137096774,12.560282258064516,14.841859879032258,,,,,0.0
llama-repl,llama-repl,repl-distribute,pp512,512,0,10,2026-08-27T19:33:34Z,11084861343,46.24144,1.650249,2026-08-27 21:32:24.302773140,2026-08-27 21:36:06.000000000,152,74.07894736842105,77.8157894736842,70.36184210526316,10.241177493578768,7.953887521404109,3.4667903645833333,3.02671875,0.891513157894737,5066.954802631579,2528.631644736842,2538.3232894736843,0.9000657894736842,0.0430921052631579,0.9961818714042325,167.81223684210525,0.24388157894736842,2.54125,1.8443421052631581,0.00035921052631578956,6.696991288034539,14.2874802760074,16.53453947368421,7.465460526315789,31.108409680818255,17.47515952662418,13.633250603926811,9.472651110197368,8.002507452713816,7.3859718724300985,6.2472781532689154,10.779433411437196,6.954621996198382,3.824805618880631,37.34471387987013,19.512251420454547,17.83312195616883,0.6,2.7019867549668874,7.728476821192053,0.5298013245033113,0.0
llama-repl,llama-repl,repl-distribute,tg128,0,128,10,2026-08-27T19:36:06Z,12217065359,10.47715,0.008877,2026-08-27 21:34:37.658692820,2026-08-27 21:38:42.000000000,245,84.18775510204081,85.35102040816327,84.9673469387755,25.21937069650424,23.794876928608787,1.7108088991769548,1.574705005186722,0.6086938775510203,3499.5649387755097,1742.3719183673472,1757.1931020408165,0.9377142857142857,0.046897959183673475,0.9915654212071195,161.96763265306126,0.47959183673469385,2.663959183673469,1.2810612244897959,0.0004057142857142857,4.959248764349489,11.359107900191328,12.991836734693878,5.51530612244898,59.8158967965548,51.54359947329662,8.272297683465677,26.271045682313016,25.272553750960554,4.438128401959529,3.8341690013447747,12.717467120436371,7.49951415765481,5.2179990830968634,39.87469582479508,20.72603419569672,19.14866162909836,13.714876033057852,3.8140495867768593,11.28099173553719,0.5826446280991735,0.0
