label,dataset,build_commit,build_number,cpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts,start_time,end_time,samples,local_pct,local_pct_skt0,local_pct_skt1,lmb_gb_skt0,lmb_gb_skt1,rmb_gb_skt0,rmb_gb_skt1,ipc,inst,inst_skt0,inst_skt1,afreq,freq,cpu_balance,llc_rd_miss_lat_ns,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_write_gb_skt0,mem_write_gb_skt1,warmup_s
llama,baseline,773340973,7217,"MKL, Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,64,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,512,0,0,2026-08-12T17:51:30Z,12602812081,1254582816,40.923267,3.741459,2026-08-12 19:48:35.943758380,2026-08-12 19:52:48.000000000,95,62.14736842105263,70.45263157894736,61.26315789473684,6.178895970394737,10.166673519736841,3.639309210526316,1.8869265292553192,0.9055789473684213,76297.71621052631,38017.602000000006,38280.11347368421,0.8325263157894737,0.6473684210526317,0.9931423538264936,172.8237894736842,0.2373684210526317,35.082842105263154,27.39263157894737,0.00031157894736842114,6.110123560855262,13.014485711348685,14.976315789473684,6.842105263157895,27.88135019938151,15.171220601399739,12.710129699707032,5.553847656249999,9.61737294514974,4.377974039713542,8.332154846191406,0.0
llama,baseline,773340973,7217,"MKL, Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,64,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,0,128,0,2026-08-12T17:52:48Z,22868803319,286402327,5.597836,0.068956,2026-08-12 19:47:04.623933620,2026-08-12 19:54:42.000000000,209,55.803827751196174,60.995215311004785,55.33971291866029,2.8921856309808613,16.297571209629186,12.871084404904305,0.8757887620192307,0.5985167464114832,58094.28837320574,24759.896172248802,33334.391818181815,0.8963157894736842,0.8052631578947366,0.7427732987389869,267.1404784688995,0.44947368421052625,28.91205741626794,16.749282296650716,0.00024976076555023927,15.649442004336125,29.794228048370215,35.00837320574163,18.13636363636364,40.36247270275298,32.55374246651785,7.808729492187498,3.483101515997024,29.070641229538687,2.7945288783482143,5.014200613839287,0.0
llama,baseline,773340973,7217,"MKL, Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,64,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,0,256,0,2026-08-12T17:54:42Z,45874928928,403744492,5.580737,0.049258,2026-08-12 19:43:14.501421440,2026-08-12 19:58:32.000000000,439,52.93166287015946,56.899772209567196,52.54214123006834,1.428900021355353,19.008328587699317,17.009191699886106,0.434744220890411,0.4592482915717539,49565.4523690205,18611.540956719815,30953.911184510245,0.9244419134396353,0.8758542141230066,0.6012662130410609,308.7669020501139,0.5445785876993167,26.151594533029613,11.975694760820046,0.00022369020501138953,19.91105740140945,37.294718064849086,44.01537585421413,23.15489749430524,45.790476806640626,40.211828768643464,5.578647549715909,2.5740615012428982,37.63776726740057,2.1211622425426135,3.4574852849786932,0.0
llama,baseline,773340973,7217,"MKL, Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,64,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,0,512,0,2026-08-12T17:58:32Z,91446802099,355961095,5.598951,0.021775,2026-08-12 19:58:32.000000000,2026-08-12 20:29:00.936041980,1203,54.12967581047381,54.782861896838604,54.34276206322795,10.42924560546875,16.18046875,14.246745875832639,8.39429974436561,0.3864754779717373,46506.83089775561,21859.312978369388,24649.526173044927,0.9419866999168746,0.919393183707398,0.8868045910867557,281.1261148086523,0.5829343308395677,28.443433083956773,10.801213632585204,0.00020814630091438077,24.25326437324657,41.770227136088295,49.330906821963396,28.43677204658902,54.74698775747963,50.7332994269528,4.013688412111007,20.385823274005325,30.34747598162072,1.3765880276864038,2.6371005149592732,0.0
llama,distribute,773340973,7217,"MKL, Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,64,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,512,0,0,2026-08-12T18:06:12Z,11161686417,372075620,45.912544,1.55024,2026-08-12 20:04:03.766271660,2026-08-12 20:07:47.000000000,223,60.10313901345292,62.856502242152466,58.3542600896861,3.985580306869369,15.081226245777026,13.151446368243244,1.3485307173295455,0.5765919282511213,60988.40237668162,25878.425964125563,35109.97659192825,0.9322421524663675,0.8447533632286994,0.737067593775468,272.0876233183857,0.439372197309417,28.81044843049327,16.351390134529147,0.0002430493273542601,16.311568324341366,30.947863167390693,36.48878923766816,18.883408071748878,40.942590124019056,33.67992327634529,7.262667241802129,4.641596920543722,29.038326355801573,3.7817741031390133,3.480893138663116,0.0
llama,distribute,773340973,7217,"MKL, Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,64,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,0,128,0,2026-08-12T18:07:47Z,18441789069,9696229,6.94076,0.003649,2026-08-12 20:03:10.164218620,2026-08-12 20:09:19.000000000,369,57.15989159891599,58.90243902439025,56.31978319783198,6.930398692255435,20.292509659476902,18.153219471807066,4.639947276297814,0.48525745257452574,54027.65387533876,23840.782168021684,30186.871924119238,0.9366395663956638,0.8797831978319781,0.7897731910729364,277.8587804878049,0.5107046070460705,28.40024390243902,13.587181571815716,0.00022655826558265585,20.170046049288615,36.274495469173445,42.82655826558266,23.46951219512195,47.626559474779214,41.86133775793988,5.765222088357676,11.938616863748303,29.922720947265624,2.6569871720023777,3.108234916355299,0.0
llama,distribute,773340973,7217,"MKL, Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,64,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,0,256,0,2026-08-12T18:09:19Z,37385676896,485467573,6.848469,0.08925,2026-08-12 19:59:58.286462080,2026-08-12 20:12:26.000000000,748,54.63502673796791,55.91577540106952,54.40909090909091,7.91821878141756,18.21877091700134,16.370233538319948,6.0947383598993286,0.41165775401069515,48350.00782085561,21358.326243315507,26991.681737967912,0.9410294117647057,0.9093181818181816,0.7912929046311244,288.5789973262032,0.5662967914438503,28.123101604278073,11.420481283422461,0.00021310160427807492,22.862762718812665,40.30303376712901,47.63569518716577,26.75501336898396,51.91469046759957,47.37974009318524,4.534950518218708,15.205879337663152,32.17386061171771,1.8293073988662987,2.705643315449297,0.0
llama,distribute,773340973,7217,"MKL, Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,64,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,0,512,0,2026-08-12T18:12:26Z,74777733647,369274731,6.847092,0.034035,2026-08-12 20:12:26.000000000,2026-08-12 20:37:21.554672940,369,54.0,53.02173913043478,55.17934782608695,17.91450832201087,10.748576400715258,8.404819654381793,14.998898373637601,0.3459620596205962,43623.33989159892,24827.15472826087,18794.908858695653,0.9420596205962056,0.9352845528455281,0.7570303187944979,250.84554347826088,0.6077235772357723,30.162981029810297,10.19650406504065,0.00020000000000000004,27.180346375338758,44.22227133046026,52.1351902173913,32.017663043478265,61.47001354846325,58.398587284297726,3.0714263178228025,35.41333270733173,22.985254496480085,0.4032718868046017,2.6681543505322804,0.0
llama-repl,repl,773340973,7217,"MKL, Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,64,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,512,0,0,2026-08-19T15:35:05Z,13336528800,828471582,39.386056,7.21322,2026-08-19 17:32:01.269424000,2026-08-19 17:36:28.000000000,101,59.722772277227726,67.24752475247524,60.34653465346535,8.744419642857142,6.2105410736386135,2.448451450892857,3.4997660319010415,0.9248514851485148,76056.88841584159,37124.21039603961,38932.67782178218,0.8606930693069306,0.6586138613861388,0.9535488559502383,172.93564356435644,0.30029702970297023,43.836831683168306,27.650594059405947,0.0003207920792079208,6.8042212639232655,14.204882909189356,16.39108910891089,7.695544554455446,26.83069519647277,14.506936591120054,12.323758992110147,8.563017191367575,5.943919979888614,7.4104564704517335,4.913303101794554,0.0
llama-repl,repl,773340973,7217,"MKL, Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz",BLAS,./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf,llama 8B Q8_0,8533004544,8030326848,2048,512,64,0x0,0,50,f16,f16,99,0,layer,0,0,0,auto,0.0,none,1,0,0,0,0,128,0,2026-08-19T15:36:28Z,13814835680,318199223,9.269218,0.207128,2026-08-19 17:33:01.703286400,2026-08-19 17:37:38.000000000,171,74.59649122807018,80.04093567251462,74.05263157894737,19.438459123883927,18.046989217836256,1.6329879303892216,2.0706654743975905,0.7006432748538011,63686.39187134504,31290.991169590645,32395.400292397662,0.8849122807017545,0.760701754385965,0.9659084588293791,166.9159649122807,0.43783625730994147,42.38485380116959,21.41649122807018,0.00031286549707602336,5.618766390259503,12.416630288285821,14.26608187134503,6.2295321637426895,48.521036298428356,39.570179607547516,8.950856747989768,19.866188265259506,19.703991913377195,4.521121619152047,4.429735414382311,0.0
