arch,variant,label,phase,limit,qps_mean_steady,qps_std,qps_median,runs,qps_mean_full_phase,runs_full_phase
silver,firsttouch,First Touch,normal,max,1117.0221282719735,8.196414126457235,1116.4377086072395,31,1117.4896684429855,63
silver,firsttouch,First Touch,3.5G,3500M,1119.8195655491734,6.006034553656594,1119.299731005974,32,1119.1427897804444,64
silver,firsttouch,First Touch,3G,3G,1107.9615476879596,40.42857320402619,1117.2057940031166,32,1112.7796705958376,64
silver,firsttouch,First Touch,2.5G,2560M,1132.466338537123,7.839981265412409,1133.1002317990792,32,1131.960656240085,64
silver,firsttouch,First Touch,release,max,1118.9278532492547,63.561293554825745,1129.2721117159592,32,1120.2080998560555,64
silver,interleaved,Interleave,normal,max,1120.623907026465,69.65213145962385,1132.1721490601426,32,1120.3346107673956,64
silver,interleaved,Interleave,3.5G,3500M,1135.108486360582,6.164278114352526,1134.9882199572198,32,1130.9755613695927,64
silver,interleaved,Interleave,3G,3G,1134.877410200671,6.709946196144286,1132.7451894031274,32,1129.0130698899143,64
silver,interleaved,Interleave,2.5G,2560M,1132.533365606977,9.040102243967638,1130.8254695089254,32,1132.0886546068234,65
silver,interleaved,Interleave,release,max,1132.5033655038037,8.589556376822356,1133.7856123866331,32,1132.5780455435029,64
silver,numa-balancing,Linux Vanilla,normal,max,920.0805720817139,58.750200668949056,909.8729252697024,26,878.4662134789822,50
silver,numa-balancing,Linux Vanilla,3.5G,3500M,1007.9853988673892,55.971153777335495,1030.8504503973863,28,1001.2793465999183,57
silver,numa-balancing,Linux Vanilla,3G,3G,1050.0457097226363,24.380698242886055,1057.6147069236881,30,1050.4208661499442,60
silver,numa-balancing,Linux Vanilla,2.5G,2560M,1015.67425138075,57.2363828700588,1032.4783354428769,29,1018.3664774495036,58
silver,numa-balancing,Linux Vanilla,release,max,1016.3053548439362,58.720277018006385,1032.5743600294004,29,1033.3655518059527,59
silver,repl-bound,SPARe (First Touch),normal,max,1453.521797598013,49.189177480224174,1462.737619240573,41,1456.5612852656213,82
silver,repl-bound,SPARe (First Touch),3.5G,3500M,1227.403077951836,15.58353368021146,1229.3422789473063,34,1212.3056205548373,68
silver,repl-bound,SPARe (First Touch),3G,3G,1196.7580388165718,9.214067056536686,1196.9945196003457,34,1186.5729411960147,68
silver,repl-bound,SPARe (First Touch),2.5G,2560M,986.9838310192716,4.873955316412102,985.0919741523643,28,979.3360189814078,56
silver,repl-bound,SPARe (First Touch),release,max,1381.4796005459789,38.68203081765384,1385.4872924492067,39,1350.0364475078895,75
silver,repl-firsttouch,SPARe (First Touch),normal,max,1244.9818521349887,58.946622064828134,1254.447973015492,35,1248.6488657765365,71
silver,repl-firsttouch,SPARe (First Touch),3.5G,3500M,1257.597089434481,8.367688155786182,1258.9688468552797,35,1257.1616042724702,71
silver,repl-firsttouch,SPARe (First Touch),3G,3G,1278.4312044933804,9.232737519803052,1276.7657973678083,36,1270.831362767072,72
silver,repl-firsttouch,SPARe (First Touch),2.5G,2560M,1204.8675810296504,75.42738476306954,1221.4865971271258,35,1180.1323535840158,66
silver,repl-firsttouch,SPARe (First Touch),release,max,1216.1181907679893,33.58941241740482,1223.4599627049402,34,1214.3953241241634,68
silver,repl-interleaved,SPARe (Interleave),normal,max,1176.4427460231466,80.98968559425911,1196.580737993194,33,1184.9284757743876,67
silver,repl-interleaved,SPARe (Interleave),3.5G,3500M,1197.801004136152,6.940710340867056,1196.243628609352,34,1193.7597786183023,68
silver,repl-interleaved,SPARe (Interleave),3G,3G,1197.6315911365964,5.259226187912042,1196.9950224373501,34,1192.8781072502236,68
silver,repl-interleaved,SPARe (Interleave),2.5G,2560M,1184.5753744765318,63.3473482043835,1195.9851944266677,33,1172.1373352619105,66
silver,repl-interleaved,SPARe (Interleave),release,max,1192.287627427178,30.20979801278826,1197.272150002619,34,1183.1244847458252,68
silver,repl-dynamic,SPARe (Dynamic),normal,max,1443.3017157788834,26.207719225858934,1446.8591959135488,40,1446.1505381950149,81
silver,repl-dynamic,SPARe (Dynamic),3.5G,3500M,1198.7236553759883,6.042300274033589,1199.03514941835,34,1166.606038546806,63
silver,repl-dynamic,SPARe (Dynamic),3G,3G,1198.4703876172655,43.24395342101255,1207.1435569672253,34,1197.5710786794648,68
silver,repl-dynamic,SPARe (Dynamic),2.5G,2560M,1199.7657585005318,5.741060923126891,1201.078088376451,34,1188.9957586849405,67
silver,repl-dynamic,SPARe (Dynamic),release,max,1425.755900659248,11.266527340566887,1427.1680975227832,40,1401.6410709662036,75
